科目,2014年度,2015年度,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"352,135,827.96","365,186,437.34","450,453,642.11","155,336,328.69","289,952,335.56","403,930,572.58","601,553,130.20","121,793,947.13","227,117,972.01"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"27,796.05"
收到的税费返还,"431,749.36",,"1,125,580.23",,"210,223.35","1,300,980.17","2,053,349.41","3,069.88","872,718.46"
支付其他与投资活动有关的现金,,,,,,,,,
收到其他与经营活动有关的现金,"34,672,183.82","5,590,427.66","10,014,409.13","22,068,104.41","2,903,177.62","9,562,631.53","22,112,900.62","7,431,152.25","6,207,312.56"
投资活动现金流出小计,"855,162,971.09","861,826,623.27","356,725,542.92","34,465,149.11","452,234,846.43","675,368,631.29","1,039,300,250.38","377,403,213.00","724,416,030.19"
经营活动现金流入小计,"387,239,761.14","370,776,865.00","461,593,631.47","177,404,433.10","293,065,736.53","414,794,184.28","625,719,380.23","129,228,169.26","234,198,003.03"
投资活动产生的现金流量净额,"-112,855,970.11","15,120,692.97","-36,258,779.90","-34,411,949.11","-389,806,979.10","-386,206,499.76","-386,780,952.86","-11,388,794.65","156,608,140.55"
购买商品、接受劳务支付的现金,"160,876,851.08","148,812,172.18","228,522,950.85","100,743,071.39","201,197,475.07","277,862,077.95","446,044,359.00","93,645,865.36","174,386,503.86"
吸收投资收到的现金,,,,"350,000,000.00","359,740,000.00","362,240,000.00","362,240,000.00",,"576,500.00"
支付给职工以及为职工支付的现金,"24,351,619.36","38,572,375.58","56,531,604.69","17,748,104.61","31,396,248.87","45,418,965.35","61,357,884.78","15,955,088.66","30,837,400.88"
取得借款收到的现金,"10,000,000.00",,,,,,,,
支付的各项税费,"56,823,245.94","45,233,040.29","27,177,054.76","9,557,777.09","13,550,351.13","23,674,617.28","28,467,144.06","6,513,714.27","12,362,647.15"
收到其他与筹资活动有关的现金,"10,987,391.88","11,595,540.61","41,080,058.97","20,304,382.22","44,055,938.55","21,301,565.11","40,050,799.69","63,745.63",
支付其他与经营活动有关的现金,"30,991,220.52","50,545,975.54","30,143,075.43","34,656,765.46","16,250,203.06","29,712,765.67","32,109,961.40","7,990,123.21","23,879,447.07"
筹资活动现金流入小计,"20,987,391.88","11,595,540.61","41,080,058.97","370,304,382.22","403,795,938.55","383,541,565.11","402,290,799.69","63,745.63","576,500.00"
经营活动现金流出小计,"273,042,936.90","283,163,563.59","342,374,685.73","162,705,718.55","262,394,278.13","376,668,426.25","567,979,349.24","124,104,791.50","241,465,998.96"
偿还债务支付的现金,,"2,000,000.00","5,000,000.00",,,"3,000,000.00","3,000,000.00",,
经营活动产生的现金流量净额,"114,196,824.24","87,613,301.41","119,218,945.74","14,698,714.55","30,671,458.40","38,125,758.03","57,740,030.99","5,123,377.76","-7,267,995.93"
分配股利、利润或偿还利息支付的现金,"270,240.08","62,986,041.64","30,824,651.40","35,624.99","16,711,571.98","16,723,446.98","16,723,916.65",,"15,392,000.00"
收回投资收到的现金,"738,499,999.74","873,003,536.33","318,000,149.58",,"62,100,000.00","287,140,000.00","646,650,000.00","360,750,000.00","873,902,540.33"
支付其他与筹资活动有关的现金,"10,931,258.48","6,461,674.01","63,716,732.20","19,947,503.22","38,736,173.98","25,729,653.53","31,343,995.42","54,266.28",
取得投资收益收到的现金,"3,807,001.24","3,943,779.91","1,571,051.93",,"204,152.33","1,898,416.53","5,815,347.52","4,711,528.35","7,119,940.41"
筹资活动现金流出小计,"11,201,498.56","71,447,715.65","99,541,383.60","19,983,128.21","55,447,745.96","45,453,100.51","51,067,912.07","54,266.28","15,392,000.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,"895,561.51","53,200.00","123,715.00","123,715.00","53,950.00","1,690.00","1,690.00"
筹资活动产生的现金流量净额,"9,785,893.32","-59,852,175.04","-58,461,324.63","350,321,254.01","348,348,192.59","338,088,464.60","351,222,887.62","9,479.35","-14,815,500.00"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,
四、汇率变动对现金的影响,"295,025.75","3,433,940.27","4,685,411.13","345,750.52","-1,859,303.96","-2,431,254.49","-5,631,195.77","-3,996,790.05","1,036,622.46"
收到其他与投资活动有关的现金,,,,,,,,"551,200.00",
四(2)、其他原因对现金的影响,,,,,,,,,
投资活动现金流入小计,"742,307,000.98","876,947,316.24","320,466,763.02","53,200.00","62,427,867.33","289,162,131.53","652,519,297.52","366,014,418.35","881,024,170.74"
五、现金及现金等价物净增加额,"11,421,773.20","46,315,759.61","29,184,252.34","330,953,769.97","-12,646,632.07","-12,423,531.62","16,550,769.98","-10,252,727.59","135,561,267.08"
购建固定资产、无形资产和其他长期资产支付的现金,"81,661,211.35","33,824,836.50","38,425,403.78","6,465,149.11","9,694,846.43","11,808,631.29","13,110,250.38","3,803,213.00","14,441,934.14"
期初现金及现金等价物余额,"45,730,591.93","57,152,365.13","103,468,124.74","131,977,399.47","132,652,377.08","132,652,377.08","132,652,377.08","149,203,147.06","149,203,147.06"
投资支付的现金,"773,501,759.74","828,001,786.77","318,300,139.14","28,000,000.00","442,540,000.00","663,560,000.00","1,026,190,000.00","373,600,000.00","709,946,300.00"
期末现金及现金等价物余额,"57,152,365.13","103,468,124.74","132,652,377.08","462,931,169.44","120,005,745.01","120,228,845.46","149,203,147.06","138,950,419.47","284,764,414.14"
