科目,2011-12-31,2012-12-31,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"320,599,091.32","301,530,180.31","290,327,326.06","104,738,770.96","85,880,614.28","208,610,311.46","244,713,810.52","82,280,732.59","96,957,877.00","159,490,949.06","291,273,973.23","208,778,378.22","130,522,645.22","613,687,402.87","598,424,891.65","235,506,077.76","195,596,969.88","297,445,831.48","599,362,182.22","578,459,298.86"
短期借款,"301,600,000.00","266,000,000.00","245,000,000.00",,"309,000,000.00","349,870,000.00","184,370,000.00","227,000,000.00","340,000,000.00","442,000,000.00","394,000,000.00","364,000,000.00","394,000,000.00","221,500,000.00","500,000.00","500,000.00","60,500,000.00","150,000,000.00","120,000,000.00","120,000,000.00"
交易性金融资产,,,,,,,,,"9,216,200.00","7,342,288.00",,,,,,,,,"2,165,851.36","2,165,851.36"
交易性金融负债,,,,,,,,,,,,,,,,,,,,
应收票据,"1,700,000.00","7,274,000.00","11,183,113.80",,"8,890,000.00","6,496,624.00","22,736,907.24","5,942,601.86","1,219,418.40","2,901,346.71","793,797.79","1,648,835.71","254,874.00","685,922.25","877,789.66","1,168,197.24","250,000.00","764,184.00","5,638,882.95","8,518,721.14"
应付票据,,"3,000,000.00",,,,,,,,,,,,,,,,"68,993,796.30",,
应收账款,"64,356,259.83","60,350,919.17","73,877,585.63","111,201,645.25","161,986,045.69","137,782,133.23","72,494,756.11","95,274,231.83","154,246,301.05","127,646,133.71","85,794,036.96","109,900,412.27","144,405,976.48","144,937,974.12","85,876,795.88","124,708,129.17","145,472,766.92","150,137,108.37","87,290,148.28","160,382,788.62"
应付账款,"242,547,068.77","241,870,056.64","328,614,769.68",,"234,867,282.13","192,353,063.05","280,060,427.50","250,061,552.83","234,860,129.12","203,855,962.70","254,386,195.25","243,466,042.80","253,961,395.85","220,956,773.42","316,137,502.64","289,372,406.11","317,829,455.32","283,560,836.85","414,935,175.22","377,496,418.87"
预付款项,"1,574,812.89","3,567,555.41","3,636,467.49",,"7,105,316.85","16,749,693.22","1,478,790.46","2,748,464.28","2,785,667.95","2,300,799.82","1,752,389.60","1,802,058.74","6,496,973.95","7,980,684.16","1,784,584.35","2,516,131.74","3,337,962.97","12,335,121.21","2,488,180.05","5,961,426.42"
预收款项,"157,578,282.22","62,269,728.67","51,031,339.76",,"13,246,274.42","25,596,707.54","79,246,336.08","40,910,833.27","14,302,408.91","32,472,255.71","42,711,041.07","46,559,326.65","31,246,210.38","83,465,869.60","134,688,587.07","78,259,248.06","68,331,905.31","101,249,279.20","79,316,623.09","22,486,840.08"
其他应收款,"12,121,061.40","11,026,164.44","9,995,889.56",,"9,479,285.97","7,696,967.08","6,690,517.73","6,332,557.63","11,884,575.20","34,583,768.13","35,116,287.00","29,709,512.19","34,370,489.21","1,794,470.54","13,628,558.13","6,020,168.66","15,304,630.06","8,617,347.25","22,316,646.90","67,319,357.06"
应付职工薪酬,"28,132,975.41","29,500,645.25","32,048,448.40",,"10,463,925.39","10,475,554.93","30,863,636.52","12,893,253.00","8,692,230.87","9,761,001.02","24,810,553.97","16,169,190.69","14,996,203.38","19,708,594.82","38,939,504.36","23,823,201.95","20,671,457.11","21,634,782.52","43,474,938.83","22,175,156.42"
应收关联公司款,,,,,,,,,,,,,,,,,,,,
应交税费,"39,971,720.04","109,681,724.46","63,278,651.17",,"29,788,586.38","35,066,968.34","66,063,554.98","44,674,415.60","24,794,878.41","21,443,255.21","58,548,850.67","36,586,070.19","33,404,583.91","44,073,277.88","112,269,200.44","58,972,203.96","39,563,616.69","45,426,819.95","116,660,642.54","99,483,010.93"
应收利息,,,,,,,,,,,,,,,,,,,,
应付利息,"767,330.55","864,219.88","965,420.61",,"1,056,498.40","554,468.45","287,189.00","336,370.55","121,190.01","545,898.33","492,022.85","407,842.30","393,328.41",,697.81,697.81,"72,197.81","178,171.23","142,417.81","140,630.14"
应收股利,,,,,,,,,,,,,,,,,,,,
应付股利,"3,996,043.90","3,496,043.90","1,996,043.90",,"1,996,043.90","1,996,043.90","1,996,043.90","1,996,043.90","1,968,043.90","2,996,043.90","1,996,043.90","1,996,043.90","3,751,863.90","3,751,863.90","3,751,863.90","3,751,863.90","11,035,683.90","11,035,683.90","5,507,683.90","5,507,683.90"
存货,"614,357,257.56","608,467,014.62","635,138,060.15","673,719,236.10","684,175,088.25","715,966,033.66","744,686,182.19","777,033,037.88","769,676,799.40","797,360,145.73","795,876,055.66","825,805,599.23","848,456,168.75","988,698,255.85","1,007,447,921.89","1,042,070,577.89","1,074,773,811.40","1,078,235,462.69","1,052,987,394.80","1,065,736,372.25"
其他应付款,"47,600,084.55","49,150,019.66","50,501,863.00",,"57,677,993.94","58,104,300.12","45,092,261.58","48,927,969.37","114,694,887.82","115,991,353.56","93,054,960.08","92,850,506.52","94,951,203.46","155,785,657.27","80,760,543.25","83,787,978.06","87,041,099.10","82,737,960.85","78,163,607.83","54,659,900.70"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"10,000,000.00","20,000,000.00","20,000,000.00",,"20,000,000.00",,,,,,,,,,,,,,,
其他流动资产,"784,477.45","1,672,767.24","5,204,573.15",,"1,153,338.84","1,174,293.96","4,521,465.68","4,595,551.49","4,306,961.65","4,070,698.79","3,665,008.00","3,671,737.93","3,918,977.16","210,604,678.66","239,053,205.26","328,229,193.94","295,999,221.67","251,780,703.70","130,566,769.25","7,536,372.23"
其他流动负债,,,,,,,,,,,,,,,,,,,,
流动资产合计,"1,015,492,960.45","993,888,601.19","1,029,363,015.84",,"958,669,689.88","1,094,476,056.61","1,097,322,429.93","974,207,177.56","1,050,293,800.65","1,135,696,129.95","1,214,271,548.24","1,181,316,534.29","1,168,426,104.77","1,968,389,388.45","2,004,458,571.66","1,797,583,301.24","1,788,100,187.74","1,856,680,583.54","1,972,556,719.36","1,908,456,026.65"
流动负债合计,"832,193,505.44","785,832,438.46","793,436,536.52",,"678,096,604.56","674,017,106.33","687,979,449.56","626,800,438.52","739,433,769.04","829,065,770.43","869,999,667.79","802,035,023.05","826,704,789.29","749,242,036.89","687,047,899.47","538,467,599.85","605,045,415.24","764,817,330.80","858,201,089.22","701,949,641.04"
可供出售金融资产,,,,,,,,,,,,,,,,"161,150,000.00","161,150,000.00","161,150,000.00","161,150,000.00","161,150,000.00"
长期借款,"102,000,000.00","222,000,000.00","290,000,000.00",,"282,000,000.00",,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,
