科目,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"406,714,685.83","685,608,180.74","1,063,877,616.68","503,256,148.33","1,944,980,436.46","1,706,567,133.70","1,012,623,118.04","1,126,830,173.10","1,111,521,218.24","2,455,350,282.55","959,776,609.62","970,657,405.94","1,216,353,241.57","1,896,937,172.90","2,182,152,336.59","1,788,481,075.07","1,776,658,036.24","2,495,016,216.60","1,541,445,912.12","1,561,167,331.58","1,786,327,412.89","3,508,578,424.64","2,019,742,282.15","2,271,095,319.67","3,333,767,504.05","4,350,183,043.20","3,737,396,652.28","3,457,880,458.86","2,406,053,898.06"
短期借款,"142,000,000.00","242,000,000.00","528,000,000.00","695,336,381.84","639,803,884.66","343,179,472.40","406,041,472.40","875,019,294.77","1,026,556,290.93","1,200,278,992.04","1,371,224,190.47","1,787,222,083.36","1,889,390,231.10","1,987,682,084.05","2,281,189,811.25","2,196,626,290.51","2,100,045,152.84","2,053,852,924.79","2,268,514,625.65","2,513,397,240.83","2,739,962,023.86","2,701,301,874.36","3,032,177,931.67","3,170,802,553.37","2,966,447,291.03","2,187,647,841.95","2,337,223,355.52","2,645,082,592.57","2,809,324,368.84"
交易性金融资产,"246,975.80",,,"1,795,527.55","1,773,367.55","2,730,618.24","404,464.80","85,960.00",,,,,,,"100,000,000.00",,,,"90,573,655.52",,,,,,,,,,
交易性金融负债,,"789,000.00",,,,,,"269,479.20",,,,,,,"4,543,000.00","5,265,753.97","3,308,122.26","2,862,127.59","249,341.02",,,,,,,,,,
应收票据,"3,899,367.40","1,500,000.00","2,043,653.00","11,800,000.00","3,370,000.00","41,957,237.78","2,000,000.00","13,407,211.88","31,270,495.84","25,542,470.45","19,861,055.21","26,788,009.21","22,332,455.38","16,519,657.53","58,267,387.06","82,327,888.67","87,997,608.00","141,129,627.38","81,500,857.30","84,365,410.87","150,814,011.84","196,916,398.29","165,594,223.15","146,375,439.49","282,245,124.48","560,672,810.85","442,401,327.12","217,423,500.62","373,003,513.62"
应付票据,"234,133,930.46","333,233,140.90","619,150,744.45","642,450,592.52","699,624,894.01","876,106,273.38","689,576,252.20","863,610,322.66","1,198,430,592.98","1,653,084,749.77","1,404,484,413.02","1,463,593,407.46","1,840,493,688.41","2,151,772,215.38","2,045,359,482.38","1,963,922,970.36","2,238,857,864.69","2,983,776,211.66","2,875,377,355.07","2,681,236,737.75","2,638,857,051.05","2,812,601,993.57","2,869,633,966.18","2,873,447,817.33","2,818,938,921.18","2,683,507,809.11","2,593,392,759.03","2,315,552,578.10","2,589,977,749.53"
应收账款,"1,147,949,113.03","1,501,375,418.85","2,086,955,131.81","2,184,500,232.54","2,660,312,437.67","3,011,783,373.84","3,134,123,617.87","3,590,767,005.77","3,827,135,666.33","4,893,100,925.57","4,661,687,399.28","5,304,457,988.39","5,622,201,188.58","6,225,368,144.84","7,388,020,770.58","8,147,984,294.73","8,803,093,590.76","10,363,140,375.04","10,253,345,390.87","10,749,435,209.54","10,937,751,457.19","10,933,056,634.69","10,624,335,180.68","11,594,967,527.22","11,406,322,391.89","11,816,798,188.67","10,528,239,346.99","11,634,711,560.45","11,747,358,672.22"
应付账款,"890,561,884.04","1,199,623,492.93","1,394,052,665.03","1,243,491,570.70","1,217,453,975.83","1,515,162,519.03","1,293,828,102.80","1,833,952,908.72","2,360,944,161.74","2,764,367,855.87","2,387,812,899.16","2,754,580,189.16","2,929,196,064.94","3,585,421,591.83","4,412,580,671.56","4,905,727,914.75","5,258,630,746.38","5,900,504,064.51","4,792,660,220.30","5,287,248,903.53","5,481,523,837.34","6,614,149,906.51","5,333,515,828.85","5,725,988,067.52","6,008,284,749.80","7,203,310,212.56","5,537,951,297.14","6,463,905,771.11","6,341,207,005.68"
预付款项,"30,444,113.78","83,086,728.94","74,503,506.56","104,815,073.55","183,647,691.74","96,859,845.47","121,064,892.29","220,890,222.63","277,167,490.51","289,458,745.50","336,923,851.07","286,219,642.84","365,682,363.95","382,481,167.74","535,651,367.53","382,031,963.32","402,631,696.23","404,841,724.17","474,151,804.20","456,906,354.75","413,111,696.85","391,212,539.91","470,412,597.65","397,585,681.13","418,758,668.40","369,802,298.10","425,998,592.06","563,330,084.19","599,870,475.62"
预收款项,"677,400,833.40","651,163,783.17","751,397,424.03","758,340,892.70","746,512,339.95","640,972,927.75","707,166,021.33","873,257,832.29","837,810,591.74","828,262,154.65","941,494,943.52","943,753,842.60","1,213,426,212.36","1,466,092,749.95","1,903,750,408.20","1,662,502,603.82","1,832,391,511.79","1,380,009,066.13","1,709,154,963.73","1,651,778,794.46","1,695,335,925.33","1,516,485,028.90","1,706,931,167.42","1,923,876,899.84","1,663,182,660.05","1,681,720,500.50","1,583,436,636.17","1,808,612,534.75","1,832,653,203.33"
