科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"970,222,270.40","961,491,277.05","1,004,829,034.27","423,860,339.70","623,488,637.09","1,107,821,200.99","298,793,668.51","550,494,079.73","821,675,281.89","1,261,978,374.12","251,771,388.03","535,306,539.19","775,136,906.92","1,170,245,394.63","273,752,668.24","580,839,702.92","805,674,541.66","1,165,260,800.50","217,865,800.12","464,212,546.07","728,764,410.99","1,081,966,480.05","300,261,038.28","508,564,310.67","787,347,771.35","1,149,902,107.07","202,033,649.78","393,828,889.82","587,483,097.68","865,431,117.36","202,473,433.69","370,562,985.25","564,354,422.46"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"7,632,622.91",,,,,,,,,,,,,,,,,,,,,,,,,,"1,823,786.96","1,843,513.81","3,640,112.81","3,620,385.96",,,"8,737,183.33"
支付其他与投资活动有关的现金,"413,772,216.88",,,,,,,,,,,,,,,,,,,,,,,,,,,"150,000,000.00","150,000,000.00","150,000,000.00",,,
收到其他与经营活动有关的现金,"1,752,588.22","2,909,092.05","53,085,243.13","4,850,256.00","23,543,126.87","3,698,672.68","1,290,890.85","13,113,018.11","16,629,315.25","14,717,618.53","2,273,238.33","33,889,596.35","62,701,600.56","70,409,284.44","15,282,016.84","28,111,292.89","45,794,973.08","48,576,639.94","8,627,195.61","16,519,956.02","30,620,872.74","49,295,419.71","9,052,605.34","19,918,641.31","42,404,906.03","46,181,417.15","98,989,462.83","132,139,647.71","148,681,394.86","150,503,138.05","13,808,215.63","27,627,796.79","40,388,012.36"
投资活动现金流出小计,"428,692,760.34","49,846,042.46","172,473,350.97","47,545,351.02","62,458,912.12","163,576,105.54","122,367,521.32","315,796,640.91","557,651,615.28","716,080,511.29","109,559,981.13","294,058,860.71","368,841,630.20","402,979,643.07","23,802,887.59","39,565,575.80","79,628,668.06","110,493,886.00","14,495,337.00","60,517,067.09","108,097,104.90","126,920,604.41","26,825,120.75","33,177,549.81","49,642,079.54","73,968,679.84","11,530,095.98","165,189,559.52","198,318,679.44","172,240,011.75","13,264,762.92","15,311,773.76","27,144,868.24"
经营活动现金流入小计,"979,607,481.53","964,400,369.10","1,057,914,277.40","428,710,595.70","647,031,763.96","1,111,519,873.67","300,084,559.36","563,607,097.84","838,304,597.14","1,276,695,992.65","254,044,626.36","569,196,135.54","837,838,507.48","1,240,654,679.07","289,034,685.08","608,950,995.81","851,469,514.74","1,213,837,440.44","226,492,995.73","480,732,502.09","759,385,283.73","1,131,261,899.76","309,313,643.62","528,482,951.98","829,752,677.38","1,196,083,524.22","302,846,899.57","527,812,051.34","739,804,605.35","1,019,554,641.37","216,281,649.32","398,190,782.04","613,479,618.15"
投资活动产生的现金流量净额,"-423,164,671.84","-48,253,618.57","-170,573,162.42","-46,688,018.36","-61,297,900.23","-160,450,258.08","-120,480,154.78","-308,014,404.32","-547,360,912.76","-692,391,991.59","-107,447,414.49","-290,724,971.57","-364,293,408.39","-397,979,753.57","-23,183,361.26","-38,513,144.45","-78,107,376.46","-37,173,804.55","-13,290,662.96","-58,224,943.35","-104,106,658.57","-120,918,066.13","-26,046,534.29","-31,756,013.99","-46,333,404.65","120,997,829.18","50,279,580.26","-65,797,533.82","-98,733,482.78","-103,477,335.48","141,948,567.97","140,199,350.88","185,622,468.50"
购买商品、接受劳务支付的现金,"537,784,531.21","389,891,473.46","479,475,315.20","226,047,588.78","345,256,929.27","578,304,739.19","95,308,193.36","309,511,631.60","467,923,290.55","675,783,493.37","107,314,622.51","288,294,653.79","415,241,776.22","628,017,140.34","137,586,935.39","261,125,270.86","413,888,241.19","528,392,492.26","114,170,913.33","277,462,839.08","410,589,192.73","570,600,289.82","136,189,157.62","286,835,577.86","397,045,357.87","563,365,384.66","109,541,805.66","214,917,857.19","330,621,303.52","488,625,760.27","90,345,056.16","183,952,084.14","294,859,687.66"
吸收投资收到的现金,,"80,000,000.00",,,"1,269,494,000.00","1,269,494,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,
