科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"443,991,280.52","425,511,128.26","570,665,361.56","290,381,700.81","471,109,797.79","709,176,374.42","160,415,898.55","383,986,045.45","590,472,626.48","858,868,527.08","212,413,054.03","481,833,859.70","727,854,686.54","1,173,910,462.78","286,529,397.09","591,565,485.05","951,654,315.47","1,497,732,340.01","246,084,370.68","639,925,922.00","966,566,327.01","1,546,194,791.31","288,698,122.76","640,162,841.96","934,756,280.93","1,595,504,526.40","299,158,267.62","547,683,043.68","1,028,002,071.85"
二、营业利润,"30,173,541.59","34,323,066.69","59,806,717.53","36,038,812.04","55,839,793.08","83,996,776.29","13,128,982.30","46,199,540.88","67,795,315.93","98,004,548.18","13,381,154.87","51,056,505.36","74,668,182.04","146,560,140.24","10,894,396.44","61,690,111.38","95,086,942.93","213,024,296.59","1,922,846.46","70,796,396.17","89,056,778.46","246,240,226.36","5,969,345.75","31,735,995.38","66,184,694.96","284,557,627.40","4,238,361.61","-38,949,878.11","-14,351,131.04"
减:营业成本,"360,846,081.24","338,154,425.36","453,528,550.24","225,260,342.86","365,910,829.63","547,512,540.24","123,908,163.43","291,943,966.58","447,807,433.17","660,794,636.18","162,073,854.46","369,944,623.12","550,725,338.04","851,533,146.69","197,679,486.37","378,720,555.79","620,974,967.09","960,801,082.42","157,183,364.19","407,397,022.57","622,314,932.07","939,627,887.67","191,688,027.75","418,765,707.43","581,950,526.43","920,693,092.01","188,778,007.71","366,866,111.08","707,458,486.07"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,582,823.91","3,349,381.86","4,162,807.61","1,400,401.73","2,106,445.19","4,132,532.75","471,315.16","1,980,069.52","2,957,818.24","3,820,160.81","260,183.00","622,087.70","887,140.62","1,935,182.24","596,632.23","1,068,616.09","1,739,099.13","3,417,845.60","455,572.86","1,543,628.47","1,787,586.07","3,111,550.83","679,953.61","1,609,591.20","2,098,581.90","6,801,076.46","695,142.38","3,454,026.70","4,171,672.52"
营业外收入,"799,864.44","396,194.68","622,814.27",,"248,000.00","1,008,400.00","3,642.70","3,642.70","460,285.92","3,499,352.28","5,528.30","656,684.96","762,824.81","1,115,170.78","1,556,547.34","2,178,502.56","2,571,685.24","3,234,538.78","4,151,650.72","7,200,135.14","8,117,127.77","9,797,380.05","1,121,047.56","1,596,031.86","3,325,224.81","6,793,673.37","561,934.73","658,601.42","8,603,343.89"
销售费用,"20,692,056.83","18,797,201.37","19,787,254.42","10,158,890.12","17,432,011.68","25,963,895.88","8,813,499.67","19,051,741.60","28,534,086.00","41,752,011.79","13,979,844.23","25,466,165.72","39,239,411.87","55,282,878.52","19,412,615.88","40,849,120.76","61,219,911.23","89,313,967.70","24,035,941.11","48,176,566.73","70,951,791.85","98,671,726.71","24,716,777.11","48,806,592.76","73,418,788.46","111,939,829.01","26,426,443.10","57,303,331.28","83,290,738.83"
减:营业外支出,"1,855.21","345,970.32","34,127.69",,,"7,149.95","25,899.35","26,686.10","26,686.10","160,374.87",,"6,685.98","6,685.98","42,832.43",209.26,"31,495.45","47,725.39","23,353.46","21,124.08","141,292.61","215,962.48","382,702.77","652,412.22","812,595.19","847,769.16","687,025.54","14,621.86","24,497.70","163,111.97"
管理费用,"28,147,702.39","29,355,141.58","30,470,329.16","14,733,806.66","24,039,745.95","39,069,647.44","14,536,392.85","24,241,716.63","40,955,192.44","54,576,768.87","25,153,551.53","37,999,854.83","63,473,228.11","119,884,084.98","55,115,222.35","103,491,676.23","157,248,478.15","209,977,588.62","61,539,855.48","124,015,603.98","192,227,662.62","244,189,815.24","64,133,620.85","129,763,274.88","195,278,765.22","256,734,782.67","72,606,044.97","145,756,976.84","222,912,925.21"
其中:非流动资产处置净损失,"1,853.65","19,641.86","34,127.09",,,"7,149.95","25,899.35","26,686.10","26,686.10","157,914.87",,"2,265.98","2,265.98","38,412.43",209.26,541.71,"5,801.80","14,233.96","21,122.87","21,122.87","21,628.74","153,672.64",680.93,"158,735.76","162,932.24","217,579.58","14,618.70","19,955.64","19,955.64"
