科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"80,518,679.96","179,958,451.44","402,384,728.81","101,665,983.06","226,265,954.82","345,698,418.40","399,101,892.93","115,271,601.64","254,016,987.75","422,023,623.04","541,008,929.57","151,646,416.39","298,700,616.24","468,687,072.91","643,785,109.53","132,391,652.24","312,174,048.44","473,060,862.44","627,807,825.50","111,111,627.05","278,304,739.58","413,484,310.27","574,947,764.37","112,806,273.17","245,536,841.86","396,842,284.10","554,407,022.51","103,801,820.27","218,982,057.27","326,210,978.60","449,624,516.49","102,224,344.34","213,240,218.55","309,266,587.25","435,683,061.26","70,604,402.74","155,555,637.39","263,222,698.39","430,550,980.22","126,091,845.47","286,064,399.32","437,095,139.73","658,420,472.76","194,875,361.66","340,582,959.61"
二、营业利润,"9,082,553.95","23,534,258.34","53,085,706.99","11,701,502.24","27,966,528.99","40,868,653.13","36,828,898.90","13,151,998.20","32,607,793.39","49,598,166.42","45,828,140.92","6,173,974.40","-16,122,719.94","-12,172,616.39","-3,706,073.10","731,118.98","9,974,581.32","10,239,177.95","7,846,659.56","2,332,328.89","12,683,582.72","14,845,155.00","11,836,920.98","3,151,249.75","9,428,778.61","10,630,718.78","9,905,655.33","1,338,868.31","4,454,206.66","-2,109,142.50","-93,696,489.60","2,359,146.43","9,717,948.30","16,762,965.44","25,861,204.24","927,754.21","8,842,289.44","20,760,426.25","15,677,894.54","18,164,897.91","33,590,588.03","58,198,086.13","-373,557,166.53","26,480,297.74","50,881,678.08"
减:营业成本,"65,083,216.42","143,852,428.54","317,952,619.73","81,077,788.87","179,544,591.78","276,403,782.04","303,165,029.36","94,368,511.59","204,723,127.12","341,726,864.23","423,363,715.67","119,494,015.20","245,786,403.47","387,437,032.08","536,264,867.51","106,520,367.26","245,979,697.98","377,921,032.92","506,485,077.35","87,770,745.33","223,079,081.70","335,409,849.59","475,273,243.42","88,046,400.09","191,406,128.61","318,009,197.99","446,441,654.95","80,080,971.95","169,030,128.46","259,201,572.33","401,734,201.01","78,596,730.70","158,622,773.75","226,262,350.22","322,446,059.27","54,737,478.52","113,935,326.06","181,232,784.92","297,734,906.28","88,333,795.00","205,474,744.37","298,821,166.55","496,344,743.40","148,370,716.57","249,610,861.21"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"279,845.24","717,520.87","1,527,459.13","286,973.03","706,192.95","1,109,579.92","1,582,559.81","190,744.81","615,726.03","1,286,975.82","2,549,363.51","1,225,093.85","1,896,981.83","2,296,630.46","3,175,194.59","513,923.03","1,057,220.91","1,627,443.27","2,608,789.28","652,742.05","1,204,229.70","1,774,081.23","2,429,291.62","631,933.11","1,214,598.32","1,765,882.45","2,839,244.01","733,152.47","1,491,780.79","2,049,885.28","2,877,180.21","438,738.90","939,780.84","1,443,072.32","2,352,249.67","427,744.43","955,585.01","1,512,012.80","3,735,280.67","494,627.42","2,018,834.59","3,188,686.28","6,004,178.85","877,876.92","2,193,641.20"
营业外收入,"182,902.33","255,051.19","382,802.90","633,233.62","2,686,285.22","3,027,541.30","5,493,646.00","75,757.12","87,233.83","1,199,832.87","5,945,608.99","6,376,997.75","35,759,622.46","37,916,990.67","29,241,881.62","1,992,650.37","2,459,323.40","2,789,169.80","4,769,074.93","1,724,151.07","2,772,861.88","4,322,030.41","7,086,909.46","164,274.88","575,580.24","1,447,368.62","2,900,157.53","1,982,955.92","2,696,007.15","4,406,935.01","5,068,533.81","121,965.80","574,832.60","1,440,450.39","2,092,013.56","418,378.60","1,943,333.35","2,556,942.24","4,692,063.42","1,658,258.53","5,512,844.78","6,469,531.66","7,643,346.70","253,320.29","280,433.02"
销售费用,"3,437,144.57","7,075,020.41","17,114,594.22","5,092,660.01","10,984,939.57","17,303,362.10","24,866,251.48","5,450,598.96","11,621,375.95","19,985,209.08","33,355,037.68","11,886,717.61","22,713,633.27","34,944,598.05","49,818,405.85","11,633,024.95","23,993,377.76","36,234,413.81","51,537,342.75","10,208,195.02","21,715,228.60","34,025,442.18","46,298,580.75","9,028,776.03","18,924,539.83","29,260,253.67","39,520,543.99","8,738,012.61","17,463,385.41","26,366,267.79","39,091,171.29","7,888,793.13","15,946,523.45","22,196,619.57","30,857,463.44","5,479,252.63","10,959,835.47","17,959,470.74","30,052,987.50","10,369,609.31","17,067,458.94","29,719,465.34","42,075,248.37","12,367,094.72","26,528,766.62"
减:营业外支出,"10,111.67","184,931.35","273,995.47","20,482.58","150,907.19","551,683.73","804,119.88","19,309.84","57,147.27","91,882.25","308,446.31","26,519.98","13,100,410.85","13,243,352.59","13,602,822.77","29,909.94","76,570.01","142,359.62","808,509.36","56,135.93","83,665.52","228,946.23","858,291.67","25,015.77","58,618.80","63,229.92","139,809.30","2,089.72","73,243.10","105,938.31","7,993,727.78","83,660.66","206,407.85","272,633.59","477,809.60","29,005.95","39,216.28","85,879.66","844,467.41","90,248.39","198,964.15","272,569.40","272,155.59","17,076.71","101,720.34"
管理费用,"2,010,168.73","3,153,407.49","8,300,710.90","2,095,931.27","4,550,972.22","7,721,649.75","28,215,473.25","2,261,922.99","5,277,851.75","9,694,946.99","34,985,576.55","10,125,387.24","33,560,661.16","42,916,646.78","48,385,228.49","10,572,241.80","23,871,092.38","35,527,470.72","46,441,434.72","7,547,519.50","16,630,657.29","26,035,364.05","38,747,823.34","8,989,773.17","18,753,267.21","32,153,972.96","44,725,487.19","10,572,297.13","20,481,207.41","32,142,028.77","53,692,636.78","11,241,919.12","22,605,353.73","35,464,996.32","47,264,509.15","8,326,857.24","19,395,663.98","39,190,066.24","51,985,796.11","13,520,717.54","37,159,894.59","62,758,733.39","115,516,856.47","15,089,395.94","28,871,418.84"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,,,,,"122,887.83",,,,"19,410.00",,,,"29,964.45",,,,"7,832,101.96",,"12,355.52",,"31,730.00",,"21,777.51",,"97,084.98",,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
