科目,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"248,255,421.82","252,250,015.42",,"355,593,700.68","105,865,679.66",,"324,740,885.87","475,878,038.93","122,516,622.60","234,327,475.67","411,080,266.56","557,641,105.10","196,099,558.86","356,655,020.83","577,596,722.55","721,056,493.12","260,533,070.53","521,680,320.80","748,714,764.68","980,219,207.67","306,663,358.18"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,"408,201.57","1,095,216.30",,"1,095,216.30","1,095,216.30",,,,,,,,,,,,,
支付其他与投资活动有关的现金,,"690,750.00",,"1,440,000.00",,,"9,854.40",,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"18,365,970.44","3,743,486.89",,"6,681,742.74","739,724.84",,"4,778,924.72","9,859,208.62","3,431,664.99","10,732,049.08","14,553,365.08","19,860,149.71","2,262,559.67","7,057,416.53","8,784,119.83","17,454,736.26","3,200,399.38","4,539,025.82","13,016,199.79","26,485,807.41","5,563,235.83"
投资活动现金流出小计,"91,243,114.89","70,019,343.17",,"66,097,444.44","13,338,374.51",,"51,857,335.15","228,472,841.32","45,998,710.75","276,209,980.91","291,300,200.75","365,190,021.53","147,552,697.10","392,884,774.24","626,783,300.28","926,068,228.20","239,959,060.25","287,716,397.47","476,497,683.97","1,006,541,967.17","503,011,841.30"
经营活动现金流入小计,"266,621,392.26","255,993,502.31",,"362,683,644.99","107,700,620.80",,"330,615,026.89","486,832,463.85","125,948,287.59","245,059,524.75","425,633,631.64","577,501,254.81","198,362,118.53","363,712,437.36","586,380,842.38","738,511,229.38","263,733,469.91","526,219,346.62","761,730,964.47","1,006,705,015.08","312,226,594.01"
投资活动产生的现金流量净额,"-88,243,114.89","-68,392,143.17","-20,844,601.29","-66,032,444.44","-12,647,624.51","-56,130,324.28","-51,037,064.29","-227,652,570.46","105,296,987.88","86,136,156.08","71,358,596.50","37,832,073.46","-69,110,220.37","-223,852,227.10","-185,851,807.96","-153,101,674.64","-199,715,443.81","-45,740,608.17","-234,486,894.67","-602,836,661.89","141,101,062.82"
购买商品、接受劳务支付的现金,"171,009,343.11","131,145,842.14",,"169,129,576.15","48,701,406.89",,"140,882,380.41","178,705,781.88","62,144,058.64","124,226,337.33","164,260,980.41","214,847,759.79","69,992,634.05","136,128,831.96","188,755,910.38","225,744,084.68","96,781,586.08","170,566,485.77","239,948,854.49","301,086,346.87","98,281,894.76"
吸收投资收到的现金,,,,,,,"405,000,000.00","400,619,839.19",,,,"37,988,104.06",,,,,,,"703,375,398.94","702,281,551.56",
