科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"2,875,384,152.00","2,833,960,752.00","1,021,734,496.00","2,284,261,572.00","1,422,052,048.00","2,190,805,871.00","2,995,100,968.00","751,947,448.00","1,655,797,511.00","2,459,536,488.00","3,136,943,105.00","695,344,537.00","1,535,180,411.00","2,438,125,316.00","3,144,260,513.00","753,322,310.00","1,543,496,552.00","2,360,326,022.00","3,017,358,116.00","795,291,100.00","1,668,833,482.00","2,537,519,239.00","3,291,794,942.00","832,192,452.00","1,645,980,818.00","2,494,991,037.00","3,377,136,295.00","907,228,011.00","1,854,289,620.00","2,781,307,075.00","3,790,284,705.00","1,072,632,677.00","2,146,310,112.00","3,375,548,597.00"
二、营业利润,"136,876,576.00","287,857,386.00","140,485,032.00","348,466,205.00","169,818,801.00","278,853,986.00","375,955,470.00","80,465,744.00","203,972,595.00","306,710,882.00","390,561,128.00","76,290,387.00","173,790,299.00","285,902,904.00","349,367,010.00","68,185,131.00","157,213,918.00","237,671,473.00","229,551,023.00","25,140,126.00","26,032,824.00","-2,330,092.00","-27,004,025.00","-48,725,197.00","-63,315,355.00","-51,675,136.00","-34,508,010.00","14,785,300.00","39,164,503.00","74,222,808.00","125,802,745.00","46,188,437.00","134,721,249.00","238,070,456.00"
减:营业成本,"2,508,108,360.00","2,314,014,999.00","792,494,438.00","1,728,730,410.00","1,111,398,970.00","1,705,991,249.00","2,328,221,699.00","605,548,751.00","1,303,363,454.00","1,932,730,856.00","2,443,656,178.00","551,728,391.00","1,214,854,414.00","1,931,504,888.00","2,502,817,852.00","605,936,344.00","1,232,101,175.00","1,888,361,103.00","2,474,007,575.00","680,413,766.00","1,462,737,069.00","2,223,042,065.00","2,888,884,397.00","768,294,927.00","1,524,317,749.00","2,251,244,448.00","2,981,308,292.00","792,192,962.00","1,581,091,305.00","2,371,264,560.00","3,196,314,239.00","904,465,973.00","1,747,505,343.00","2,748,020,532.00"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"106,018.00","165,280.00","56,327.00","251,062.00","200,431.00","200,431.00","386,777.00",,,,"16,441,819.00","3,974,560.00","7,620,068.00","11,245,697.00","18,236,969.00","10,906,867.00","14,523,573.00","18,153,629.00","21,594,701.00","3,604,819.00","7,227,089.00","10,784,523.00","14,543,513.00","3,053,690.00","3,075,629.00","-2,873,519.00","7,470,206.00","3,380,709.00","8,462,161.00","9,792,324.00","21,363,510.00","4,547,011.00","12,485,155.00","19,140,634.00"
营业外收入,"663,817.00","81,993.00","1,163,756.00","1,292,721.00","1,631,276.00","3,987,585.00","10,257,901.00","942,621.00","2,387,313.00","2,987,581.00","3,010,483.00","1,039,544.00","1,368,731.00","1,758,737.00","2,499,557.00","14,683.00","128,521.00","887,509.00","2,318,234.00","4,856,331.00","9,030,189.00","15,631,151.00","40,941,987.00","10,715,667.00","23,246,934.00","33,949,862.00","59,232,965.00","12,428,388.00","31,237,888.00","46,690,986.00","195,241,014.00","16,093,426.00","860,081.00","895,898.00"
销售费用,"128,595,129.00","125,312,296.00","41,006,400.00","92,043,660.00","64,162,313.00","95,130,460.00","122,967,823.00","27,586,641.00","60,720,646.00","96,127,346.00","129,484,588.00","30,512,470.00","66,158,165.00","105,309,762.00","135,931,423.00","32,965,638.00","71,079,444.00","114,907,693.00","144,400,462.00","37,365,694.00","77,141,394.00","123,582,990.00","161,279,159.00","38,946,646.00","82,860,983.00","128,482,968.00","150,674,570.00","36,156,850.00","72,706,618.00","107,731,374.00","156,303,324.00","41,524,384.00","82,878,536.00","132,950,515.00"
减:营业外支出,"1,892,428.00","1,542,179.00","2,638,330.00","4,255,074.00","980,009.00","1,608,958.00","1,659,757.00","1,102,453.00","1,334,105.00","1,373,679.00","1,148,011.00","3,278.00","74,502.00","92,149.00","104,033.00","189,680.00","7,706,317.00","10,973,778.00","12,766,401.00","1,130,822.00","9,597,123.00","17,686,981.00","18,648,760.00","4,063,303.00","3,749,652.00","6,823,168.00","7,452,184.00","4,056,973.00","6,175,176.00","8,254,913.00","134,373,449.00","203,339.00","273,936.00","1,022,015.00"
管理费用,"77,556,955.00","99,000,961.00","40,249,702.00","104,842,871.00","69,752,009.00","105,852,448.00","174,771,207.00","46,059,203.00","101,739,161.00","152,101,668.00","192,897,455.00","39,764,261.00","85,182,174.00","125,705,984.00","171,697,906.00","41,219,675.00","79,496,289.00","122,572,462.00","163,364,059.00","49,101,427.00","93,295,749.00","170,425,168.00","226,519,760.00","58,267,487.00","104,122,060.00","154,995,159.00","212,512,199.00","55,923,663.00","113,768,229.00","170,492,283.00","239,185,226.00","68,177,137.00","134,810,028.00","206,503,208.00"
其中:非流动资产处置净损失,"427,080.00","1,326,772.00","2,612,530.00","4,173,051.00","938,732.00","967,681.00","923,821.00","1,065,441.00","1,062,009.00","1,100,583.00","1,102,365.00","-2,639.00","67,454.00","83,429.00","85,493.00","156,667.00","7,668,155.00","10,933,043.00","12,716,550.00","1,085,583.00","8,789,884.00","16,879,651.00","17,723,100.00","3,293,303.00","3,739,652.00","4,184,477.00","4,731,046.00","4,056,873.00","6,152,604.00","7,931,503.00","133,215,380.00","49,623.00","66,073.00","752,852.00"
