科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"192,783,319.96","219,769,597.51","121,312,312.83","193,750,656.29","238,601,704.85","82,979,407.92","181,628,582.62","287,656,336.99","414,461,411.91","108,289,961.64","239,635,063.86","367,550,953.33","456,485,588.96","112,302,836.64","241,068,124.34","377,744,391.59","505,734,455.67","139,508,631.34","297,563,693.48","453,533,603.49","642,097,814.57","196,506,867.79","406,996,239.24","615,530,841.89","843,724,955.93","269,061,744.15","489,651,750.61","733,494,211.68","975,212,456.64","283,475,654.17","554,617,916.39","825,995,711.50","1,131,596,088.96","353,840,475.41","723,425,672.94","1,106,609,251.09","1,515,257,952.62","501,339,626.24","941,962,076.58","1,332,690,127.32","1,739,673,887.14","436,030,467.08"
二、营业利润,"29,923,932.01","37,227,107.13","27,415,219.03","44,971,530.98","52,060,096.60","20,895,787.62","45,683,124.20","73,053,151.07","94,581,919.78","21,227,226.77","45,696,717.63","72,852,129.20","73,141,882.37","21,958,412.37","40,434,190.45","60,950,959.75","72,467,788.09","23,838,334.94","45,040,712.02","64,087,194.35","85,535,456.78","29,427,105.61","56,894,038.49","79,145,554.82","100,044,459.13","34,052,069.05","47,369,299.76","60,534,574.20","60,507,876.43","37,731,826.44","63,420,270.56","76,047,020.57","97,619,919.43","44,005,114.99","67,197,319.00","81,025,892.11","131,108,321.34","71,667,665.04","104,849,878.12","126,565,245.90","131,357,050.75","58,738,276.02"
减:营业成本,"117,775,197.24","126,057,452.44","69,121,876.97","110,273,872.29","128,566,628.65","45,840,690.80","100,902,159.67","161,512,344.94","231,478,335.11","66,026,683.76","146,403,118.54","223,422,853.25","280,580,140.53","68,778,721.95","151,556,380.24","236,414,267.27","315,275,557.93","85,997,445.71","185,087,961.39","279,592,598.13","393,918,360.50","125,268,988.53","259,399,103.79","391,011,134.09","542,023,303.39","178,804,784.20","330,064,717.47","487,286,146.79","654,997,419.82","183,653,834.99","360,724,885.12","545,798,916.37","751,504,893.07","250,319,249.82","527,332,079.39","816,475,112.91","1,102,225,930.66","370,154,132.41","706,284,973.79","1,009,037,358.01","1,298,846,415.52","294,774,405.72"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,363,645.52","1,419,695.64","1,078,062.96","1,482,776.39","1,673,793.74","301,248.19","835,003.92","1,625,255.65","2,273,528.80","751,012.96","1,482,260.85","2,326,624.80","2,953,638.88","1,031,602.40","1,772,280.42","2,756,483.46","3,564,400.15","1,014,909.24","1,653,987.03","2,515,091.94","3,165,803.64","1,446,993.09","2,778,376.38","4,916,467.33","6,140,358.84","1,503,845.46","2,965,234.36","4,282,578.68","5,240,158.20","1,518,265.58","3,108,656.44","4,670,941.38","10,745,913.09","2,861,719.75","7,265,838.64","9,836,671.20","13,362,432.80","2,961,492.11","6,669,667.67","9,268,346.82","13,504,431.10","3,139,602.86"
营业外收入,"5,712,839.25","4,238,941.05","1,900,139.12","4,017,856.75","6,480,604.82","1,346,862.50","4,192,782.53","5,862,235.72","8,846,397.42","5,298,451.20","6,880,714.73","8,672,428.09","11,116,200.03","755,611.61","2,403,865.57","5,456,639.48","8,578,152.60","2,292,896.15","3,789,465.84","7,067,967.91","17,829,648.42","3,046,148.76","5,746,596.16","8,385,037.06","22,284,259.94","2,239,494.59","6,353,979.24","9,855,741.65","37,523,433.43","6,614,251.11","9,502,515.07","14,399,623.42","20,362,936.14","9,164,115.17","16,228,957.71","23,854,464.15","1,525,210.63","1,448,705.85","1,514,546.24","2,954,686.58","5,885,395.35","1,096,308.11"
销售费用,"19,899,720.73","28,992,397.40","10,988,195.93","17,826,585.65","27,871,913.00","5,006,224.20","13,402,997.92","23,431,876.76","39,037,082.18","8,755,311.03","20,515,140.15","32,098,780.10","46,406,223.44","8,868,753.24","20,353,769.53","34,344,326.03","48,316,544.67","8,195,327.84","22,232,237.77","39,363,964.71","58,751,227.62","11,015,812.73","32,055,835.45","57,825,381.75","85,224,193.16","21,826,501.97","47,334,484.76","77,514,471.04","112,752,855.16","24,389,956.73","55,286,551.10","89,855,818.44","126,289,894.57","20,021,815.50","47,533,795.72","83,744,305.75","125,831,268.64","23,624,449.94","60,569,726.48","95,028,157.02","145,616,378.88","33,373,468.22"
减:营业外支出,"430,952.33","909,144.16","77,222.38","86,121.13","95,601.13","12,516.02","172,259.08","434,708.69","555,215.54","311,380.00","364,785.65","406,338.77","406,638.77","128,590.21","130,238.21","135,860.47","454,005.73","1,810.20","602,010.20","605,586.37","630,278.57",201.94,"300,501.94","614,520.62","323,024.67","2,906.41","63,956.02","2,091,505.83","3,618,033.09","10,026.48","53,610.09","619,782.15","2,231,363.37","19,153.98","224,860.25","2,318,150.92","4,074,128.19","65,867.37","242,616.41","1,524,053.49","2,191,255.19","229,248.18"
管理费用,"19,907,707.16","25,339,384.07","11,515,258.52","17,876,562.63","28,904,920.80","10,915,499.16","19,691,929.17","30,709,481.43","51,043,639.74","14,770,856.73","28,604,527.78","43,676,994.49","63,132,339.37","14,768,311.74","30,798,234.46","48,554,892.09","71,796,470.90","21,051,258.24","43,121,098.34","68,452,670.81","99,478,419.60","25,354,072.95","49,512,300.35","74,098,409.59","101,877,666.66","26,556,507.37","53,159,336.00","89,435,565.25","128,514,060.97","33,285,455.40","69,401,843.58","104,735,941.80","140,094,020.55","33,641,770.96","68,758,799.62","107,880,258.85","160,935,182.05","30,856,716.55","66,506,044.46","58,828,060.03","85,764,895.81","22,582,153.06"
其中:非流动资产处置净损失,"65,060.94","229,376.16","4,402.38",,"4,402.38",,,,"92,834.51",,,,"26,661.71","5,490.21","5,490.21",,"5,490.21",,,,"14,640.52",,,,615.48,,,,"26,490.62",,,,"1,010,445.61",,"92,535.61",,,,,,,
