科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"213,473,665.65","256,767,819.55","302,562,286.60","119,992,507.19","230,011,230.15","339,447,527.73","43,308,450.17","131,971,592.37","240,539,123.50","314,642,783.67","63,620,206.55","138,697,073.08","225,751,841.43","376,676,641.64","47,141,813.21","140,519,729.74","240,947,534.29","399,753,679.31","55,779,485.86","145,236,198.43","225,260,196.17","410,568,374.55","19,926,406.07","57,408,622.79","91,656,999.70","318,540,493.17","27,602,166.57","71,222,965.35","117,501,944.08"
二、营业利润,"29,635,826.67","39,713,347.01","51,001,795.97","9,719,131.31","37,736,827.17","40,441,953.78","-4,800,195.00","11,256,639.41","37,466,735.21","38,134,082.24","-542,440.59","493,383.88","7,760,443.10","3,231,436.32","-15,588,092.71","-19,708,823.36","-25,177,951.33","-47,141,305.82","-1,320,988.96","-8,999,383.03","-6,934,943.68","1,458,503.91","-4,383,497.84","-15,668,035.86","-20,964,990.92","-3,246,598.90","-2,932,937.51","-11,785,811.69","-11,040,872.65"
减:营业成本,"147,009,139.87","169,270,676.16","187,627,858.57","72,817,143.41","136,001,436.56","214,455,686.91","31,591,846.79","78,419,661.72","135,274,253.06","176,302,749.94","43,269,513.30","94,984,214.73","146,247,535.25","262,403,994.77","38,160,420.32","109,714,570.65","187,094,322.40","313,931,847.95","35,254,627.36","107,320,974.70","171,578,729.53","318,077,801.25","12,675,933.23","44,389,661.54","68,632,034.35","245,797,763.00","24,760,480.02","62,597,687.74","97,587,808.19"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,140,250.44","2,540,615.27","4,391,995.65","2,295,260.90","4,725,004.67","6,687,844.10","289,968.28","2,186,581.88","4,719,149.46","4,924,085.13","97,240.38","159,674.52","852,093.88","2,441,987.00","216,737.30","231,714.93","285,121.37","1,465,638.88","76,327.37","128,593.78","207,241.91","837,376.80","139,499.18","842,379.04","930,077.24","2,143,949.20","98,771.89","375,380.40","569,291.30"
营业外收入,"1,829,952.51","1,869,910.90","3,892,925.94","2,945,259.04","4,679,152.11","6,258,286.75","204,740.00","1,901,386.80","2,236,764.01","5,356,336.89","2,080,729.74","5,741,965.30","5,771,522.01","3,220,985.93","258,453.22","473,360.30","562,437.11","2,224,168.22","209,791.43","419,812.68","2,126,432.68","3,745,910.04","27,139.99","33,706.78","380,138.01","31,590,075.85",353.03,"22,766.81","6,773.90"
销售费用,"9,206,000.39","9,899,907.13","12,225,366.21","6,548,790.92","9,359,677.14","12,904,037.41","3,523,076.93","9,335,842.25","14,300,248.48","19,878,806.28","4,652,170.22","10,139,369.66","16,689,592.55","26,552,090.33","8,912,534.02","17,882,566.13","26,469,482.76","44,418,759.99","9,437,302.69","21,268,262.86","28,016,182.95","36,844,266.30","3,505,134.29","7,323,731.17","10,071,961.39","16,379,592.47","2,132,644.81","4,355,671.13","7,162,257.85"
减:营业外支出,"104,792.61","44,700.64","105,182.44",793.51,793.51,"1,915.26","107,677.98","111,188.41","265,938.61","266,005.61","69,643.87","106,166.31","137,137.51","514,001.65","27,881.66","119,170.47","119,170.47","8,660,887.67","424,681.09","627,627.12","1,215,828.48","1,625,299.67","63,879.76","66,353.36","135,954.30","219,150.60","32,959.56","32,959.56","49,067.67"
管理费用,"23,028,426.34","32,717,968.98","46,783,666.38","26,656,018.72","39,802,752.05","57,845,873.39","14,054,645.20","32,293,698.26","48,889,667.58","70,214,744.50","16,929,681.96","35,511,295.75","57,164,523.40","81,998,744.77","17,910,174.53","37,029,029.82","57,059,813.69","90,514,617.11","16,094,093.22","27,151,868.62","36,717,107.02","52,217,356.25","12,870,126.39","26,507,058.74","40,525,034.26","57,738,228.61","12,085,169.66","24,185,536.64","35,721,700.15"
其中:非流动资产处置净损失,"31,022.69","44,700.34","20,150.04",,,"1,465.26","107,677.98","107,677.98","114,326.75","65,034.77","69,643.87","69,656.87","100,628.07","115,267.48","27,881.66","33,848.47","33,848.47","355,565.67","424,681.09","197,631.65","785,782.49","1,194,253.68","63,879.76","66,353.36","135,669.58","218,540.52","31,384.39","31,384.39","37,898.86"
