科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"68,650,671.42","76,242,359.66","71,158,407.12","55,249,406.82","40,148,893.25","185,395,559.77","65,195,688.71","73,919,274.86","45,463,183.93","49,924,370.15","35,155,529.88","90,348,274.28"
短期借款,"120,000,000.00","120,000,000.00","106,000,000.00","126,000,000.00","126,000,000.00","112,000,000.00","132,000,000.00","122,000,000.00","162,000,000.00","176,000,000.00","207,000,000.00","185,000,000.00"
交易性金融资产,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,
应收票据,"52,103,773.30","45,156,157.63","28,808,479.03","48,076,397.49","45,934,873.53","46,063,355.47","110,438,726.91","73,297,863.25","99,558,698.00","67,705,261.76","84,546,333.76","88,456,677.36"
应付票据,"16,238,000.00","40,066,000.00","48,276,000.00","25,749,560.00","34,216,000.00","54,182,000.00","38,561,000.00","28,570,000.00","20,475,000.00",,"3,118,600.00","11,468,600.00"
应收账款,"127,788,627.92","120,783,725.75","134,310,658.51","157,136,229.91","185,988,990.97","185,781,592.90","219,808,749.92","242,523,516.44","241,177,949.34","272,137,630.36","301,873,266.46","288,104,675.19"
应付账款,"114,957,481.42","117,521,015.79","110,006,545.67","117,259,765.85","126,074,818.11","123,957,666.20","117,810,361.57","152,257,338.13","154,400,220.15","190,183,323.81","169,454,192.01","159,312,834.59"
预付款项,"12,172,463.62","10,721,648.08","11,224,697.80","13,346,491.70","14,402,996.40","14,512,910.70","18,410,767.84","16,526,963.67","10,595,011.00","15,754,113.74","34,584,768.06","17,675,549.15"
预收款项,"1,977,812.74","2,885,955.47","2,050,508.49","2,027,917.41","5,498,870.40","2,144,798.70","2,578,270.86","2,611,332.70","2,926,715.97","1,884,387.22","2,108,479.72","2,465,790.72"
其他应收款,"1,602,546.81","1,771,087.04","2,164,582.65","3,463,492.81","8,179,800.89","2,543,507.97","2,515,299.68","3,444,076.49","3,950,260.19","4,559,224.76","3,507,641.20","3,497,756.43"
应付职工薪酬,"3,641,815.45","6,566,049.59","6,362,929.74","5,477,615.52","8,427,915.13","6,400,034.39","5,454,047.02","8,697,626.36","13,448,832.06","11,636,375.65","7,467,896.27","9,846,185.83"
应收关联公司款,,,,,,,,,,,,
应交税费,"2,638,764.91","1,030,768.86","638,826.18","1,582,681.94","855,634.66","1,129,996.59","506,334.21","1,835,875.48","290,893.96","3,191,191.57","885,608.12","129,892.13"
应收利息,,,,,,,,,,,,
应付利息,"397,361.25","394,717.85","350,348.00","315,303.31","350,348.00","206,428.75","188,906.40","188,906.40","178,681.82","245,387.08","426,913.21","426,913.21"
应收股利,,,,,,,,,,,,
应付股利,,,,,,,,,,,,
存货,"123,295,120.04","148,593,942.95","143,668,181.45","133,986,843.34","131,700,165.13","122,968,888.56","133,678,460.00","132,570,826.13","136,833,196.02","167,749,108.75","169,416,653.67","175,558,983.54"
其他应付款,"1,152,823.84","4,637,417.48","7,328,759.97","7,572,707.51","6,114,718.45","5,366,924.00","5,609,184.15","6,112,302.69","5,622,414.13","2,942,116.35","2,946,407.61","3,222,731.59"
其中:消耗性生物资产,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,
