科目,2008年度,2009年度,2010年度,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"3,387,356,391.80","3,598,257,979.86","4,566,075,958.86","4,059,024,537.22","5,678,893,495.97","1,681,066,129.21","2,850,289,264.44","4,162,299,413.61","5,859,915,478.18","1,659,994,750.05","2,794,000,851.31","3,886,415,321.97","5,350,687,512.76","1,269,271,421.86","2,337,172,657.17","3,347,982,702.44","6,784,352,407.98","1,762,728,845.90","3,237,045,916.34","4,612,338,334.00","6,370,126,912.32","1,607,681,943.36","2,990,142,808.85","4,338,288,515.74","6,076,787,301.27","1,546,657,819.63","2,882,811,129.38","4,241,323,449.22","5,798,920,458.23"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,"365,699,600.00",,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,"563,655.44","206,000,000.00",,,"7,900,000.00","2,932.52",,,,,,,"80,000,000.00",,,,"21,000,000.00",,,,,,,,,,,,
收到其他与经营活动有关的现金,"13,047,179.08","13,362,612.91","123,942,206.64","121,655,845.20","169,915,760.73","49,293,816.48","99,171,024.89","144,699,534.66","170,059,149.33","47,929,625.90","90,642,371.38","130,781,809.66","151,415,851.50","32,073,025.16","64,221,721.94","94,970,131.72","195,923,524.61","54,107,492.61","104,882,782.41","175,754,390.36","184,495,055.11","100,415,779.68","111,962,333.87","168,762,888.51","125,271,418.94","34,120,379.55","79,308,552.11","116,821,363.03","131,812,498.85"
投资活动现金流出小计,"45,576,590.67","726,116,398.19","567,557,607.03","320,116,741.36","895,418,174.10","14,739,495.77","20,877,102.55","27,025,301.73","142,361,709.47","10,698,173.28","85,875,998.83","99,607,149.58","185,618,723.81","54,880,809.93","216,511,111.34","443,090,050.45","2,438,949,005.68","345,216,442.15","638,411,588.84","988,021,530.70","1,417,431,719.91","841,050,375.94","976,286,394.41","1,064,246,564.07","1,254,925,744.11","181,042,553.22","405,389,888.47","615,335,171.45","841,761,924.91"
经营活动现金流入小计,"3,400,403,570.88","3,611,620,592.77","4,690,018,165.50","4,180,680,382.42","5,848,809,256.70","1,730,359,945.69","2,949,460,289.33","4,306,998,948.27","6,029,974,627.51","1,707,924,375.95","2,884,643,222.69","4,017,197,131.63","5,502,103,364.26","1,301,344,447.02","2,401,394,379.11","3,442,952,834.16","6,980,275,932.59","1,816,836,338.51","3,341,928,698.75","4,788,092,724.36","6,554,621,967.43","1,708,097,723.04","3,102,105,142.72","4,507,051,404.25","6,202,058,720.21","1,580,778,199.18","2,962,119,681.49","4,358,144,812.25","5,930,732,957.08"
投资活动产生的现金流量净额,"198,880,929.76","-203,754,143.02","-520,530,508.63","-319,036,741.36","-878,508,574.10","-13,659,495.77","-19,797,102.55","-25,945,301.73","-141,278,504.47","-10,626,173.28","-84,723,404.51","-98,454,555.26","-179,137,718.38","-53,800,809.93","-89,874,933.26","-94,435,524.42","-468,638,165.87","-191,544,377.89","-221,840,052.73","-393,292,181.44","-240,035,625.73","-658,401,307.76","-573,660,411.16","-551,015,002.83","-411,240,929.79","-179,962,327.72","-165,518,817.82","-234,147,306.51","57,345,062.39"
购买商品、接受劳务支付的现金,"2,533,427,209.08","2,791,034,532.66","3,588,210,979.94","3,291,191,134.63","4,537,124,831.27","1,296,880,753.00","2,365,839,025.05","3,210,800,650.11","4,575,629,129.40","1,256,161,255.44","2,330,023,022.86","3,113,371,312.54","4,390,901,830.36","1,044,023,554.64","1,965,560,395.61","2,749,751,041.90","5,626,193,555.69","1,438,017,038.31","2,714,674,108.06","3,748,429,834.98","5,090,074,830.05","1,349,334,777.60","2,458,489,243.81","3,526,743,610.71","4,882,375,896.01","1,235,458,929.15","2,359,559,316.60","3,273,800,107.31","4,647,642,725.07"
吸收投资收到的现金,,,,"96,890,904.00","96,890,904.00",,"637,445,756.46","637,445,756.46","648,449,000.00",,,,,,,,"500,479,994.29","-720,000.00","-720,000.00","-720,000.00",,,,,,,,,
