科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"36,697,625.22","43,261,539.92","56,914,333.68","49,027,142.48","59,731,279.11","100,029,262.17","103,839,097.25","63,990,659.59","65,781,173.78","68,334,474.64","150,751,458.07","190,287,210.85","161,088,072.64"
短期借款,"97,210,506.39","148,490,000.00","150,337,000.00","156,937,000.00","151,970,000.00","58,690,000.00","90,747,000.00","120,849,000.00","109,260,000.00","138,740,000.00","298,150,000.00","322,100,000.00","348,710,000.00"
交易性金融资产,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,
应收票据,"29,716,504.12","14,587,340.83","18,267,666.94","20,489,441.49","20,356,798.97","22,808,099.71","19,352,151.29","9,127,430.25","10,232,979.98","17,372,494.72","8,297,421.48","3,679,850.99","2,159,547.59"
应付票据,"18,942,993.47","25,070,517.88","62,219,329.51","54,089,561.26","52,637,968.30","58,300,280.05","58,266,098.28","52,434,306.39","67,754,339.45","64,444,419.60","66,830,206.53","49,519,128.09","30,814,770.74"
应收账款,"87,355,590.89","111,881,910.79","143,940,612.15","154,420,277.36","155,057,541.21","151,098,455.90","117,135,261.16","148,501,451.94","149,782,484.37","204,221,518.74","196,142,571.83","217,202,342.30","304,887,749.39"
应付账款,"61,881,552.40","62,193,215.38","82,098,710.46","86,770,848.62","87,953,170.90","64,779,367.57","98,817,035.84","94,769,494.07","123,600,449.50","174,160,063.97","181,202,020.86","175,373,300.36","222,073,133.82"
预付款项,"4,880,973.81","3,137,367.38","2,509,845.06","3,407,075.83","8,129,382.85","3,904,334.67","8,950,556.25","9,091,531.42","10,033,973.09","15,139,239.58","36,893,562.33","36,394,032.33","34,222,947.91"
预收款项,"56,701.22","24,637.22","87,722.02","98,917.47","234,051.02","122,650.65","248,935.16","868,161.98","351,460.89","7,482,490.64","2,597,723.60","1,682,340.66","3,783,478.35"
其他应收款,"5,144,603.17","4,865,703.56","6,100,265.18","9,874,954.34","6,682,304.96","7,931,540.41","7,746,755.51","9,115,207.97","8,655,776.40","27,673,508.51","8,595,794.47","9,666,711.59","46,119,826.37"
应付职工薪酬,"4,280,972.19","5,547,689.65","7,549,510.95","7,513,588.83","8,259,537.16","8,322,011.83","8,987,365.79","9,998,568.43","11,058,525.68","13,629,239.55","16,911,617.91","16,915,559.53","18,962,189.03"
应收关联公司款,,,,,,,,,,,,,
应交税费,"3,274,328.03","1,863,092.38","3,315,665.09","5,640,444.47","4,751,206.78","4,477,411.66","3,377,952.82","5,477,220.27","3,748,971.31","7,092,484.96","13,944,577.95","15,610,651.54","21,243,171.53"
应收利息,,,,,,,,,,,,,
应付利息,,,,,,,,,,,"598,021.68",,"570,478.55"
应收股利,,,,,,,,,,,,,"9,069,495.33"
应付股利,,,,,,,,,,,,,"25,828,712.84"
存货,"44,126,853.50","54,791,107.75","64,081,095.64","62,336,550.47","60,744,704.16","55,485,882.13","79,523,638.82","98,870,361.93","113,153,142.63","139,513,501.92","172,332,901.07","139,737,514.30","161,822,672.87"
其他应付款,"2,642,893.03","1,203,513.71","1,083,225.70","610,531.31","1,275,068.24","1,072,571.54","786,430.67","904,943.25","1,342,086.38","2,793,959.32","20,752,217.36","23,497,554.53","109,911,849.26"
其中:消耗性生物资产,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,
