科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"20,959,007.44","8,107,285.13","8,479,659.23","54,153,406.75","83,342,578.15","52,503,341.56","50,357,118.97","98,083,260.69","76,680,450.83","52,828,047.33","48,494,588.34","50,313,728.68","39,680,016.41","44,814,141.58","39,057,147.03","34,576,989.68","42,885,800.94","25,979,665.84","2,197,675.20","45,309,546.68","27,501,031.96","9,733,500.57","20,873,985.46","32,040,050.27","16,644,549.10","22,405,387.44","417,853,799.89","32,654,982.31","18,382,448.96","12,644,575.00","42,168,389.88","466,676,712.19","410,696,778.77","37,297,088.72","217,390,236.15","166,990,857.59","56,832,648.01","245,117,918.70","322,703,703.02","269,814,983.87","302,429,044.04","206,192,531.36","221,893,024.86","537,157,471.70","343,808,574.62","190,143,884.11"
短期借款,"7,796,405.40","1,629,048.90","16,672,845.00","14,435,864.00","3,600,000.00",,"2,000,000.00","12,000,000.00",,,"20,000,000.00","95,000,000.00","95,000,000.00","135,000,000.00","135,000,000.00","165,000,000.00","165,000,000.00","149,000,000.00","165,000,000.00","161,635,375.71","157,417,779.60","155,178,956.22","156,725,367.53","145,962,517.50","133,030,557.74","81,468,325.09","98,000,000.00","97,000,000.00","106,000,000.00","106,000,000.00","79,000,000.00","75,000,000.00","70,000,000.00","26,000,000.00","12,550,000.00","23,550,000.00","26,000,000.00","177,000,000.00","265,000,000.00","250,000,000.00","250,000,000.00","250,000,000.00","150,000,000.00","250,000,000.00","250,000,000.00","100,000,000.00"
交易性金融资产,,,,,,,,,,,"55,400.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,113,987.61","88,094,967.31","151,321,353.89","131,636,309.18","101,264,421.04","99,829,896.08","75,182,149.04"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,"200,000.00","360,000.00","120,500.00","90,500.00","30,000.00","26,115.00","26,115.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付票据,,,,,,,,,,,,,,,,,,,,,,,,"2,000,000.00",,,,,,,,,,,,,,,,,,,,,,
应收账款,"82,692,991.78","99,048,657.95","110,100,795.59","92,676,575.03","50,860,202.54","63,905,389.37","56,417,898.38","75,785,445.92","48,776,099.51","62,087,094.04","48,827,793.65","102,929,850.69","63,438,959.62","68,039,373.41","56,384,502.05","97,923,041.98","88,666,959.23","95,766,521.11","77,629,318.52","84,903,479.67","75,711,040.50","95,107,058.07","81,301,263.32","83,042,641.56","68,342,571.08","81,820,382.93","67,802,924.30","54,203,884.02","53,039,003.12","72,364,659.74","48,867,759.78","61,810,773.45","86,384,864.22","92,490,731.73","37,294,893.08","45,655,825.79","75,943,018.87","95,546,150.93","111,419,411.87","59,535,580.02","129,520,454.64","120,924,909.33","69,374,609.73","35,122,708.62","45,714,627.77","89,686,483.84"
应付账款,"42,110,382.57","26,015,373.27","28,367,757.03","44,020,093.69","39,713,950.75","41,481,766.91","25,080,286.59","45,652,881.93","47,703,046.51","31,685,889.09","28,354,945.88","62,330,573.42","61,737,136.06","42,403,374.65","23,755,243.62","59,004,690.83","33,831,434.55","51,587,744.64","42,379,118.19","68,188,873.76","49,799,668.21","62,261,765.01","35,733,239.88","83,572,660.25","73,319,182.55","77,208,315.06","41,305,214.48","41,016,193.37","45,818,373.06","59,726,808.12","42,399,155.90","50,581,849.38","59,257,607.23","48,116,019.41","26,545,708.86","39,790,151.80","50,327,188.43","51,740,415.18","21,120,281.14","31,180,125.45","50,408,827.64","44,511,040.15","21,177,806.94","31,872,245.43","36,859,436.80","48,070,898.58"
预付款项,"30,768,010.71","8,383,185.45","29,902,421.09","5,991,076.81","2,553,600.00","15,110,083.88","14,679,369.73","5,566,664.27","3,912,998.35","9,048,992.77","18,860,514.78","27,812,155.94","30,435,618.80","21,381,976.08","18,342,714.84","26,521,940.01","10,314,085.10","23,178,909.90","48,310,504.77","64,177,671.92","64,803,105.31","84,523,437.87","82,700,051.83","85,686,884.82","93,139,412.67","87,775,520.98","71,824,050.05","31,628,090.95","34,505,448.79","32,166,543.04","30,633,131.10","17,709,645.07","27,887,118.58","20,681,004.62","15,718,999.57","7,847,386.46","17,731,598.46","13,274,236.22","10,087,771.66","14,698,486.33","20,169,488.49","14,072,817.04","13,374,981.91","1,565,752.81","4,321,023.11","1,602,624.89"
预收款项,"10,616,189.23","10,674,040.30","98,586.18","9,515,797.08","45,186.89","2,023,181.75","1,606,310.72","42,693,533.15","254,577.49","4,474,387.09","4,761,758.63","2,894,467.01","16,402,626.16","4,627,311.47","3,971,244.48","41,501,828.00","37,112,388.86","8,297,970.53","13,267,955.68","63,840,625.79","19,440,413.06","11,563,902.11","8,189,517.09","39,779,594.31","52,377,324.86","7,441,945.74","6,352,999.44","38,343,793.18","49,638,405.79","9,066,313.66","51,209,727.62","21,290,681.26","48,720,923.57","21,462,403.38","23,511,991.27","46,879,577.23","71,870,378.49","67,766,048.57","60,049,302.72","53,156,727.24","49,446,383.19","32,255,246.59","38,701,673.33","63,230,521.51","25,079,796.69","4,699,194.57"
其他应收款,"21,959,934.07","24,341,343.10","13,846,044.75","14,293,837.63","15,086,817.25","29,174,495.47","29,187,461.43","30,479,836.39","30,346,703.70","26,520,771.44","54,377,786.50","48,983,942.60","125,810,318.79","57,485,104.40","24,195,885.15","23,220,500.83","27,250,706.66","29,435,100.13","40,279,149.54","83,493,479.65","78,115,751.16","80,002,084.26","92,755,227.41","57,910,472.84","53,557,641.55","52,339,475.99","42,081,037.63","41,870,788.75","55,788,238.30","58,264,172.76","38,809,009.97","48,348,618.82","29,546,468.02","93,920,007.55","59,412,388.73","62,472,396.61","84,342,918.34","108,024,252.21","118,760,448.44","124,149,129.11","87,880,572.04","98,640,302.59","109,500,809.14","68,380,040.10","80,941,765.11","63,976,420.60"
应付职工薪酬,"540,519.66","725,567.33","262,781.45","1,505,708.57","1,141,128.01","1,121,608.79","893,328.92","2,184,960.24","1,383,334.34","967,310.83","502,840.48","2,278,652.44","856,771.18","1,390,909.95","1,202,465.20","2,652,610.62","720,686.56","1,077,921.66","1,019,220.60","1,547,839.61","1,605,200.40","1,345,209.98","1,727,980.73","2,608,041.46","1,276,378.74","981,580.38","1,403,678.62","3,005,059.51","1,383,417.37","2,652,723.52","3,948,270.41","10,081,330.58","4,911,340.91","7,582,726.88","6,637,154.45","10,390,511.77","7,524,346.54","6,586,809.91","4,478,643.79","2,884,635.33","2,710,090.80","2,578,250.00","2,804,177.27","2,693,169.81","2,594,420.15","2,372,582.04"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"-12,309,014.82","-13,495,586.39","-10,820,666.18","-11,587,450.74","-11,024,168.69","-12,131,702.03","-12,640,149.77","-9,211,820.66","-9,337,156.37","-14,458,296.81","-13,296,260.93","-13,901,485.28","-4,140,079.07","-5,833,127.55","-9,454,565.38","-9,455,744.16","-5,019,136.02","-8,632,383.66","-8,239,053.41","-8,768,971.90","-6,233,477.58","-10,169,553.80","-5,331,333.72","3,256,126.59","2,759,667.58","12,627,538.23","9,171,901.88","3,057,251.85","7,392,372.62","10,538,499.63","16,157,317.96","24,704,710.13","25,362,595.98","17,505,631.86","13,172,921.59","18,163,420.94","14,786,732.29","13,312,433.09","14,826,901.77","20,792,572.25","19,364,512.34","12,784,297.09","8,951,900.07","9,109,946.37","12,552,773.78","17,305,920.34"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,250,000.00","1,676,666.67","1,633,333.33","1,306,666.66","201,666.67","518,666.67","333,333.33","333,333.33","1,124,492.70","3,026,697.16","4,721,431.63","5,435,771.96","2,330,433.30","5,525,266.63","6,282,649.96","605,333.33","1,336,166.66","3,929,833.35","7,705,833.38"
应付利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"59,904.10","316,164.48","700,685.03","1,106,712.44","1,605,512.80","261,762.68","175,902.70",,"339,220.77","40,158.27","40,158.27"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,816,666.33","16,816,666.33","16,853,360.20",,,,"10,468,360.78","8,990,860.78",,,,,
应付股利,47.00,47.00,47.00,47.00,47.00,47.00,47.00,47.00,47.00,47.00,47.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,960,000.00",,,,"6,640,000.00"
存货,"4,559,416.11","6,484,093.30","4,613,116.77","17,926,916.15","20,344,267.34","20,172,889.44","20,945,993.62","35,405,368.16","34,227,773.20","23,074,629.58","30,231,023.27","48,185,558.89","85,570,961.08","80,809,543.86","37,230,954.28","62,273,169.41","55,750,107.51","39,839,076.35","46,857,980.04","67,155,549.87","55,559,947.58","41,102,214.06","47,559,233.70","73,046,657.50","96,363,520.68","74,830,042.11","75,864,538.33","80,453,658.97","77,139,389.39","58,824,109.44","64,603,645.70","45,101,890.53","43,915,038.84","17,460,575.87","22,855,252.87","22,063,262.34","26,594,964.92","17,013,693.44","15,568,752.05","12,480,316.56","19,507,945.95","8,935,221.05","13,209,244.04","11,456,774.12","9,736,134.42","7,654,200.99"
其他应付款,"22,486,805.28","23,342,403.45","31,131,092.07","25,975,329.91","26,537,652.64","16,513,578.52","17,875,617.19","25,015,349.07","20,614,347.95","17,979,742.69","35,873,453.17","41,940,560.67","94,984,223.90","90,931,680.48","10,560,473.62","18,112,111.13","15,263,480.72","12,901,181.88","14,020,356.69","14,759,414.39","23,649,498.07","35,535,076.30","63,822,154.82","18,720,147.60","25,065,847.14","24,061,730.93","23,282,575.79","45,051,341.93","57,071,210.68","49,078,213.30","46,897,306.45","22,694,189.46","27,020,017.53","62,013,549.79","119,641,781.99","13,795,724.58","11,835,583.21","86,728,237.22","110,060,099.82","59,806,470.14","69,032,265.33","26,746,293.58","36,050,391.09","169,730,334.91","155,633,159.06","118,993,390.93"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,"655,641.98","232,754.92","58,439.69","43,190.94","1,583,671.90","817,765.00","1,412,642.02","1,456,649.97","66,571.65","18,000.00","17,188.87","11,192.44","715,865.93","453,833.07","946,863.83","2,227,166.73","1,484,668.32","245,732.26","549,769.75","279,299.28","32,331,531.14","37,322,790.50","25,427,368.09"
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,,,"6,681,893.08","697,132.87","1,835,302.09","24,951.10","159,184.16","14,000.00","10,500.00","6,999.99","3,499.98","668,646.03","468,646.05","266,666.72","73,129.04","677,087.72","480,166.70","275,666.72","71,166.70","138,580.03",,,,"1,957,713.56","179,060.89","1,736,112.06","1,302,788.58","440,347,648.86","491,591,817.31","490,941,196.00","494,820,651.24","59,384,477.46","140,014,587.28","182,628,919.35","101,707,799.88","51,931,090.92","148,917,888.45","84,407,885.46","80,394,425.63","124,353,026.99","109,993,561.62","79,347,238.91","11,518,232.83","106,336,991.98","243,856,202.24","210,068,011.77"
