科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"317,432,019.79","342,974,532.90","322,087,779.28","156,419,598.81",,"306,624,550.00","78,655,869.56","158,731,494.18","246,515,097.79","336,406,396.87","109,337,234.22","200,025,604.05"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,"19,000.00"
收到其他与经营活动有关的现金,"8,498,999.40","8,531,934.99","4,338,115.91","3,853,437.78",,"9,579,004.17","5,747,249.08","11,434,378.75","11,375,204.90","8,169,060.61","3,439,202.09","5,739,166.15"
投资活动现金流出小计,"96,621,251.45","103,226,706.95","113,021,128.10","51,432,467.46",,"107,914,827.22","33,627,439.51","65,407,439.22","100,881,862.12","138,904,952.01","27,914,155.20","95,813,309.46"
经营活动现金流入小计,"325,931,019.19","351,506,467.89","326,425,895.19","160,273,036.59",,"316,203,554.17","84,403,118.64","170,165,872.93","257,890,302.69","344,575,457.48","112,776,436.31","205,764,770.20"
投资活动产生的现金流量净额,"-96,621,251.45","-103,206,706.95","-109,146,240.09","-50,803,770.02",,"-107,037,830.31","-33,627,439.51","-65,407,439.22","-100,608,988.88","-138,351,512.77","-27,914,155.20","-95,813,309.46"
购买商品、接受劳务支付的现金,"131,787,861.32","131,856,211.25","144,324,845.55","45,695,954.70",,"103,741,511.21","40,940,347.17","71,063,962.80","119,937,540.45","126,846,202.49","56,471,933.34","98,243,035.29"
吸收投资收到的现金,,,,,,"170,147,121.70",,,,,,
支付给职工以及为职工支付的现金,"67,520,583.14","68,815,862.50","60,325,150.16","27,841,536.43",,"55,995,662.70","16,067,968.74","32,502,874.44","50,656,501.27","71,280,361.59","17,299,497.61","34,657,894.49"
取得借款收到的现金,"100,500,000.00","129,274,977.84","166,750,000.00","115,270,000.00",,"262,460,000.00","52,800,000.00","137,650,000.00","212,440,000.00","260,440,000.00","45,407,000.00","154,967,000.00"
支付的各项税费,"20,319,383.45","25,382,398.74","28,224,281.66","15,077,147.98",,"35,614,238.92","5,845,255.50","12,027,689.93","17,702,918.21","23,636,923.87","7,303,829.67","15,584,088.56"
收到其他与筹资活动有关的现金,,"12,292,453.51","13,612,408.40",,,"29,125,000.00",,,,,,
支付其他与经营活动有关的现金,"31,094,748.61","35,350,629.34","26,616,379.33","11,376,273.50",,"20,926,590.63","8,603,665.94","13,804,753.91","18,614,232.69","26,297,034.15","14,995,418.15","19,049,117.92"
筹资活动现金流入小计,"100,500,000.00","141,567,431.35","180,362,408.40","115,270,000.00",,"461,732,121.70","52,800,000.00","137,650,000.00","212,440,000.00","260,440,000.00","45,407,000.00","154,967,000.00"
经营活动现金流出小计,"250,722,576.52","261,405,101.83","259,490,656.70","99,990,912.61",,"216,278,003.46","71,457,237.35","129,399,281.08","206,911,192.62","248,060,522.10","96,070,678.77","167,534,136.26"
偿还债务支付的现金,"66,000,000.00","106,500,000.00","120,524,977.84","109,200,000.00",,"244,005,000.00","46,075,000.00","105,205,039.44","175,981,727.45","234,865,000.00","40,002,368.00","114,662,368.00"
经营活动产生的现金流量净额,"75,208,442.67","90,101,366.06","66,935,238.49","60,282,123.98","72,171,000.00","99,925,550.71","12,945,881.29","40,766,591.85","50,979,110.07","96,514,935.38","16,705,757.54","38,230,633.94"
分配股利、利润或偿还利息支付的现金,"19,297,039.01","11,775,301.70","11,259,944.97","6,173,970.46",,"12,843,362.95","3,688,063.40","15,722,742.54","16,063,839.74","28,836,500.13","3,669,121.42","7,848,466.96"
收回投资收到的现金,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"2,023,816.84","8,503,748.43","8,010,648.00","4,930,683.21",,"21,113,783.43","5,456,489.43","7,006,860.51","9,525,171.11","12,386,032.43","2,069,736.00","4,341,829.90"
取得投资收益收到的现金,,,,,,,,,,,,
筹资活动现金流出小计,"87,320,855.85","126,779,050.13","139,795,570.81","120,304,653.67",,"277,962,146.38","55,219,552.83","127,934,642.49","201,570,738.30","276,087,532.56","45,741,225.42","126,852,664.86"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"20,000.00","1,144,888.01","628,697.44",,"876,996.91",,,"272,873.24","553,439.24",,
筹资活动产生的现金流量净额,"13,179,144.15","14,788,381.22","40,566,837.59","-5,034,653.67",,"183,769,975.32","-2,419,552.83","9,715,357.51","10,869,261.70","-15,647,532.56","-334,225.42","28,114,335.14"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,"2,730,000.00",,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,
投资活动现金流入小计,,"20,000.00","3,874,888.01","628,697.44",,"876,996.91",,,"272,873.24","553,439.24",,
五、现金及现金等价物净增加额,"-8,233,664.63","1,683,040.33","-1,644,164.01","4,443,700.29",,"176,657,695.72","-23,101,111.05","-14,925,489.86","-38,760,617.11","-57,484,109.95","-11,542,623.08","-29,468,340.38"
购建固定资产、无形资产和其他长期资产支付的现金,"96,621,251.45","103,226,706.95","113,021,128.10","51,432,467.46",,"107,914,827.22","33,627,439.51","65,407,439.22","100,881,862.12","138,904,952.01","27,914,155.20","95,794,309.46"
期初现金及现金等价物余额,"19,795,599.29","11,561,934.66","13,244,974.99","11,600,810.98",,"11,600,810.98","188,258,506.70","188,258,506.70","188,258,506.70","188,258,506.70","130,774,396.75","130,774,396.75"
投资支付的现金,,,,,,,,,,,,
期末现金及现金等价物余额,"11,561,934.66","13,244,974.99","11,600,810.98","16,044,511.27",,"188,258,506.70","165,157,395.65","173,333,016.84","149,497,889.59","130,774,396.75","119,231,773.67","101,306,056.37"
