科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"346,743,929.23","416,955,511.69","472,613,757.70","223,945,047.97","532,473,010.76","105,228,140.73","314,446,392.49","481,675,362.69","763,860,594.12","124,081,302.04","299,171,551.85","474,507,656.73","844,524,404.26","166,204,294.85","353,234,664.66","609,554,050.49","1,028,577,821.30","218,090,256.32","464,216,226.30","700,700,537.58","1,247,644,670.39","207,704,336.33","513,363,260.11","848,054,805.41","1,383,148,190.67","275,493,916.21"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,"143,373,767.81","143,373,767.81","143,632,054.93",,,,,,,,,,,,,
收到的税费返还,"26,580,474.15","34,212,173.45","29,433,957.10","15,687,194.59","67,598,056.90","20,638,254.76","23,605,279.06","28,316,125.20","45,448,499.39","33,980,333.42","38,148,324.25","48,272,454.17","66,607,193.94","31,120,506.08","36,509,371.13","57,847,396.87","74,435,298.40","28,561,576.13","33,636,930.78","59,972,325.54","78,270,348.74","34,420,372.05","35,931,656.04","53,722,126.14","76,303,340.62","75,562.85"
支付其他与投资活动有关的现金,,,,,,,,,190.00,,,,,,920.00,920.00,,90.00,"972,000,210.00","1,918,000,210.00","2,153,000,000.00","1,428,000,000.00","1,778,000,000.00","2,697,921,120.00","3,458,800,000.00","719,000,820.00"
收到其他与经营活动有关的现金,"7,339,967.54","14,358,430.40","15,236,752.94","4,911,278.03","52,554,437.82","466,695,222.34","475,118,933.17","484,151,883.70","498,011,166.27","2,757,600.15","151,172,671.41","170,068,050.15","186,242,238.99","8,427,251.99","35,258,700.19","51,095,604.73","130,328,327.05","10,019,789.33","37,268,141.83","45,114,519.93","50,651,483.65","8,591,195.84","20,294,541.77","31,109,624.92","48,719,139.23","16,718,487.81"
投资活动现金流出小计,"4,729,780.11","34,705,993.40","95,350,111.00","5,229,493.00","19,313,408.43","12,416,948.40","25,105,538.95","38,033,999.94","58,285,258.41","23,324,525.45","200,800,053.95","276,026,776.68","294,220,597.14","23,638,845.24","55,053,993.36","87,476,481.95","129,099,783.78","14,785,451.45","1,006,962,956.15","2,006,171,311.48","2,298,646,542.33","1,456,255,002.39","1,827,708,261.56","2,803,317,240.02","3,594,998,626.50","750,581,921.09"
经营活动现金流入小计,"380,664,370.92","465,526,115.54","517,284,467.74","244,543,520.59","652,625,505.48","592,561,617.83","813,170,604.72","994,143,371.59","1,307,320,259.78","160,819,235.61","488,492,547.51","692,848,161.05","1,097,373,837.19","205,752,052.92","425,002,735.98","718,497,052.09","1,233,341,446.75","256,671,621.78","535,121,298.91","805,787,383.05","1,376,566,502.78","250,715,904.22","569,589,457.92","932,886,556.47","1,508,170,670.52","292,287,966.87"
投资活动产生的现金流量净额,"-4,299,079.90","-20,311,141.02","-15,217,625.79","-5,164,973.00","-19,207,739.43","-12,407,817.88","-25,090,123.43","-38,012,779.42","-58,209,751.89","-23,295,264.45","-200,763,217.95","-275,969,002.68","-294,153,233.68","-23,635,195.24","-55,042,196.35","-87,456,939.84","-129,063,706.62","-14,781,851.45","-920,637,618.03","-1,039,608,942.67","-101,595,630.34","-1,027,933,998.94","-383,775,020.82","-922,585,626.02","-509,734,434.28","-270,872,658.56"
购买商品、接受劳务支付的现金,"55,550,490.85","113,881,087.18","102,745,601.59","77,460,803.36","104,895,856.22","78,847,205.93","107,124,036.68","142,814,021.43","179,356,263.04","64,570,609.75","79,716,613.04","112,446,565.83","160,432,687.59","58,236,931.06","107,759,879.24","159,101,803.78","196,240,001.63","58,296,068.40","96,274,845.75","166,958,696.06","318,036,817.15","79,039,546.26","129,919,889.69","242,695,660.51","393,441,389.50","109,672,909.91"
吸收投资收到的现金,"39,568,364.89",,,,,"362,952,000.00","362,952,000.00","362,952,000.00","363,442,000.00","155,999,927.36","155,999,927.36","185,948,058.56","262,577,360.50","26,380,802.01","27,809,692.50","48,658,784.50","199,249,308.50","776,357,111.00","776,768,024.20","781,275,444.04","818,244,277.58",,"20,770,261.12","5,763,804.56","21,255,817.88",
