科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"49,429,248.72","61,453,093.09","122,041,903.42","145,773,554.40",,"249,321,440.60","368,837,990.94","174,318,483.12","180,880,034.00","633,278,421.20"
短期借款,"5,000,000.00","5,000,000.00",,,,,,,,"8,632,242.57"
交易性金融资产,,,,,,,,,,
交易性金融负债,,,,,,,,,,
应收票据,"9,116,879.84","27,263,336.41","53,814,363.47","47,856,676.43",,"106,657,145.54","65,652,374.84","7,691,720.50","96,339,688.69","191,868,867.96"
应付票据,"24,267,329.85","47,751,649.77","78,935,428.99","75,135,649.79",,"131,824,072.00","126,359,980.00","130,215,442.00","147,352,760.00","149,827,122.90"
应收账款,"35,584,080.72","38,401,631.82","79,085,530.38","106,136,716.64",,"87,549,134.98","132,442,818.62","184,464,213.88","169,727,014.45","171,380,524.56"
应付账款,"27,507,762.29","27,776,944.94","29,892,235.69","60,087,167.95",,"83,760,994.45","59,534,617.66","80,314,928.98","57,955,781.00","133,930,900.23"
预付款项,"4,320,623.83","9,218,877.59","13,827,896.94","6,511,458.06",,"7,667,535.67","21,578,331.19","32,126,815.71","25,571,643.39","9,293,207.76"
预收款项,"31,568,127.29","45,958,563.05","82,928,951.62","51,211,354.46",,"67,116,921.93","52,587,691.75","68,908,761.72","79,576,458.20","92,870,672.99"
其他应收款,"873,642.40","815,138.32","764,846.07","1,355,743.73",,"4,057,152.91","6,260,492.27","4,700,403.18","5,481,778.02","4,723,680.08"
应付职工薪酬,"7,753,943.63","9,260,000.00","13,086,596.94","8,746,789.28",,"29,917,317.13","10,658,327.34","10,793,983.06","10,656,265.30","33,969,130.05"
应收关联公司款,,,,,,,,,,
应交税费,"13,003,154.61","3,879,600.61","4,158,356.44","12,991,132.84",,"18,420,962.80","17,826,375.95","14,841,883.12","12,772,901.91","43,546,133.55"
应收利息,,,,,,,,,,
应付利息,"7,777.77","8,333.33",,,,,,,,
应收股利,,,,,,,,,,
应付股利,,,,,,,,,,
存货,"53,370,654.56","88,753,403.55","99,626,373.75","94,335,778.30",,"108,686,720.55","120,719,855.76","146,659,732.74","139,562,475.38","136,445,706.79"
其他应付款,"8,488,709.80","10,235,394.44","15,668,332.09","17,125,457.43",,"19,484,879.56","24,612,869.96","28,480,692.71","31,032,299.24","31,741,930.39"
其中:消耗性生物资产,,,,,,,,,,
应付关联公司款,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,
