科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"18,077,664.01","10,816,152.71","33,279,486.20",,"23,912,774.83","133,014,951.24","40,099,004.97","31,698,685.49","65,402,391.50","48,417,645.87","37,647,499.66","78,896,437.60"
短期借款,"35,850,000.00","32,900,000.00","53,000,000.00",,"48,000,000.00","45,000,000.00","12,000,000.00","12,000,000.00","42,000,000.00","47,000,000.00","40,000,000.00","40,000,000.00"
交易性金融资产,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,
应收票据,"5,630,006.80","5,590,000.00","4,112,258.30",,"11,753,418.06","18,940,000.00","12,451,886.00","13,220,000.00","8,604,952.90","15,683,952.90","14,612,288.74","3,666,136.93"
应付票据,,"668,750.00",,,,,,,,,,
应收账款,"73,775,624.72","80,216,266.31","81,653,547.72",,"87,748,123.50","86,327,539.43","108,182,055.57","97,526,288.24","107,111,247.74","96,371,457.47","128,042,569.38","103,363,533.38"
应付账款,"52,798,591.37","70,352,030.14","62,122,853.64",,"53,443,085.60","68,778,532.72","91,193,286.43","87,394,490.65","92,990,408.49","98,716,656.48","100,730,545.02","91,780,326.47"
预付款项,"8,644,545.64","3,323,954.54","3,744,085.58",,"5,241,669.50","11,022,028.61","1,438,881.15","1,218,127.05","2,344,027.56","1,650,110.11","1,931,772.29","2,822,213.58"
预收款项,"584,163.31","750,184.13","928,106.27",,"742,855.83","823,878.66","654,365.27","858,935.34","674,482.57","1,255,829.99","921,847.55","783,149.91"
其他应收款,"1,143,944.10","219,398.13","199,568.48",,"230,360.76","523,729.74","605,741.64","606,381.04","578,212.69","616,669.89","666,955.24","555,468.28"
应付职工薪酬,,,,,,,,,,,,
应收关联公司款,,,,,,,,,,,,
应交税费,"4,235,408.39","4,244,959.37","4,766,532.58",,"6,576,100.76","2,674,937.85","3,672,778.74","2,793,906.99","3,545,889.43","5,679,783.13","5,656,091.02","4,901,836.13"
应收利息,,,,,,,,,,,,
应付利息,"60,935.03","112,720.57","62,864.18",,"60,544.44","60,544.44","17,545.00","17,545.00","48,575.00","57,838.88","55,160.42","55,160.42"
应收股利,,,,,,,,,,,,
应付股利,,,,,,,,,,,,
