科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"1,732,630,212.63","1,509,574,202.66","1,438,946,859.29","347,344,222.75","803,594,397.46","1,203,897,922.59","1,623,420,127.17","409,150,346.02","832,186,274.36","1,242,035,336.69","1,646,528,599.05","377,301,087.12","837,599,692.19","1,315,263,325.38","1,735,235,828.83","412,563,161.00","918,442,160.03","1,359,923,052.69","1,813,433,508.88","417,753,981.49","973,405,580.70","1,482,023,640.72","2,006,276,803.27","461,362,493.61","989,492,432.31","1,520,085,362.16","2,013,595,396.77","543,463,795.13","1,106,150,843.76","1,693,232,041.21","2,253,559,114.65","562,992,351.83","1,292,780,773.05","2,077,853,285.00"
二、营业利润,"103,411,636.84","81,879,058.61","97,373,873.78","16,754,777.39","50,728,248.08","81,748,440.66","107,238,523.45","19,739,633.16","61,364,003.32","95,126,382.50","120,975,968.28","19,616,637.03","40,189,628.39","76,620,412.47","105,470,352.94","15,095,791.51","48,427,552.09","86,220,148.64","100,604,894.13","14,803,569.27","45,545,632.01","87,829,671.70","95,017,429.76","15,644,650.86","50,429,536.79","77,921,043.38","79,613,091.45","19,905,460.15","53,848,119.98","90,578,174.97","123,343,222.39","31,286,815.81","78,103,625.07","112,814,430.67"
减:营业成本,"1,443,867,855.29","1,248,265,840.90","1,155,274,491.89","278,679,800.62","648,912,067.05","966,728,173.94","1,313,554,014.88","340,153,681.88","674,602,960.14","996,074,393.32","1,325,827,055.97","303,598,316.16","673,585,792.83","1,058,965,005.77","1,397,728,642.77","331,799,331.26","739,661,748.71","1,087,902,114.13","1,460,126,000.35","333,663,395.74","770,629,072.87","1,165,997,569.76","1,592,369,781.10","371,844,062.81","799,201,615.53","1,226,247,999.96","1,628,522,645.37","429,348,983.43","883,914,757.09","1,358,188,127.37","1,809,232,056.82","439,182,015.35","1,045,036,287.28","1,704,794,671.57"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"5,841,926.70","2,884,423.43","2,610,084.08","560,237.07","1,211,139.66","1,814,427.89","2,666,588.54","1,541,021.64","3,476,698.30","5,064,765.23","6,813,619.35","1,712,852.42","3,800,079.56","5,558,609.77","6,976,169.28","1,832,066.76","3,941,953.35","6,078,993.07","7,702,329.15","1,998,819.92","4,576,460.77","10,657,655.15","13,169,364.11","2,307,512.68","5,552,811.31","9,838,617.84","12,648,611.06","2,380,056.02","3,813,150.09","5,819,583.22","13,489,888.50","3,196,457.09","7,133,066.65","11,241,689.58"
营业外收入,"4,798,319.90","5,427,663.66","4,719,194.21","183,047.15","1,598,476.58","2,069,887.81","10,594,354.75","153,910.37","5,279,569.90","6,164,314.83","16,841,268.66","375,798.27","23,271,655.12","25,349,801.07","31,548,320.29","276,830.60","6,333,727.98","8,001,048.44","10,034,288.55","2,312,654.44","14,746,869.19","16,374,219.51","18,381,699.79","118,727.64","3,021,806.16","4,396,876.66","7,379,051.07","1,699,148.04","4,207,119.47","4,877,580.93","26,256,085.55","318,156.60","8,814,853.23","11,856,792.57"
销售费用,"68,798,779.59","60,282,313.67","68,909,073.95","19,255,473.37","36,133,751.95","56,500,973.11","75,627,137.84","15,896,318.16","33,493,882.80","50,740,408.47","72,309,064.89","20,717,034.48","50,356,632.49","75,694,907.12","99,076,134.54","26,464,594.73","53,602,719.42","85,201,987.29","110,469,901.13","28,277,219.40","61,542,534.10","93,752,940.76","140,612,409.25","35,749,009.06","60,664,180.61","94,029,199.37","138,442,637.90","39,745,801.87","71,264,797.32","104,098,407.74","147,607,900.31","40,118,427.96","70,293,997.06","103,263,714.52"
减:营业外支出,"1,401,302.43","1,250,739.91","605,200.81","53,933.12","61,132.20","203,518.20","1,066,955.58","2,314.53","746,072.26","1,421,442.79","2,313,780.96","15,735.82","26,393.75","1,832,181.68","6,262,346.36","107,222.18","286,910.34","302,943.30","1,602,171.42","612,786.20","1,597,156.23","1,657,819.50","1,931,281.25","293,542.58","612,604.43","766,535.12","3,620,475.73","103,207.35","145,029.58","450,797.34","4,813,074.94","2,601,098.17","3,656,045.30","3,801,885.87"
管理费用,"79,257,551.50","82,979,683.67","95,553,350.79","27,662,233.56","53,571,629.04","82,030,701.57","111,094,444.98","30,319,559.00","64,803,314.23","98,347,307.49","128,471,445.61","34,632,944.59","67,652,725.69","101,713,409.58","128,248,803.07","39,381,341.73","76,446,619.77","108,596,232.57","140,648,375.09","37,810,540.53","79,784,927.88","117,080,220.55","148,697,724.83","44,947,718.27","85,206,984.54","125,624,523.55","159,237,924.00","42,819,168.40","85,419,324.42","126,749,756.38","154,293,133.22","44,843,134.52","82,266,136.28","123,869,923.40"
其中:非流动资产处置净损失,"428,309.02","118,783.71","40,802.83","37,896.46","41,504.46","130,335.07","238,580.21",,"713,424.83","778,781.12","1,647,804.73","8,995.91","13,242.38","1,723,095.39","5,385,488.17","92,256.93","237,486.96","248,152.09","289,043.21","110,772.20","1,081,943.94","1,129,128.32","1,091,928.13","290,013.43","606,625.28","629,784.36","3,288,379.62","85,382.98","124,143.87","407,041.79","812,504.55","2,313,482.16","2,372,972.79","2,414,514.27"
