科目,2014-12-31,2015-12-31,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"45,322,000.33","37,686,474.79","38,113,155.74","204,328,631.47","214,037,885.47","184,637,673.48","156,267,635.25","186,058,705.99"
短期借款,"68,350,000.00","86,616,000.00","57,500,000.00","63,000,000.00","85,570,400.00","104,633,000.00","111,033,000.00","172,533,000.00"
交易性金融资产,,,,,,,,
交易性金融负债,,,,,,,,
应收票据,"8,930,110.00","4,898,375.10","19,573,982.27","36,978,864.00","29,365,940.50","44,956,801.37","50,657,860.29","39,235,634.21"
应付票据,,"7,868,616.00","18,100,002.16","25,530,257.71","21,775,032.50","35,198,431.58","57,416,638.58","67,284,166.48"
应收账款,"43,643,695.80","68,195,757.53","96,938,774.27","89,560,022.34","124,290,754.87","125,319,373.41","196,816,512.78","200,977,703.18"
应付账款,"16,841,672.48","21,483,360.34","36,833,559.16","39,460,783.78","57,388,077.20","61,134,185.53","45,144,168.71","49,509,302.30"
预付款项,"3,469,487.71","12,672,529.34","16,048,741.54","29,493,855.25","32,232,094.21","57,734,761.87","28,348,562.34","21,492,683.24"
预收款项,"24,253,904.02","17,693,450.93","36,410,970.84","70,801,941.06","96,619,738.62","115,768,641.91","73,110,319.32","75,186,904.92"
其他应收款,"2,030,410.73","9,980,739.26","9,456,103.02","12,860,891.97","6,601,917.56","10,987,565.72","3,383,810.58","8,712,196.71"
应付职工薪酬,"1,830,735.69","2,444,881.46","3,314,453.67","3,218,040.92","4,150,956.83","4,561,971.51","4,692,224.51","3,665,505.77"
应收关联公司款,,,,,,,,
应交税费,"5,380,759.55","7,626,046.31","9,013,018.14","2,666,530.61","7,388,140.02","4,700,394.28","10,599,788.71","8,236,970.89"
应收利息,"150,718.75","74,000.00",,,,,,
应付利息,,"63,454.44","13,945.31",,"164,216.97","189,981.51",,
应收股利,,,,,,,,
应付股利,,,,,"6,496,000.00",,,
存货,"67,282,183.61","82,672,593.43","128,378,901.49","150,987,728.37","181,309,079.57","213,810,982.32","143,432,774.41","149,110,610.35"
其他应付款,"895,621.88","704,448.38","323,736.26","373,347.65","1,074,372.82","1,477,657.80","770,033.44","1,509,401.90"
其中:消耗性生物资产,,,,,,,,
应付关联公司款,,,,,,,,
一年内到期的非流动资产,,,,,,,,
