科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"116,028,348.14","253,049,241.73","384,918,382.01","518,736,542.05","160,284,082.68","299,066,281.62","432,834,855.19","580,935,761.10","123,577,860.48","246,577,625.35","388,737,965.87","541,431,217.61","125,149,743.91","265,750,167.07","456,576,162.24","615,366,813.75","160,055,668.35","326,348,942.57","527,206,898.07","687,550,405.48","199,630,633.54","388,018,821.72","629,433,654.33","830,106,885.18","236,654,333.11","473,009,177.49","796,629,811.65","1,093,241,543.00","305,654,711.78","606,000,325.92","980,154,179.20","1,353,843,367.33","302,437,061.24","637,737,330.32","950,468,193.47","1,317,483,615.57","364,689,782.01","734,411,755.66","1,242,054,512.42","1,747,577,297.56","411,452,146.72","824,374,545.47","1,359,654,067.36","1,859,939,617.05"
取得子公司及其他营业单位支付的现金净额,,"800,000.00","1,600,000.00",,"325,000.00","2,531,400.00","5,081,400.00","400,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,"257,473.11",,,,"214,695.00",,,,"254,833.78",,,,"108,738.24","2,166.99","2,166.99","2,605.81","32,244.53",,"446,794.51","1,150,057.46","1,761,831.63","599,400.62","915,896.20","1,698,174.55","1,811,042.69","652,099.48","1,673,861.95","2,282,533.44","3,411,441.55","710,336.93","1,555,567.38","1,736,135.69","2,873,379.47","583,818.21","1,270,497.75","2,163,807.97","3,166,840.81","10,883.56","551,400.45","780,744.12","2,949,435.33"
支付其他与投资活动有关的现金,"3,593.30","3,593.30","3,751.80","153,751.80",,,,,,,,,,,,,,,,,,,,,,,"825,000.00",,,,,,,,,"2,000,000.00",,,,"2,000,000.00",,,"2,000,000.00","2,000,000.00"
收到其他与经营活动有关的现金,"2,605,588.50","18,150,895.50","21,721,613.17","22,115,210.94","10,092,115.72","19,312,325.16","23,250,846.05","25,627,236.08","17,629,874.35","39,331,469.63","11,690,810.58","24,258,954.11","7,372,042.45","16,883,806.87","26,581,809.98","27,704,562.50","3,707,517.63","15,848,672.09","23,980,193.04","22,109,117.29","6,167,347.37","12,479,808.41","19,025,376.86","30,629,873.30","8,314,867.31","15,717,688.88","21,225,649.16","39,259,951.24","11,172,232.57","30,601,251.14","44,199,644.47","43,718,015.49","21,683,297.70","42,175,949.62","65,898,511.81","65,248,261.96","12,304,383.60","34,373,698.86","60,603,155.12","108,574,149.64","278,084.82","12,512,577.01","20,250,850.80","54,810,869.23"
投资活动现金流出小计,"3,427,355.98","13,596,651.03","21,680,223.87","30,417,293.66","6,347,108.89","8,564,627.50","38,883,905.23","49,922,531.73","9,744,733.51","22,282,093.57","55,006,836.11","80,028,916.52","40,725,287.07","76,960,329.03","107,709,716.48","112,938,256.30","50,589,312.79","67,665,506.45","89,831,439.41","109,380,985.67","38,274,533.65","78,993,407.05","114,328,322.79","136,324,582.19","41,076,578.10","71,348,845.05","121,701,302.30","136,666,618.78","47,228,353.86","100,854,838.14","134,047,367.48","156,758,646.80","172,783,244.90","192,571,683.03","311,941,441.24","432,726,831.86","166,741,331.08","312,823,765.34","427,307,486.54","521,614,212.94","181,339,097.83","353,141,799.33","541,772,553.18","657,852,200.93"
经营活动现金流入小计,"118,633,936.64","271,200,137.23","406,639,995.18","541,109,226.10","170,376,198.40","318,378,606.78","456,085,701.24","606,777,692.18","141,207,734.83","285,909,094.98","400,428,776.45","565,945,005.50","132,521,786.36","282,633,973.94","483,157,972.22","643,180,114.49","163,765,352.97","342,199,781.65","551,189,696.92","709,691,767.30","205,797,980.91","400,945,424.64","649,609,088.65","862,498,590.11","245,568,601.04","489,642,762.57","819,553,635.36","1,134,312,536.93","317,479,043.83","638,275,439.01","1,026,636,357.11","1,400,972,824.37","324,830,695.87","681,468,847.32","1,018,102,840.97","1,385,605,257.00","377,577,983.82","770,055,952.27","1,304,821,475.51","1,859,318,288.01","411,741,115.10","837,438,522.93","1,380,685,662.28","1,917,699,921.61"
投资活动产生的现金流量净额,"-3,426,621.65","-13,594,991.72","-21,583,353.01","-30,036,897.63","-6,303,313.97","-7,504,328.72","-37,775,989.44","-26,705,915.96","-9,078,164.51","-21,586,868.15","-50,938,562.96","-76,613,539.52","-21,258,194.29","-36,985,672.11","-3,856,655.06","14,822,247.66","-30,385,076.14","-37,359,500.62","-48,071,151.39","-49,109,588.06","-37,969,183.65","-42,359,578.97","-50,994,276.75","-52,765,950.56","-25,600,331.52","-41,045,866.00","-71,046,708.08","-65,738,606.75","-47,149,158.86","-99,915,033.14","-77,372,658.64","-41,497,078.67","-71,858,080.52","-91,511,328.65","-151,143,303.70","-160,645,447.75","-36,248,881.76","-182,321,316.02","-276,492,372.84","-300,269,618.68","-99,747,878.46","-209,096,460.63","-259,110,876.26","-100,395,735.70"
购买商品、接受劳务支付的现金,"43,955,528.78","74,781,875.43","116,245,654.97","138,744,406.82","74,376,071.90","142,288,481.51","177,490,454.38","207,276,243.73","37,257,993.96","64,326,622.57","93,966,484.78","124,724,039.10","29,272,464.44","51,382,885.53","84,618,836.35","112,427,282.47","38,472,545.08","74,150,349.82","116,794,521.66","143,158,213.15","45,775,809.97","71,203,590.32","112,535,554.61","172,135,304.12","52,630,229.27","103,001,837.24","168,569,088.11","249,946,140.52","77,925,074.13","159,407,838.13","253,176,098.16","355,737,493.28","80,303,609.62","141,126,455.33","223,899,619.42","307,851,922.51","88,072,639.86","176,470,279.88","317,851,883.52","451,173,962.42","95,852,987.63","195,886,604.29","307,607,772.33","421,314,815.16"
吸收投资收到的现金,,,,"1,065,500.00",,"3,400,600.00","3,700,600.00","3,400,600.00",,,,,,,,"13,018,895.00","11,860,000.00","11,860,000.00","11,860,000.00","11,860,000.00",,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"12,445,619.52","22,268,516.09","42,504,234.92","54,451,496.08","15,070,065.10","29,022,683.84","48,854,209.59","64,777,104.71","15,808,606.30","29,876,574.28","46,645,549.02","62,903,144.60","19,034,184.86","32,891,452.31","51,321,758.17","68,755,438.39","20,722,240.33","37,959,079.81","58,288,428.17","88,150,776.83","29,485,768.37","51,004,061.07","75,829,209.45","111,766,138.83","30,747,830.45","66,213,922.49","99,368,892.66","136,035,858.32","43,456,944.44","75,589,681.11","106,980,963.51","154,243,528.54","48,160,889.56","86,650,968.58","139,536,504.56","189,535,408.01","58,043,491.52","103,190,548.18","151,108,644.88","229,146,732.51","93,157,645.70","142,141,113.68","198,017,282.78","299,966,314.89"
取得借款收到的现金,"37,045,000.00","154,303,580.00","296,709,424.11","326,709,424.11",,"136,655,750.00","175,586,550.00","147,700,000.00","10,412,646.17","145,412,646.17","256,620,056.17","236,200,000.00","75,000,000.00","85,000,000.00","99,000,000.00","139,763,825.92","5,000,000.00","61,000,000.00","83,000,000.00","93,000,000.00","25,000,000.00","35,000,000.00","65,800,000.00","67,900,000.00","70,230,000.00","70,230,000.00","91,030,000.00","93,030,000.00","22,330,000.00","72,330,000.00","72,330,000.00","101,580,000.00","23,740,000.00","73,740,000.00","83,740,000.00","92,740,000.00","53,740,000.00","53,740,000.00","62,740,000.00","72,740,000.00","30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00"
支付的各项税费,"21,175,725.23","42,785,681.31","63,870,497.53","87,728,767.40","16,634,421.58","43,733,133.63","67,075,365.41","97,781,924.03","23,413,079.48","55,729,302.45","74,997,494.10","108,620,832.56","32,856,664.34","51,061,873.29","70,438,008.36","95,515,048.72","27,899,114.40","57,531,516.78","83,807,130.92","114,795,861.17","33,393,957.96","82,075,852.43","109,064,755.78","144,169,272.09","44,268,713.41","74,281,254.74","125,048,444.25","176,427,168.44","52,355,824.28","85,299,229.67","125,646,693.86","207,240,839.98","59,854,887.41","104,224,455.70","141,170,086.67","189,813,972.46","49,648,369.46","95,591,007.48","131,982,492.99","204,622,010.97","102,848,212.27","180,569,932.73","246,619,426.50","307,554,010.14"
