科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"179,236,162.01","287,693,079.01","346,909,788.73","97,132,274.35","209,338,639.47","348,843,118.26","495,188,333.29","138,545,770.49","319,329,587.70","530,167,795.67","753,628,605.07","212,983,557.52","481,252,484.63","761,017,816.45","990,508,912.70","206,126,676.02","416,322,020.99","687,015,371.20","959,484,550.38","279,102,566.07","654,963,470.95","1,054,847,558.02","1,509,099,420.90","367,486,982.99","814,795,093.24","1,403,723,049.13","2,055,139,742.26","568,580,977.84","1,125,449,450.09","1,721,887,398.87","2,345,024,339.67","515,247,185.29"
二、营业利润,"50,724,261.46","72,387,853.09","85,334,567.22","28,566,532.10","52,707,167.04","80,643,932.83","106,269,216.67","34,205,584.03","67,218,490.45","104,152,571.08","143,810,464.15","43,898,516.93","94,459,482.61","147,708,900.31","202,310,957.10","51,083,272.05","72,118,776.91","100,873,797.28","108,319,290.34","33,277,018.42","66,094,461.15","124,463,391.02","174,247,593.22","41,316,094.85","75,420,972.27","131,943,203.89","54,803,478.27","43,606,943.84","91,428,217.85","154,150,459.14","186,538,271.71","65,655,791.45"
减:营业成本,"107,644,991.12","185,361,969.69","221,483,659.31","60,430,288.70","136,217,738.20","232,586,415.51","335,028,491.97","93,182,880.67","220,510,981.67","368,261,796.00","530,569,046.80","149,947,538.52","340,922,971.00","538,686,035.17","705,250,035.75","154,586,747.37","311,402,273.33","518,955,850.96","733,430,709.81","212,544,008.57","500,823,897.47","797,049,540.67","1,143,775,291.66","280,847,961.21","630,135,843.20","1,092,671,164.00","1,608,699,700.15","463,370,114.99","903,927,573.01","1,353,519,201.94","1,832,340,163.01","385,090,204.59"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"382,686.30","467,449.80","1,738,069.57","822,561.48","1,335,762.15","2,149,610.67","2,754,851.02","994,533.10","1,899,323.80","2,923,427.91","4,110,979.33","1,096,976.41","2,649,991.99","4,353,370.36","5,576,722.97","1,317,803.62","2,579,721.53","4,030,696.76","5,456,657.91","1,165,946.14","2,766,464.61","4,021,388.21","6,562,976.73","1,986,317.42","4,432,424.69","7,576,407.11","11,024,594.40","2,954,038.10","5,974,652.13","9,753,421.31","13,942,978.71","3,567,153.63"
营业外收入,"2,809,540.76","1,242,686.54","5,518,722.10","108,800.00","581,198.86","710,712.86","1,222,762.85","78,000.00","2,995,619.00","8,883,297.00","8,901,047.49","267,632.63","573,391.63","2,901,986.85","3,740,923.31","372,509.38","5,324,771.83","5,942,038.89","8,497,552.39","649,147.13","1,251,327.88","2,546,204.48","9,456,026.36","3,432,168.90","9,590,112.31","17,673,253.50","1,359,750.06","54,448.09","138,608.15","366,730.55","339,518.80","40,758.72"
销售费用,"1,868,234.16","2,943,527.27","4,446,052.04","712,028.00","2,014,978.43","3,662,820.10","6,334,595.57","1,392,161.32","3,251,835.61","5,888,026.39","8,677,790.42","1,910,728.88","3,691,655.36","6,837,166.88","9,183,206.15","2,293,069.65","6,087,557.17","10,147,034.16","15,003,826.99","7,020,646.03","18,337,555.04","29,372,796.19","45,449,276.26","9,996,685.40","22,763,428.62","38,728,877.44","59,832,432.74","14,404,027.29","29,233,860.48","40,599,556.34","58,721,754.69","14,582,268.41"
减:营业外支出,"2,308,283.77","175,979.06","43,539.71",,"307,816.02","310,628.02","311,335.02","19,007.00","61,726.29","153,589.49","255,487.64",-712.00,-612.00,"17,213.08","221,409.20","6,610.00","1,161,384.74","1,183,253.02","1,273,078.80",,"398,675.90","562,068.04","704,756.80","103,537.72","5,847,614.27","9,830,965.98","777,426.56","72,659.03","303,963.08","1,332,616.50","1,308,031.22","31,308.25"
管理费用,"15,472,999.29","24,043,050.48","31,792,560.92","5,300,289.26","17,292,058.02","31,030,799.48","47,473,361.61","11,925,169.64","30,487,771.27","53,413,102.75","72,524,492.84","18,021,090.99","38,540,257.86","63,422,138.70","83,668,876.09","17,233,960.09","45,259,716.82","74,015,608.31","103,722,124.31","25,782,516.56","65,046,973.76","101,010,090.45","138,697,702.85","35,537,302.57","83,258,281.57","127,886,189.61","196,980,815.15","50,074,660.74","95,051,798.25","87,977,017.77","117,539,907.76","22,818,684.28"
其中:非流动资产处置净损失,,,,,,,"307,816.02",,,,"99,798.15",,,,"25,392.92",,"1,154,393.23","1,154,393.23","1,224,219.01",,"398,609.11","560,501.25","628,710.74","55,497.46","5,503,939.51","9,465,835.22",,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
