科目,2008年度,2009年1-6月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"8,310,511,354.12","2,320,847,984.09","5,709,737,392.21","1,538,003,604.91","2,889,168,168.91","4,751,556,726.82","3,734,518,753.76","575,838,053.28","2,279,119,542.06","3,494,306,488.01","5,280,721,958.15","1,087,708,926.99","2,299,568,561.38","3,004,099,525.47","4,949,238,420.25","987,365,270.09","2,915,665,501.66","3,361,472,483.18","5,779,759,267.06","851,096,558.05","2,664,788,862.88","5,478,819,615.94","4,725,306,863.96","807,266,982.08","1,792,784,407.51","2,704,397,110.08","4,621,927,400.02","324,789,641.41","1,465,278,407.50","2,422,838,052.49","4,937,492,143.17","1,075,163,262.38","4,094,172,692.41","5,149,631,072.98","8,328,470,947.95","2,510,068,403.93","4,395,674,769.98"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"43,780,944.97","43,780,944.97","33,915,707.62",,,,,,,,,,,,,,"12,288,600.00","12,288,600.00",,,"190,000.00",,,,,,,,
收到的税费返还,"95,133,610.25","6,764,088.92","6,228,596.60","3,462,131.14","7,300,418.59","7,957,584.79","8,011,363.11","4,109,631.07","13,319,213.33","13,053,993.38","29,470,065.11",,"230,860.11","388,440.26","69,626,360.33","24,256,162.78","24,252,991.98","24,407,053.14","24,438,898.38","92,596.65","576,978.15","1,043,796.11","3,093,289.09","21,700,191.18","21,966,512.62","30,858,798.18","33,971,733.30","1,675,012.03","7,153,446.81","8,983,423.01","9,233,930.21","98,686.22","279,887.57","279,887.57","15,861,864.60","3,358,477.25","5,342,324.82"
支付其他与投资活动有关的现金,"472,580,000.00",,,,,,,,,,,,"1,504,000.00",,,,,,,,,,"4,424,093,460.95",,,,"1,750,270,000.00","373,000,000.00","723,000,000.00","445,700,000.00","1,477,000,000.00","47,000,000.00",,,,,"130,400,000.00"
收到其他与经营活动有关的现金,"80,019,526.52","69,913,204.16","255,143,023.52","36,564,514.30","80,804,442.15","100,297,707.95","558,893,840.90","47,191,513.08","78,100,296.62","122,792,108.90","171,199,215.25","47,482,119.33","51,250,553.44","89,644,710.62","96,880,675.87","52,412,618.23","28,431,418.30","30,686,435.08","57,594,901.56","38,560,626.39","34,275,432.76","39,053,480.44","154,906,285.81","33,545,536.28","38,403,777.92","46,504,288.67","128,052,433.31","23,127,999.53","33,771,462.12","33,477,707.39","991,243,773.15","75,589,481.94","96,265,102.55","156,099,826.16","366,731,707.45","36,293,985.71","50,368,377.16"
投资活动现金流出小计,"1,715,776,915.31","430,034,930.95","919,716,845.27","145,839,862.98","1,120,185,517.44","1,359,095,215.13","902,588,899.40","253,553,751.12","430,951,664.21","822,368,985.31","3,088,292,411.94","289,236,729.79","418,567,277.24","2,200,739,160.19","1,528,082,658.33","1,146,292,499.82","1,270,784,841.00","1,305,923,641.08","863,317,843.71","2,879,664,941.96","848,248,793.69","1,104,213,675.06","4,851,192,664.65","99,624,450.42","3,109,981,298.88","1,986,035,407.23","1,935,183,958.55","391,995,897.76","816,812,958.24","564,096,911.03","1,985,181,266.74","101,203,290.09","306,352,233.56","430,029,819.29","443,618,981.57","122,753,946.03","263,072,949.00"
经营活动现金流入小计,"8,485,664,490.89","2,397,525,277.17","5,971,109,012.33","1,578,030,250.35","2,977,273,029.65","4,859,812,019.56","4,301,423,957.77","627,139,197.43","2,370,539,052.01","3,630,152,590.29","5,481,391,238.51","1,135,191,046.32","2,351,049,974.93","3,094,132,676.35","5,115,745,456.45","1,064,034,051.10","2,968,349,911.94","3,416,565,971.40","5,861,793,067.00","889,749,781.09","2,699,641,273.79","5,518,916,892.49","4,883,306,438.86","862,512,709.54","1,853,154,698.05","2,781,760,196.93","4,783,951,566.63","349,592,652.97","1,506,203,316.43","2,465,299,182.89","5,937,969,846.53","1,150,851,430.54","4,190,717,682.53","5,306,010,786.71","8,711,064,520.00","2,549,720,866.89","4,451,385,471.96"
投资活动产生的现金流量净额,"-1,250,575,007.57","-405,554,930.95","-767,672,716.81","-145,839,862.98","-1,118,521,433.44","-1,356,479,315.84","-864,728,874.85","-253,553,751.12","-430,237,146.06","-821,412,736.39","-2,334,246,770.31","1,710,763,270.21","1,820,116,622.76","38,367,660.56","770,752,903.63","-296,292,499.82","-403,695,558.65","211,960,583.28","580,217,200.56","-75,094,193.14","-805,675,182.05","-918,496,501.99","-3,913,749,270.65","762,504,944.65","858,592,399.72","2,006,170,214.05","2,082,168,355.85","1,362,831,844.78","941,680,391.47","1,197,030,793.18","1,223,327,630.82","-70,871,156.31","-260,882,355.67","-383,984,644.39","-397,308,287.97","-122,748,850.20","-180,273,874.12"
购买商品、接受劳务支付的现金,"7,726,413,991.44","2,369,831,630.03","5,641,160,850.59","1,665,003,183.19","3,009,127,267.45","4,812,207,081.64","3,737,141,037.21","1,022,290,734.59","2,646,089,055.86","3,648,023,608.33","5,370,493,512.98","1,185,878,808.54","2,613,714,336.26","3,738,569,198.88","5,296,278,155.24","1,241,422,699.17","2,190,619,766.12","2,662,823,556.22","2,613,529,977.63","1,194,858,052.04","2,685,109,487.17","6,115,434,119.48","5,348,733,602.33","719,427,968.11","1,310,439,204.32","1,873,750,138.86","3,440,308,319.73","1,444,327,915.19","2,462,431,434.91","2,971,543,545.78","3,713,669,274.86","712,953,747.84","2,260,300,207.58","3,124,552,607.77","5,627,247,953.83","1,983,293,679.81","4,116,922,834.59"
吸收投资收到的现金,"1,000,000,000.00","461,400,000.00","921,400,000.00","11,228,200,000.00","11,228,200,000.00","11,228,200,000.00","11,267,200,000.00",,,"15,000,000.00","60,000,000.00",,"15,000,000.00","15,000,000.00","15,000,000.00",,,,,,,,,,,,,,,,,,,,"1,550,947,195.95",,
支付给职工以及为职工支付的现金,"797,683,267.25","456,370,260.03","1,008,995,096.72","188,914,848.04","538,439,800.20","757,426,940.58","1,094,049,237.71","270,102,441.83","497,609,555.49","628,977,145.58","1,006,473,005.40","299,665,961.48","525,533,318.68","582,679,836.04","1,151,625,042.61","295,214,842.09","556,991,126.06","638,508,383.41","1,125,790,209.84","285,527,500.14","566,229,114.92","685,737,142.78","1,123,329,783.97","263,195,543.30","535,780,076.82","643,519,973.95","1,132,534,909.45","268,189,389.96","510,811,853.37","655,710,192.30","1,105,622,757.73","280,906,494.06","529,005,807.27","673,475,474.38","1,145,682,776.56","354,154,341.60","578,569,805.84"
取得借款收到的现金,"7,093,339,553.04","3,500,140,000.00","8,834,932,233.97","805,000,000.00","2,044,449,327.86","2,534,449,327.86","5,979,449,327.86","576,500,000.00","4,777,774,878.96","5,951,276,284.49","12,467,268,669.05","595,000,170.57","4,264,548,023.70","8,127,450,000.00","10,494,450,000.00","1,076,000,000.00","3,419,150,000.00","6,206,150,000.00","7,751,850,000.00","783,000,000.00","3,301,450,000.00","6,787,450,000.00","9,928,450,000.00","18,000,000.00","1,904,450,000.00","2,804,250,000.00","5,656,450,000.00","1,747,000,000.00","3,152,050,000.00","5,380,050,000.00","9,485,997,200.00","450,000,000.00","2,258,445,128.00","4,258,445,128.00","5,649,447,927.80","663,390,000.00","563,394,872.00"
支付的各项税费,"697,483,403.51","439,881,685.43","789,607,285.54","310,221,461.11","515,763,677.18","641,161,460.02","902,664,574.90","251,367,007.11","342,440,848.31","393,434,845.89","521,112,707.65","164,303,998.04","206,181,741.84","258,927,409.86","334,763,556.87","175,887,713.80","228,329,723.52","326,095,709.47","449,222,457.57","94,629,720.56","179,105,331.39","333,599,730.27","493,044,437.68","136,525,933.59","328,256,533.65","413,731,069.68","460,610,263.22","99,243,623.94","161,042,779.00","241,919,164.37","407,848,176.11","150,581,250.09","344,653,730.11","501,013,138.40","653,489,216.49","187,230,576.76","324,910,941.17"
收到其他与筹资活动有关的现金,,,,,"39,270,000.00","39,270,000.00",,,"7,190,000.00","12,436,200.00",,,,,,,,,,,,,"250,000.00",,,,"102,000.00",,,,,,,,,,
支付其他与经营活动有关的现金,"404,729,794.60","116,822,907.96","293,403,254.54","82,805,942.32","152,304,943.62","164,318,084.72","275,050,868.21","59,820,187.22","139,793,576.81","167,395,709.25","227,581,325.81","56,320,401.86","158,490,803.48","202,047,710.81","207,267,769.72","62,207,122.91","145,721,880.68","254,173,863.56","188,593,754.74","49,520,398.73","122,932,827.30","229,087,990.99","212,647,616.20","46,076,931.55","86,743,810.51","161,620,296.31","179,365,241.37","53,216,943.94","85,174,252.26","176,765,595.40","210,488,979.49","43,237,831.13","61,128,114.09","194,434,274.98","301,213,808.81","53,705,962.77","58,113,829.66"
