科目,2007年度,2008年度,2009年度,2010年1-6月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"1,419,999,600.50","1,963,041,759.93","1,757,961,525.51","925,332,131.54","1,777,957,428.98","440,258,262.06","908,836,565.64","1,351,498,847.50","1,941,580,766.89","485,661,918.11","967,500,780.07","1,327,807,820.02","1,864,202,175.50","372,724,502.76","672,933,178.59","1,041,381,035.13","1,408,816,717.26","382,824,486.87","778,837,092.99","1,167,083,258.82","1,528,029,810.26","415,219,670.90","808,553,459.49","1,136,383,354.03","1,499,754,815.01","356,371,275.88","606,509,124.87","841,791,078.00","1,022,330,572.01","239,154,827.21","442,427,609.72","772,861,651.59","1,019,141,116.57","222,569,863.68"
二、营业利润,"147,321,250.29","124,538,895.96","253,629,812.56","139,439,364.40","187,311,784.60","67,712,185.23","87,260,271.30","105,327,967.56","122,340,103.09","41,069,483.26","52,769,166.99","65,873,540.62","88,502,825.43","22,244,464.46","29,593,608.39","42,401,946.29","-30,289,123.61","34,704,012.59","69,851,270.39","85,213,923.74","29,168,925.94","34,212,074.62","56,559,328.17","72,020,652.43","201,872,436.55","32,621,967.34","46,455,452.32","53,199,769.58","69,086,479.70","20,173,652.45","30,943,334.40","38,908,741.62","41,735,555.40","-13,813,650.09"
减:营业成本,"1,136,551,508.01","1,626,631,152.41","1,278,663,779.18","658,043,659.14","1,337,359,753.09","323,531,487.68","718,721,199.96","1,092,251,316.11","1,599,286,549.79","407,959,788.50","802,549,228.99","1,099,007,513.49","1,516,406,325.60","302,425,744.50","534,848,086.45","843,668,243.94","1,145,572,240.01","299,705,916.50","587,383,399.08","878,761,322.22","1,175,530,298.65","318,433,767.11","595,992,238.13","858,579,450.79","1,099,419,853.05","247,295,372.33","432,617,866.39","615,319,275.21","716,164,257.43","161,278,478.88","305,681,624.81","572,027,209.08","752,961,640.22","192,015,275.99"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,518,436.41","3,889,216.07","11,494,237.50","5,891,425.83","10,111,274.86","1,238,674.75","2,473,138.43","4,723,906.22","6,097,125.21","773,438.62","5,615,357.60","6,021,393.56","7,789,850.27","2,589,375.73","3,997,249.65","4,257,009.59","6,679,119.07","560,250.58","2,259,304.73","4,791,306.26","7,864,027.04","1,157,149.32","3,425,603.62","5,769,115.69","8,728,389.01","1,093,015.52","3,667,508.44","6,619,458.84","13,104,746.07","2,462,789.70","4,311,243.68","7,436,065.73","12,312,611.23","2,287,614.04"
营业外收入,"11,308,434.68","19,825,259.32","3,863,232.06","8,407,891.11","21,375,487.24","9,056,763.72","9,172,403.88","9,324,592.87","5,694,779.23","364,874.94","933,374.94","5,454,114.94","15,093,447.38","1,833,390.00","7,764,704.00","12,490,038.81","15,853,479.64","1,308,865.00","2,257,309.00","11,279,263.00","11,766,115.87","1,342,697.00","1,754,695.91","2,635,745.53","5,825,719.19","1,178,360.00","2,184,941.87","3,271,490.77","7,583,204.59","1,579,600.00","226,180.38","711,127.71","4,526,279.25","1,835,940.00"
销售费用,"64,040,385.13","84,127,086.07","89,149,136.49","48,633,632.81","94,180,315.55","18,640,824.69","40,795,471.75","69,731,749.37","113,717,091.44","22,531,021.33","57,462,931.04","84,490,309.34","125,419,246.89","22,475,406.79","52,289,288.82","66,935,185.75","102,304,450.79","20,732,743.42","59,837,196.41","87,796,399.37","124,545,110.05","31,370,408.81","80,444,023.53","103,848,572.26","132,058,393.28","35,375,975.92","68,103,912.67","89,175,738.40","109,984,322.36","23,615,100.65","37,049,309.18","51,056,674.19","87,469,765.12","21,656,177.25"
减:营业外支出,"793,503.00","1,531,673.64","1,591,392.72","299,925.03","1,319,066.85","101,942.23","1,737,053.64","1,857,053.64","2,430,771.78","194,741.54","448,665.34","575,492.45","1,311,279.92","300,000.00","622,789.74","3,508,844.04","4,658,140.21","129,083.34","329,025.13","360,801.09","1,541,183.68","586,441.54","2,857,820.17","4,043,363.73","5,367,526.28","170,383.99","170,383.99","618,255.85","1,158,065.94","683,453.99","1,628,077.15","1,717,715.10","1,474,640.35","991,274.89"
管理费用,"33,755,398.57","80,762,541.24","95,473,125.56","54,570,768.14","111,762,127.68","26,287,453.57","53,591,159.36","82,569,364.90","127,937,739.71","26,639,714.85","61,269,213.19","91,549,594.77","129,548,425.94","26,770,308.26","59,917,160.98","94,573,151.06","146,023,629.83","39,058,116.91","83,681,225.67","134,490,256.24","179,578,428.66","41,015,651.08","84,720,938.75","128,191,213.95","184,830,420.12","40,375,265.16","73,089,704.60","108,687,353.95","143,819,578.23","31,467,834.35","63,169,882.53","101,555,327.78","141,206,639.00","31,194,017.94"
其中:非流动资产处置净损失,"311,065.81","40,725.46","526,493.27","6,641.81","129,684.54",,,,"36,856.53","53,466.81","210,828.21",,"298,263.32",,"6,406.28","2,801,650.57","3,322,047.21",,,,"118,061.05",,,,"19,216.96",,,,"311,993.31",,,,,
