科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"64,823,435.80","124,153,382.06","133,372,279.12","62,730,350.12","371,117,151.83","328,741,052.95","401,208,270.85","291,029,512.07","295,437,430.07","199,796,270.31","261,804,571.59","243,206,660.57","165,180,896.67","122,341,389.91","235,125,671.50","170,267,680.21","130,950,452.26","127,758,289.00","292,765,421.40","1,174,009,033.62","588,063,859.91","508,995,119.63","1,130,655,111.20","764,944,029.20","1,099,136,253.50","564,500,984.33","838,073,988.62"
短期借款,,,,,,,,,,,,,,,,,,,,"15,000,000.00",,,,,"57,648,586.25","10,089,842.08","58,225,905.22"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,,,,,,,"120,000.00",
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,"3,338,633.00",
应收账款,"31,693,481.28","64,543,397.94","85,553,329.70","111,238,418.49","165,574,940.81","159,684,387.52","168,021,404.31","184,743,452.02","206,678,507.21","247,366,153.85","291,045,043.86","227,585,577.08","262,218,441.42","346,057,338.94","368,250,703.08","313,519,460.72","369,125,400.29","412,234,453.84","376,767,938.77","401,547,063.27","438,404,440.25","600,384,485.23","528,533,683.50","634,317,567.84","805,777,580.05","859,396,246.71","916,185,366.25"
应付账款,"14,179,804.67","41,667,764.22","41,627,409.15","52,343,519.32","93,003,977.83","43,872,838.85","87,651,177.34","40,053,572.69","81,941,343.16","79,238,920.84","131,153,876.00","95,148,023.65","97,897,867.52","121,900,934.55","203,593,575.87","113,789,410.41","140,082,381.51","180,570,046.34","236,358,860.78","253,813,769.22","261,555,846.67","260,997,972.38","383,312,263.56","276,150,956.28","359,147,024.34","334,673,601.79","493,036,723.17"
预付款项,"1,101,983.00","1,056,524.64","4,367,769.46","5,856,853.72","1,169,112.13","4,745,737.88","3,382,705.05","5,607,261.06","10,004,821.50","10,738,288.22","5,014,279.13","13,752,127.86","13,253,081.04","15,659,296.26","7,475,992.22","15,182,327.95","11,699,119.08","10,972,405.21","4,077,071.96","6,127,319.25","16,324,975.89","13,267,054.81","6,351,138.23","12,670,959.76","25,837,457.28","27,469,196.14","27,641,662.47"
预收款项,"1,068,577.78","2,153,331.70","18,000.00","18,000.00","10,080.00","25,200.00","2,538,445.64",,,,,,,,"2,405,991.17","5,500,295.48","16,260,554.70","1,569,987.11","2,035,265.99","143,272,101.04","109,192,463.02","99,126,516.92","142,638,341.78","150,812,663.63","123,226,905.39","78,611,926.18","86,239,015.89"
