科目,2011年度,2012年度,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"2,218,508,223.16","2,842,139,536.41","3,546,662,061.96","1,038,919,874.40","2,073,847,059.04","3,233,875,836.33","4,428,409,988.78","1,199,821,204.92","2,499,069,213.38","3,885,949,093.86","5,321,152,330.87","1,478,590,848.53","2,951,750,687.35","4,535,400,384.50","6,249,335,716.12","1,813,644,171.03","3,651,448,528.26","5,602,396,372.33","7,751,139,413.84","2,178,589,851.35"
二、营业利润,"156,325,444.47","198,887,592.61","264,343,319.03","85,683,355.64","175,987,379.62","245,149,067.15","344,426,754.67","100,393,572.97","192,904,906.22","276,970,223.31","379,014,672.77","113,795,668.78","218,053,710.15","309,284,627.98","392,577,987.42","111,186,629.21","240,977,467.22","345,553,031.69","507,418,121.06","159,560,176.91"
减:营业成本,"1,355,913,011.76","1,757,965,255.70","2,142,456,743.60","619,017,659.60","1,201,693,949.54","1,920,789,813.69","2,637,763,036.56","703,325,422.64","1,459,238,672.46","2,272,920,610.78","3,090,299,367.62","847,445,817.30","1,699,759,165.57","2,645,279,216.17","3,669,398,209.37","1,092,160,407.54","2,155,477,677.38","3,308,742,067.37","4,532,525,756.49","1,289,232,846.29"
加:补贴收入,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"13,736,459.56","17,981,912.98","22,811,859.28","5,235,260.14","11,476,165.11","17,964,568.48","24,683,030.23","5,563,787.04","11,571,802.64","18,920,006.73","26,740,217.78","9,662,869.39","18,072,217.69","25,380,847.77","40,585,820.00","12,147,396.90","25,348,589.65","41,088,966.32","62,936,852.11","17,047,212.05"
营业外收入,"4,124,803.28","8,489,625.59","8,937,145.29","330,855.16","1,502,256.59","2,401,096.41","6,158,903.72","1,378,648.69","2,487,438.65","4,585,604.36","15,530,003.83","1,382,299.69","3,886,821.36","8,340,085.88","21,374,468.93","1,654,591.72","3,907,255.96","11,722,130.69","46,252,726.00","557,490.97"
销售费用,"551,897,003.17","693,710,827.92","919,223,341.85","269,506,410.83","546,767,739.70","830,548,064.90","1,123,711,298.50","316,627,123.00","671,055,321.93","1,055,559,507.74","1,475,613,222.63","436,965,648.55","858,637,242.34","1,298,001,993.31","1,750,539,193.92","486,741,071.98","988,259,254.28","1,552,328,956.07","2,157,168,231.32","625,185,304.73"
减:营业外支出,"2,547,115.89","2,555,932.38","3,331,306.53","628,639.67","1,110,145.53","2,979,311.97","5,242,250.18","977,273.87","1,492,105.81","2,214,415.27","4,417,475.77","529,382.09","2,106,346.24","3,313,075.95","4,571,885.55","870,378.93","1,916,798.93","3,110,843.17","6,812,918.36","611,826.82"
管理费用,"128,886,491.35","155,718,362.28","175,609,408.40","42,081,521.18","108,280,862.74","167,791,982.67","238,340,701.33","53,032,227.44","130,006,586.89","207,852,329.26","289,278,963.43","72,523,304.54","139,678,705.54","214,999,386.49","318,988,027.04","79,184,348.45","179,343,555.27","261,450,543.49","354,617,000.33","55,684,672.29"
其中:非流动资产处置净损失,"451,762.94","401,254.02","813,586.93","335,694.08","598,836.66","847,777.30","1,458,253.14","-110,848.02","621,742.46","641,330.36","1,723,772.91","382,691.87","978,104.38","1,279,546.69","1,649,039.34","735,952.04","1,242,440.94","1,708,152.05",,
