科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"72,659,136.61","105,526,019.48","174,155,881.67","28,928,725.80","43,964,492.94","61,587,325.12","216,084,355.43","29,971,181.65","67,160,145.52","103,187,593.78","235,373,677.01","36,442,250.62","87,887,962.90","167,764,779.29","253,962,760.02","36,726,565.67","85,057,091.90","170,060,142.14","289,873,278.00","33,616,610.94","89,803,034.16","115,224,661.51","238,508,780.01","185,461,353.17","347,072,947.13","586,831,541.23"
二、营业利润,"44,714,204.16","66,201,224.27","107,322,769.84","17,871,730.27","17,120,707.55","21,926,231.06","124,108,593.82","13,484,877.87","25,583,337.58","31,476,909.26","96,056,042.15","9,089,375.41","24,487,829.90","43,413,610.58","100,555,155.59","7,258,676.84","22,001,442.87","38,939,115.30","89,845,262.97","-9,401,098.90","-6,280,442.48","-15,668,164.26","-524,216,434.22","31,327,672.32","45,846,721.90","77,324,117.96"
减:营业成本,"17,604,002.15","24,708,920.48","43,530,812.70","6,466,655.46","14,599,605.99","20,247,890.00","65,894,685.32","14,005,703.86","30,269,699.15","52,256,019.67","102,665,225.41","14,799,397.72","43,035,481.73","86,097,321.24","123,004,255.40","15,712,414.15","36,669,407.91","83,394,247.61","114,280,128.81","27,419,762.54","57,171,813.09","68,257,684.49","157,628,407.52","132,019,723.44","239,615,937.42","403,069,040.93"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"546,147.21","1,361,837.05","2,293,379.12","518,080.80","524,940.80","644,191.63","3,033,332.23","434,136.71","1,385,301.35","2,050,055.04","2,463,425.59","9,237.08","306,783.91","628,484.89","1,991,632.12","348,424.78","717,362.29","1,268,917.29","2,020,510.74","693,599.68","1,389,497.23","1,611,334.05","5,163,136.18","472,102.21","1,274,162.32","1,443,117.33"
营业外收入,"55,442.63","459,000.00","66,786.50",,"1,000,000.00","1,419,101.31","2,051,001.31",,"27,600.00","1,324,970.00","151,460.00","24,212.90","2,034,657.99","2,054,994.41","6,150,449.29","6,336.03","162,412.25","176,215.92","9,523,004.91","596,246.48","847,431.48","1,782,213.36","138,767,467.61","174,857.18","754,223.72","52,987,627.19"
销售费用,"598,447.74","1,427,971.12","3,484,720.70","680,967.61","938,666.61","2,095,272.60","3,075,682.24","446,408.74","1,755,167.36","2,487,793.34","3,811,330.35","1,463,833.40","2,797,694.58","7,938,755.65","7,581,555.25","1,517,593.07","2,434,566.18","7,123,433.20","7,030,486.08","1,359,006.59","2,963,270.54","4,717,415.02","7,329,979.00","982,946.71","2,461,604.04","4,855,202.39"
减:营业外支出,200.00,,,,,39.27,"57,976.22",,"9,562.33","9,562.33","43,943.46","10,000.00","2,142.22","7,040.41","873,208.87",159.80,"32,697.63","119,327.48","835,675.09",572.22,"7,500.90","76,497.98","12,540,138.12","430,633.90","2,218,023.05","1,588,608.95"
管理费用,"6,795,140.53","10,058,575.09","17,007,804.70","4,165,139.78","10,169,094.36","16,916,641.07","27,916,329.37","6,941,149.50","17,554,251.45","29,809,240.94","43,168,194.98","12,401,063.84","25,689,531.32","41,867,303.64","49,933,967.25","10,591,018.79","21,960,654.03","38,048,236.61","62,896,433.81","11,768,604.98","41,767,850.18","56,908,789.58","73,268,494.87","11,872,610.26","25,825,615.86","45,427,576.94"
其中:非流动资产处置净损失,,,,,,,"57,936.95",,,,"37,048.97",,,,"865,968.46",,,,"253,595.25",,,,"7,461,171.04",,"1,168,541.86",
