科目,2012-12-31,2013-12-31,2014-12-31,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"27,021,344.36","48,776,319.54","80,171,715.53","42,236,826.52","30,292,711.99","253,805,188.57","231,985,484.27","207,190,523.70","261,719,509.83","259,333,918.19","295,908,730.05","236,319,287.92","233,511,486.70"
短期借款,,,,,,,,,,,,,"10,000,000.00"
交易性金融资产,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,
应收票据,"37,491,758.96","61,463,506.15","37,281,933.00","34,711,742.90","70,000,511.44","45,466,567.31","59,388,081.33","99,074,266.91","267,180,346.71","213,731,312.84","37,775,607.10","102,865,510.78","252,820,467.51"
应付票据,,,,,,,,"30,869,313.39","101,579,054.70","127,095,474.91","141,058,653.69","131,539,606.01","237,983,490.20"
应收账款,"28,622,989.44","31,108,595.20","78,584,079.02","129,152,257.36","174,565,562.96","184,792,573.40","272,146,220.42","339,478,637.25","268,458,735.15","325,050,021.64","361,752,608.75","418,299,132.81","324,530,445.47"
应付账款,"28,550,148.01","25,181,514.10","38,187,701.22","40,726,928.40","94,616,936.31","87,176,373.14","143,724,662.22","192,862,903.92","233,906,565.66","180,792,244.01","121,352,979.37","179,852,006.28","124,527,105.38"
预付款项,"1,118,497.83","269,267.36","556,061.42","1,172,653.43","1,737,442.80","3,574,483.26","1,686,717.98","3,750,316.65","1,073,606.65","10,074,258.44","3,744,951.21","3,194,335.58","28,592,535.00"
预收款项,"2,615,512.60","2,812,873.09","4,068,972.25","1,641,359.05","2,763,852.86","1,394,235.97","1,828,823.03","12,711,594.05","5,473,663.61","4,446,819.48","4,106,770.54","3,978,132.48","4,948,721.13"
其他应收款,"563,208.88","771,623.59","735,655.19","1,095,662.15","688,303.63","1,378,608.19","1,163,582.49","1,473,433.57","1,048,278.25","1,412,466.68","1,470,847.63","2,116,144.90","2,504,904.38"
