科目,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"2,409,799.58","1,650,129.02","2,470,661.23","274,978.83","-1,564,234.55","-4,990,264.50","-8,277,118.56","-7,734,413.37","-854,942.13","694,033.85","-3,751,161.31","-2,611,110.15","-1,684,513.10","-1,974,211.64","-1,547,225.14","-1,473,730.07","-322,630.93","-343,061.39","-956,922.17","-1,722,583.39","-571,690.17","-1,226,757.55","-2,079,746.43","-2,879,415.46","-910,528.07","-1,766,148.37","-2,939,248.69","-2,950,419.91","-604,809.23","-1,398,549.16","-1,831,633.19","888,122.34","-703,617.28","-2,595,521.91","-4,689,304.51","-9,111,469.00","59,308.94","2,500,619.45","9,510,622.92","16,620,560.78","6,783,468.64","19,108,937.01"
三、利润总额,"55,765,375.93","37,954,084.48","51,044,358.05","65,282,027.48","13,680,375.49","35,154,553.47","59,845,699.59","73,370,945.38","8,320,175.34","17,248,310.60","28,003,625.45","31,964,220.64","6,542,940.11","18,394,404.31","26,979,757.93","31,405,791.65","6,807,968.24","14,512,746.01","21,948,860.37","22,048,513.93","3,663,718.97","10,608,241.85","16,275,397.32","21,160,655.72","2,973,064.76","7,580,969.01","12,613,800.58","21,620,466.53","3,084,745.52","2,706,266.42","-115,010.65","239,388,017.10","35,555,692.00","108,729,737.21","168,823,436.07","280,648,093.40","42,693,048.14","118,597,970.22","175,629,753.67","375,982,338.74","30,939,116.61","42,091,620.15"
资产减值损失,"-935,879.13","165,612.43","165,612.43","938,844.71","14,188.20","401,132.00","1,512,705.95","3,716,035.19","481,611.74","509,703.88","1,400,657.22","3,819,707.57","540,340.40","1,153,399.52","1,674,212.49","3,019,362.06","766,551.20","1,009,516.92","2,697,583.28","4,856,211.13","800,017.34","1,719,316.80","2,723,550.58","7,651,232.40","612,544.82","865,940.97","1,910,657.80","4,068,812.71","-35,303.19","335,495.94","882,359.14","4,973,311.33","5,081,038.56","19,642,399.03","21,885,044.87","25,694,312.97","3,911,522.53","50,859,870.36","52,591,101.14","28,335,658.00","4,725,567.70","32,085,673.59"
减:所得税,"2,917,649.00","6,775,243.71","8,103,527.46","8,879,237.63","1,913,782.21","6,575,719.86","10,686,571.35","11,301,979.50","1,248,026.30","3,384,750.75","4,998,047.98","6,354,816.99","981,441.02","2,412,429.19","3,700,232.23","4,594,173.57","974,916.56","1,718,206.50","3,296,806.72","2,990,984.14","549,557.84","1,591,236.28","2,441,309.60","2,608,211.30","445,959.72","1,143,145.35","1,892,070.09","3,245,434.01","441,301.51","411,668.91","-27,736.97","36,242,239.03","6,462,164.12","17,341,764.95","26,986,694.03","46,434,032.30","10,318,898.11","20,546,068.22","29,316,663.07","70,765,902.28","3,163,961.15","1,430,143.77"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,249,123.88","649,070.79","1,293,649.97","1,846,699.10",,"654,580.36","2,291,501.59","2,502,378.69","2,739,325.58","124,150.56","124,150.56","124,150.56","124,150.56",,
四、净利润,"52,847,726.93","31,178,840.77","42,940,830.59","56,402,789.85","11,766,593.28","28,578,833.61","49,159,128.24","62,068,965.88","7,072,149.04","13,863,559.85","23,005,577.47","25,609,403.65","5,561,499.09","15,981,975.12","23,279,525.70","26,811,618.08","5,833,051.68","12,794,539.51","18,652,053.65","19,057,529.79","3,114,161.13","9,017,005.57","13,834,087.72","18,552,444.42","2,527,105.04","6,437,823.66","10,721,730.49","18,375,032.52","2,643,444.01","2,294,597.51","-87,273.68","203,145,778.07","29,093,527.88","91,387,972.26","141,836,742.04","234,214,061.10","32,374,150.03","98,051,902.00","146,313,090.60","305,216,436.46","27,775,155.46","40,661,476.38"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"52,850,090.10","31,179,079.36","42,940,413.47","56,405,638.04","11,766,593.28","28,578,833.61","49,159,128.24","62,068,965.88","7,072,149.04","13,863,559.85","23,005,577.47","25,609,403.65","5,561,499.09","15,981,975.12","23,279,525.70","26,811,618.08","5,833,051.68","12,794,539.51","18,652,053.65","19,057,529.79","3,114,161.13","9,017,005.57","13,834,087.72","18,552,444.42","2,527,105.04","6,437,823.66","10,721,730.49","18,375,032.52","2,643,444.01","2,294,597.51","-87,273.68","203,303,262.27","30,262,820.25","92,993,494.01","143,738,976.27","237,048,804.97","32,722,690.88","98,559,235.27","147,067,048.25","306,459,708.94","27,895,217.29","41,078,008.67"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"-2,363.17",-238.59,417.12,"-2,848.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,"-157,484.20","-1,169,292.37","-1,605,521.75","-1,902,234.23","-2,834,743.87","-348,540.85","-507,333.27","-753,957.65","-1,243,272.48","-120,061.83","-416,532.29"
