科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"8,566,241.59","39,458,353.05","45,220,119.88","543,959,493.94","582,509,393.50","570,952,021.20","585,088,044.52","577,601,098.17","570,941,103.29","532,931,090.08","445,654,265.87","359,025,816.68","345,259,262.74","302,259,838.50","270,263,871.20","259,903,022.76","412,477,038.21","400,082,181.66","490,815,085.04","484,036,455.70","764,913,551.76","652,065,711.11","777,670,233.28","592,366,812.65","137,507,549.17","117,151,210.06","372,226,639.79","455,467,405.01","86,997,614.51"
短期借款,"13,354,544.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"100,000.00","10,460,000.00","32,137,676.30","36,131,816.71","39,093,497.58","35,083,734.33","31,152,235.17","31,748,320.24","66,397,520.55","94,780,173.88","71,080,055.59","74,612,189.27","77,075,302.23","76,549,067.92","85,164,353.96","90,171,658.85","85,103,355.87","81,344,544.41","75,635,507.75","100,461,787.32","95,755,651.02","86,816,210.45","104,384,388.00","95,131,308.11","105,543,123.99","119,166,213.71","108,229,205.47","100,856,410.99","84,177,273.87"
应付票据,"2,500,000.00","5,550,000.00","9,060,000.00","9,500,000.00","11,500,000.00","12,000,000.00","13,150,991.61","12,490,991.61","26,969,600.01","54,026,595.55","60,687,685.88","46,093,037.82","44,800,580.16","52,494,471.72","46,267,337.87","42,148,046.95","47,037,491.81","45,808,295.97","39,977,937.36","44,469,511.66","45,694,263.50","51,302,531.93","82,822,511.89","95,377,541.33","67,303,391.84","52,576,652.26","50,488,235.35","47,520,079.75","50,115,662.47"
应收账款,"61,897,024.84","71,253,985.46","83,276,018.56","111,887,180.08","106,984,070.02","96,801,881.86","101,266,894.61","115,843,348.23","99,835,061.83","97,648,216.25","120,746,757.24","130,575,395.55","141,635,759.75","121,327,912.21","123,948,941.93","135,724,215.20","140,697,719.19","115,450,507.16","131,904,346.57","135,796,511.42","142,308,064.09","153,957,669.98","171,677,445.76","164,602,229.48","165,104,272.37","162,808,957.42","187,601,146.67","210,717,551.48","202,454,894.06"
应付账款,"51,052,999.18","53,100,314.98","73,371,235.43","71,894,588.19","67,361,024.41","70,302,092.70","70,187,690.95","67,942,772.82","69,989,016.77","58,514,248.39","57,444,985.62","71,595,421.16","74,455,488.93","83,649,308.52","75,768,274.64","71,117,666.00","66,744,931.97","63,402,802.89","89,968,272.30","70,804,484.42","72,624,416.59","89,902,039.30","156,109,595.66","93,718,241.93","92,545,879.57","94,196,704.51","104,903,525.61","101,721,376.48","104,909,841.71"
预付款项,"13,094,576.84","11,064,553.80","18,674,204.93","21,491,392.10","25,313,823.59","38,082,971.94","6,854,739.81","11,656,258.13","9,469,147.13","9,370,808.64","6,184,535.64","7,813,306.64","7,574,369.63","7,365,752.08","5,976,997.58","5,696,216.01","6,381,849.67","5,094,320.30","11,617,930.59","6,265,385.07","11,068,137.69","11,516,859.03","6,012,340.02","6,697,736.58","5,342,355.16","10,364,547.72","2,237,180.80","3,160,825.48","3,639,335.73"
预收款项,"3,076,350.79","6,080,259.91","4,140,677.81","3,444,970.57","3,649,020.58","4,704,998.03","3,877,757.52","2,262,472.07","2,740,073.57","2,748,566.61","3,235,680.65","3,471,048.97","3,878,030.76","4,206,907.82","2,740,850.69","2,824,566.66","3,051,822.17","3,095,537.17","1,992,699.95","3,584,016.17","2,952,886.45","4,310,668.63","3,023,432.60","2,187,501.93","2,833,989.11","2,563,977.95","2,823,860.37","2,337,734.99","2,823,609.06"
其他应收款,,"122,780.86","1,044,306.38","382,333.25","324,207.45","572,317.14","1,834,860.60","1,032,071.39","1,620,181.38","1,083,854.50","1,747,520.59","1,467,687.30","1,241,387.56","1,284,687.31","1,212,375.05","1,406,389.21","1,440,098.81","1,566,896.88","1,153,052.21","1,277,993.61","908,046.16","16,450,057.33","489,752.39","424,263.02","504,813.10","966,187.70","810,031.86","375,105.12","365,773.99"
应付职工薪酬,"647,322.53","817,712.77","2,469,516.37","853,041.46","1,279,830.26","1,213,179.86","5,329,267.51","2,090,730.58","2,564,724.86","2,483,166.43","5,469,278.79","2,191,169.75","3,406,367.65","4,191,205.92","10,507,099.47","6,672,813.93","6,576,146.21","8,533,531.20","11,475,247.37","7,990,547.89","9,261,996.27","12,203,145.60","16,482,064.02","12,256,525.00","11,717,743.59","13,638,396.98","15,273,752.31","10,158,136.79","10,220,470.71"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"5,287,635.85","1,998,953.70","3,094,065.75","5,388,087.07","5,284,454.32","3,894,373.69","4,221,637.30","4,006,135.18","4,139,915.88","3,024,323.48","5,728,040.24","3,532,654.27","3,619,369.85","2,722,077.84","5,494,040.49","3,012,964.61","6,544,642.32","1,834,323.14","4,864,253.57","6,819,878.46","7,402,651.44","4,590,157.30","6,961,764.33","8,677,301.44","8,090,185.01","2,818,791.23","9,215,095.37","4,214,573.69","7,772,671.48"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
存货,"40,654,782.88","66,093,290.62","72,858,049.93","69,660,274.90","68,841,176.07","75,016,481.18","75,391,567.31","86,973,222.90","101,449,469.03","107,560,036.71","101,232,047.79","117,424,397.90","120,189,928.81","138,297,298.75","124,962,608.36","118,185,240.14","102,941,220.14","104,922,645.60","110,130,049.72","105,759,120.85","107,940,001.54","125,707,201.50","136,446,343.90","134,688,654.31","135,614,388.04","135,313,632.80","135,801,572.13","130,468,907.76","133,921,657.41"
