科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"5,858,242,230.83","6,129,076,585.69","10,171,407,244.98","7,056,896,873.18","10,742,649,250.83","15,795,678,893.35","5,244,707,194.72","10,753,647,717.35","17,730,109,077.92","23,873,484,524.24","6,063,223,757.79","11,453,768,549.99","17,796,750,703.57","23,857,114,483.72","5,625,908,573.36","14,130,923,234.16","23,201,015,003.43","29,356,060,213.17","7,659,008,235.39","17,203,619,760.52","24,994,066,580.11","31,810,846,150.01","5,220,061,618.82","12,252,785,568.74","19,481,682,240.89","28,673,732,758.07","7,214,963,698.99","18,502,080,939.63","31,407,525,565.10","45,501,073,913.10","15,598,558,843.62","35,200,986,080.32","52,362,796,303.53","70,531,353,416.30","17,681,503,572.50","36,691,613,883.46"
二、营业利润,"295,813,127.85","75,989,719.84","1,210,353,136.48","1,047,189,719.91","1,700,498,363.15","2,577,309,686.89","1,012,482,774.21","1,624,481,340.25","2,347,202,586.59","2,502,119,787.67","512,338,921.81","263,196,053.16","356,084,016.86","193,626,565.58","25,206,920.92","106,224,445.73","244,338,742.11","272,881,901.73","-236,104,260.83","-82,947,962.03","-11,880,448.93","-723,916,109.31","-23,285,499.36","176,601,914.13","-68,230,356.21","384,744,394.35","197,615,641.56","940,660,162.27","1,622,669,477.63","2,173,389,397.22","675,746,065.16","1,205,057,036.29","1,726,338,464.43","2,323,363,017.53","814,338,961.60","1,446,612,265.00"
减:营业成本,"5,438,256,801.28","5,929,087,426.78","8,913,236,400.50","5,992,049,225.36","9,037,744,786.14","13,215,280,400.36","4,283,636,001.68","9,228,808,705.53","15,525,130,217.24","21,453,603,197.58","5,540,372,049.08","11,037,306,569.57","17,179,804,338.00","23,206,967,023.12","5,469,964,506.68","13,813,452,746.54","22,575,099,573.44","28,467,845,814.49","7,579,612,081.87","16,673,670,106.91","24,199,086,049.80","31,077,765,746.44","5,022,250,730.26","11,632,412,710.79","18,565,930,277.33","26,583,871,196.32","6,712,149,346.17","16,622,214,759.13","28,013,621,604.38","40,796,759,209.64","14,531,020,430.25","33,057,515,254.93","49,264,258,756.81","66,714,777,018.11","16,649,084,826.60","34,227,927,413.47"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"3,497,585.83","2,434,047.62","4,054,208.19","13,231,631.93","27,097,309.09","48,625,501.40","17,466,281.02","22,275,286.45","37,431,760.98","49,749,097.55","14,851,881.44","22,190,933.49","23,276,519.98","25,203,298.85","1,266,362.69","2,198,485.54","1,794,150.02","2,900,362.78","791,625.18","1,500,663.50","2,311,627.13","4,130,948.84","634,284.07","2,020,006.88","3,317,465.17","212,659,426.90","5,224,227.90","14,589,712.91","239,289,976.63","378,665,192.63","75,101,834.84","142,293,324.06","188,077,514.86","216,904,437.87","17,942,601.46","76,837,749.52"
营业外收入,"31,905,812.25","11,527,682.40","9,100,977.50","3,861,609.93","6,458,843.46","8,031,726.54","4,310,946.58","99,953,327.45","108,374,036.98","111,954,941.25","156,791,780.41","165,044,979.69","168,945,649.86","180,669,879.88","7,992,366.18","20,060,624.71","24,508,438.89","64,687,598.88","9,882,186.20","27,723,585.86","34,906,503.05","70,953,997.97","4,433,701.24","12,066,792.00","22,550,310.93","41,465,566.84","4,305,370.26","49,052,393.22","52,715,811.57","72,874,504.07","9,756,644.77","2,453,027.68","6,112,259.20","970,672.52","448,435.88","699,723.05"
销售费用,"10,061,871.12","8,752,518.43","96,267,188.18","78,508,762.24","120,674,726.30","176,599,804.66","51,251,702.76","97,491,739.74","164,187,073.53","232,304,806.42","47,267,612.17","86,071,928.81","143,520,935.34","244,132,719.09","55,259,238.11","136,882,517.16","261,160,277.92","377,690,926.83","73,907,954.90","185,784,837.94","291,643,405.33","477,211,286.41","93,085,508.34","170,534,981.03","290,599,357.02","421,130,204.08","111,642,157.82","215,832,271.38","322,588,824.51","431,038,505.71","115,784,781.06","207,984,689.30","350,100,173.28","502,584,895.35","116,155,312.94","231,499,571.74"
减:营业外支出,"6,689,146.01","6,383,387.84","5,606,324.13","3,501,423.87","5,400,945.12","7,960,067.83","4,138,309.78","7,170,614.30","9,921,019.02","17,168,759.49","1,783,952.56","3,975,706.75","6,608,285.45","9,804,465.19","1,914,701.21","4,414,533.43","6,932,473.92","14,816,981.96","1,893,014.00","4,459,618.80","7,674,623.08","25,525,726.34","2,675,176.73","4,409,612.15","11,842,612.38","16,948,956.07","2,128,889.81","7,409,426.64","14,017,440.28","14,787,688.30","561,112.09","577,993.84","627,463.10","1,183,443.73","503,437.57","504,065.18"
管理费用,"44,928,764.62","35,242,017.91","71,298,167.24","41,008,466.12","55,461,279.04","82,943,250.19","24,936,136.26","48,124,593.20","111,170,125.28","195,700,487.09","47,344,248.64","90,077,905.47","124,446,628.07","183,303,570.79","41,982,735.74","97,476,061.86","144,823,671.75","200,242,297.09","44,187,559.16","92,425,665.55","140,148,045.05","236,808,486.07","39,959,419.13","131,876,875.91","235,403,691.32","404,794,442.53","87,659,422.48","314,160,704.36","648,965,377.22","875,907,967.45","181,003,005.11","516,495,027.36","844,917,849.65","1,077,442,503.75","149,307,713.34","454,533,308.93"
其中:非流动资产处置净损失,,"41,890.25","8,160.91",,,,,,,,,"3,680.00",,"40,024.14",,,,,,,"19,261.26","19,261.26",,"23,548.21",,"34,158.81",,"3,319.66","1,205,280.03","1,114,670.79","36,624.18","47,472.60","95,214.85",,,
