科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"1,333,881,694.35","2,338,418,894.41","4,624,646,809.64","1,810,754,095.52","3,148,325,066.61","4,448,518,240.26","5,801,962,579.13","1,903,854,079.45","3,274,570,235.76","4,852,068,994.18","6,669,800,825.76","2,214,309,738.63","3,897,984,605.19","5,824,658,680.66","7,860,862,288.97","2,817,291,062.15","4,923,392,268.81","7,309,466,672.94","9,804,598,500.69","3,240,163,787.10","6,025,864,897.83","8,961,501,973.37","11,639,952,480.40","3,725,182,104.99","6,760,810,969.12","9,922,021,344.03","13,061,653,324.14","4,180,375,775.14","7,287,905,441.51","10,554,051,644.73","13,943,977,480.79","5,126,635,446.17","9,059,743,359.05","13,373,564,685.89","18,430,853,039.71","5,348,839,294.58","9,398,446,045.61","13,820,708,023.50","17,837,328,758.05","5,657,153,214.98","10,153,410,569.74","14,667,455,292.88","19,899,719,372.25","6,192,364,348.10"
取得子公司及其他营业单位支付的现金净额,,,"5,087,764.22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"101,941,157.39",,,"192,117,276.49",
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"762,705.37","42,056.94","98,180.88","993,781.54",,,"214,889.92","232,325.43",,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,"140,000,000.00","395,000,000.00",,"24,000,000.00","264,000,000.00","712,000,000.00","101,935,500.01","907,013,003.01","1,182,322,876.94","1,331,723,578.62","226,591,888.71","478,099,936.53","516,078,304.77","847,470,756.64","461,708,409.23","1,638,051,136.40","2,230,305,041.41","2,579,628,988.22","646,407,926.43"
收到其他与经营活动有关的现金,"3,021,958.83","7,358,587.39","12,105,295.28","7,320,794.36","9,647,165.69","9,426,776.16","15,089,011.87","8,126,830.41","12,069,410.68","17,496,032.69","22,262,025.64","3,906,149.40","13,579,303.95","20,319,464.99","32,227,685.64","6,627,461.17","9,130,047.80","14,922,824.82","19,528,552.30","8,216,565.12","15,300,199.44","20,757,027.34","40,112,804.72","9,198,569.78","35,803,700.89","48,907,441.97","58,374,203.02","15,535,715.06","96,913,380.08","103,251,053.36","86,013,198.64","37,475,481.39","85,740,428.97","134,183,658.64","157,809,822.64","73,865,655.17","85,798,403.40","146,175,551.56","155,338,211.23","47,480,870.74","99,502,223.67","69,985,392.49","153,530,491.79","66,997,262.11"
投资活动现金流出小计,"29,477,407.88","95,202,087.41","193,188,537.91","23,991,418.96","101,882,204.63","170,278,383.65","284,509,203.93","38,613,717.88","175,776,912.72","449,081,967.79","675,579,743.31","175,915,657.21","273,049,715.86","341,185,720.61","607,898,648.11","320,648,722.95","659,708,842.32","893,322,708.15","1,179,313,683.78","187,351,355.18","378,867,293.83","667,882,021.63","878,300,933.48","116,366,220.36","251,112,246.42","953,591,623.80","1,740,372,481.10","309,973,897.33","576,226,936.35","1,092,572,291.65","1,935,174,780.72","578,928,710.11","1,502,381,820.29","1,942,911,976.16","2,311,118,432.06","697,163,648.62","1,089,417,994.48","1,492,778,383.32","2,336,557,483.19","815,127,162.19","2,067,332,276.74","3,552,125,441.24","4,406,234,438.85","1,240,221,966.98"
经营活动现金流入小计,"1,336,903,653.18","2,345,777,481.80","4,636,752,104.92","1,818,074,889.88","3,157,972,232.30","4,457,945,016.42","5,817,051,591.00","1,911,980,909.86","3,286,639,646.44","4,869,565,026.87","6,692,062,851.40","2,218,215,888.03","3,911,563,909.14","5,844,978,145.65","7,893,089,974.61","2,823,918,523.32","4,932,522,316.61","7,324,389,497.76","9,824,127,052.99","3,248,380,352.22","6,041,165,097.27","8,982,259,000.71","11,680,065,285.12","3,734,380,674.77","6,796,614,670.01","9,970,928,786.00","13,120,027,527.16","4,195,911,490.20","7,384,818,821.59","10,657,302,698.09","14,029,990,679.43","5,164,110,927.56","9,145,483,788.02","13,507,748,344.53","18,589,425,567.72","5,422,747,006.69","9,484,342,629.89","13,967,877,356.60","17,992,666,969.28","5,704,634,085.72","10,253,127,683.33","14,737,673,010.80","20,053,249,864.04","6,259,361,610.21"
投资活动产生的现金流量净额,"-29,195,247.88","-94,919,927.41","-192,840,554.94","-23,986,233.00","-97,771,949.61","-166,153,348.65","-277,390,697.73","-36,393,148.26","-155,835,650.82","-428,347,387.94","-652,584,553.46","-175,841,627.67","-272,016,387.17","-339,743,074.13","-605,763,801.95","-319,900,812.93","-657,466,291.88","-889,698,578.69","-1,175,279,272.08","-187,079,296.83","-378,182,875.73","-666,347,517.69","-878,039,732.63","-116,016,889.65","-249,220,352.22","-948,552,878.41","-1,728,156,688.39","-258,602,666.79","-69,019,211.51","-421,106,902.93","-773,913,278.92","-245,013,610.92","-550,117,840.56","-664,173,608.01","-1,097,362,936.52","-474,781,266.72","-587,598,029.85","-701,573,521.73","-1,609,024,767.73","-487,209,504.78","-1,136,538,736.62","-1,491,917,324.56","-1,715,244,409.26","-675,525,742.45"
购买商品、接受劳务支付的现金,"923,096,381.44","1,801,363,057.85","3,664,754,156.92","1,336,707,567.07","2,509,363,344.93","3,507,770,849.97","4,670,798,664.51","1,272,932,962.96","2,309,495,499.87","3,755,312,630.46","5,271,837,491.05","1,524,879,980.65","2,932,399,070.31","4,389,945,986.99","6,229,199,317.82","2,056,838,866.44","3,780,396,550.71","5,625,757,781.42","7,811,387,586.46","2,465,960,344.23","4,736,545,745.29","6,889,453,609.47","8,954,344,444.05","2,715,400,332.16","5,150,422,150.45","7,473,621,864.95","10,111,386,134.01","3,166,952,876.53","5,739,556,060.43","8,243,387,853.46","11,010,651,928.80","3,528,528,819.21","6,980,448,011.00","10,588,004,090.36","15,139,819,647.23","4,198,086,991.47","7,222,873,805.14","10,799,769,803.73","14,059,110,669.71","4,407,737,796.38","7,818,318,863.31","11,167,576,718.91","15,294,822,611.65","4,099,536,591.22"
吸收投资收到的现金,,,,,"882,800,000.00","882,800,000.00","882,800,000.00",,,,,,,,,,,,,,,,,"1,183,839,985.52","1,181,542,522.83","1,181,542,522.83","1,185,839,985.52",,,,,,"75,000,000.00","75,000,000.00","77,036,790.00",,"2,863,210.00","11,863,210.00","1,397,307,702.44",,"12,692,279.00","12,692,279.00","12,692,279.00",
