科目,2009-12-31,2010-12-31,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"103,440,230.21","168,841,484.42","262,624,938.55","275,520,088.07","544,039,248.87","525,808,590.75","388,318,698.13","433,725,864.47","237,202,906.14","352,929,134.07","215,806,443.59","327,296,111.51","211,780,334.50","335,546,398.38","365,418,588.76","316,023,703.24","215,631,671.07","230,856,014.24","162,119,306.51","173,768,586.02","176,510,593.74","246,445,788.75","661,978,675.05","673,477,916.69","128,306,543.68","313,639,961.94","100,323,586.60"
短期借款,"86,500,000.00","165,800,000.00","369,800,000.00","346,800,000.00","377,800,000.00","400,800,000.00","401,900,000.00","532,800,000.00","485,000,000.00","535,000,000.00","660,210,000.00","625,210,000.00","621,010,000.00","626,000,000.00","589,800,000.00","656,000,000.00","669,000,000.00","703,560,000.00","679,830,000.00","638,230,000.00","733,310,000.00","780,100,000.00","719,750,000.00","742,110,000.00","727,710,000.00","641,660,000.00","507,060,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"2,501,663.65","16,795,990.00","19,682,586.95","11,786,491.30","10,999,011.08","24,468,719.68","14,585,954.65","79,930,406.94","32,579,012.34","52,751,701.19","15,875,129.85","93,683,021.69","76,896,173.96","32,764,774.50","27,768,088.39","47,872,319.37","38,384,691.11","72,138,962.34","43,818,703.26","48,362,668.34","19,683,021.34","45,612,378.44","32,424,668.09","31,665,621.17","41,257,224.52","38,259,982.85","19,767,185.85"
应付票据,"61,928,324.00","55,935,060.46","26,375,800.00","112,983,041.63","80,458,830.56","53,007,123.93","57,741,085.00","48,406,555.00","46,066,492.00","29,806,577.00","79,631,848.67","132,304,208.67","79,340,500.00","189,344,900.00","234,178,900.00","218,064,000.00","170,050,000.00","17,950,000.00","14,150,000.00","14,282,000.00","20,687,900.00","20,399,600.00","9,363,700.00","28,620,000.00","28,890,000.00","8,890,000.00","17,734,180.00"
应收账款,"96,637,033.43","127,353,716.32","171,554,137.42","200,515,727.35","340,019,611.93","233,747,443.20","243,118,793.04","301,960,512.66","441,187,872.10","312,203,731.57","405,436,234.05","381,342,287.24","501,088,097.37","461,369,892.11","509,471,135.29","549,180,626.89","672,742,790.17","471,326,742.24","440,002,479.47","469,510,019.42","541,383,576.35","493,915,372.84","491,396,982.03","526,416,013.50","688,011,215.22","538,165,793.06","559,227,918.01"
应付账款,"60,016,505.03","95,734,619.22","172,416,034.60","166,355,163.09","165,463,037.08","147,643,380.12","125,581,906.12","162,572,341.98","185,212,790.94","211,773,118.16","148,797,849.66","176,497,198.88","194,697,192.68","197,999,839.71","195,496,365.56","217,838,270.84","223,256,832.47","153,529,875.53","121,394,970.29","170,208,557.70","170,652,661.48","164,024,132.82","165,847,572.43","147,840,547.15","171,518,771.13","206,320,876.35","199,258,295.39"
预付款项,"32,699,829.03","26,144,568.87","34,980,866.91","56,157,212.42","71,587,380.93","49,888,061.43","51,538,910.29","56,996,907.30","54,540,711.24","94,827,803.17","182,904,167.91","145,707,461.43","207,523,536.54","59,304,135.81","99,278,312.72","105,206,181.31","95,204,413.40","31,941,772.25","44,262,265.89","45,320,501.27","55,417,107.31","49,139,642.35","95,398,370.03","91,468,292.81","121,759,003.79","83,081,731.47","104,827,146.06"
预收款项,"42,003,701.20","41,474,914.68","49,214,746.93","30,537,627.95","49,994,135.67","22,308,491.36","28,502,291.47","27,618,079.04","23,034,483.17","45,514,895.29","31,960,434.30","45,804,113.58","39,765,828.32","63,834,550.74","70,286,287.56","57,159,354.37","80,867,434.81","59,488,418.89","76,860,217.42","100,398,629.41","78,949,058.42","49,595,824.46","72,596,019.95","86,998,289.15","86,074,380.45","60,086,391.85","75,724,923.32"
其他应收款,"19,695,309.97","14,055,585.52","17,835,366.99","26,009,904.38","18,316,593.46","22,696,380.77","25,320,276.86","28,231,887.87","26,438,688.13","25,056,771.77","24,445,893.90","31,041,032.30","27,353,954.31","196,042,126.11","43,093,153.70","39,795,521.46","42,217,908.33","29,737,693.83","33,258,284.21","33,066,398.41","29,700,114.81","30,763,680.84","38,313,494.84","36,300,884.73","98,068,928.07","177,040,199.56","151,303,696.54"
应付职工薪酬,"5,576,376.52","4,662,021.27","6,027,162.82","8,080,920.79","8,618,791.97","7,666,458.50","6,609,889.69","9,024,329.75","9,293,610.87","11,244,827.05","4,078,157.91","7,832,449.45","10,787,006.74","16,267,920.02","9,972,403.81","12,682,555.71","12,265,786.87","18,518,529.45","7,737,472.88","9,909,799.73","12,311,348.57","12,414,266.28","12,466,636.89","16,970,533.50","21,833,755.22","22,111,893.32","18,436,820.58"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,
