科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"197,301,336.38","255,287,661.63","281,652,171.47","62,290,123.55","176,209,112.33","226,180,489.31","323,791,239.24","106,958,736.84","238,535,117.50","422,399,610.21","536,755,173.78","192,405,300.83","306,822,665.85","481,619,164.70"
取得子公司及其他营业单位支付的现金净额,"7,719,202.04",,,,,,,,,,,,,
收到的税费返还,"11,916,535.60","19,936,090.07","11,972,909.05","911,389.62","6,904,685.12","7,872,746.15","10,209,099.87","2,563,025.96","4,069,413.25","7,671,570.88","10,774,465.51","374,725.05","4,154,425.91","6,801,223.72"
支付其他与投资活动有关的现金,"22,413,000.00",,,,,,,,,,,,,
收到其他与经营活动有关的现金,"13,604,557.37","7,030,581.25","7,373,037.88","3,884,631.64","2,998,356.28","10,108,543.04","6,720,725.26","4,476,754.97","14,047,726.30","29,241,050.21","21,307,771.81","45,646,947.62","7,065,788.45","11,748,789.55"
投资活动现金流出小计,"81,375,622.97","75,600,293.12","51,862,300.94","21,024,723.65","36,380,982.54","50,023,363.52","73,744,499.78","139,194,285.75","225,913,400.73","257,345,527.15","395,335,522.26","169,893,173.47","296,152,198.54","451,872,111.17"
经营活动现金流入小计,"222,822,429.35","282,254,332.95","300,998,118.40","67,086,144.81","186,112,153.73","244,161,778.50","340,721,064.37","113,998,517.77","256,652,257.05","459,312,231.30","568,837,411.10","238,426,973.50","318,042,880.21","500,169,177.97"
投资活动产生的现金流量净额,"-79,264,826.24","-74,577,240.91","-49,787,720.30","-20,979,841.60","-35,337,710.00","-48,400,214.25","-71,943,213.10","-139,192,285.75","-154,952,000.26","-166,289,195.17","-252,256,549.44","-93,855,953.91","-12,627,919.31","-67,353,037.42"
购买商品、接受劳务支付的现金,"93,028,292.63","139,208,467.58","164,101,283.84","29,732,361.26","71,988,068.79","104,639,573.03","139,679,104.55","34,784,823.55","87,396,735.42","194,528,168.21","195,375,614.99","77,206,762.02","108,860,687.54","181,605,207.26"
吸收投资收到的现金,"24,000,000.00",,,,,,"256,383,600.00",,"103,091,570.00","102,976,790.00","130,936,790.00",,"8,097,000.00","8,097,000.00"
支付给职工以及为职工支付的现金,"26,842,555.79","41,213,963.76","49,066,710.89","16,218,333.80","27,441,894.73","41,645,713.45","57,124,292.71","20,875,590.89","36,754,337.81","55,126,366.19","75,764,904.67","34,375,409.02","53,952,071.58","79,307,851.74"
取得借款收到的现金,"116,435,410.66","142,239,786.40","177,930,240.00","64,437,296.00","134,437,296.00","163,978,464.00","235,978,464.00","10,000,000.00","10,000,000.00","10,000,000.00","177,000,000.00","80,000,000.00","212,000,000.00","285,889,965.88"
支付的各项税费,"16,602,576.11","14,842,738.67","21,468,563.71","5,028,698.84","12,488,785.05","22,067,244.59","27,775,207.19","8,574,728.59","21,817,621.09","32,817,898.23","47,128,480.99","11,557,775.13","32,222,157.23","44,799,969.10"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"23,153,199.79","29,770,161.75","34,972,012.76","7,196,577.66","18,867,452.70","26,997,187.31","42,133,809.29","12,748,273.00","18,870,460.52","50,975,048.23","62,034,215.95","74,673,551.73","27,757,074.89","41,011,549.45"
