科目,2008-06-30,2008-12-31,2009-06-30,2009-12-31,2010-06-30,2010-12-31,2011-06-30,2011-12-31,2012-06-30,2012-12-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"2,944,158.14","2,629,868.02","9,367,013.05","2,708,598.74","1,578,020.79","21,855,880.69","12,894,654.12","67,711,486.47","32,792,402.65","121,642,085.36","62,203,712.12","32,984,941.56","83,310,887.09","149,648,676.01","79,588,786.18","77,767,177.24","142,189,540.27","80,440,707.91","93,041,837.37","69,622,665.90","120,880,218.88","88,630,771.92","84,046,637.32","312,925,404.10","630,812,513.51","305,020,496.27","523,591,841.82","267,526,115.96","352,062,614.09","325,068,804.81","313,129,312.49"
短期借款,"8,000,000.00","10,000,000.00","15,000,000.00","16,000,000.00","10,000,000.00","23,500,000.00","70,000,000.00","101,000,000.00","130,000,000.00","152,000,000.00","178,000,000.00","196,000,000.00","203,000,000.00","203,000,000.00","214,787,611.73","246,037,611.73","247,061,146.23","253,023,534.50","299,172,361.50","337,403,615.14","400,179,627.00","426,918,927.00","502,073,100.00","546,500,000.00","556,056,000.00","405,021,043.89","564,285,885.00","628,358,160.00","711,717,065.00","848,271,045.00","869,563,136.30"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,"174,600.00","26,100.00","329,100.00",,,,,,,,"536,480.00"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,350,000.00","28,350,000.00","28,074,900.00"
应收票据,"650,000.00","240,000.00","204,674.00","954,797.20",,"6,542,143.80","277,000.00","290,000.00","505,435.39","468,200.00","110,000.00","1,286,300.00","11,339,958.28","6,250,000.00","564,302.00","677,600.00","19,008,091.85","5,981,480.00","9,873,420.50","18,683,216.14","45,849,733.12","5,885,787.51","10,495,512.00","57,691,369.03","86,922,427.29","39,728,767.28","38,793,782.10","37,288,584.49","110,427,667.84","47,522,909.12","16,485,554.70"
应付票据,,,,,,"3,524,781.70",,,"1,467,024.85","1,532,216.25","2,387,668.80","868,000.00","15,624,370.50","10,589,620.50","272,700.00","10,751,320.60","2,095,954.80",,"3,350,058.06","8,113,381.50","16,823,747.14","16,823,747.14","10,546,071.62","59,351,583.62","20,055,798.93","21,436,719.00","5,981,604.50","23,718,926.05","49,435,344.00","39,226,318.00","114,998,349.00"
应收账款,"25,895,828.33","52,456,137.47","37,654,144.58","86,980,705.46","59,049,468.30","110,194,857.91","102,447,668.44","119,742,430.00","141,252,058.06","181,254,194.03","174,570,881.76","214,262,896.73","214,708,289.09","222,674,694.40","245,675,392.12","303,092,908.33","313,455,503.41","267,174,671.89","290,603,974.67","342,727,760.91","471,468,187.82","417,411,063.93","487,523,026.07","566,331,128.18","705,278,631.88","579,278,817.16","607,155,804.07","784,291,423.22","1,166,915,522.08","1,085,897,679.78","1,193,918,908.51"
应付账款,"10,019,501.38","17,002,761.60","17,007,279.68","18,533,774.95","11,455,203.36","40,663,081.21","36,412,678.82","46,107,583.15","38,700,050.84","59,865,016.89","61,422,502.71","69,720,312.60","86,750,044.96","66,182,456.19","82,525,460.54","103,151,209.30","157,869,547.92","177,268,322.03","182,602,974.59","190,710,156.25","185,517,992.36","163,734,968.74","161,637,668.48","237,797,479.51","304,430,022.66","242,576,032.79","266,372,382.67","382,714,221.35","527,970,111.52","437,478,162.95","391,159,720.47"
预付款项,"8,223,441.32","4,556,422.65","4,551,999.05","2,365,611.06","5,510,094.02","1,906,486.88","12,141,543.29","48,254,726.86","53,768,169.29","53,520,139.99","83,171,855.80","121,517,424.94","122,481,262.79","23,198,729.85","20,806,029.78","60,159,701.44","41,095,454.20","32,619,523.86","25,748,914.24","13,464,308.50","31,610,908.54","51,844,494.11","84,184,680.26","73,065,705.85","73,343,762.41","130,604,102.30","125,114,682.28","207,233,864.06","110,758,142.41","205,540,848.10","241,298,069.55"
预收款项,"6,057,603.85","3,885,362.60","4,885,362.60","949,343.30","2,373,912.47","3,086,282.03","2,109,804.40","1,292,587.82","267,271.01","14,009,389.16","3,620,087.26","3,879,772.18","4,218,423.02","3,113,826.88","14,846,265.18","6,650,534.45","3,016,891.90","48,747,844.62","4,256,786.24","17,768,410.34","12,167,483.20","17,406,453.79","69,304,391.76","73,446,727.86","48,535,281.86","70,148,424.58","69,746,364.66","83,406,621.43","40,830,686.11","85,270,633.74","62,220,211.86"
