科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"425,759,789.98","414,565,458.14","456,562,086.60","114,929,102.26","246,080,451.18","371,647,760.80","505,003,088.04","121,207,518.66","246,638,999.51","376,305,527.58","505,825,838.10","110,414,759.92","241,620,507.61","373,175,825.21","508,840,818.06","108,923,081.76","254,181,843.83","392,481,194.96","549,150,512.95","124,982,028.10","336,892,353.54","575,314,230.17","803,273,144.22","175,337,918.15","465,712,311.64","712,873,018.49","990,486,797.50","212,343,034.88","497,438,797.94","750,735,653.28","1,056,050,755.89","249,260,692.16","586,032,720.20","908,691,005.80","1,273,442,515.71"
二、营业利润,"35,857,113.98","36,096,471.16","49,069,170.89","11,561,691.36","26,136,278.43","39,364,198.08","51,314,496.56","12,658,496.78","30,446,854.47","38,829,761.44","43,310,877.06","8,547,398.08","21,397,176.24","29,344,093.99","32,330,366.18","3,999,237.75","15,336,950.14","20,860,790.18","18,833,301.98","-3,976,414.00","444,724.12","4,854,475.50","3,244,006.25","-1,655,753.74","6,054,371.17","20,931,438.97","30,134,086.79","12,980,926.28","34,604,611.89","50,745,558.76","64,972,290.20","10,241,466.17","24,311,091.06","27,023,736.89","37,303,561.28"
减:营业成本,"374,874,493.64","358,487,169.66","385,290,848.17","94,198,266.07","200,785,914.51","304,826,367.58","412,604,001.62","99,482,212.28","203,994,727.73","314,409,340.42","429,038,815.13","93,603,573.22","207,252,821.25","319,804,690.06","439,360,691.69","93,523,317.32","219,880,731.11","342,123,188.64","481,140,504.16","115,218,662.41","313,989,439.01","534,957,698.37","742,611,017.13","162,137,686.86","425,132,712.69","637,515,620.03","879,381,267.87","181,051,333.91","425,911,542.28","643,059,257.83","908,021,152.47","221,919,218.31","524,607,145.34","819,669,025.07","1,147,860,744.75"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,043,097.43","1,519,188.50","2,133,521.16","143,427.93","694,865.55","1,033,854.25","1,001,461.90","8,570.61","160,234.05","160,234.05","160,234.05",173.00,875.67,875.67,"129,816.22","123,303.19","168,969.41","421,683.33","1,485,374.38","309,096.49","556,670.43","923,319.63","1,537,789.80","532,350.27","1,536,311.93","1,914,256.90","2,741,191.35","520,545.56","1,119,567.71","1,714,646.15","3,795,535.17","758,987.39","1,539,874.41","2,340,894.95","4,001,971.98"
营业外收入,"5,193,760.68","3,664,057.84","758,875.00","158,250.00","607,547.17","757,797.17","1,454,290.76","3,512,538.33","3,662,788.33","4,142,509.33","4,310,759.33","156,250.00","581,469.04","1,321,774.05","1,462,624.05","402,800.00","714,600.00","1,293,400.00","2,027,498.40","948,300.00","1,298,100.00","2,136,228.38","1,597,717.14","731,345.53","1,157,589.04","1,506,520.05","3,936,031.06","758,040.12","1,239,606.13","1,784,972.14","3,068,588.88","240,681.01","421,929.46","626,788.27","96,778.14"
销售费用,"2,979,360.75","4,270,720.16","5,352,134.53","1,599,806.05","3,243,192.44","4,632,373.26","6,042,817.64","1,267,258.77","2,784,191.78","4,738,858.07","6,422,966.61","1,939,726.25","3,417,173.17","5,472,694.48","7,471,760.39","2,324,141.15","4,083,406.06","6,423,183.99","8,293,100.34","2,126,115.11","3,533,327.16","5,703,176.82","10,987,092.62","2,279,894.55","4,761,953.39","8,043,778.83","15,329,724.31","2,887,359.05","5,677,220.36","9,970,157.51","15,137,630.57","2,922,673.10","6,194,853.64","9,757,870.79","14,295,140.78"
减:营业外支出,,"247,622.00",,,,,,,,,,"50,000.00","66,566.15","86,566.15","87,051.43",,"50,000.00","70,000.00","70,000.00",,,"50,000.00","93,402.68","50,000.00","50,000.00","62,153.80","139,277.14","50,000.00","50,000.00","5,058,435.24","5,058,535.24","50,000.00","250,671.52","250,671.52","170,000.00"
管理费用,"7,176,907.64","9,093,188.87","10,274,777.61","5,627,890.65","12,119,700.70","18,912,601.62","30,650,929.98","7,281,016.43","14,728,762.91","23,098,872.28","31,775,846.16","6,034,801.90","14,188,830.20","23,013,292.32","32,881,395.96","8,296,550.92","17,232,499.43","26,883,848.34","39,319,145.31","10,571,209.26","21,081,002.62","31,702,630.19","46,052,182.29","10,965,559.13","26,142,568.81","41,487,024.91","58,421,277.37","14,638,887.31","31,336,044.13","46,687,493.74","62,085,184.09","15,049,245.34","31,825,849.48","49,982,251.50","68,748,961.13"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
