科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月
销售商品、提供劳务收到的现金,"2,642,757,800.89","4,651,159,620.00","6,747,438,712.43","9,411,531,354.85","3,468,908,328.72","5,870,511,905.53","7,443,992,418.17","10,447,311,380.35","3,401,985,710.04","5,933,074,022.27","8,396,725,855.55","11,481,260,452.52","4,436,557,069.71","7,318,215,661.55","10,524,947,557.62","14,422,354,788.86","5,356,646,382.79","8,746,739,464.11"
取得子公司及其他营业单位支付的现金净额,,,,"383,983,745.36",,,,"243,563,215.88",,,,,,"185,949,758.43","185,949,758.43","185,949,758.43",,
收到的税费返还,,,"141,000.00","9,205,614.57",,"44,665.61","7,255,831.93","27,793,563.71",,"8,849,900.00","12,956,148.45","33,438,910.26",,"13,693,790.79","26,342,750.65","32,810,221.65","843,000.00","15,952,660.00"
支付其他与投资活动有关的现金,,,"1,515,815,044.50",,,,"70,460,000.00",,,,,,,,,,,
收到其他与经营活动有关的现金,"1,090,817,872.01","151,909,812.71","2,057,061,262.01","127,500,582.21","447,954,327.67","272,499,288.02","2,167,467,179.98","48,051,496.15","67,112,926.17","111,162,242.78","276,025,914.99","162,054,986.08","66,520,643.53","50,221,174.35","126,351,757.64","119,558,731.25","67,492,642.49","76,655,626.95"
投资活动现金流出小计,"178,055,731.87","2,581,813,639.33","2,568,035,079.96","2,766,734,890.83","112,528,342.19","373,368,197.41","964,219,588.87","1,212,466,988.96","251,695,518.96","313,427,207.55","331,965,097.80","447,017,553.66","271,242,560.90","447,147,908.20","465,370,738.23","917,709,971.52","14,098,666.75","265,514,046.89"
经营活动现金流入小计,"3,733,575,672.90","4,803,069,432.71","8,804,640,974.44","9,548,237,551.63","3,916,862,656.39","6,143,055,859.16","9,618,715,430.08","10,523,156,440.21","3,469,098,636.21","6,053,086,165.05","8,685,707,918.99","11,676,754,348.86","4,503,077,713.24","7,382,130,626.69","10,677,642,065.91","14,574,723,741.76","5,424,982,025.28","8,839,347,751.06"
投资活动产生的现金流量净额,"-136,077,747.51","-2,515,196,584.64","-2,412,613,447.46","-2,683,374,416.61","-98,839,510.54","-347,841,084.68","-920,086,017.54","-1,118,939,392.26","-248,798,351.21","-298,140,963.88","-227,208,205.78","-326,007,655.14","-262,830,159.50","-319,465,165.76","-138,570,402.55","-67,343,603.74","664,612,061.68","410,961,120.88"
购买商品、接受劳务支付的现金,"2,014,608,578.17","3,599,309,244.22","5,097,006,024.51","6,821,483,694.88","2,610,488,719.94","4,648,798,972.20","5,639,240,323.56","7,548,947,399.57","2,690,362,058.18","4,656,404,034.13","6,376,005,712.77","8,378,178,375.27","3,382,527,610.77","5,555,537,839.72","7,810,653,264.70","10,614,894,729.88","3,969,682,402.86","6,852,278,239.66"
吸收投资收到的现金,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"126,645,838.47","221,715,780.99","299,115,292.66","536,587,588.41","136,057,871.39","264,824,424.96","370,799,022.06","545,996,826.10","153,390,047.81","270,103,935.36","403,701,420.10","624,207,832.41","216,128,185.77","354,938,214.98","474,865,427.43","662,898,625.58","227,715,740.94","368,049,215.76"
取得借款收到的现金,"720,000,000.00","3,611,558,250.00","4,349,493,550.00","5,773,629,850.00","555,757,600.00","3,454,006,700.00","5,270,442,944.49","8,168,903,960.00","2,490,000,000.00","6,000,000,000.00","7,600,000,000.00","9,490,000,000.00","1,520,200,000.00","5,330,000,000.00","6,440,000,000.00","7,651,250,000.00","2,962,800,000.00","3,720,000,000.00"
支付的各项税费,"225,769,689.84","295,442,111.86","415,942,750.21","541,628,769.42","226,447,032.44","347,990,049.97","420,457,258.14","587,052,721.37","256,103,311.22","399,904,428.60","501,749,734.00","653,057,631.37","282,272,987.46","392,676,094.01","569,604,768.99","713,299,858.28","414,912,008.50","609,355,512.88"
收到其他与筹资活动有关的现金,,,"2,229.69",,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"1,153,480,424.45","377,857,819.14","2,654,249,882.13","623,078,521.47","643,640,259.60","476,706,625.64","2,546,237,011.75","723,061,871.35","258,167,131.52","412,185,426.43","607,881,776.40","751,647,361.14","345,589,131.60","424,007,665.84","833,821,160.02","919,619,942.76","367,655,051.02","565,936,583.78"
筹资活动现金流入小计,"720,000,000.00","3,611,558,250.00","4,349,495,779.69","5,773,629,850.00","555,757,600.00","3,454,006,700.00","5,270,442,944.49","8,168,903,960.00","2,490,000,000.00","6,000,000,000.00","7,600,000,000.00","9,490,000,000.00","1,520,200,000.00","5,330,000,000.00","6,440,000,000.00","7,651,250,000.00","2,962,800,000.00","3,720,000,000.00"
经营活动现金流出小计,"3,520,504,530.93","4,494,324,956.21","8,466,313,949.51","8,522,778,574.18","3,616,633,883.37","5,738,320,072.77","8,976,733,615.51","9,405,058,818.39","3,358,022,548.73","5,738,597,824.52","7,889,338,643.27","10,407,091,200.19","4,226,517,915.60","6,727,159,814.55","9,688,944,621.14","12,910,713,156.50","4,979,965,203.32","8,395,619,552.08"
偿还债务支付的现金,"146,000,000.00","1,787,858,250.00","2,313,562,773.24","3,951,594,850.00","627,676,800.00","3,716,786,344.44","4,834,229,544.44","7,987,834,460.00","2,140,000,000.00","5,580,000,000.00","7,310,000,000.00","9,740,000,000.00","1,498,200,000.00","5,372,500,000.00","6,702,100,000.00","7,981,700,000.00","3,250,000,000.00","4,139,400,000.00"
经营活动产生的现金流量净额,"213,071,141.97","308,744,476.50","338,327,024.93","1,025,458,977.45","300,228,773.02","404,735,786.39","641,981,814.57","1,118,097,621.82","111,076,087.48","314,488,340.53","796,369,275.72","1,269,663,148.67","276,559,797.64","654,970,812.14","988,697,444.77","1,664,010,585.26","445,016,821.96","443,728,198.98"
分配股利、利润或偿还利息支付的现金,"16,174,667.12","38,409,165.48","320,297,115.51","433,679,327.54","40,451,019.09","155,935,430.86","186,422,443.01","398,358,355.60","96,224,109.44","201,246,451.52","342,894,539.06","366,420,043.63","173,356,024.13","227,631,708.77","381,983,330.84","406,013,300.84","87,056,811.87","108,477,888.53"
收回投资收到的现金,"2,500,000.00","63,900,582.41","69,021,477.03","72,599,956.42",,,"5,244,800.00","54,188,026.29",,"11,089,531.80","70,095,697.07","73,059,299.90","8,261,201.40","122,204,141.07","151,654,725.31","795,046,354.23","364,014,566.99","674,997,036.47"
支付其他与筹资活动有关的现金,"1,028,631,422.74",,"50,000.00","229,150.76",,,,,"549,743.47",,,"200,000.00",,"1,000,734.48","1,000,734.48","1,000,734.48",,
取得投资收益收到的现金,"39,297,193.43","2,393,734.85","5,193,222.79","3,636,934.02","13,673,851.65","25,015,242.73","37,908,022.29","25,317,547.33","2,894,167.75","4,193,491.87","33,805,739.91","31,108,225.07","151,200.00","5,380,327.15","174,913,686.15","54,721,298.06","311,133,669.48","1,408,056.60"
筹资活动现金流出小计,"1,190,806,089.86","1,826,267,415.48","2,633,909,888.75","4,385,503,328.30","668,127,819.09","3,872,721,775.30","5,020,651,987.45","8,386,192,815.60","2,236,773,852.91","5,781,246,451.52","7,652,894,539.06","10,106,620,043.63","1,671,556,024.13","5,601,132,443.25","7,085,084,065.32","8,388,714,035.32","3,337,056,811.87","4,247,877,888.53"
处置固定资产、无形资产和其他长期资产收回的现金净额,"106,439.06","322,737.43","447,644.57","1,274,137.80","14,980.00","511,870.00","980,749.04","14,022,023.08","3,000.00","3,220.00","855,455.04","1,493,542.68",,"98,274.22","231,924.22","598,715.49","3,562,491.96","70,074.70"
筹资活动产生的现金流量净额,"-470,806,089.86","1,785,290,834.52","1,715,585,890.94","1,388,126,521.70","-112,370,219.09","-418,715,075.30","249,790,957.04","-217,288,855.60","253,226,147.09","218,753,548.48","-52,894,539.06","-616,620,043.63","-151,356,024.13","-271,132,443.25","-645,084,065.32","-737,464,035.32","-374,256,811.87","-527,877,888.53"
处置子公司及其他营业单位收到的现金净额,"1,000.00",,,"5,849,445.98",,,,,,,,"15,348,830.87",,,,,,
四、汇率变动对现金的影响,"11,354.46","28,853.50","356,068.44","78,576.47","256,703.03","452,373.02","459,169.71","205,093.92",-274.90,-182.55,-679.44,-989.29,-794.35,"-6,488.39","133,318.71","-26,551.28","-7,884.07","-12,256.01"
收到其他与投资活动有关的现金,"73,351.87",,"80,759,288.11",,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"41,977,984.36","66,617,054.69","155,421,632.50","83,360,474.22","13,688,831.65","25,527,112.73","44,133,571.33","93,527,596.70","2,897,167.75","15,286,243.67","104,756,892.02","121,009,898.52","8,412,401.40","127,682,742.44","326,800,335.68","850,366,367.78","678,710,728.43","676,475,167.77"
五、现金及现金等价物净增加额,"-393,801,340.94","-421,132,420.12","-358,344,463.15","-269,710,340.99","89,275,746.42","-361,368,000.57","-27,854,076.22","-217,925,532.12","115,503,608.46","235,100,742.58","516,265,851.44","327,034,460.61","-137,627,180.34","64,366,714.74","205,176,295.61","859,176,394.92","735,364,187.70","326,799,175.32"
购建固定资产、无形资产和其他长期资产支付的现金,"178,055,731.87","232,387,054.36","217,353,534.99","455,782,761.81","99,042,114.19","150,552,519.41","210,551,426.87","309,793,390.08","251,695,518.96","313,427,207.55","331,965,097.80","441,668,623.66","30,564,390.95","74,547,079.77","92,579,727.91","671,918,961.20","14,098,666.75","265,514,046.89"
期初现金及现金等价物余额,"834,246,229.19","1,033,560,370.68","1,033,560,370.68","1,034,372,045.60","764,661,704.61","764,661,704.61","764,661,704.61","764,661,704.61","546,736,172.49","546,736,172.49","546,736,172.49","546,736,172.49","917,454,391.05","917,454,391.05","917,454,391.05","917,454,391.05","1,776,630,785.97","1,776,630,785.97"
投资支付的现金,,"2,349,426,584.97","834,866,500.47","1,926,968,383.66","13,486,228.00","222,815,678.00","683,208,162.00","659,110,383.00",,,,"5,348,930.00","240,678,169.95","186,651,070.00","186,841,251.89","59,841,251.89",,
期末现金及现金等价物余额,"440,444,888.25","612,427,950.56","675,215,907.53","764,661,704.61","853,937,451.03","403,293,704.04","736,807,628.39","546,736,172.49","662,239,780.95","781,836,915.07","1,063,002,023.93","873,770,633.10","779,827,210.71","981,821,105.79","1,122,630,686.66","1,776,630,785.97","2,511,994,973.67","2,103,429,961.29"
