科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"76,841,676.88","105,331,755.96","118,129,492.54","20,304,621.39","55,258,136.70","83,427,673.95","120,756,205.82","28,939,559.69","66,385,365.33","99,910,583.22","139,335,098.74","32,169,104.96","70,779,845.00","116,996,155.72","178,398,140.59","40,806,554.42","77,812,819.94","911,879,931.52","734,944,906.42","290,781,329.19","548,258,254.82","906,430,773.43","1,652,329,589.32","249,464,175.23","531,000,136.40","981,515,841.52","1,228,365,738.85"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,"1,123,686.77",,,,,,,,"191,118,024.92",,,,,,,,"-9,681,524.04"
收到的税费返还,"391,582.68","1,189,489.42","4,107,678.33","609,026.78","910,752.05","1,077,531.80","1,512,617.83","797,282.02","1,530,129.00","3,569,668.94","4,703,979.55","1,737,667.21","3,325,911.35","5,489,551.41","7,593,261.45","632,636.77","2,956,501.10","7,849,599.19","4,995,595.45","117,394.00","964,785.37","2,611,481.05","5,343,512.99","724,328.62","3,082,295.26","14,687,968.35","18,959,381.73"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,"1,753,386.53","1,753,386.53",,1.00,1.00,1.00,,,"4,000,000.00","1,748,038.60"
收到其他与经营活动有关的现金,"3,181,850.87","475,105.34","3,296,563.04","1,284,122.04","10,116,269.18","12,719,705.42","8,154,403.83","867,150.61","8,608,395.87","17,730,751.71","20,047,799.32","563,717.98","1,461,521.44","3,259,761.34","3,847,727.29","3,217,509.61","4,394,748.13","99,793,464.45","85,323,110.90","2,713,066.97","4,146,067.59","79,066,575.54","127,449,730.43","14,832,851.90","35,357,355.28","88,332,559.24","137,106,536.61"
投资活动现金流出小计,"2,452,288.78","9,732,086.24","6,855,418.48","597,876.84","1,023,712.81","3,366,873.57","30,717,289.62","21,553,915.07","53,839,461.61","88,650,693.80","112,510,813.63","7,793,420.60","47,090,018.05","68,395,033.99","142,126,701.42","43,480,226.62","45,965,029.89","330,066,301.72","298,195,329.13","54,663,185.17","87,060,671.19","127,297,343.86","238,290,718.51","63,752,899.50","169,785,959.85","282,540,015.48","336,410,123.40"
经营活动现金流入小计,"80,415,110.43","106,996,350.72","125,533,733.91","22,197,770.21","66,285,157.93","97,224,911.17","130,423,227.48","30,603,992.32","76,523,890.20","121,211,003.87","164,086,877.61","34,470,490.15","75,567,277.79","125,745,468.47","189,839,129.33","44,656,700.80","85,164,069.17","1,019,522,995.16","825,263,612.77","293,611,790.16","553,369,107.78","988,108,830.02","1,785,122,832.74","265,021,355.75","569,439,786.94","1,084,536,369.11","1,384,431,657.19"
投资活动产生的现金流量净额,"-2,452,288.78","-9,732,086.24","-6,855,418.48","-597,876.84","-1,023,712.81","-3,329,373.57","-30,679,789.62","-21,553,915.07","-53,839,461.61","-88,641,509.80","-112,501,629.63","-7,737,020.60","-24,213,628.65","-41,033,621.75","-107,700,227.02","-2,881,870.46","35,174,848.80","-248,918,423.03","-216,444,450.44","-54,596,722.97","-63,761,686.42","-103,998,259.09","-215,088,667.99","-63,752,899.50","-169,781,496.45","-282,535,115.78","-323,330,905.91"
购买商品、接受劳务支付的现金,"46,736,125.04","56,558,091.25","71,940,699.80","21,100,338.13","44,277,921.53","64,601,812.38","88,098,353.50","19,819,634.32","42,955,350.75","75,473,490.10","96,735,821.17","19,265,605.92","45,090,491.77","77,856,421.66","109,000,289.69","24,698,643.97","49,054,544.56","786,586,259.27","583,365,400.43","208,513,372.17","402,590,459.59","659,899,825.56","1,047,985,644.35","178,319,426.42","443,201,558.14","756,300,781.19","808,025,568.04"
吸收投资收到的现金,,,,,"176,184,761.43","176,184,761.43","183,839,400.00",,,,,"3,358,783.48","31,711,723.48","31,711,723.48","31,711,723.48",,,"189,656,810.00","199,656,810.00",,,,"827,474,969.00",,"64,673,600.00","64,673,600.00","64,673,600.00"
支付给职工以及为职工支付的现金,"5,837,905.23","8,659,414.28","10,741,543.26","2,999,898.06","5,769,412.41","8,807,231.57","13,377,334.50","2,955,191.75","7,711,460.45","12,858,348.08","16,964,129.99","5,477,883.26","11,335,087.93","17,304,128.16","22,778,671.57","5,838,641.34","13,005,914.69","110,774,991.99","71,718,676.34","25,441,381.58","55,740,158.38","94,260,995.86","138,386,034.01","35,718,847.12","75,283,558.05","165,837,222.86","182,034,932.50"
取得借款收到的现金,,"5,000,000.00",,,,,,,,,,,,,"40,000,000.00",,,"71,000,000.00","238,068,037.66","49,611,639.88","259,338,662.45","297,350,054.80","235,990,000.00",,"235,517,773.36","380,481,061.76","396,356,643.59"
支付的各项税费,"3,572,161.95","5,795,990.59","8,147,565.29","3,335,362.76","4,903,405.24","5,208,568.28","6,682,805.38","1,565,875.08","2,806,920.15","4,184,070.72","5,737,102.09","565,149.27","3,350,801.08","4,488,838.23","5,636,649.22","1,844,618.39","2,908,928.24","28,969,665.86","16,633,628.35","8,296,704.65","31,082,568.87","42,096,202.77","61,608,326.08","13,399,254.87","25,294,267.09","50,256,876.80","50,551,941.65"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,"286,172,600.25",,"24,500,000.00","35,500,000.00","45,500,000.00","8,000,000.00",,,,"27,000,000.00"
