科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"722,283,932.28","757,334,522.80","755,620,665.98","210,498,903.54","417,277,615.13","707,212,609.79","885,195,446.26","326,723,417.81","510,210,033.87","791,216,372.14","1,065,932,271.83","338,607,875.53","575,601,272.24","740,967,587.85","985,909,919.27","301,627,389.69"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,"2,355,575.12",,,,,,,,"300,000,000.00",
收到其他与经营活动有关的现金,"1,809,115.04","3,398,560.68","9,131,779.00","7,679,951.06","919,370.23","4,993,691.86","12,626,311.15","1,864,942.05","3,088,907.53","6,570,670.99","19,197,049.81","2,525,303.53","2,725,869.67","3,074,754.49","8,560,738.57","74,181,418.99"
投资活动现金流出小计,"18,218,017.94","38,129,874.03","21,774,449.87","10,214,420.07","50,233,839.69","92,540,495.73","172,400,590.97","23,546,091.62","25,420,564.06","39,838,763.56","52,755,210.46","22,990,797.54","30,840,545.27","43,364,468.24","365,176,577.68","6,964,579.21"
经营活动现金流入小计,"724,093,047.32","760,733,083.48","764,752,444.98","218,178,854.60","418,196,985.36","712,206,301.65","897,821,757.41","328,588,359.86","513,298,941.40","797,787,043.13","1,085,129,321.64","341,133,179.06","578,327,141.91","744,042,342.34","994,470,657.84","375,808,808.68"
投资活动产生的现金流量净额,"-18,218,017.94","-38,095,874.03","-21,741,449.87","-10,144,265.27","-50,163,684.89","-92,044,773.57","-170,406,927.65","-22,546,091.62","-17,620,564.06","-32,038,763.56","-52,745,210.46","-22,990,797.54","-30,742,345.27","-43,266,268.24","-222,196,863.81","13,432,303.09"
购买商品、接受劳务支付的现金,"510,405,050.08","504,929,531.18","485,444,440.11","100,251,733.03","268,061,799.75","453,822,935.37","540,736,555.99","211,434,387.10","382,530,851.22","566,131,237.09","785,298,442.13","225,840,191.66","416,987,344.80","540,144,409.73","715,251,559.66","195,038,549.78"
吸收投资收到的现金,,,,"332,968,891.52","324,033,050.00","324,033,050.00","337,546,250.00",,,,,,,,,
支付给职工以及为职工支付的现金,"38,649,871.53","39,379,310.25","39,786,821.54","18,395,116.27","32,957,826.56","47,294,729.67","53,175,781.82","21,175,714.98","29,106,692.15","46,215,923.43","59,509,228.32","10,823,944.81","26,286,259.07","36,854,813.37","54,273,761.97","15,892,723.87"
取得借款收到的现金,"68,000,000.00","95,520,000.00","59,388,723.00","19,164,351.00",,,"19,164,351.00",,,,,,,,,
支付的各项税费,"58,168,397.15","50,877,934.86","74,866,594.82","16,778,752.44","42,429,759.24","57,862,747.75","90,853,489.50","18,849,924.86","57,677,708.78","74,809,175.21","85,158,196.76","16,962,978.46","42,261,734.48","61,415,846.11","67,391,399.37","37,389,821.48"
收到其他与筹资活动有关的现金,,,,,"13,513,200.00","13,513,200.00",,,,,,,,,,
支付其他与经营活动有关的现金,"53,306,952.24","51,867,384.02","52,994,510.42","17,859,660.06","29,298,118.01","37,621,110.56","59,344,824.23","10,859,006.19","32,917,037.88","43,928,055.45","66,570,369.16","11,516,781.15","34,135,341.62","53,027,952.23","69,643,515.87","26,649,283.96"
筹资活动现金流入小计,"68,000,000.00","95,520,000.00","59,388,723.00","352,133,242.52","337,546,250.00","337,546,250.00","356,710,601.00",,,,,,,,,
经营活动现金流出小计,"660,530,271.00","647,054,160.31","653,092,366.89","153,285,261.80","372,747,503.56","596,601,523.35","744,110,651.54","262,319,033.13","502,232,290.03","731,084,391.18","996,536,236.37","265,143,896.08","519,670,679.97","691,443,021.44","906,560,236.87","274,970,379.09"
偿还债务支付的现金,"95,000,000.00","77,020,000.00","72,500,000.00",,"53,388,723.00","63,388,723.00","92,553,074.00",,,,,,,,,"1,240,000.00"
经营活动产生的现金流量净额,"63,562,776.32","113,678,923.17","111,660,078.09","64,893,592.80","45,449,481.80","115,604,778.30","153,711,105.87","66,269,326.73","11,066,651.37","66,702,651.95","88,593,085.27","75,989,282.98","58,656,461.94","52,599,320.90","87,910,420.97","100,838,429.59"
分配股利、利润或偿还利息支付的现金,"34,168,262.18","50,522,397.11","5,163,662.96","1,152,782.46","1,855,532.22","1,055,780.37","2,057,565.56",,"34,962,500.00","37,573,250.00","37,573,250.00",,"24,594,779.50","55,822,317.54","52,426,750.00","8,800.44"
收回投资收到的现金,,,,,,,,,,,,,,,,"20,000,000.00"
支付其他与筹资活动有关的现金,"1,066,213.75",,,,"8,625,162.10","13,352,570.58","8,775,212.10",,,,,,,,,
取得投资收益收到的现金,,,,,,,,,,,,,,,"2,051,365.15","396,882.30"
筹资活动现金流出小计,"130,234,475.93","127,542,397.11","77,663,662.96","1,152,782.46","63,869,417.32","77,797,073.95","103,385,851.66",,"34,962,500.00","37,573,250.00","37,573,250.00",,"24,594,779.50","55,822,317.54","52,426,750.00","1,248,800.44"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"34,000.00","33,000.00","70,154.80","70,154.80","495,722.16","1,993,663.32",,,,"10,000.00",,"98,200.00","98,200.00","928,348.72",
筹资活动产生的现金流量净额,"-62,234,475.93","-32,022,397.11","-18,274,939.96","350,980,460.06","273,676,832.68","259,749,176.05","253,324,749.34",,"-34,962,500.00","-37,573,250.00","-37,573,250.00",,"-24,594,779.50","-55,822,317.54","-52,426,750.00","-1,248,800.44"
处置子公司及其他营业单位收到的现金净额,,,,,,,,"1,000,000.00","7,800,000.00","7,800,000.00",,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,"-437,648.84",,,,"205,497.98","260,948.51"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,"140,000,000.00",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,
投资活动现金流入小计,,"34,000.00","33,000.00","70,154.80","70,154.80","495,722.16","1,993,663.32","1,000,000.00","7,800,000.00","7,800,000.00","10,000.00",,"98,200.00","98,200.00","142,979,713.87","20,396,882.30"
五、现金及现金等价物净增加额,"-16,889,717.55","43,560,652.03","71,643,688.26","405,729,787.59","268,962,629.59","283,309,180.78","236,628,927.56","43,723,235.11","-41,516,412.69","-2,909,361.61","-2,163,024.03","52,998,485.44","3,319,337.17","-46,489,264.88","-186,507,694.86","113,282,880.75"
购建固定资产、无形资产和其他长期资产支付的现金,"18,218,017.94","38,129,874.03","21,774,449.87","10,214,420.07","50,233,839.69","92,540,495.73","170,045,015.85","23,546,091.62","25,420,564.06","39,838,763.56","52,755,210.46","22,990,797.54","30,840,545.27","43,364,468.24","65,176,577.68","2,594,247.32"
期初现金及现金等价物余额,"65,177,698.49","48,287,980.94","91,848,632.97","163,492,321.23","163,492,321.23","163,492,321.23","163,492,321.23","400,121,248.79","400,121,248.79","400,121,248.79","400,121,248.79","397,958,224.76","397,958,224.76","397,958,224.76","397,958,224.76","211,450,529.90"
投资支付的现金,,,,,,,,,,,,,,,,"4,370,331.89"
期末现金及现金等价物余额,"48,287,980.94","91,848,632.97","163,492,321.23","569,222,108.82","432,454,950.82","446,801,502.01","400,121,248.79","443,844,483.90","358,604,836.10","397,211,887.18","397,958,224.76","450,956,710.20","401,277,561.93","351,468,959.88","211,450,529.90","324,733,410.65"
