科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"679,527,662.91","664,200,312.48","601,561,261.29",,"1,448,281,753.38","981,284,914.70","888,631,848.27","632,483,567.47","414,672,854.74","397,719,884.03","592,083,897.64","772,935,459.60","755,862,959.22","888,287,139.55"
短期借款,"336,000,000.00","296,000,000.00","180,000,000.00",,"200,000,000.00","80,000,000.00","80,000,000.00","20,000,000.00",,,,,,
交易性金融资产,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,
应收票据,"367,050,631.18","451,527,961.00","292,127,933.20",,"299,438,455.00","380,900,619.00","217,209,109.00","396,975,230.00","417,309,247.00","465,080,835.00","318,946,541.00","380,673,093.00","441,625,532.00","566,160,770.79"
应付票据,"286,670,000.00","393,040,000.00","252,080,000.00",,"218,820,000.00","289,270,000.00","349,660,000.00","310,100,000.00","292,710,000.00","259,450,000.00","240,450,000.00","176,930,000.00","221,905,000.00","339,045,000.00"
应收账款,"28,852,340.26","25,511,778.07","6,221,105.90",,"17,947,512.10","16,674,571.99","15,548,582.99","20,159,459.60","14,331,444.08","18,925,237.81","17,339,682.17","18,744,505.45","16,300,048.28","16,003,119.09"
应付账款,"199,360,192.32","200,923,907.84","188,397,637.49",,"233,491,859.60","145,799,754.56","189,430,669.55","169,436,256.35","162,889,790.97","145,843,556.22","197,016,783.46","276,692,879.10","251,279,524.71","175,114,795.17"
预付款项,"26,648,497.73","31,931,252.86","19,638,646.50",,"22,404,228.79","39,505,616.85","4,068,433.46","15,048,140.56","795,004.50","3,185,278.36","6,174,804.31","2,354,860.88","1,936,065.30","948,565.35"
预收款项,"265,878,159.99","276,701,854.74","170,099,995.60",,"172,546,672.63","147,592,196.39","213,270,238.52","203,495,360.19","228,593,197.53","186,778,397.74","443,805,258.19","360,282,232.87","450,459,741.77","546,966,968.98"
其他应收款,"11,350,971.32","11,224,563.98","9,977,340.09",,"4,251,604.37","1,518,010.62","2,835,673.37","4,475,447.31","4,138,928.93","6,033,433.16","2,585,722.00","2,717,943.34","4,074,743.81","4,403,850.92"
