科目,2007年度,2008年度,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"95,786,879.94","170,778,946.47","173,493,941.92","233,288,316.27","50,255,947.69","128,690,344.77","236,409,483.15","324,501,012.25","81,164,162.47","186,254,298.64","326,342,184.19","444,315,802.03","105,072,330.00","241,215,071.10","701,787,675.81","1,118,434,208.11","471,421,851.69","1,039,237,812.56","1,646,064,505.28","2,219,177,287.83","506,849,165.72","1,180,202,803.36","1,933,070,480.95","2,517,684,366.16","273,921,452.47","724,219,555.49","1,138,879,091.86","1,672,660,686.35","298,252,453.34","903,046,128.62","1,639,581,904.46","2,393,272,593.58","633,080,050.03","1,305,050,159.77","2,070,321,289.97","2,755,489,344.89","651,819,553.57","1,638,821,303.21"
二、营业利润,"14,484,499.27","28,942,899.60","32,191,100.91","43,291,557.82","7,101,346.94","20,004,478.96","45,979,106.85","61,673,333.53","14,906,043.18","36,065,667.30","69,051,756.71","93,842,957.31","17,449,417.76","44,361,701.26","87,390,307.88","131,433,429.56","22,758,543.17","61,499,401.60","116,298,289.14","164,416,244.64","21,685,766.64","89,744,424.77","184,034,821.40","299,763,087.55","97,593,833.36","204,556,971.21","280,298,869.27","444,039,369.06","269,037,211.46","316,006,179.69","418,374,551.29","422,106,379.22","120,862,323.51","174,870,270.98","263,259,767.73","228,886,767.61","10,633,000.44","147,198,988.78"
减:营业成本,"71,685,609.46","123,574,494.81","120,521,336.31","160,360,439.27","34,467,393.79","90,092,323.08","160,148,362.07","217,538,351.79","55,124,257.92","126,275,601.18","217,350,687.56","293,930,756.73","69,755,547.09","160,016,345.05","540,965,327.71","882,962,103.55","418,940,884.61","923,150,728.78","1,441,839,603.26","1,936,518,622.47","430,080,833.50","965,827,546.90","1,549,468,490.45","2,019,773,192.02","152,818,482.19","424,660,832.03","685,083,663.06","950,813,304.04","165,260,797.05","556,711,042.27","1,062,238,419.43","1,587,530,399.00","429,556,755.75","869,206,003.72","1,390,509,183.31","1,878,924,707.41","399,442,182.35","865,303,050.36"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"327,491.65","1,151,364.73","712,755.06","1,284,172.52","494,260.43","719,844.30","1,097,696.99","1,768,356.72","968,327.46","1,934,078.05","2,601,764.70","3,972,259.30","681,003.77","1,432,329.17","2,891,906.27","4,961,916.16","1,712,790.64","2,298,548.52","3,641,796.25","4,672,913.49","1,932,465.27","4,720,208.12","7,539,042.66","11,397,216.75","1,086,513.66","3,623,274.02","8,083,542.62","12,709,989.69","601,005.27","3,673,288.65","6,135,375.60","12,750,052.97","4,608,106.59","10,378,508.53","13,734,283.49","17,745,542.78","3,069,319.87","7,032,837.48"
营业外收入,"495,243.65","298,844.64","1,247,978.00","2,052,163.00","2,820,015.00","2,139,893.00","2,320,171.50","4,465,602.50","1,504,000.00","1,584,800.00","1,732,442.00","2,912,441.46","744,113.06","1,470,490.75","4,255,099.22","2,454,520.14","204,781.69","633,573.41","1,439,842.02","3,521,974.86","593,175.49","1,214,119.92","1,637,401.50","10,864,736.21","3,651,647.20","6,211,467.02","15,442,664.25","22,300,274.32","1,361,570.56","18,850,027.77","26,064,149.84","33,926,437.66","24,299,298.90","35,273,547.37","36,911,574.80","27,173,165.87","22,792,789.94","22,944,054.54"
销售费用,"4,705,907.53","11,070,386.01","12,134,568.56","17,931,679.15","5,525,052.12","12,085,070.10","20,286,059.67","28,744,278.60","9,245,708.03","18,253,522.85","31,639,162.05","43,769,946.48","11,215,373.68","20,586,693.71","38,453,796.13","57,812,802.86","14,855,416.20","26,279,929.36","43,175,401.22","57,388,372.97","19,189,176.58","45,694,945.77","82,634,134.46","119,404,619.88","34,108,884.57","64,743,822.94","107,277,589.14","194,312,612.15","45,788,694.63","102,366,562.22","164,164,598.26","257,098,070.14","62,265,089.58","147,066,794.24","239,522,233.65","321,266,240.42","123,656,169.67","364,817,177.00"
减:营业外支出,"365,220.17","84,200.00",200.00,200.00,"1,500.00","392,080.00","962,080.00","962,680.00","1,090.00","1,001,090.00","1,001,090.00","1,067,670.80",,"1,501,617.69","1,510,930.35","1,835,032.36","33,064.33","1,142,633.87","1,171,528.04","1,131,587.38","1,262,153.62","1,773,701.90","1,774,364.08","1,976,354.11","1,000,558.00","1,038,414.32","2,325,624.41","1,632,470.95","318,168.60","471,403.85","533,518.72","2,783,319.42","292,039.69","234,331.41","308,850.79","832,426.90","543,169.02","1,983,834.95"
管理费用,"3,081,425.33","4,866,765.98","5,239,456.38","7,466,821.36","2,372,127.12","6,064,431.40","10,179,858.52","22,518,260.02","3,555,400.01","8,322,802.53","15,130,846.29","24,037,740.45","8,046,845.58","16,238,779.40","33,510,734.28","48,022,183.04","13,434,936.58","29,754,048.10","44,942,853.10","64,117,717.78","18,562,226.61","51,548,489.36","83,278,340.31","115,356,857.12","29,980,885.90","62,555,612.66","92,710,243.86","133,895,734.36","39,156,210.79","103,664,763.80","180,322,009.77","241,278,938.71","74,016,602.84","155,927,217.63","242,643,909.50","319,325,923.34","88,736,839.91","196,344,262.00"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,,,,,,,,,"498,448.72","512,634.98",,"26,909.98","14,216.09","41,159.13",780.00,"3,610.56","4,409.95","1,472,122.98","196,906.40","196,038.83","193,649.60",,,
