科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"36,401,631.28","71,245,858.73","69,914,389.66","61,298,024.34","247,693,198.25","183,687,137.43","142,038,635.75","207,636,507.36","297,677,887.69","615,426,909.91","370,661,444.35","145,467,713.70","212,582,971.83","204,231,697.37","257,367,722.19"
短期借款,,"5,000,000.00",,,,,,,,"281,500,339.89","225,340,113.25","239,394,811.91","283,844,542.86","295,040,565.42","296,818,286.87"
交易性金融资产,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,
应收票据,"20,346,963.33","45,350,797.09","6,522,155.89","3,741,248.12","8,962,931.80","16,278,000.00","760,000.00",,,"9,059,187.32","10,506,295.64","3,748,752.00","2,792,957.42","911,195.47","397,110.00"
应付票据,"15,867,887.40","19,772,048.01","6,512,953.10","17,535,754.40","8,727,171.84","14,975,151.55","55,708,822.60","71,032,487.23","121,383,861.52","95,894,770.47","71,582,081.29","83,070,474.74",,"63,729,691.89",
应收账款,"76,892,073.90","48,526,765.26","108,647,966.19","147,359,455.50","170,736,571.41","136,506,837.99","181,493,129.06","141,569,119.90","113,679,373.49","135,183,144.73","174,767,430.48","299,313,625.47","250,402,095.57","253,099,237.57","223,396,085.60"
应付账款,"43,049,474.29","42,228,591.28","38,515,411.77","47,294,657.05","64,281,713.19","107,943,286.20","148,459,520.24","130,364,470.84","77,733,509.89","96,520,898.24","151,739,575.61","160,106,071.44",,"111,554,206.08",
预付款项,"1,429,052.37","1,466,817.45","359,859.27","912,244.50","6,162,040.35","11,690,678.38","31,712,687.65","12,903,270.06","10,645,532.81","2,213,044.95","56,284,927.55","25,352,966.37","6,048,118.86","2,526,943.38","6,275,218.30"
预收款项,"14,736,406.47","26,992,116.99","9,308,220.01","9,100,467.98","16,167,300.04","13,964,333.27","22,441,301.75","17,468,137.77","16,669,017.76","7,277,093.33","28,686,579.47","32,139,149.63","37,799,272.06","45,896,443.74","28,751,662.71"
其他应收款,"2,214,365.14","4,918,738.38","5,328,280.97","5,996,149.97","3,049,953.49","2,081,113.47","4,316,947.68","3,096,038.66","8,208,080.67","10,517,341.88","31,512,810.89","11,015,451.32","9,964,503.74","9,538,753.19","10,607,518.61"
应付职工薪酬,"3,540,601.71","4,397,866.71","4,891,143.57","3,606,417.39","2,964,525.71","5,550,346.00","5,233,793.00","7,028,288.55","6,882,539.59","10,910,857.46","6,378,730.46","8,525,801.27","10,210,112.50","17,836,501.73","9,154,153.25"
应收关联公司款,,,,,,,,,,,,,,,
应交税费,"5,874,541.49","7,474,627.92","10,003,723.88","8,704,756.04","2,970,434.57","5,016,908.31","-2,750,125.63","10,645,045.31","5,500,398.90","5,029,532.69","2,104,631.28","11,005,691.09","14,923,814.80","7,156,193.08","10,007,576.99"
应收利息,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,"524,556.10","419,905.47","534,261.97",,"462,114.40","405,956.40"
应收股利,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,
存货,"73,164,110.21","103,337,092.51","70,672,871.15","73,454,950.34","83,376,638.76","140,416,914.28","223,166,167.47","246,811,428.86","200,183,897.60","226,147,812.91","267,469,141.24","369,610,206.04","386,917,175.36","351,496,191.69","306,779,930.48"
其他应付款,"238,995.20","183,077.76","204,125.45","144,156.74","4,814,952.57","875,025.12","610,246.80","781,410.19","562,907.35","29,597,523.15","28,941,434.72","20,580,060.93","45,902,576.13","21,742,952.67","21,651,549.20"
其中:消耗性生物资产,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,"59,330.92","107,495.69",,"306,969.47",,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,
其他流动资产,,,,,,"91,367,932.68","90,000,000.00","102,617,854.67","90,000,000.00","4,055,293.53","90,000,000.00","80,618,781.18","22,519,162.45","19,723,635.07","7,560,230.19"
其他流动负债,,,,,,,,,,,,,,,
流动资产合计,"210,448,196.23","274,846,069.42","261,504,854.05","292,869,568.46","519,981,334.06","582,335,583.70","673,487,567.61","714,634,219.51","720,394,772.26","1,002,602,735.23","1,001,202,050.15","935,127,496.08","891,226,985.23","841,527,653.74","812,383,815.37"
流动负债合计,"83,307,906.56","106,048,328.67","69,435,577.78","86,386,209.60","99,926,097.92","148,325,050.45","229,703,558.76","237,319,839.89","228,732,235.01","527,255,571.33","515,193,051.55","555,356,322.98","622,645,808.15","562,956,554.61","512,983,949.02"
可供出售金融资产,,,,,,,,,,,,,,,
长期借款,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,"3,789,604.58",,
长期股权投资,,,,,,,,,,,,,"13,864,570.30","12,373,702.52","10,683,535.80"
专项应付款,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,
