科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"217,725,020.70","232,173,408.15","323,431,109.52",,"82,877,911.02","140,515,551.66","236,107,500.35","34,988,854.30","84,161,824.69","126,543,298.89","259,325,153.05","64,208,247.04","135,516,106.72","224,238,939.61","372,648,876.48"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,
收到的税费返还,"10,676,804.06","12,853,426.20","9,319,507.81",,"11,698,606.39","12,065,514.41","18,957,994.12","3,048,454.37","4,812,202.94","5,706,273.44","14,222,348.30","1,524,479.95","4,205,543.69","11,083,417.96","13,960,257.54"
支付其他与投资活动有关的现金,,,,,,,"150,000,000.00","150,000,000.00","150,000,000.00","250,000,000.00",,,,,
收到其他与经营活动有关的现金,"25,980,882.06","16,865,613.35","6,640,515.71",,"3,765,372.65","5,565,802.03","9,273,854.27","1,665,080.18","4,767,878.40","7,398,599.43","11,879,482.79","1,196,110.81","3,613,231.22","10,210,052.00","13,201,918.13"
投资活动现金流出小计,"5,449,947.64","730,287.74","7,791,105.18",,"2,106,033.57","3,252,190.65","159,666,475.70","155,346,814.29","161,034,207.77","263,199,098.54","314,903,524.13","261,233.59","1,336,105.10","1,697,967.10","11,300,192.43"
经营活动现金流入小计,"254,382,706.82","261,892,447.70","339,391,133.04",,"98,341,890.06","158,146,868.10","264,339,348.74","39,702,388.85","93,741,906.03","139,648,171.76","285,426,984.14","66,928,837.80","143,334,881.63","245,532,409.57","399,811,052.15"
投资活动产生的现金流量净额,"-5,449,947.64","-723,589.62","-7,516,357.18",,"-2,106,033.57","-3,252,190.65","-159,666,475.70","-2,701,412.53","-8,388,806.01","41,441,303.22","39,954,771.08","101,036,300.66","99,961,429.15","99,599,567.15","90,039,341.82"
购买商品、接受劳务支付的现金,"118,800,265.59","121,270,868.69","167,926,735.07",,"82,568,783.56","111,493,594.16","179,620,055.46","42,321,446.53","74,503,697.09","110,827,793.70","186,584,876.58","28,436,693.19","69,769,600.71","106,702,016.44","225,358,062.90"
吸收投资收到的现金,,,,,"211,700,000.00","211,700,000.00","213,540,000.00",,,,,,,,
支付给职工以及为职工支付的现金,"37,850,473.44","39,564,837.36","43,663,340.75",,"26,806,185.34","36,666,724.59","46,015,044.82","19,448,181.99","29,184,395.06","39,082,864.86","54,839,518.58","20,319,234.34","31,016,715.91","41,579,046.45","59,188,987.89"
取得借款收到的现金,,"1,800,000.00",,,,,,,,,,,,,
支付的各项税费,"32,512,128.38","31,573,835.87","45,141,362.89",,"12,385,989.84","15,577,951.26","25,269,701.12","10,401,135.79","18,579,285.62","24,176,383.98","36,203,523.06","9,627,113.85","24,277,742.08","28,679,933.05","49,993,664.59"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"18,428,274.50","34,161,020.46","32,951,439.95",,"8,825,570.54","11,112,584.25","19,663,496.00","3,340,063.16","11,139,109.02","17,224,838.95","21,192,685.45","2,360,114.74","6,492,965.60","17,509,413.66","31,955,312.11"
筹资活动现金流入小计,,"1,800,000.00",,,"211,700,000.00","211,700,000.00","213,540,000.00",,,,,,,,
经营活动现金流出小计,"207,591,141.91","226,570,562.38","289,682,878.66",,"130,586,529.28","174,850,854.26","270,568,297.40","75,510,827.47","133,406,486.79","191,311,881.49","298,820,603.67","60,743,156.12","131,557,024.30","194,470,409.60","366,496,027.49"
偿还债务支付的现金,"20,000,000.00","31,800,000.00",,,,,,,,,,,,,
经营活动产生的现金流量净额,"46,791,564.91","35,321,885.32","49,708,254.38","-27,658,700.00","-32,244,639.22","-16,703,986.16","-6,228,948.66","-35,808,438.62","-39,664,580.76","-51,663,709.73","-13,393,619.53","6,185,681.68","11,777,857.33","51,061,999.97","33,315,024.66"
分配股利、利润或偿还利息支付的现金,"2,940,340.27","11,842,708.46","10,500,000.00",,"10,500,000.00","10,500,000.00","10,500,000.00",,"14,000,000.00","14,000,000.00","14,000,000.00",,"15,400,000.00","15,400,000.00","15,400,000.00"
收回投资收到的现金,,,,,,,,,,,"350,000,000.00",,,,"100,000,000.00"
支付其他与筹资活动有关的现金,"16,371,004.36","450,000.00","700,000.00",,"4,193,083.00","7,293,083.00","6,763,500.00",,,,,,,,
取得投资收益收到的现金,,,,,,,,"2,645,401.76","2,645,401.76","4,640,401.76","4,858,072.99","1,297,534.25","1,297,534.25","1,297,534.25","1,297,534.25"
筹资活动现金流出小计,"39,311,344.63","44,092,708.46","11,200,000.00",,"14,693,083.00","17,793,083.00","17,263,500.00",,"14,000,000.00","14,000,000.00","14,000,000.00",,"15,400,000.00","15,400,000.00","15,400,000.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"6,698.12","274,748.00",,,,,,,,222.22,,,,"42,000.00"
筹资活动产生的现金流量净额,"-39,311,344.63","-42,292,708.46","-11,200,000.00",,"197,006,917.00","193,906,917.00","196,276,500.00",,"-14,000,000.00","-14,000,000.00","-14,000,000.00",,"-15,400,000.00","-15,400,000.00","-15,400,000.00"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,"150,000,000.00","150,000,000.00","300,000,000.00",,"100,000,000.00","100,000,000.00","100,000,000.00",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,
投资活动现金流入小计,,"6,698.12","274,748.00",,,,,"152,645,401.76","152,645,401.76","304,640,401.76","354,858,295.21","101,297,534.25","101,297,534.25","101,297,534.25","101,339,534.25"
五、现金及现金等价物净增加额,"2,030,272.64","-7,694,412.76","30,991,897.20",,"162,656,244.21","173,950,740.19","30,381,075.64","-38,509,851.15","-62,053,386.77","-24,222,406.51","12,561,151.55","107,221,982.34","96,339,286.48","135,261,567.12","107,954,366.48"
购建固定资产、无形资产和其他长期资产支付的现金,"5,449,947.64","730,287.74","7,791,105.18",,"2,106,033.57","3,252,190.65","9,666,475.70","5,346,814.29","11,034,207.77","13,199,098.54","14,903,524.13","261,233.59","1,336,105.10","1,697,967.10","11,300,192.43"
期初现金及现金等价物余额,"84,136,150.39","86,166,423.03","78,472,010.27",,"109,463,907.47","109,463,907.47","109,463,907.47","139,844,983.11","139,844,983.11","139,844,983.11","139,844,983.11","152,406,134.66","152,406,134.66","152,406,134.66","152,406,134.66"
投资支付的现金,,,,,,,,,,,"300,000,000.00",,,,
期末现金及现金等价物余额,"86,166,423.03","78,472,010.27","109,463,907.47",,"272,120,151.68","283,414,647.66","139,844,983.11","101,335,131.96","77,791,596.34","115,622,576.60","152,406,134.66","259,628,117.00","248,745,421.14","287,667,701.78","260,360,501.14"
