科目,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"47,862,227.43","62,755,152.28","61,708,721.72","74,413,121.35","203,287,649.20","205,502,922.54","197,582,384.12","196,893,240.04","213,631,823.30","239,565,561.72","139,252,268.77","125,897,139.58","145,380,655.31","146,031,526.20","113,331,138.87","156,310,175.03","133,785,125.99","153,668,769.23","216,190,484.40","102,763,880.73","112,975,948.28","145,444,923.59"
短期借款,"20,000,000.00","60,000,000.00","30,000,000.00","30,000,000.00","10,000,000.00",,,,,,,,,,,,,,,"82,393,275.23","20,000,000.00","32,000,000.00"
交易性金融资产,,,"70,657.46","34,075.00",,,,,,,,,,,,,,,,,"945,258.17",
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,
应收票据,"16,844,806.99","16,624,512.60","23,184,391.59","23,394,431.06","19,961,936.54","22,329,013.40","33,250,059.89","29,476,662.39","24,966,669.51","20,212,633.66","18,279,864.57","19,577,110.07","22,475,347.94","25,818,845.68","30,464,243.17","33,557,476.89","40,043,312.84","46,521,988.34","42,335,685.46","70,891,947.00","100,346,456.91","55,099,943.57"
应付票据,,,,,,,,,,,,,,,"1,924,607.65","1,924,607.65",,,,,,
应收账款,"145,321,358.29","193,434,583.05","163,246,288.26","137,104,460.24","176,446,429.78","142,309,750.25","124,086,244.98","142,281,337.20","156,339,883.26","129,219,582.61","135,764,094.73","157,671,751.93","193,738,351.55","159,443,506.14","170,613,028.73","186,736,847.18","234,214,284.93","188,609,902.83","179,994,513.28","347,695,535.71","348,875,656.31","289,535,469.20"
应付账款,"80,538,384.61","109,510,171.49","83,441,185.43","69,021,812.63","91,385,678.00","64,044,175.98","56,381,606.72","67,915,321.62","68,126,576.85","59,877,186.01","63,944,768.75","77,414,584.84","87,850,138.78","81,006,512.40","84,789,826.43","102,507,275.38","122,595,561.90","96,986,888.19","95,654,078.33",,"175,040,325.90",
预付款项,"2,587,250.45","3,115,350.16","3,296,725.33","2,927,856.74",,,,"7,170,000.00",,,,,"1,694,022.00","3,201,649.40","3,108,296.62","3,788,063.20","3,908,717.25","2,967,358.67","3,845,026.81","15,549,569.60","8,892,582.33","17,295,638.40"
预收款项,"2,602,787.34","411,594.94",,,,,,,"95,439.10","20,857.95","142,577.57","582,206.70","502,272.00","732,440.01","622,698.72","369,730.06","615,294.46","292,332.93","396,607.14","7,087,916.64","105,729.44","2,288,913.43"
其他应收款,"1,103,001.08","1,941,666.10","2,170,180.96","2,627,117.23","3,833,840.58","2,881,242.28","3,395,441.04","3,404,200.00","3,345,821.23","4,018,062.93","2,726,306.14","4,414,365.70","5,205,995.39","5,726,473.58","5,976,465.05","5,331,327.39","5,436,036.85","5,566,103.54","18,689,998.99","14,657,248.56","46,962,108.66","49,721,344.02"
应付职工薪酬,"4,686,053.46","4,821,501.65","5,334,861.69","5,106,911.07","5,371,924.09","4,899,919.07","5,036,933.79","5,329,675.97","5,357,208.33","4,990,116.84","5,227,447.19","5,545,614.86","5,588,883.54","5,041,448.56","5,870,730.96","6,835,474.90","6,634,525.67","6,128,932.84","7,110,248.23","9,410,455.03","8,956,672.86","8,597,498.28"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,
应交税费,"4,781,622.54","9,113,922.27","6,609,333.30","4,538,021.15","6,087,651.55","3,769,747.13","3,388,922.54","4,361,737.90","6,622,671.40","5,249,403.71","4,643,141.55","6,212,209.59","10,569,562.65","7,439,818.85","10,062,923.66","8,833,374.64","13,081,555.20","9,485,565.34","6,089,544.74","24,390,883.60","30,765,135.83","15,053,524.42"
应收利息,,,,,,,,,"1,017,677.97","840,062.62","787,858.34","800,527.78","401,547.23","415,773.61","428,223.89","590,448.09","599,866.67","437,315.28","36,000.00",,,
应付利息,,,,,,,,,,,,,,,,,,,,,"134,333.33",
应收股利,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,"388,598.80","388,598.80"
存货,"65,519,546.08","64,121,601.47","56,535,449.39","59,978,128.82","61,541,351.67","55,633,138.18","53,546,814.62","54,242,940.13","48,051,340.39","47,680,965.62","44,533,086.67","57,542,711.84","57,570,822.85","64,001,805.69","68,121,722.83","82,900,303.73","77,110,777.02","80,033,472.71","85,572,071.63","127,637,118.47","85,715,408.58","98,925,133.49"
其他应付款,"6,302,192.56","21,294,953.12","14,224,405.90","10,456,233.66","15,921,061.48","14,988,206.26","4,286,711.52","5,347,977.43","5,107,417.10","5,275,988.72","24,848,108.37","22,304,336.62","2,371,837.61","22,041,177.46","23,123,943.74","23,597,848.29","100,574,508.71","79,704,653.43","80,629,785.79","62,535,716.07","89,180,607.11","73,550,164.32"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"30,000,000.00",,,,,,,,,,,,,,,,,,,,"1,132,897.89","1,132,897.89"
其他流动资产,,"4,155,541.54","2,362,036.00","1,098,433.16","842,522.26","284,461.26","110,128.47","129,914.50","390,835.46","479,512.16","125,282,717.57","124,916,211.19","70,366,608.46","111,816,224.30","132,145,819.54","155,401,415.19","148,067,097.00","121,075,495.21","25,855,904.59","50,817,439.22","6,476,800.22","25,884,548.29"
其他流动负债,,,,,,,,,,,,,,,,,,,,"18,212,993.34",,
流动资产合计,"279,238,190.32","346,148,407.20","312,574,450.71","301,577,623.60","465,913,730.03","428,940,527.91","411,971,073.12","433,598,294.26","447,744,051.12","442,016,381.32","466,626,196.79","490,819,818.09","496,833,350.73","516,455,804.60","524,188,938.70","624,616,056.70","643,165,218.55","598,880,405.81","572,519,685.16","730,012,739.29","711,190,219.46","682,729,913.55"
