科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"239,053,644.82","398,288,290.82","147,235,964.16","330,884,492.16","144,780,918.23","183,478,940.17","260,094,170.54","53,954,605.79","127,102,924.84","241,788,446.91","362,466,313.08","108,293,556.08","209,671,986.99","323,407,474.45","430,410,968.78","86,683,707.17","171,808,384.55","267,163,098.94","408,544,715.90","115,036,230.20","280,297,077.31","349,108,812.06","573,407,802.40","129,467,775.83","297,309,700.02","419,630,300.52","623,864,849.83","186,331,687.64","372,018,381.40","525,451,736.93","721,565,144.35","181,661,027.31","373,395,225.41","569,687,472.44","804,696,472.15","250,481,458.01","467,687,248.29"
取得子公司及其他营业单位支付的现金净额,"6,000,000.00",,,,,,,,,,,,,,,,,,,,,,"39,972,075.20",,"79,958.99","79,958.99","304,461.34",,,,,,,,"16,760,736.22",,"900,000.00"
收到的税费返还,,,,,,"891,319.95","891,319.95",,,,,,,,,"3,900,000.00",,,,,"1,356.09","2,541,269.45","3,840,087.66","6,251,126.47","8,108,033.94","8,251,114.62","6,967,313.70","1,498,414.26","1,995,387.15","2,450,735.04","5,006,050.29","333,043.71","1,330,364.47","2,644,212.77","2,151,725.69","734,387.15","1,371,983.21"
支付其他与投资活动有关的现金,,,,,,,,,"117,207.00",,,,,,,,,,,,,,,,,,"300,000.00",,,,,,,,,,
收到其他与经营活动有关的现金,"15,251,892.07","21,467,812.77","4,517,545.01","8,047,736.08","2,318,160.06","3,410,688.71","6,782,556.21","3,909,813.48","4,159,294.51","35,332,118.33","12,617,419.72","721,274.07","2,166,309.58","14,143,549.03","33,958,344.33","8,910,955.42","18,728,436.98","25,176,852.47","71,393,198.02","11,109,536.56","56,697,468.94","124,509,751.69","138,059,682.97","11,473,042.57","68,011,251.22","201,865,666.20","93,491,006.52","184,002,509.72","186,595,449.37","240,151,062.43","157,495,036.39","55,675,184.30","67,919,803.37","86,201,620.06","65,232,001.25","5,837,456.73","51,939,401.44"
投资活动现金流出小计,"25,670,175.48","64,975,858.33","14,383,427.80","14,732,932.08","14,721,457.13","25,105,945.39","34,048,158.39","13,138,630.00","63,154,620.73","131,157,745.46","148,326,842.30","8,668,494.39","25,308,355.08","73,127,764.93","101,112,716.04","21,697,800.75","118,182,516.97","66,333,329.97","90,406,145.68","2,418,864.20","15,523,335.45","56,191,214.26","106,011,526.74","4,805,436.37","-4,617,765.22","-33,733.67","71,406,728.66","5,133,850.91","5,994,205.26","6,482,200.91","19,820,795.14","21,327,437.64","23,352,211.07","49,744,754.56","66,228,632.12","30,846,301.31","128,544,614.52"
经营活动现金流入小计,"254,305,536.89","419,756,103.59","151,753,509.17","338,932,228.24","147,099,078.29","187,780,948.83","267,768,046.70","57,864,419.27","131,262,219.35","277,120,565.24","375,083,732.80","109,014,830.15","211,838,296.57","337,551,023.48","464,369,313.11","99,494,662.59","190,536,821.53","292,339,951.41","479,937,913.92","126,145,766.76","336,995,902.34","476,159,833.20","715,307,573.03","147,191,944.87","373,428,985.18","629,747,081.34","724,323,170.05","371,832,611.62","560,609,217.92","768,053,534.40","884,066,231.03","237,669,255.32","442,645,393.25","658,533,305.27","872,080,199.09","257,053,301.89","520,998,632.94"
投资活动产生的现金流量净额,"-23,351,751.88","-62,975,858.33","-12,126,123.41","-11,581,531.33","-14,721,457.13","-23,105,945.39","-27,348,158.39","-13,138,630.00","-31,905,643.73","-118,902,673.46","-102,506,842.30","-4,668,494.39","-21,268,355.08","-67,087,764.93","-94,698,216.04","-21,697,800.75","-94,037,431.41","-65,333,329.97","-87,291,145.68","-2,413,864.20","-15,485,234.95","-56,153,113.76","-104,943,426.24","-4,805,436.37","4,617,765.22","33,733.67","-58,272,728.66","-4,973,850.91","-5,534,005.26","18,801,017.59","125,141,509.53","-17,911,437.64","-19,877,211.07","-43,269,754.56","-26,432,520.34","-29,644,498.57","-57,159,723.54"
购买商品、接受劳务支付的现金,"183,119,548.72","310,156,376.07","121,584,825.32","229,286,402.68","139,268,526.94","257,380,167.80","320,656,180.71","63,868,030.60","130,189,983.23","283,231,108.37","382,272,512.82","69,293,998.40","144,505,225.18","269,934,566.83","491,865,183.06","150,849,986.00","139,612,949.19","344,802,719.18","471,144,905.66","163,977,132.40","274,045,681.64","454,918,902.39","569,280,891.95","153,141,381.38","362,960,763.34","572,882,566.31","593,572,829.15","281,660,079.92","363,767,251.08","449,367,057.06","673,517,524.81","160,053,691.53","340,315,195.75","499,505,658.93","628,692,355.42","123,624,623.12","254,803,842.65"
吸收投资收到的现金,,"3,600,000.00",,,,"366,000,000.00","351,990,000.00",,,,,"400,000.00","2,000,000.00","2,000,000.00","2,000,000.00",,,,,,,,,,,"841,611.00","841,611.00",,,"100,000.00","96,078.44",,,,,,
支付给职工以及为职工支付的现金,"3,600,119.52","4,311,485.81","2,905,704.21","6,411,461.49","4,653,082.39","7,418,692.80","10,306,811.26","3,586,748.48","6,378,066.61","9,576,731.87","13,224,053.80","4,558,786.73","9,065,692.73","13,122,441.11","16,561,816.28","4,420,276.92","9,095,266.22","14,298,025.85","19,221,906.82","4,994,510.07","10,659,184.84","17,336,325.28","25,627,109.48","7,866,219.86","16,552,385.52","25,661,668.43","35,203,995.96","9,617,665.26","17,701,680.70","24,772,060.36","30,298,027.20","3,398,972.13","8,060,430.43","14,049,657.72","24,757,673.13","12,000,089.67","22,981,775.13"
取得借款收到的现金,"55,000,000.00","96,691,448.91","34,225,531.93","98,079,513.58","74,740,000.00","130,015,000.00","144,715,000.00","31,650,000.00","91,650,000.00","207,946,982.79","256,691,713.47",,"202,437,633.73","390,437,633.73","490,437,633.73","53,000,000.00","139,788,857.75","314,096,282.09","480,604,723.45","78,148,365.11","144,948,365.11","419,547,865.11","792,158,365.11","220,438,229.65","378,288,000.00","520,288,000.00","886,327,200.00","320,000,000.00","458,700,000.00","664,700,000.00","886,535,241.02","127,500,000.00","380,380,000.00","789,380,000.00","300,880,000.00","163,200,000.00","338,200,000.00"
支付的各项税费,"14,540,038.37","22,791,091.53","19,768,622.29","28,486,128.71","12,260,491.97","16,144,554.76","17,981,549.99","825,369.74","3,602,222.49","4,370,800.85","6,464,904.91","171,502.99","9,187,983.61","11,030,616.60","12,259,004.12","6,320,223.69","8,277,045.38","8,785,835.43","6,578,938.95","1,659,402.64","6,298,393.77","8,982,066.21","17,427,717.50","15,186,031.23","25,919,818.28","35,474,996.38","40,968,967.30","9,954,986.38","19,427,995.02","21,223,451.49","25,519,411.38","5,613,674.82","17,712,660.28","30,326,724.19","43,644,353.83","16,886,273.62","28,954,488.33"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,426,000.00",,"28,251,000.00","14,351,000.00","166,604,084.08",,,,"671,300,000.00",,
支付其他与经营活动有关的现金,"37,235,523.50","30,375,258.85","23,024,990.74","39,067,188.36","16,184,494.73","26,235,677.87","37,711,757.94","6,922,609.42","21,111,790.69","19,650,706.43","27,277,593.61","5,873,862.96","12,217,150.73","16,013,940.06","15,374,875.59","11,302,534.34","23,090,537.42","30,418,940.39","72,733,732.91","2,091,789.40","19,881,271.79","35,189,125.79","113,436,224.34","22,983,772.45","50,162,499.77","57,801,560.03","98,534,168.19","8,828,406.13","204,681,124.71","263,059,239.88","166,964,709.47","71,417,167.32","133,361,619.76","186,045,222.29","93,999,735.15","29,759,845.59","85,931,150.57"
