科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
其他应收款,"1,320,104.68","1,980,765.72","2,629,666.74","11,192,791.69","11,393,877.69","11,998,890.91","11,472,861.19","11,866,008.09","11,524,736.59","12,105,468.34","12,374,395.05","11,727,735.89","11,762,888.38","13,248,286.62","12,926,604.31","12,033,021.73","13,038,702.68","14,983,537.42","23,005,716.82","5,314,138.34","8,129,109.18","7,581,629.53","6,333,615.13","3,966,295.55","3,642,368.18","5,518,794.91","7,852,910.07","15,297,548.46","5,131,807.43","4,843,342.75","4,855,413.44","4,585,859.69","5,770,193.51","8,332,696.92","9,867,977.74","53,527,983.09","7,376,050.46","12,604,219.99","11,260,866.34","25,336,662.26","23,307,488.56","25,137,880.38","61,356,750.63","52,184,920.66","55,501,496.78"
应付职工薪酬,"1,770,820.13","2,339,739.67","2,537,059.96","1,009,193.16","1,799,052.91","2,488,472.39","2,982,526.89","1,291,273.95","1,412,924.12","1,678,887.33","2,231,571.00","4,666,793.36","6,599,745.77","4,898,201.32","8,046,371.08","5,892,467.76","682,353.22","4,666,279.67","8,813,887.01","9,925,244.99","1,725,089.41","4,822,849.82","9,169,159.82","7,960,519.20","-57,542.06","5,770,087.51","10,929,263.44","13,306,310.58","2,526,176.10","8,764,307.57","15,047,518.47","15,812,167.67","3,614,406.01","10,332,138.58","16,854,892.05","23,391,040.93","8,881,123.81","15,485,012.22","24,333,617.54","39,227,218.85","8,178,154.07","18,026,805.99","28,585,676.93","46,448,521.47","7,635,507.27"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"-5,618,377.93","-4,796,136.87","-1,913,969.45","-7,248,920.66","-7,416,224.73","-350,298.07","6,023,662.24","4,256,482.10","2,409,002.90","6,191,496.65","10,816,074.72","18,234,990.21","11,677,949.79","2,445,073.14","-3,730,805.81","8,022,434.80","-12,181,419.97","119,779.49","4,421,753.02","13,050,075.61","21,233,202.22","8,559,092.93","20,649,422.13","4,715,490.62","-2,528,880.36","17,086,875.89","18,814,116.81","15,526,707.22","17,599,889.78","16,491,555.10","20,358,607.52","20,044,374.59","15,676,046.58","23,179,949.46","35,255,772.24","20,792,306.98","23,415,545.33","45,640,750.45","56,214,951.35","36,058,897.98","54,576,729.83","49,516,599.76","75,521,129.92","39,665,971.64","24,530,454.95"
应收利息,,,,,,,,,,,,,,,,,,,,,"1,700,000.00",,,,,,,,,,,,,,,,,,,,-344.38,,,,
应付利息,"134,555.42","198,096.67","141,171.67","174,230.00","325,778.00","1,171,951.01","1,507,624.40","355,824.72","144,380.00","289,205.00","494,393.00","538,653.02","1,054,006.77","595,954.43","581,669.08","575,001.64","568,784.97","712,371.86","712,802.34","986,030.28","989,703.11","595,516.60","1,083,517.45","1,710,113.33","2,795,954.21","2,187,940.79","1,905,321.80","2,530,435.49","2,688,357.53","3,045,367.94","3,008,214.91","1,820,178.98","1,738,290.47","1,703,503.26","2,606,361.22","451,595.83","789,472.32","2,034,729.15","2,505,020.93","1,316,786.27","1,642,042.71","3,089,350.07","2,738,988.32","186,529.13","424,478.52"
应收股利,,,,,,,,,,,,,,,,,,,,,,"1,700,000.00","1,700,000.00","1,700,000.00","1,700,000.00","1,700,000.00","1,700,000.00","1,700,000.00","1,700,000.00","1,700,000.00","1,700,000.00","1,700,000.00","1,700,000.00","1,700,000.00","1,700,000.00","1,700,000.00","1,700,000.00","1,700,000.00","3,040,000.00","3,040,000.00","3,040,000.00","3,040,000.00","3,040,000.00","3,040,000.00","3,040,000.00"
应付股利,,,,,,,,,,"11,321,370.00",,,,,"2,700,000.00",,,"555,840.27","2,700,000.00",,"3,335,041.60",,"2,700,000.00",,,"6,003,074.88",,,,"68,030,960.00","8,713.80",,,"6,768,852.75",,,,,,,,,,,
存货,"77,272,210.77","100,698,226.61","126,266,081.78","131,904,681.48","150,691,287.60","186,563,610.33","184,332,959.48","100,863,090.92","132,691,924.96","156,315,624.89","219,570,937.13","144,215,299.05","184,631,051.03","222,656,666.59","249,441,939.72","239,489,372.83","312,077,708.12","273,872,793.12","240,486,569.74","180,376,798.45","197,521,253.49","211,939,279.91","148,191,968.11","149,590,682.71","194,327,727.47","197,148,078.83","263,968,134.98","235,877,096.23","256,173,711.89","238,256,733.27","211,328,400.30","199,216,864.18","258,311,370.17","278,386,825.65","251,855,953.73","218,657,661.80","335,869,002.41","323,110,846.46","229,334,135.45","291,251,508.92","397,868,055.07","368,857,493.17","272,405,515.06","291,145,184.05","479,059,467.31"
其他应付款,"7,166,374.58","5,022,434.65","3,331,377.79","3,171,459.01","4,844,200.32","16,160,843.91","32,328,034.46","11,884,011.03","12,468,617.88","15,020,028.38","15,825,060.70","18,508,499.28","18,899,915.08","20,893,794.08","18,727,890.14","24,300,629.28","20,316,817.66","26,999,276.35","21,526,491.30","20,952,191.17","24,068,261.53","25,200,847.76","28,781,211.45","24,258,786.19","26,473,541.70","23,746,548.41","28,247,405.99","28,373,571.44","28,048,523.82","20,475,855.74","29,285,865.14","21,997,780.91","25,928,602.61","22,774,726.47","28,571,785.68","22,962,167.96","24,243,808.72","17,028,521.04","19,275,491.55","24,018,297.93","17,794,596.41","20,335,125.07","22,660,119.15","22,988,557.91","19,684,020.69"
