科目,2008年度,2009年度,2010年度,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"176,215,323.48","181,572,856.20","379,826,201.90","599,020,987.74","823,503,462.29","230,622,100.04","336,104,392.97","408,229,968.46","502,541,748.72","63,161,255.24","122,067,371.20","152,800,109.95","175,013,346.46","66,041,429.68","127,859,714.84","190,852,758.19","245,320,402.71","111,065,902.98","237,418,391.31","389,260,848.92","591,777,641.67","179,006,714.94","422,290,218.92","671,361,278.52","1,091,468,266.49","369,064,928.30","808,928,207.99","1,257,469,114.23","1,948,848,200.36","565,578,199.77"
二、营业利润,"69,864,314.04","57,774,991.92","154,815,431.49","228,050,505.51","313,623,896.57","102,916,027.67","146,235,550.64","174,829,470.70","193,770,173.95","21,090,834.11","30,982,303.14","35,152,570.62","38,787,735.15","17,088,632.08","33,548,077.31","47,686,753.58","59,238,834.97","20,943,138.24","51,702,088.63","80,440,769.79","107,376,973.88","20,301,854.75","71,695,706.31","116,605,748.88","191,050,427.20","62,849,601.47","143,718,740.81","262,291,812.72","428,333,542.46","154,140,755.53"
减:营业成本,"90,578,065.77","75,690,257.15","169,420,742.90","292,186,314.31","392,022,442.97","106,146,326.81","150,648,352.06","182,544,871.65","227,650,265.17","32,215,400.21","63,079,359.23","80,694,455.74","87,913,179.12","38,364,849.35","73,051,742.61","110,896,739.87","148,953,948.73","77,363,954.56","144,409,173.35","220,946,492.25","327,946,735.53","116,261,698.05","266,968,317.49","425,215,212.08","667,221,498.95","237,271,437.06","535,752,951.04","813,755,455.52","1,201,368,603.66","342,895,797.40"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,207,613.06","894,186.77","3,118,452.06","6,129,967.15","9,006,144.83","1,171,493.79","2,736,084.47","3,507,916.57","4,336,748.19","725,096.59","1,442,295.42","1,943,593.12","2,428,049.22","222,434.64","843,742.61","1,866,979.74","2,839,606.82","110,329.37","732,628.91","2,467,739.45","4,985,654.45","1,306,885.80","3,039,737.89","5,611,396.99","13,665,888.46","4,643,463.26","9,911,616.24","17,342,761.90","31,024,502.01","5,198,651.55"
营业外收入,"13,149,659.68","8,896,367.88","15,079,008.04","21,944,865.80","63,234,169.92","1,941,496.24","2,251,753.06","7,584,071.28","10,081,902.63","325,315.74","3,362,535.02","9,062,038.10","12,519,250.47","1,562,985.27","2,075,149.27","6,591,645.72","11,766,160.64","1,654,085.25","3,471,477.98","6,328,985.56","19,729,527.66","7,871,903.96","13,413,900.85","26,452,721.84","31,515,087.05","5,327,656.35","5,644,906.05","8,467,486.12","1,143,655.93","213,323.70"
销售费用,"1,268,865.27","1,765,142.60","4,281,954.38","7,168,965.25","10,321,472.43","1,364,814.59","3,349,014.13","4,636,391.07","5,840,285.37","748,669.33","1,885,250.80","2,891,753.69","4,400,189.81","924,254.52","2,153,527.82","3,976,940.80","5,128,725.78","944,889.54","2,335,003.39","6,264,806.43","11,949,577.56","4,450,319.66","9,239,055.83","15,531,675.44","21,597,717.87","6,216,563.34","13,695,807.18","24,180,229.16","37,304,092.91","8,464,411.04"
减:营业外支出,"378,950.08","274,842.58","787,502.74","1,081,456.99","1,534,348.16","916,475.49","1,095,868.37","1,345,872.21","1,946,486.77","167,904.07","1,174,822.13","1,241,434.03","403,309.38","657,043.34","770,563.62","1,003,411.95","1,561,176.74","2,206,858.63","2,377,493.20","2,614,786.83","4,067,982.12","280,078.95","2,755,870.77","3,075,645.60","4,117,287.88","728,836.91","1,905,868.25","2,131,383.35","550,664.90","506,759.44"
管理费用,"11,359,423.67","40,091,195.42","43,356,031.06","51,059,211.79","81,944,285.34","19,253,454.82","35,592,152.98","49,387,292.64","72,196,780.26","13,078,939.00","28,721,580.11","47,214,032.58","60,053,146.79","13,653,159.76","28,994,237.06","41,066,235.36","61,024,571.03","15,474,620.56","37,755,704.99","78,529,482.04","125,110,828.99","31,854,206.66","67,354,205.51","104,202,714.94","160,033,968.65","48,064,276.13","106,721,832.82","162,180,815.77","251,091,309.05","63,744,928.58"
其中:非流动资产处置净损失,"64,014.55","40,992.85","42,166.91","36,769.46","36,769.46",,"741,610.00","741,610.00","741,610.00",,,,114.82,,,,,,"34,027.77","58,046.39","193,953.87",,"226,664.44","229,935.88","572,021.55",,"496,914.21","568,609.97",,
