科目,2011年度,2012年度,2013年度,2014年1-6月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"483,355,931.28","487,069,906.84","523,818,934.44","303,014,945.28","575,880,088.36","142,914,197.03","327,999,242.03","454,010,004.14","624,146,635.24","153,623,142.69","495,995,119.35","637,387,429.65","903,192,676.80","134,457,339.43","501,689,619.41","796,211,640.52","1,144,251,518.37"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,"199,160,729.98","199,160,729.98","82,068,529.98"
收到的税费返还,"15,340,199.03","14,842,001.00","16,396,801.77","8,959,159.61","20,036,445.82","7,504,589.36","13,882,880.62","18,400,278.28","29,271,383.43","7,853,943.57","10,744,787.13","15,039,513.25","24,001,229.90","3,545,934.65","6,895,262.90","12,913,927.66","23,227,186.44"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"8,401,241.30","4,106,455.33","5,438,498.70","1,462,839.39","5,944,316.26","705,990.18","4,273,663.25","6,026,756.34","6,444,305.79","11,303,537.80","12,201,674.31","21,260,438.57","5,680,906.02","3,778,796.63","9,979,589.82","15,501,382.34","19,635,938.46"
投资活动现金流出小计,"65,136,204.59","132,700,057.39","63,491,357.68","65,455,636.97","178,962,304.60","83,543,926.90","131,235,970.39","175,299,206.98","242,011,268.39","39,310,685.71","57,877,280.28","77,446,603.66","389,494,670.98","882,009,358.08","1,305,449,082.43","1,355,248,246.61","1,325,721,992.61"
经营活动现金流入小计,"507,097,371.61","506,018,363.17","545,654,234.91","313,436,944.28","601,860,850.44","151,124,776.57","346,155,785.90","478,437,038.76","659,862,324.46","172,780,624.06","518,941,580.79","673,687,381.47","932,874,812.72","141,782,070.71","518,564,472.13","824,626,950.52","1,187,114,643.27"
投资活动产生的现金流量净额,"-60,963,192.37","-118,850,376.34","-51,667,601.10","-49,433,697.32","-162,940,357.09","-83,543,926.90","-131,235,970.39","-175,299,206.98","-240,049,109.37","-39,210,685.71","-57,214,965.45","-76,784,288.83","-389,059,802.61","-408,971,893.19","-418,517,795.30","-412,406,024.51","-354,413,857.46"
购买商品、接受劳务支付的现金,"339,366,584.75","324,892,137.37","312,214,920.46","183,010,881.20","409,012,854.97","123,428,863.73","243,514,159.31","343,742,485.98","396,056,844.73","110,847,654.82","233,880,897.15","360,717,791.11","451,729,700.28","160,504,995.29","331,845,855.74","515,179,886.01","662,992,187.61"
吸收投资收到的现金,,,,,,"236,250,000.00","236,250,000.00","236,250,000.00","236,250,000.00",,,"41,054,800.00","781,291,216.56",,,,
支付给职工以及为职工支付的现金,"55,903,266.91","56,457,591.17","57,713,516.38","39,488,759.15","70,832,220.41","24,225,293.02","42,707,781.44","62,017,526.63","84,064,516.65","28,430,373.04","47,436,708.33","66,069,811.62","94,899,658.93","29,669,936.34","51,353,184.25","78,981,497.77","118,840,766.85"
取得借款收到的现金,"209,100,000.00","210,000,000.00","332,392,659.95","116,845,983.70","346,845,983.70",,"185,420,700.03","265,420,700.03","311,117,669.50","245,000,000.00","325,000,000.00","325,000,000.00","325,000,000.00","156,000,000.00","394,400,000.00","398,400,000.00","418,900,000.00"
支付的各项税费,"14,975,139.35","12,171,387.69","14,701,416.28","5,852,027.36","10,547,778.31","4,343,744.78","10,817,015.90","14,447,575.75","12,690,726.03","8,899,889.95","18,281,622.29","23,110,498.28","22,748,623.85","21,479,279.71","33,184,045.96","71,874,312.09","47,985,807.61"
收到其他与筹资活动有关的现金,"12,543,765.23","2,933,351.00",,"17,075,666.44","28,213,000.00","1,099,999.58",,,"11,296,640.00",,,,"19,063,100.00",,,,"1,486,500.00"
支付其他与经营活动有关的现金,"38,827,886.39","51,968,752.92","58,201,763.31","34,668,636.38","48,555,928.97","27,588,157.16","61,239,054.53","65,020,970.07","75,811,415.06","25,743,261.54","43,305,245.69","84,337,577.10","104,055,659.60","39,008,911.49","76,523,057.76","132,805,397.83","284,231,893.63"
筹资活动现金流入小计,"221,643,765.23","212,933,351.00","332,392,659.95","133,921,650.14","375,058,983.70","237,349,999.58","421,670,700.03","501,670,700.03","558,664,309.50","245,000,000.00","325,000,000.00","366,054,800.00","1,125,354,316.56","156,000,000.00","394,400,000.00","398,400,000.00","420,386,500.00"
经营活动现金流出小计,"449,072,877.40","445,489,869.15","442,831,616.43","263,020,304.09","538,948,782.66","179,586,058.69","358,278,011.18","485,228,558.43","568,623,502.47","173,921,179.35","342,904,473.46","534,235,678.11","673,433,642.66","250,663,122.83","492,906,143.71","798,841,093.70","1,114,050,655.70"
偿还债务支付的现金,"125,700,000.00","178,600,000.00","296,000,000.00","75,825,278.48","273,238,643.65","85,000,000.00","260,000,000.00","320,420,700.03","375,420,700.03","190,711,464.79","230,711,464.79","250,711,464.79","350,711,464.79","150,000,000.00","230,000,000.00","287,900,000.00","327,900,000.00"
经营活动产生的现金流量净额,"58,024,494.21","60,528,494.02","102,822,618.48","50,416,640.19","62,912,067.78","-28,461,282.12","-12,122,225.28","-6,791,519.67","91,238,821.99","-1,140,555.29","176,037,107.33","139,451,703.36","259,441,170.06","-108,881,052.12","25,658,328.42","25,785,856.82","73,063,987.57"
分配股利、利润或偿还利息支付的现金,"34,466,362.98","15,731,643.68","44,729,600.61","6,881,444.12","14,883,556.05","4,364,208.51","35,426,293.02","38,498,062.70","44,869,404.89","3,298,545.31","44,689,527.79","47,390,166.94","53,168,845.83","2,146,725.04","61,924,014.65","66,477,352.57","74,681,213.10"
收回投资收到的现金,,,,,"16,000,000.00",,,,,,,,,"470,000,000.00","880,000,000.00","909,000,000.00","935,960,000.00"
支付其他与筹资活动有关的现金,,,"30,939,839.59",,,"1,370,058.20","2,900,000.00","2,900,000.00",,,,,"7,196,640.00",,,"16,229,444.76","16,229,444.76"
取得投资收益收到的现金,"3,825,012.22","13,089,681.05","9,760,576.58",,,,,,"1,500,000.00",,,,,"3,037,464.89","6,697,738.86","33,558,673.83","33,799,438.23"
筹资活动现金流出小计,"160,166,362.98","194,331,643.68","371,669,440.20","82,706,722.60","288,122,199.70","90,734,266.71","298,326,293.02","361,818,762.73","420,290,104.92","194,010,010.10","275,400,992.58","298,101,631.73","411,076,950.62","152,146,725.04","291,924,014.65","370,606,797.33","418,810,657.86"
处置固定资产、无形资产和其他长期资产收回的现金净额,"348,000.00","760,000.00","2,063,180.00","21,939.65","21,947.51",,,,"462,159.02","100,000.00","662,314.83","662,314.83","434,868.37",,"233,548.27","283,548.27","1,548,696.92"
筹资活动产生的现金流量净额,"61,477,402.25","18,601,707.32","-39,276,780.25","51,214,927.54","86,936,784.00","146,615,732.87","123,344,407.01","139,851,937.30","138,374,204.58","50,989,989.90","49,599,007.42","67,953,168.27","714,277,365.94","3,853,274.96","102,475,985.35","27,793,202.67","1,575,842.14"
处置子公司及其他营业单位收到的现金净额,,,,"16,000,000.00",,,,,,,,,,,,,
四、汇率变动对现金的影响,"-1,329,525.98","-946,837.77","-3,886,368.73","215,598.29","305,047.50","707,069.64","804,029.39","3,868,429.29","6,771,154.84","-48,994.59","4,495,868.39","5,833,394.50","13,547,654.98","-2,375,288.95","-6,090,563.47","-9,779,473.29","-13,447,522.92"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"4,173,012.22","13,849,681.05","11,823,756.58","16,021,939.65","16,021,947.51",,,,"1,962,159.02","100,000.00","662,314.83","662,314.83","434,868.37","473,037,464.89","886,931,287.13","942,842,222.10","971,308,135.15"
五、现金及现金等价物净增加额,"57,209,178.11","-40,667,012.77","7,991,868.40","52,413,468.70","-12,786,457.81","35,317,593.49","-19,209,759.27","-38,370,360.06","-3,664,927.96","10,589,754.31","172,917,017.69","136,453,977.30","598,206,388.37","-516,374,959.30","-296,474,045.00","-368,606,438.31","-293,221,550.67"
购建固定资产、无形资产和其他长期资产支付的现金,"65,136,204.59","132,700,057.39","63,491,357.68","65,455,636.97","178,962,304.60","83,543,926.90","102,235,970.39","146,299,206.98","213,011,268.39","39,310,685.71","57,877,280.28","77,446,603.66","219,494,670.98","34,009,358.08","55,288,352.45","83,087,516.63","143,596,127.94"
期初现金及现金等价物余额,"69,351,709.67","126,560,887.78","85,893,875.01","93,885,743.41","93,885,743.41","81,099,285.60","81,099,285.60","80,186,942.70","81,099,285.60","77,434,357.64","77,434,357.64","77,434,357.64","77,434,357.64","675,640,746.01","675,640,746.01","675,640,746.01","675,640,746.01"
投资支付的现金,,,,,,,"29,000,000.00","29,000,000.00","29,000,000.00",,,,"170,000,000.00","848,000,000.00","1,051,000,000.00","1,073,000,000.00","1,100,057,334.69"
期末现金及现金等价物余额,"126,560,887.78","85,893,875.01","93,885,743.41","146,299,212.11","81,099,285.60","116,416,879.09","61,889,526.33","41,816,582.64","77,434,357.64","88,024,111.95","250,351,375.33","213,888,334.94","675,640,746.01","159,265,786.71","379,166,701.01","307,034,307.70","382,419,195.34"
