科目,2007-12-31,2008-12-31,2009-12-31,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"254,370,600.95","192,624,076.16","242,358,458.19","410,328,143.95","316,205,471.97","1,194,392,829.29","1,161,481,683.88","1,277,283,414.53","1,211,943,400.69","1,341,289,975.63","1,326,901,597.02","1,524,333,263.22","1,392,620,973.56","1,614,031,473.28","1,469,014,900.70","1,599,323,318.48","1,427,964,027.19","1,458,877,138.20","1,294,760,538.70","1,325,033,905.78","1,096,519,547.72","1,032,917,081.44","852,005,209.10","899,476,611.12","778,152,504.75","1,042,952,681.53","902,141,762.92","1,032,962,292.69","958,169,341.18","1,087,423,333.36","993,745,338.10","1,111,355,972.86","1,094,403,468.16"
短期借款,"242,180,000.00","175,950,000.00","80,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付票据,"1,900,000.00","1,900,000.00","2,015,900.00","1,900,000.00","1,900,000.00","1,900,000.00","1,900,000.00","1,900,000.00","400,000.00","400,000.00","400,000.00","400,000.00","400,000.00","400,000.00","400,000.00","400,000.00",,,,,,,,,,,,,,,,,
应收账款,"4,388,738.51","2,950,694.99","5,420,280.39","7,432,800.73","8,207,447.28","4,310,659.50","3,222,902.11","6,651,273.09","5,936,430.47","5,138,794.72","2,850,795.50","6,775,042.95","3,734,538.47","3,891,924.05","4,749,501.58","3,691,534.61","2,357,042.57","2,625,013.23","2,608,702.66","4,765,327.14","2,318,194.40","3,857,756.59","2,973,003.20","5,324,347.71","3,881,464.32","7,103,483.88","6,086,524.44","4,727,330.18","5,159,619.07","4,692,805.22","4,928,098.17","6,504,795.85","4,727,977.78"
应付账款,"611,799,952.04","609,913,065.36","671,138,391.45","733,375,959.67","699,690,269.24","704,323,640.41","685,082,152.73","794,463,204.20","835,798,093.90","791,258,659.18","743,184,220.73","891,665,097.22","799,800,270.38","869,392,859.91","766,868,285.32","853,747,515.11","768,248,622.69","719,761,455.72","667,913,161.13","656,843,280.68","565,450,384.17","581,851,695.53","506,102,229.45","565,122,818.39","493,511,528.11","445,318,635.56","447,103,424.56","453,975,213.37","392,702,766.48","382,264,874.13","346,216,371.27","390,127,595.75","410,503,876.36"
预付款项,"193,406,568.16","165,787,139.01","126,172,055.71","92,774,002.04","106,900,290.80","106,396,413.04","127,977,107.80","108,809,989.97","114,267,938.66","107,933,267.46","131,513,851.12","129,097,179.30","135,292,481.83","118,545,944.34","121,547,990.53","114,029,340.07","77,175,742.76","71,964,003.81","67,376,705.19","69,903,994.91","61,836,528.02","65,821,394.73","49,288,268.11","54,858,447.91","58,493,231.99","53,595,105.77","43,895,740.77","49,991,692.89","53,475,235.02","53,081,244.44","45,492,265.14","52,188,082.31","58,864,851.46"
预收款项,"147,753,011.85","293,043,633.06","373,452,625.35","480,726,010.35","504,871,561.18","572,895,065.88","513,010,342.05","575,090,966.01","647,146,312.81","653,149,189.75","596,268,782.47","687,515,732.18","679,972,879.79","712,624,680.37","634,497,110.98","689,902,689.35","661,100,993.22","667,391,799.16","576,191,640.82","590,397,701.22","571,211,068.45","636,672,289.49","545,042,651.20","581,241,774.36","555,987,311.84","605,791,362.30","530,322,463.70","568,086,193.75","531,053,667.77","570,865,876.89","513,574,902.70","562,281,227.59","515,904,332.01"
其他应收款,"74,658,483.62","47,893,622.05","23,143,664.85","28,907,041.78","22,460,690.79","20,078,940.74","18,445,612.35","18,734,364.70","13,414,335.53","12,914,579.89","9,092,474.42","13,030,332.22","12,290,438.52",,"11,700,559.31","13,579,197.89","12,447,995.32","8,980,169.66","8,374,115.34","9,047,987.46","2,059,696.19","2,852,145.67","2,511,779.80","4,301,244.39","7,220,213.41","7,456,024.91","5,341,055.47","4,948,971.73","18,387,451.57","23,598,409.27","15,971,899.40","21,234,056.48","30,349,611.17"
应付职工薪酬,"18,904,143.43","16,067,634.94","17,768,393.73","13,679,405.11","17,568,230.16","7,767,508.28","10,689,377.13","13,095,092.71","21,253,449.79","9,592,946.95","12,604,006.53","15,986,018.66","25,289,658.09","8,102,364.01","11,827,240.12","11,732,749.45","36,193,868.90","24,611,604.85","31,776,813.18","36,068,126.60","35,702,026.62","18,604,481.94","27,098,657.46","36,956,602.25","40,143,180.62","31,860,835.98","37,975,090.69","43,513,614.55","43,449,998.98","39,870,482.52","47,705,279.98","53,902,094.01","53,942,142.86"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"33,168,451.30","6,943,248.80","-23,532,483.55","5,655,893.66","9,315,422.20","-25,300,154.22","-18,648,069.32","13,357,314.18","10,467,092.80","-27,692,592.70","-16,332,588.39","17,294,817.05","2,060,038.71","-19,643,236.42","-20,100,046.02","9,038,789.66","27,793,740.33","22,914,851.87","17,805,564.21","13,827,277.03","6,761,390.64","10,889,751.27","6,885,192.53","25,082,707.10","9,752,176.33","18,853,286.83","12,246,121.63","11,690,817.39","15,449,965.21","24,818,085.09","13,602,273.37","14,769,179.42","21,948,137.55"
应收利息,,,,,,"2,006,276.71","5,439,397.26","7,305,830.20","8,942,109.61","3,315,575.25","7,644,632.79","12,909,267.13","17,424,196.21","13,159,613.68","6,762,725.18","10,036,162.98","13,721,146.88","10,895,760.29","7,399,866.02","10,696,370.54","15,259,532.04","19,874,247.09","20,507,827.23","19,661,819.58","25,693,819.64","27,104,426.14","27,641,780.82","15,191,369.85","20,948,938.33","26,094,642.06","20,063,952.10","20,027,271.29","26,214,608.25"
应付利息,,"652,565.47","114,277.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,"12,116,483.04",,,,,,,,,,,,,,,,,,,
应付股利,"26,087,329.40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
存货,"361,591,950.17","461,589,304.76","514,188,589.90","458,791,498.05","587,203,468.38","479,654,499.07","442,856,796.53","514,592,327.27","691,107,733.29","563,474,862.11","473,128,771.93","540,721,898.08","596,181,711.15","526,680,937.63","458,797,475.10","493,307,875.23","571,500,249.03","479,277,371.48","454,339,913.45","429,535,797.60","431,520,918.23","385,276,016.18","347,044,825.84","404,737,182.83","440,650,882.85","383,900,407.92","329,048,943.49","316,139,363.95","381,331,037.45","287,752,061.73","272,809,668.81","291,774,241.70","298,586,495.21"
其他应付款,"119,009,214.24","27,852,779.97","19,320,548.73","14,316,677.51","16,178,190.15","15,146,792.43","14,090,854.00","10,718,364.52","19,831,534.19","16,686,777.80","14,985,987.46","12,994,138.82","25,073,623.04","18,494,632.09","15,356,876.37","16,348,309.15","23,421,925.84","17,767,344.70","15,643,194.17","16,631,641.03","59,677,335.85","54,253,897.13","81,954,686.04","114,354,903.36","107,433,730.47","72,342,217.65","61,589,243.71","73,790,031.15","72,299,904.78","83,573,908.04","85,038,113.87","98,036,615.26","100,219,888.11"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
