科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"397,278,843.92","458,694,401.67","592,461,471.94","276,461,000.48","457,811,179.56","681,401,234.31","124,333,344.70","303,429,532.43","545,812,696.97","707,634,525.56","132,478,627.31","313,702,553.75","498,542,117.37","722,350,890.10","245,799,902.69","481,488,361.11","761,689,859.73","1,108,935,071.19","371,601,296.37","713,839,199.35","1,093,466,148.81","1,510,307,560.96","520,475,351.68","992,826,613.00","1,431,399,096.48","1,882,683,265.21","532,518,197.05","808,819,323.14","1,277,798,048.81","1,919,864,351.02","525,915,761.08","1,026,358,737.37","1,547,975,824.55","2,716,762,587.80","547,424,471.25","1,209,646,388.05"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,628,499.06","9,628,499.06","9,628,499.06",,
收到的税费返还,,,,,,,,,,,,,"15,290.50","1,789,508.66","67,443.59","235,299.21","2,120,288.84","4,914,025.60","165,021.45","2,018,984.18","2,363,775.52","3,207,630.37","3,236,049.12","4,157,455.78","4,775,503.73","5,119,592.88","1,363,174.52","2,105,574.48","2,566,679.98","3,280,520.92","1,422,600.39","3,597,711.81","3,597,711.81","3,610,968.23",,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,"960,907.93","960,907.93",,,,,,,,,
收到其他与经营活动有关的现金,"39,780,275.47","27,819,101.36","24,555,159.09","14,313,487.33","20,747,569.24","25,016,386.27","10,512,436.36","29,888,820.56","35,084,499.87","77,301,592.82","10,174,209.18","72,851,154.98","75,284,798.74","100,740,414.05","5,667,755.17","38,479,024.61","88,219,332.71","52,744,953.05","42,705,392.38","113,663,540.01","113,137,978.00","206,493,323.70","75,871,631.37","159,893,704.65","178,689,343.69","331,205,071.19","39,765,594.70","203,991,002.09","390,594,201.40","410,558,982.43","118,560,273.03","458,644,837.67","819,638,406.44","474,646,565.46","233,287,275.14","401,389,891.19"
投资活动现金流出小计,"32,648,493.98","53,128,755.62","17,716,420.64","2,375,267.57","7,272,280.32","54,811,609.98","14,058,876.39","56,657,312.74","68,052,316.42","154,418,609.45","25,766,581.42","58,936,857.18","66,463,518.47","124,720,939.24","39,350,926.13","106,163,218.40","154,402,464.45","156,857,646.57","33,062,935.55","106,698,943.44","138,128,680.71","191,995,199.51","43,369,790.67","54,671,232.08","62,659,969.40","70,450,096.96","3,990,907.09","5,565,376.71","10,659,896.04","33,873,931.80","12,514,078.65","20,673,820.98","26,945,981.06","52,798,325.82","10,257,551.12","24,623,676.57"
经营活动现金流入小计,"437,059,119.39","486,513,503.03","617,016,631.03","290,774,487.81","478,558,748.80","706,417,620.58","134,845,781.06","333,318,352.99","580,897,196.84","784,936,118.38","142,652,836.49","386,553,708.73","573,842,206.61","824,880,812.81","251,535,101.45","520,202,684.93","852,029,481.28","1,166,594,049.84","414,471,710.20","829,521,723.54","1,208,967,902.33","1,720,008,515.03","599,583,032.17","1,156,877,773.43","1,614,863,943.90","2,219,007,929.28","573,646,966.27","1,014,915,899.71","1,670,958,930.19","2,333,703,854.37","645,898,634.50","1,488,601,286.85","2,371,211,942.80","3,195,020,121.49","780,711,746.39","1,611,036,279.24"
投资活动产生的现金流量净额,"-26,535,793.98","-53,128,755.62","-17,716,420.64","-2,375,267.57","-7,272,280.32","-54,620,169.98","-7,056,316.59","-49,654,752.94","-61,049,756.62","-146,304,126.57","-25,766,581.42","-58,899,857.18","-66,426,518.47","-124,370,939.24","-39,350,926.13","-106,163,218.40","-154,390,464.45","-127,114,095.79","-33,062,935.55","-106,698,943.44","-138,128,680.71","-191,990,199.51","-43,369,790.67","-54,555,960.77","-61,541,344.67","-65,434,596.96","-3,928,260.65","5,637,723.29","32,516,336.96","9,322,401.20","-12,514,078.65","29,132,879.02","22,860,718.94","-2,991,625.82","-10,257,551.12","-24,618,186.57"
购买商品、接受劳务支付的现金,"301,466,543.25","384,142,172.97","475,639,237.44","246,172,108.04","384,522,868.74","550,122,898.21","180,431,346.79","319,341,134.98","540,406,518.03","729,280,871.83","193,175,332.89","367,079,266.74","553,041,638.20","731,220,423.51","293,692,293.40","504,867,860.65","803,441,087.42","1,120,411,561.06","358,901,816.74","662,894,692.83","1,067,957,768.00","1,434,924,423.22","586,005,079.62","1,009,727,277.18","1,376,750,897.85","1,749,849,226.00","464,081,377.07","757,147,667.39","1,301,890,982.57","1,807,421,787.71","553,396,067.86","1,060,825,690.81","1,782,388,526.06","2,413,423,091.10","687,125,350.53","1,111,155,701.50"
吸收投资收到的现金,,"35,000,000.00",,,"683,511,800.00","683,511,800.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"25,688,191.47","34,987,796.93","38,314,994.99","25,073,908.08","37,812,257.13","50,822,316.98","12,187,587.33","37,036,210.26","60,006,025.21","83,645,964.28","19,596,754.58","42,441,879.32","70,928,002.71","100,341,848.86","28,147,489.63","53,797,676.50","96,454,508.81","122,212,793.72","33,264,684.22","70,579,881.36","111,447,544.01","153,442,494.43","40,345,814.13","77,795,583.77","120,548,583.59","160,307,396.38","40,198,780.85","74,543,353.19","106,058,587.38","137,402,528.37","33,768,245.15","69,803,571.74","102,793,933.61","147,190,185.25","43,291,947.29","85,063,642.50"
取得借款收到的现金,"15,000,000.00","109,500,000.00","65,000,000.00","113,500,000.00","219,650,000.00","375,300,000.00","47,636,898.55","142,630,000.00","156,630,000.00","217,365,330.00","76,987,040.81","199,090,753.84","265,951,524.38","396,951,524.38","96,718,575.00","422,816,337.73","599,286,857.09","684,516,227.52","156,404,829.10","423,857,846.50","703,310,686.17","839,973,715.42","411,209,838.43","729,544,759.10","990,972,637.51","1,348,752,710.30","150,968,649.31","457,161,815.96","1,079,553,276.84","1,347,642,544.38","414,330,843.67","602,675,517.88","1,443,060,190.88","2,578,682,085.10","291,837,040.09","1,301,375,317.29"
支付的各项税费,"31,612,633.67","12,878,157.34","20,458,371.68","9,347,048.95","14,156,270.25","22,171,127.86","5,912,432.63","16,629,617.09","32,740,173.90","29,395,958.67","3,889,381.60","12,547,817.82","18,737,309.86","30,892,269.35","7,948,141.75","17,634,987.17","26,283,875.39","38,186,284.82","6,081,509.02","25,145,692.33","37,640,704.02","51,997,247.60","8,732,994.13","26,385,976.33","38,184,200.90","53,370,785.15","17,370,748.47","40,168,375.51","53,157,643.67","67,300,284.81","23,039,876.01","49,955,170.73","57,764,989.61","79,068,609.54","43,702,355.07","78,695,029.35"
收到其他与筹资活动有关的现金,"19,086,000.00",,,"30,000,000.00",,,,,,,,,,,,,,,,"47,790,000.00","54,698,550.00","79,397,100.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,,,,,"1,365,000.00","1,365,000.00","1,365,000.00",,"120,000,000.00"
支付其他与经营活动有关的现金,"32,951,695.78","31,639,728.92","44,730,534.98","20,520,552.64","46,535,476.37","57,313,480.67","18,061,783.57","30,007,071.84","45,256,721.04","68,839,440.80","19,736,860.74","42,962,482.06","63,803,984.13","61,186,506.17","49,542,345.67","94,037,312.13","139,074,078.90","122,522,532.40","31,423,544.86","50,067,050.99","98,320,778.11","202,434,204.51","25,163,408.49","97,065,981.42","116,589,870.24","273,844,721.15","48,352,899.48","189,282,506.01","317,106,481.07","362,145,969.00","132,281,819.32","333,388,512.72","722,615,667.37","504,878,068.93","131,347,340.83","706,971,254.87"
筹资活动现金流入小计,"34,086,000.00","144,500,000.00","65,000,000.00","143,500,000.00","933,161,800.00","1,058,811,800.00","47,636,898.55","142,630,000.00","156,630,000.00","217,365,330.00","76,987,040.81","199,090,753.84","265,951,524.38","396,951,524.38","96,718,575.00","422,816,337.73","648,536,857.09","733,766,227.52","156,404,829.10","471,647,846.50","758,009,236.17","919,370,815.42","416,209,838.43","734,544,759.10","995,972,637.51","1,353,752,710.30","150,968,649.31","457,161,815.96","1,079,553,276.84","1,347,642,544.38","414,330,843.67","604,040,517.88","1,444,425,190.88","2,580,047,085.10","291,837,040.09","1,421,375,317.29"
经营活动现金流出小计,"391,719,064.17","463,647,856.16","579,143,139.09","301,113,617.71","483,026,872.49","680,429,823.72","216,593,150.32","403,014,034.17","678,409,438.18","911,162,235.58","236,398,329.81","465,031,445.94","706,510,934.90","923,641,047.89","379,330,270.45","670,337,836.45","1,065,253,550.52","1,403,333,172.00","429,671,554.84","808,687,317.51","1,315,366,794.14","1,842,798,369.76","660,247,296.37","1,210,974,818.70","1,652,073,552.58","2,237,372,128.68","570,003,805.87","1,061,141,902.10","1,778,213,694.69","2,374,270,569.89","742,486,008.34","1,513,972,946.00","2,665,563,116.65","3,144,559,954.82","905,466,993.72","1,981,885,628.22"
偿还债务支付的现金,"15,000,000.00","83,500,000.00","25,000,000.00","75,500,000.00","245,500,000.00","322,300,000.00","38,000,000.00","84,636,898.55","121,630,000.00","237,630,000.00","45,000,000.00","138,500,000.00","156,500,000.00","248,786,854.38","58,200,000.00","236,659,926.12","388,696,422.34","478,972,637.28","74,249,205.76","361,633,040.00","523,277,667.89","598,689,857.83","140,731,216.99","442,297,923.90","696,906,373.50","1,039,067,791.71","281,262,564.96","582,748,569.16","931,615,057.72","1,361,701,369.11","330,075,844.44","489,477,433.92","1,027,837,278.67","2,207,858,233.35","383,635,742.76","746,690,398.22"
