科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"8,706,093.95","25,430,024.29","42,178,382.95","31,594,582.46","7,101,596.16","13,774,331.44","25,147,475.06","28,128,307.37","9,003,117.41","17,934,851.74","26,169,630.85","30,336,293.47","7,331,919.98","14,693,321.82","18,556,773.16","12,569,851.40","9,365,150.38","2,382,493.35","8,701,350.09","15,131,222.92","17,464,699.64","31,549,360.10","46,346,930.11","60,316,710.00","17,934,212.15","36,729,460.57","53,449,663.45","66,411,145.35","15,637,496.01","30,670,818.87","46,664,483.99","55,578,343.71","10,348,557.02","15,735,429.39","22,262,450.87","24,098,580.44","5,286,977.04","9,107,040.07","12,478,862.08","13,547,254.93","2,955,706.96","5,120,000.36","14,032,790.46","17,590,407.13","3,376,750.22","6,608,974.52","8,561,522.70","7,991,071.32","2,766,968.89"
三、利润总额,"10,409,207.58","91,144,917.85","98,604,009.35","126,433,393.89","8,316,196.27","16,492,422.84","7,029,959.80","5,727,234.62","-13,903,424.70","671,802.28","-400,053.66","20,915,412.74","-16,904,440.36","-30,523,771.65","-623,268.69","130,643,406.39","339,273,950.31","391,263,553.35","367,276,035.40","320,969,618.92","-15,797,862.81","-17,221,958.36","-45,433,943.78","-108,279,282.62","-26,857,339.52","-16,016,579.96","-43,904,367.85","33,138,666.14","-31,270,702.54","-73,067,250.83","-94,094,465.59","-254,659,723.53","-20,961,999.77","15,174,300.71","14,015,603.63","39,217,158.72","-13,639,072.05","-52,869,684.55","-80,844,177.67","-56,134,395.57","-14,828,477.51","30,228,758.14","43,214,357.29","16,575,578.66","-5,504,911.28","56,488,993.13","91,747,160.64","66,436,865.16","-29,183,136.43"
资产减值损失,"-3,126,061.84","-3,765,305.62","-82,497.88","1,137,828.47","-982,171.04","1,576,228.29","1,395,036.56","13,008,771.79","-21,874.94","-593,785.14","2,314,961.09","17,386,113.59","4,340,464.13","4,772,241.94","7,004,791.02","27,021,396.14",,"1,243,458.60","2,710,769.52","21,362,757.82",-140.80,"-227,415.22","291,567.83","32,572,166.40","-152,320.61","-296,334.83","-1,947,979.51","39,903,144.93","125,500.00","9,209,075.68","8,639,782.30","115,775,693.24","-872,093.75","-440,399.85","1,258,432.22","23,639,668.57","507,000.00","4,199,340.84","5,944,496.55","25,556,367.55","-3,195.07","6,106,773.63","30,714,345.90","109,084,330.03","7,250,669.96","25,881,400.92","53,155,237.03","82,632,957.02","895,859.29"
减:所得税,"1,809,318.83","2,828,443.61","4,345,945.89","12,873,266.90","678,066.40","4,957,574.40","5,555,905.91","9,262,572.47","371,684.44","3,551,388.25","3,526,064.67","8,734,155.31","-1,734,567.10","-1,004,150.39","3,067,397.72","46,110,485.20","86,047,628.60","118,058,856.89","117,310,836.52","94,588,737.85","2,686,843.46","15,384,755.26","18,180,829.47","25,457,025.87","105,401.13","5,974,186.95","12,537,204.97","20,431,301.01","-113,541.51","1,809,858.95","3,085,114.01","4,666,384.48","189,029.74","919,263.54","1,113,385.23","3,016,449.47","232,357.16","990,191.93","1,297,619.49","12,767,426.74","107,248.12","716,882.83","11,993,029.09","6,359,458.82","758,091.87","2,529,185.45","-2,315,816.19","10,031,395.58","-6,858,232.50"
加:公允价值变动净收益,,"-679,800.00",,"767,422.74","-4,882,105.13","-5,339,189.12","-5,466,040.00","-4,335,022.99","554,027.25","9,908,766.93","-8,655,681.68","4,054,900.01","-4,850,262.02","-19,243,900.04","-423,440.32","2,984,721.54","-4,246,279.12","164,175.40","-11,852,335.61","-9,455,298.35","2,255,714.42","4,729,083.07","278,850.77","4,809,204.40","-2,544,485.76","4,503,469.63","7,489,018.35","6,727,270.93","-5,328,842.66","-3,685,412.69","-2,986,021.91","-4,788,605.25",,,,,,,,,,,,,,,,,"13,336,342.20"
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"2,174,636.59","7,635,202.57","14,195,833.10","23,803,304.30","7,984,670.03","9,019,711.82","9,869,910.43","14,260,834.76","4,193,187.51","16,978,897.73","39,404,021.58","47,475,103.39","7,146,528.16","4,344,105.86","19,844,124.11","40,725,293.08","6,244,617.96","12,350,243.30","20,934,696.33","17,764,536.02","8,150,171.39","18,187,584.71","25,032,044.83","25,397,941.10","20,473,638.69","29,599,394.63","36,528,349.63","77,025,993.59","13,033,380.91","29,622,803.22","61,355,147.04","68,507,807.39","8,041,261.26","66,965,579.80","80,026,971.10","85,466,613.20","7,124,428.26","22,600,123.99","28,685,287.74","32,900,663.50","3,907,042.25","89,465,656.93","87,703,029.31","89,170,620.05","5,223,937.81","75,108,143.69","58,297,440.39","69,997,235.61","608,765.36"
四、净利润,"8,599,888.75","88,316,474.24","94,258,063.46","113,560,126.99","7,638,129.87","11,534,848.44","1,474,053.89","-3,535,337.85","-14,275,109.14","-2,879,585.97","-3,926,118.33","12,181,257.43","-15,169,873.26","-29,519,621.26","-3,690,666.41","84,532,921.19","253,226,321.71","273,204,696.46","249,965,198.88","226,380,881.07","-18,484,706.27","-32,606,713.62","-63,614,773.25","-133,736,308.49","-26,962,740.65","-21,990,766.91","-56,441,572.82","12,707,365.13","-31,157,161.03","-74,877,109.78","-97,179,579.60","-259,326,108.01","-21,151,029.51","14,255,037.17","12,902,218.40","36,200,709.25","-13,871,429.21","-53,859,876.48","-82,141,797.16","-68,901,822.31","-14,935,725.63","29,511,875.31","31,221,328.20","10,216,119.84","-6,263,003.15","53,959,807.68","94,062,976.83","56,405,469.58","-22,324,903.93"
其中:对联营企业和合营企业的投资权益,"1,098,062.08","2,240,593.38","6,588,282.03","5,709,968.54",,"-124,270.37","1,827,494.14","7,164,939.80",,"6,404,208.59","11,400,707.87","19,461,635.50","3,408,390.00","6,498,980.13","13,345,593.29","33,692,574.36","2,550,396.38","7,265,150.02","13,813,582.13","13,707,069.66","2,123,388.12","6,837,507.31","9,999,807.21","12,112,268.42","2,632,729.65","10,963,078.84","16,229,543.44","17,037,623.07","2,750,706.53","10,903,281.83","24,877,366.84","23,853,884.17","3,224,149.40","7,147,436.33","10,084,436.03","13,785,172.64","2,355,421.02","7,770,106.38","10,974,155.68","14,936,193.33","3,833,224.71","5,449,099.84","3,686,643.38","3,603,769.66",,"3,404.16","3,404.16","-164,831.10",
归属于母公司所有者的净利润,"7,926,376.87","88,001,155.49","93,066,136.93","110,463,499.74","4,941,913.69","11,391,901.35","6,247,693.90","4,466,278.86","-10,966,264.36","2,338,522.05","2,417,368.44","22,791,389.21","-11,854,600.71","-19,204,631.55","4,494,938.97","62,275,960.24","132,775,450.09","150,092,740.55","123,629,542.45","94,423,574.73","-17,881,567.83","-36,424,233.69","-63,298,857.35","-146,692,036.18","-22,398,504.89","-13,410,315.65","-42,167,201.26","31,893,396.67","-27,273,236.86","-63,161,201.19","-82,317,832.14","-220,752,697.76","-17,609,716.17","19,270,875.49","19,220,413.43","44,232,710.86","-11,348,903.26","-44,714,356.04","-67,981,938.24","-64,401,273.28","-12,952,201.90","36,754,706.16","38,682,156.64","16,628,209.18","-5,576,943.10","55,653,635.15","96,540,939.51","54,579,586.18","-21,584,445.06"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"673,511.88","315,318.75","1,191,926.53","3,096,627.25","2,696,216.18","142,947.09","-4,773,640.01","-8,001,616.71","-3,308,844.78","-5,218,108.02","-6,343,486.77","-10,610,131.78","-3,315,272.55","-10,314,989.71","-8,185,605.38","22,256,960.95","120,450,871.62","123,111,955.91","126,335,656.43","131,957,306.34","-603,138.44","3,817,520.07","-315,915.90","12,955,727.69","-4,564,235.76","-8,580,451.26","-14,274,371.56","-19,186,031.54","-3,883,924.17","-11,715,908.59","-14,861,747.46","-38,573,410.25","-3,541,313.34","-5,015,838.32","-6,318,195.03","-8,032,001.61","-2,522,525.95","-9,145,520.44","-14,159,858.92","-4,500,549.03","-1,983,523.73","-7,242,830.85","-7,460,828.44","-6,412,089.34","-686,060.05","-1,693,827.47","-2,477,962.68","1,825,883.40","-740,458.87"
