科目,2006年1-3月
一、营业收入,"10,407,074,733.51"
二、营业利润,"137,223,970.19"
减:营业成本,"10,006,279,342.49"
加:补贴收入,
营业税金及附加,"104,031,596.11"
营业外收入,500.00
销售费用,"122,264,734.41"
减:营业外支出,
管理费用,"90,619,949.50"
其中:非流动资产处置净损失,
堪探费用,
加:影响利润总额的其他科目,
财务费用,"8,080,394.15"
三、利润总额,"137,224,470.19"
资产减值损失,
减:所得税,"14,700,813.95"
加:公允价值变动净收益,
加:影响净利润的其他科目,
投资收益,"41,326,068.64"
四、净利润,"122,523,656.24"
其中:对联营企业和合营企业的投资权益,
归属于母公司所有者的净利润,"122,523,656.24"
影响营业利润的其他科目,"20,099,184.70"
少数股东损益,
