科目,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"84,096,289.25","260,915,876.52","99,634,338.68","109,245,852.06","145,589,723.86","233,128,734.31","147,257,804.68","222,279,311.38","239,330,287.41","179,444,819.52","206,297,264.46","161,289,566.12","291,919,212.11","261,212,164.40","222,220,755.28","196,373,219.23","203,026,505.00","266,107,686.31","264,303,285.26","243,486,334.31","321,157,893.26","863,370,517.96","849,504,656.04","1,175,706,866.42","1,173,895,977.81","1,244,225,898.16","974,794,962.61","894,555,108.03","769,068,204.94","668,030,416.73","503,433,510.18","454,118,308.56","455,240,953.96","345,849,461.98","497,121,609.14","620,659,296.39","346,659,318.65","377,153,884.59","202,775,492.52","188,727,145.60","249,484,209.72","716,611,740.31","437,983,062.71","316,211,613.19","301,236,169.20","253,804,163.89","125,270,031.30","126,904,712.95"
短期借款,"106,550,000.00","150,500,000.00","138,500,000.00","177,500,000.00","180,000,000.00","300,000,000.00","200,000,000.00","190,000,000.00","180,000,000.00","80,000,000.00","60,000,000.00","62,000,000.00","110,000,000.00","70,000,000.00","30,000,000.00","40,000,000.00","90,000,000.00","240,000,000.00","210,280,860.00","247,151,551.50","281,073,988.50","149,581,487.00","191,034,486.00","90,268,136.00","90,268,136.00","90,268,136.00","100,000,000.00","142,000,000.00","209,780,000.00","307,780,000.00","618,655,012.00","768,655,012.00","705,875,012.00","565,875,012.00","854,000,000.00","510,000,000.00","209,000,000.00","309,000,000.00","117,000,000.00","608,000,000.00","608,000,000.00","1,000,000,000.00","1,235,000,000.00","1,144,300,000.00","1,123,500,000.00","1,055,770,000.00","573,770,000.00","260,920,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,"980,000.00",,,,,,"1,770,000.00","787,896.00","3,983,600.00","1,968,000.00","3,768,000.00","6,257,800.00","3,103,700.00","2,114,850.00","3,973,050.00","9,002,775.00","5,450,000.00","7,113,030.00","13,767,611.34","15,428,672.06","17,721,500.00","9,522,000.00","15,694,245.00","641,011.40","3,498,630.00","2,930,000.00","4,292,207.00","1,250,000.00","5,392,500.00","500,000.00","2,500,000.00","2,267,935.00","6,888,705.00",,"4,570,000.00","4,750,000.00","1,100,000.00","200,000.00",
应付票据,"53,037,476.00","46,955,060.00","10,134,000.00","54,944,000.00","35,331,400.00","5,950,000.00","23,204,688.00","6,343,881.00",,,"9,696,000.00",,,"7,230,000.00",,,,,"16,783,050.00","14,977,050.00","1,500,000.00","120,009,550.00","165,192,550.00","104,433,000.00","120,498,940.00","117,856,140.00","110,698,668.80","81,295,468.80","55,099,000.00","159,695,005.00","164,766,405.00","142,295,400.00","117,467,637.04","115,922,168.44","186,904,051.40","184,566,230.00","187,881,195.00","183,901,516.00","169,991,741.00","118,040,032.40","63,838,400.40","130,323,300.00","278,507,550.00","212,012,050.00","56,043,400.00",,"50,858,539.00",
应收账款,"40,385,431.82","48,885,076.19","17,143,678.01","50,412,163.59","31,630,350.45","29,522,519.31","13,514,067.14","24,287,208.31","25,189,539.74","35,931,253.53","4,898,276.97","22,809,872.28","16,588,388.27","16,136,248.46","6,670,096.58","32,090,220.52","44,668,148.69","132,162,213.56","64,082,930.35","81,439,501.40","49,207,240.30","48,359,615.42","33,814,026.00","69,440,009.21","22,035,565.93","68,065,872.86","64,212,568.86","78,908,504.41","66,364,719.18","63,627,295.02","47,122,787.59","32,319,008.52","47,939,944.94","92,747,355.60","54,996,119.74","60,356,870.49","59,505,073.30","78,803,249.83","81,424,535.75","61,434,475.95","65,886,389.24","63,660,567.72","89,303,021.93","73,858,785.88","138,023,521.95","80,677,234.53","257,836,107.68","262,496,206.96"
应付账款,"71,562,316.74","95,302,309.19","39,842,168.03","56,817,707.34","28,127,165.14","35,708,724.23","32,592,190.26","33,135,624.24","47,696,167.68","49,535,486.25","37,398,578.17","32,741,132.63","41,092,996.61","42,641,013.51","29,191,126.41","35,601,351.92","40,102,755.48","33,914,232.27","50,640,963.29","38,380,117.42","40,642,643.82","34,131,461.21","28,236,775.79","33,387,254.37","45,141,934.13","62,995,128.24","49,235,317.73","42,192,874.11","52,258,671.31","73,555,289.78","55,912,743.45","91,080,187.32","88,417,416.85","104,607,144.82","205,351,918.37","205,707,801.02","153,392,544.34","150,900,004.36","195,347,352.67","158,354,322.00","136,000,090.58","142,757,003.28","172,411,582.43","143,688,263.68","162,932,650.48",,"276,366,861.32",
预付款项,"56,375,149.83","174,108,117.06","174,208,955.17","208,880,827.10","182,095,549.26","160,972,602.25","115,984,472.98","119,656,063.06","63,839,324.27","88,845,467.22","112,128,343.46","67,891,780.12","52,194,846.57","107,652,651.34","82,228,079.98","60,696,643.06","122,527,215.60","118,991,899.83","136,532,275.95","210,133,245.34","214,492,513.03","295,333,529.83","346,989,993.69","351,232,180.78","410,245,981.23","419,931,233.33","194,147,814.51","112,358,222.37","178,786,342.58","343,225,485.67","188,298,536.69","158,291,098.16","170,687,691.98","200,764,414.69","149,667,200.11","154,365,289.27","145,821,480.72","164,535,630.76","316,961,151.57","186,192,971.08","132,013,054.96","167,242,144.13","272,073,497.85","159,048,154.83","133,261,234.57","179,743,191.25","148,297,891.82","158,285,630.60"
预收款项,"25,779,142.12","23,171,682.77","18,059,172.91","22,235,454.83","15,489,284.87","14,528,860.30","20,840,806.04","20,461,679.50","16,089,174.03","15,599,052.36","38,047,104.47","22,300,927.80","18,583,691.96","37,610,439.03","15,042,146.43","13,489,077.68","13,334,216.47","15,168,381.17","13,728,806.18","44,138,690.64","32,208,488.64","53,440,928.52","28,282,381.87","36,757,237.01","45,537,712.25","53,469,187.93","102,959,263.02","74,278,873.54","90,440,563.66","140,902,496.38","48,083,371.27","43,033,783.98","48,967,668.31","55,827,936.78","79,688,346.25","65,392,371.65","29,717,941.96","21,845,658.49","135,864,283.33","63,577,965.70","65,423,219.07","88,756,341.34","58,829,007.53","67,384,586.83","86,003,866.88","88,686,660.29","76,385,580.65","105,117,923.60"
其他应收款,"11,307,869.41","13,877,044.62","19,570,106.13","37,619,146.67","37,135,697.44","32,718,919.02","8,742,497.42","9,424,204.18","7,582,820.84","8,390,516.44","3,328,111.00","7,077,112.24","9,243,613.05","10,234,024.17","5,079,084.73","7,765,422.79","12,175,631.61","9,370,620.53","6,942,018.18","9,424,170.26","7,300,909.75","9,389,437.80","6,613,947.56","7,900,605.73","11,903,486.39","10,315,562.25","8,439,057.77","8,066,683.12","106,249,754.11","110,576,783.45","13,828,761.47","25,806,442.62","37,899,973.39","22,177,234.65","20,252,795.15","28,421,181.05","33,717,389.22","23,381,115.00","11,400,348.29","13,033,382.40","14,283,224.30","19,536,788.46","16,138,617.10","18,635,448.19","39,435,202.34","27,437,799.47","19,130,563.20","21,404,996.94"
应付职工薪酬,"4,606,810.79","5,536,488.04","6,386,184.74","9,729,599.90","10,410,582.80","9,150,009.74","10,023,507.05","6,631,039.45","7,380,797.80","7,639,975.32","10,837,932.25","7,790,883.26","10,399,685.89","9,086,392.71","10,938,225.05","7,103,588.53","8,821,262.54","9,482,692.92","14,671,318.73","9,831,585.20","11,266,160.24","9,964,127.26","17,127,085.13","10,946,667.84","11,488,079.85","10,449,476.49","18,199,117.51","10,902,288.84","9,672,891.54","8,270,161.12","18,098,107.18","17,687,775.42","19,269,348.42","17,643,658.66","18,011,442.55","15,780,351.78","16,062,345.65","15,840,080.69","15,752,416.51","13,693,005.11","13,785,361.45","17,973,647.08","22,080,753.79","21,334,864.18","18,058,270.56","15,889,848.19","23,274,426.44","16,193,914.34"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"4,706,391.96","3,119,958.30","1,924,052.43","3,339,048.17","9,195,354.30","7,448,094.86","-1,870,288.85","478,272.67","257,655.81","786,320.06","119,125.81","4,428,536.16","8,844,770.71","13,747,175.15","19,717,233.77","14,842,506.27","16,251,006.64","25,011,919.00","16,883,761.97","14,069,057.11","17,523,000.59","21,978,156.71","8,347,106.48","14,490,152.73","17,753,225.20","18,558,438.89","10,385,605.09","-3,347,807.10","18,321,534.56","3,146,264.42","19,657,370.06","13,440,266.06","16,024,916.35","22,756,051.09","18,807,532.28","24,395,474.35","23,486,747.93","28,084,978.13","34,392,772.60","29,046,655.71","12,674,485.43","15,670,330.84","16,521,353.93","21,391,327.02","12,883,074.05","17,032,524.21","16,257,016.19","18,066,364.00"
应收利息,,,,,,,,,,,,,,,,,,,,,,,"646,438.36","1,201,116.44","4,023,409.64","1,371,109.64",,,,,,,,,,,,,,,,,,,,,,
应付利息,,"16,000,000.00",,,,,,,,,,,,,,,,,,,,,,"5,220,000.00","13,050,000.00","20,880,000.00","29,145,000.00","5,655,000.00","13,485,000.00","21,315,000.00","29,145,000.00","5,655,000.00","13,485,000.00","21,315,000.00","29,145,000.00","5,655,000.00","20,071,666.67","33,758,272.40","48,809,631.93","9,135,715.13","17,947,171.79","25,903,913.89","33,743,778.61","1,582,697.50","980,776.19",,"1,130,679.08","1,051,019.75"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,"16,000,000.00",,"16,000,000.00","16,000,000.00","16,000,000.00","16,000,000.00","8,505,062.08","8,505,062.08","8,505,062.08","505,062.08","505,062.08","505,062.08","505,062.08","505,062.08","284,984.57","284,984.57","284,984.57","284,984.57","32,842.73","32,842.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,
存货,"155,530,857.00","164,683,275.70","252,318,179.47","283,576,140.87","279,405,204.28","337,600,528.64","338,528,611.69","218,324,212.18","185,723,493.27","120,037,691.30","122,770,279.22","197,647,299.70","159,000,252.88","163,691,179.17","204,548,633.23","239,877,873.19","227,262,351.69","256,695,413.46","324,807,762.76","335,935,037.25","368,849,814.23","305,814,401.81","283,675,859.42","316,859,444.79","307,905,733.65","195,546,581.69","290,775,782.57","329,945,957.54","282,255,164.23","299,982,551.71","255,946,221.03","350,039,810.59","292,044,175.18","268,231,095.03","345,649,248.18","460,039,468.20","459,601,774.29","425,461,469.81","296,427,802.42","454,354,162.89","399,078,466.88","384,278,682.83","361,077,112.28","449,216,889.23","331,596,654.30","331,603,046.92","296,352,771.05","234,622,867.52"
其他应付款,"4,617,840.06","7,629,047.53","7,896,138.14","17,234,357.58","18,631,511.26","25,120,983.94","8,098,173.27","10,948,243.16","14,726,737.80","12,527,977.94","13,118,945.56","15,615,983.35","16,694,857.17","20,945,116.88","11,563,841.60","13,561,803.64","13,751,689.93","14,267,384.40","10,406,574.64","12,263,839.46","18,309,407.58","11,037,729.41","23,779,287.34","12,782,425.65","8,184,341.57","12,948,110.17","61,892,500.03","18,865,062.67","12,427,066.96","12,092,004.50","36,571,340.72","39,034,332.28","56,847,513.40","49,545,028.35","33,530,230.77","35,612,148.51","33,114,987.11","28,406,579.68","39,950,290.38","34,503,041.11","25,378,533.21","26,867,353.69","45,858,978.01","25,141,019.96","32,801,144.30","32,612,049.15","112,833,485.39","109,785,447.92"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"538,596,789.54","538,957,712.52","539,318,635.50","539,679,558.48",,,,"215,000,000.00","215,000,000.00"
其他流动资产,,,,,,,,,,,,,,,,,,,,,"2,900,000.00",,,,,,,,,,,,,"15,060,667.75","114,454,680.44","98,716,849.67","121,098,261.16","93,795,993.57","377,979,937.02","79,676,600.35","114,610,340.52","150,444,418.44","697,454,328.32","68,939,300.71","50,408,561.40","33,685,854.08","53,865,776.22","38,970,591.86"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"600,000,000.00","600,000,000.00","600,000,000.00","601,425,870.94","1,198,577.57","1,353,358.97","1,353,358.97","1,353,659.19","1,188,659.19","1,353,659.19","1,353,659.19",,
流动资产合计,"347,695,597.31","662,469,390.09","562,875,257.46","689,734,130.29","675,856,525.29","793,943,303.53","624,027,453.91","593,970,999.11","521,665,465.53","433,629,748.01","449,422,275.11","456,715,630.46","528,946,312.88","558,926,267.54","520,746,649.80","538,573,378.79","610,447,748.59","787,311,433.69","798,636,272.50","884,186,288.56","970,166,170.57","1,525,371,202.82","1,523,359,771.07","1,926,313,273.37","1,939,012,929.65","1,944,906,257.93","1,539,483,216.32","1,437,602,086.81","1,418,152,857.10","1,503,164,032.58","1,018,151,816.96","1,036,268,913.45","1,004,453,750.85","948,328,859.70","1,185,071,652.76","1,426,851,162.07","1,167,653,297.34","1,168,523,843.56","1,287,469,267.57","985,918,738.27","977,623,620.62","1,508,663,046.89","1,874,029,640.19","1,090,480,192.03","998,711,343.76","908,051,290.14","900,953,141.27","842,685,006.83"
流动负债合计,"286,859,977.67","348,214,545.83","238,741,716.25","357,800,167.82","313,185,298.37","413,906,673.07","301,394,137.85","276,503,802.10","274,655,595.20","166,593,874.01","169,722,748.34","145,382,525.28","206,121,064.42","201,765,199.36","116,737,557.83","124,883,312.61","182,545,915.63","338,129,594.33","333,428,177.54","380,844,734.06","402,523,689.37","400,143,440.11","461,999,672.61","308,284,873.60","351,922,369.00","387,424,617.72","482,515,472.18","371,841,760.86","461,484,728.03","726,756,221.20","990,889,349.68","1,120,881,757.06","1,066,354,512.37","953,492,000.14","1,425,438,521.62","1,647,109,377.31","1,272,727,428.66","1,371,737,089.75","1,358,534,359.36","1,574,146,104.27","1,483,358,333.42","1,988,923,884.59","2,403,986,221.97","1,638,023,468.36","1,494,556,841.65","1,447,867,949.54","1,344,745,908.99","1,312,323,907.72"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40,000,000.00","40,000,000.00","40,000,000.00","45,687,500.00","40,000,000.00","40,000,000.00","40,000,000.00","40,000,000.00","40,000,000.00","40,000,000.00","40,000,000.00","40,000,000.00","40,000,000.00","40,000,000.00","40,000,000.00","40,000,000.00","40,000,000.00",
长期借款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"180,000,000.00","180,000,000.00","180,000,000.00","180,000,000.00","280,000,000.00","275,000,000.00","275,000,000.00","265,000,000.00","265,000,000.00","215,000,000.00","250,000,000.00","215,000,000.00"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
