科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"4,250,191,919.02","10,764,946,461.82","14,847,794,195.42","16,822,221,297.10","4,442,807,236.11","8,649,000,341.05","14,224,657,655.12","13,816,765,589.94","6,626,301,730.15","15,046,774,787.83","21,095,920,198.87","31,712,704,592.68","7,662,784,814.72","16,844,188,819.46","25,068,097,023.12","31,980,691,156.64","5,626,246,545.05","11,612,685,816.30","15,658,459,079.38","26,280,242,951.82","5,092,518,574.66","10,104,966,433.43","13,763,187,978.23","24,682,027,189.12","5,339,685,404.45","10,055,080,690.38","15,388,970,316.81","20,891,998,144.66","4,593,596,073.57","9,372,290,899.31","13,521,816,925.71","19,633,695,246.06","4,450,584,893.56","9,761,859,578.41","15,610,536,197.43","17,594,293,171.22","5,534,512,028.95","12,563,297,512.81","21,416,499,900.51","28,331,243,738.73","6,358,786,107.03","15,961,251,664.36","22,746,160,538.03"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,"112,946.15",,,,,,,,,,,,,,,,,,,,,,,,,,,,"112,159,452.61",,,
收到的税费返还,"14,956,615.98","51,035,388.66","102,458,145.71","185,740,794.23","53,142,617.17","124,130,717.99","153,348,312.83","153,871,014.99","7,384,008.98","61,140,026.92","212,167,404.70","324,231,463.41","51,038,761.06","108,823,417.88","234,247,211.77","318,622,462.03","73,518,436.70","174,577,745.12","255,612,141.86","352,572,383.34","145,363,402.66","220,627,667.76","280,688,627.79","373,794,158.23","227,384,331.31","302,786,878.39","413,280,146.21","535,789,026.12","174,599,543.80","399,300,570.31","484,153,627.60","618,316,595.19","230,435,076.09","468,259,762.11","552,295,022.26","631,256,962.10","339,224,371.15","617,104,461.08","843,336,495.53","1,058,710,581.09","216,436,606.93","403,780,199.48","592,081,481.24"
支付其他与投资活动有关的现金,,,,,,"58,000,000.00","58,000,000.00","58,000,000.00",,,,,,,,"147,030,000.00",,,,,,,,,,,,,,,,,,,,"88,000,000.00",,"155,000,000.00",,"199,300,000.00",,,
收到其他与经营活动有关的现金,"94,644,681.69","107,718,552.88","214,871,349.99","33,015,599.25","83,455,181.60","119,447,684.60","224,153,075.93","126,929,739.65","44,308,605.53","118,854,596.83","189,408,269.34","65,938,372.55","46,176,526.17","627,074,067.24","731,125,530.13","231,620,716.87","77,779,923.03","449,431,211.89","572,958,609.26","450,619,249.65","295,473,489.06","490,211,936.67","529,756,663.54","409,086,730.57","532,462,071.89","896,800,254.15","1,556,385,303.81","537,354,100.74","707,343,079.88","737,862,087.26","1,049,440,613.10","679,488,623.61","790,309,948.80","657,308,981.42","2,899,367,412.09","598,835,568.86","796,756,077.88","685,362,324.10","2,221,633,591.31","743,988,266.56","1,049,488,950.71","702,019,437.69","1,722,309,734.12"
投资活动现金流出小计,"92,333,878.69","166,468,945.33","292,578,176.21","631,282,947.13","343,348,881.91","527,026,092.04","956,227,777.06","938,742,319.49","144,125,477.64","246,146,715.29","423,043,134.08","894,278,217.67","246,433,230.66","1,177,550,705.35","2,374,909,935.70","3,252,899,493.66","1,726,892,611.61","2,476,576,879.92","3,303,086,574.12","4,760,218,035.23","747,672,656.78","1,564,119,257.95","1,989,361,330.85","2,314,698,965.52","487,789,851.91","1,068,566,985.26","1,601,309,740.55","3,980,454,448.70","615,818,838.72","891,896,836.35","1,461,750,247.11","4,394,202,700.80","297,476,208.88","485,400,236.68","793,808,041.35","3,261,767,091.03","530,185,045.64","928,196,186.14","915,824,138.32","7,290,707,710.83","769,267,327.24","2,491,062,957.71","4,172,729,622.50"
经营活动现金流入小计,"4,359,793,216.69","10,923,700,403.36","15,165,123,691.12","17,040,977,690.58","4,579,405,034.88","8,892,578,743.64","14,602,159,043.88","14,097,566,344.58","6,677,994,344.66","15,226,769,411.58","21,497,495,872.91","32,102,874,428.64","7,760,000,101.95","17,580,086,304.58","26,033,469,765.02","32,530,934,335.54","5,777,544,904.78","12,236,694,773.31","16,487,029,830.50","27,083,434,584.81","5,533,355,466.38","10,815,806,037.86","14,573,633,269.56","25,464,908,077.92","6,099,531,807.65","11,254,667,822.92","17,358,635,766.83","21,965,141,271.52","5,475,538,697.25","10,509,453,556.88","15,055,411,166.41","20,931,500,464.86","5,471,329,918.45","10,887,428,321.94","19,062,198,631.78","18,824,385,702.18","6,670,492,477.98","13,865,764,297.99","24,481,469,987.35","30,133,942,586.38","7,624,711,664.67","17,067,051,301.53","25,060,551,753.39"
投资活动产生的现金流量净额,"-89,174,612.60","-124,395,764.40","-245,687,115.23","-496,147,302.90","-305,260,423.48","-485,457,092.79","-912,929,547.47","-816,337,954.36","-142,119,328.62","-236,477,911.02","-404,290,021.30","-712,682,326.06","-69,744,366.83","-1,039,232,411.30","-1,301,853,025.93","-2,241,112,300.32","-1,256,324,195.74","-2,038,390,028.46","-2,728,458,468.70","-3,793,311,284.74","-629,561,812.48","-1,518,760,297.51","-1,920,498,091.87","-180,327,510.05","636,656,690.53","104,924,013.13","130,223,465.17","-1,808,699,819.06","-599,828,592.49","-637,750,976.05","-1,065,985,600.29","-2,292,117,826.22","-293,100,243.36","-423,715,303.08","-711,911,750.56","-1,692,799,984.18","-451,930,106.18","-793,811,824.86","-511,334,338.59","-4,680,849,299.10","-727,873,710.92","-2,046,127,871.17","-3,558,226,967.58"
购买商品、接受劳务支付的现金,"3,713,571,261.68","8,806,943,327.90","12,246,971,260.24","13,204,035,884.76","3,657,796,619.25","7,408,690,671.92","12,190,294,882.02","10,985,286,625.45","3,570,545,629.63","8,279,117,318.86","12,406,067,764.79","23,499,760,642.30","5,906,783,715.07","11,906,108,809.88","20,277,068,505.33","24,681,866,939.23","4,939,991,645.77","9,127,014,468.24","12,431,254,813.30","19,935,114,069.04","3,089,627,290.69","6,327,423,518.67","8,487,131,454.66","19,153,282,265.45","2,949,704,383.94","6,199,952,671.06","9,249,686,452.59","13,995,016,313.14","3,805,193,222.51","6,994,806,582.39","9,418,625,787.23","13,369,516,346.61","3,439,850,116.73","7,511,559,694.63","11,685,382,684.89","10,819,124,361.35","4,931,512,889.28","11,481,702,441.75","16,259,517,745.02","21,624,276,660.73","5,725,728,327.61","13,211,312,343.97","20,421,057,693.95"
吸收投资收到的现金,,,,,,"1,037,400,000.00","1,037,400,000.00","1,022,400,000.00",,,"986,000,000.00",,,,"2,457,997,038.00","2,457,997,038.00",,,,"245,000,000.00",,"4,900,000,000.00","4,900,000,000.00","4,900,000,000.00",,,,,,,,,"2,943,599,996.95","2,943,599,996.95","2,943,599,996.95","2,941,107,457.55",,,,,,"15,440,000.00","15,440,000.00"
