科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"375,472,069.33","435,728,189.95","573,345,240.92","130,568,440.20","277,360,641.88","430,698,826.32","515,497,446.85","156,726,378.81","325,186,736.89","493,869,542.36","459,302,275.66","135,317,107.74","284,318,294.77","456,022,546.95","697,188,740.43","189,032,118.23","383,855,117.48","568,397,699.68","865,999,047.61","215,519,215.60","365,172,483.79","527,436,468.61","756,330,504.18","165,225,139.88","383,132,270.61","577,427,906.39","783,061,228.55","190,650,430.33","399,545,204.80","599,593,448.85","817,288,191.71","154,222,138.99"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,"231,971.49",,"404,272.38","404,272.38","404,272.38",,,,,,,,,"1,268,554.81","192,973.97","1,132,623.98","1,759,481.33","2,468,125.77","2,109,939.49","2,492,179.85","3,109,948.50","3,763,514.49","714,894.01","714,894.01","1,768,372.46","1,966,639.49","2,220,891.94","2,220,891.94","3,498,600.60","2,220,891.94","1,236,702.40"
支付其他与投资活动有关的现金,,,,,,,"8,162,500.00",,,,,,,,"220,000,000.00",,,,"3,000,000.00",,,,"30,000,000.00",,,,,,,,,
收到其他与经营活动有关的现金,"20,357,250.15","2,123,452.15","4,085,022.02","6,090,652.44","26,379,138.70","14,650,161.77","43,650,349.06","21,099,930.44","34,961,186.70","49,442,545.53","70,866,806.58","50,848,400.56","111,696,887.49","43,493,636.61","24,599,762.76","18,695,737.20","35,497,345.48","57,897,860.45","53,215,391.30","23,683,292.76","8,499,729.20","18,756,750.68","21,161,187.12","12,123,507.97","27,304,191.51","44,670,649.16","31,192,734.48","4,400,356.09","66,892,732.98","69,053,535.12","81,133,163.83","14,115,439.58"
投资活动现金流出小计,"61,969,301.51","28,621,583.31","74,904,523.25","22,552,403.12","85,680,262.39","114,836,121.24","217,599,428.33","63,824,004.47","80,085,583.30","108,001,073.88","222,144,661.57","86,022,671.86","132,274,295.25","141,201,833.78","383,775,589.71","63,758,886.65","65,096,512.80","271,272,239.69","369,937,244.39","36,074,263.91","83,102,992.51","241,258,120.72","323,458,130.53","42,847,741.91","60,739,310.30","101,303,115.85","153,870,783.60","40,996,281.77","79,322,286.06","100,691,979.20","121,849,360.31","23,502,861.10"
经营活动现金流入小计,"395,829,319.48","438,083,613.59","577,430,262.94","137,063,365.02","304,144,052.96","445,753,260.47","559,147,795.91","177,826,309.25","360,147,923.59","543,312,087.89","530,169,082.24","186,165,508.30","396,015,182.26","499,516,183.56","723,057,058.00","207,920,829.40","420,485,086.94","628,055,041.46","921,682,564.68","241,312,447.85","376,164,392.84","549,303,167.79","781,255,205.79","178,063,541.86","411,151,356.13","623,866,928.01","816,220,602.52","197,271,678.36","468,658,829.72","672,145,584.57","900,642,247.48","169,574,280.97"
投资活动产生的现金流量净额,"-61,133,811.43","-28,589,583.31","-74,764,523.25","-22,356,403.12","-85,484,262.39","-114,598,141.24","-217,348,197.07","-63,600,004.47","-71,699,083.30","-99,582,573.88","-213,726,161.57","-85,770,671.86","-132,022,295.25","-140,949,833.78","-383,523,589.71","159,580,208.98","61,789,103.38","-40,732,924.88","-188,569,436.43","13,937,516.89","-27,080,816.94","-185,235,945.15","-172,036,038.73","-12,684,532.32","55,092,498.72","39,534,463.17","71,958,201.49","-36,555,315.91","-69,958,878.49","-91,103,149.83","-25,651,286.77","-23,502,489.07"
购买商品、接受劳务支付的现金,"263,889,222.34","239,859,489.47","375,924,535.06","105,599,197.21","226,161,915.24","378,182,902.07","378,486,195.40","111,701,773.40","257,123,794.18","423,938,516.03","360,581,339.21","105,295,134.85","220,856,275.41","290,938,478.27","442,058,803.35","99,977,898.88","257,897,791.80","341,121,291.37","502,814,208.58","139,917,158.55","197,832,798.76","314,075,170.58","377,121,762.77","115,212,518.75","224,799,147.82","321,498,040.35","379,158,401.07","88,973,201.84","225,912,556.81","371,077,296.76","472,746,325.15","140,605,502.06"
吸收投资收到的现金,"15,750,000.00","29,154,000.00",,,"643,600,000.00","643,600,000.00","587,630,900.00",,,"200,000.00","200,000.00",,,"517,433,929.30","520,043,480.00",,,,,,,,"414,176.77",,,,,,"78,282.83","78,282.83","166,666.66",
