科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
其他应收款,"4,376,700.56","7,358,852.02","9,239,075.14","42,793,097.17","76,016,563.22","59,671,717.42","26,555,991.18","54,636,126.81","56,422,988.29","62,503,454.89","63,561,830.44","55,386,311.78","47,952,630.48","106,416,438.29","95,010,747.36","93,627,329.23","94,405,621.02","98,346,265.55","73,630,723.50","49,408,356.00","41,601,571.58","41,198,911.41","30,385,785.08","68,734,291.31","62,316,997.37","66,132,252.07","64,275,124.79","66,807,561.68","67,374,690.67","70,750,466.40","71,543,218.46","134,168,762.28","239,247,456.25","241,649,564.27","246,053,990.27","290,224,042.77","281,881,278.56","278,368,304.74","282,385,793.27","270,058,735.63","286,484,742.96","281,013,036.88","361,611,132.55"
应付职工薪酬,"702,537,646.18","777,432,659.55","801,023,356.36","679,879,113.95","696,993,397.78","709,130,373.76","539,955,543.07","192,206,364.58","210,543,574.85","233,299,221.03","245,453,863.91","156,933,485.50","99,691,452.90","98,664,532.65","53,968,827.22","38,665,045.10","25,125,615.99","79,778,631.81","80,205,119.02","48,692,052.22","37,671,023.42","54,899,440.21","63,201,797.01","45,435,267.22","68,170,910.61","80,028,154.70","51,185,600.20","21,651,846.02","16,798,935.55","33,058,723.75","33,754,571.18","11,429,931.18","-8,040,340.41","26,863,707.39","5,410,050.24","8,413,730.55","6,007,676.10","48,711,652.09","25,159,128.81","6,763,150.42","7,775,651.86","10,271,107.91","55,254,354.14"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"31,798,519.03","85,378,493.09","173,587,578.34","86,565,929.53","247,949,083.32","99,741,961.83","20,123,459.72","42,924,628.98","24,224,744.15","-37,556,626.07","-51,929,650.58","13,772,921.88","-182,174,258.40","-355,120,249.34","-190,851,560.23","-235,525,388.39","-64,331,830.18","-270,599,771.87","-214,266,000.69","-70,696,079.88","-89,610,920.54","-28,724,122.37","-10,085,630.71","-35,459,488.42","-42,868,538.06","13,657,243.56","-54,398,462.58","-139,325,739.33","-7,965,952.19","81,058,990.29","15,377,167.51","95,606,689.58","141,424,126.67","71,024,394.56","25,191,371.65","28,189,882.94","99,463,860.40","103,823,704.82","134,298,586.72","27,747,488.38","113,149,061.96","42,606,306.30","173,281,725.88"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,"10,890,000.00","21,780,000.00","32,670,000.00",,"10,890,000.00","21,780,000.00","32,670,000.00",,"10,890,000.00","21,780,000.00","32,670,000.00",,"10,890,000.00","28,675,875.00","39,824,486.33","7,082,777.90","23,350,697.60","55,669,252.31","97,156,554.19","95,387,832.18","69,080,842.72","55,203,928.62","102,301,970.83","93,315,041.78","66,117,924.14","55,858,592.01","95,607,970.30","95,144,982.83","75,876,123.06","66,011,911.94","112,689,069.89","104,559,631.09","76,629,395.42","62,601,419.48","105,050,431.49","103,813,588.24","67,666,938.36","34,897,523.40","48,894,754.20","20,430,484.11"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
存货,"2,481,274,119.86","3,365,215,522.30","3,682,087,206.87","4,305,866,278.24","5,978,407,786.71","8,598,700,176.88","9,627,699,933.17","7,224,028,988.31","6,255,909,031.91","5,225,350,202.03","5,193,552,680.11","5,524,283,734.90","7,110,966,265.92","7,158,610,569.51","7,120,784,872.87","7,544,103,897.08","6,946,363,261.63","7,211,639,391.25","7,202,026,097.27","6,228,248,620.53","5,458,920,228.04","5,036,961,836.41","4,698,980,660.45","4,221,664,507.72","4,723,178,308.86","5,515,669,962.23","5,608,099,660.79","7,329,990,287.34","7,154,660,650.66","6,393,475,328.87","6,395,638,524.62","6,381,121,008.68","6,155,336,611.43","6,365,109,106.49","6,098,978,417.80","5,411,791,306.28","5,307,181,835.30","5,407,521,802.45","5,598,633,436.59","6,352,912,712.86","6,472,291,267.49","6,390,953,033.92","6,423,874,027.57"
其他应付款,"276,107,850.32","380,325,297.33","402,173,289.78","100,043,825.47","269,795,730.67","291,068,291.52","386,764,148.99","208,943,777.18","243,121,207.30","215,980,836.00","233,120,197.28","213,710,334.65","218,990,525.31","187,972,883.49","216,297,968.18","240,181,402.89","225,894,337.88","255,931,873.23","255,631,302.96","285,749,706.46","234,233,505.52","275,092,599.68","342,062,883.76","342,098,688.29","319,413,683.95","328,566,178.88","359,732,124.87","401,181,040.98","281,913,413.06","357,836,087.94","355,108,897.11","370,028,714.55","390,104,667.51","519,144,102.81","717,175,411.88","735,694,874.03","798,000,458.92","994,368,031.87","1,084,043,290.20","1,093,575,733.86","1,089,186,036.06","1,152,367,778.97","1,184,234,786.93"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"215,000,000.00","70,000,000.00","320,000,000.00","580,000,000.00","580,000,000.00","780,000,000.00","580,000,000.00","440,000,000.00","540,000,000.00","870,000,000.00","890,000,000.00","930,000,000.00","1,170,000,000.00","980,000,000.00","1,310,000,000.00","1,454,000,000.00","2,034,000,000.00","2,184,000,000.00","2,311,000,000.00","2,402,649,642.45","2,824,580,265.65","3,755,261,696.29","3,750,568,777.53","4,057,187,056.85","3,316,508,503.25","2,533,040,803.95","2,253,780,672.80","1,417,732,712.56","1,251,729,616.87","909,772,069.45","510,860,764.50","569,456,939.02","689,141,530.71","657,175,070.66","730,795,122.64","826,807,104.18","805,293,355.22","724,801,788.52","641,429,263.67","1,582,448,665.67","1,559,903,497.52","1,540,633,003.96","928,157,884.70"
其他流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60,166,111.62","77,098,424.44","96,883,414.83","90,212,764.78","185,923,719.57","105,311,660.98","66,167,111.77","54,369,396.62","101,292,784.90","101,371,970.90","105,317,091.42","124,753,058.54"
其他流动负债,,"201,823,538.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"5,170,197,770.51","6,460,492,988.86","8,113,047,573.63","8,835,275,265.37","11,061,165,588.00","13,941,912,427.86","13,741,467,746.12","11,048,232,633.23","11,105,264,996.47","10,700,959,257.31","10,701,453,309.55","10,859,778,090.23","13,991,938,944.00","14,482,388,111.28","15,504,933,843.41","15,288,735,453.66","16,323,387,063.58","16,421,362,503.84","15,507,617,598.26","14,791,011,937.00","15,411,444,197.05","13,010,348,544.72","12,589,497,616.86","12,725,617,209.10","13,049,405,828.72","13,689,455,472.13","12,794,847,812.99","12,139,135,033.26","13,328,046,425.95","14,382,646,096.37","14,444,257,544.07","12,825,830,186.87","14,268,510,577.22","14,809,387,897.48","14,440,145,961.98","13,334,257,717.82","13,293,780,899.74","12,668,446,136.96","13,163,062,393.35","13,985,820,442.30","14,125,542,987.47","14,257,280,924.58","15,025,432,679.97"
流动负债合计,"6,367,100,183.78","8,140,115,999.78","8,842,136,694.80","9,639,442,483.50","11,593,109,935.06","14,698,327,551.95","14,206,653,900.08","12,213,956,010.29","11,940,662,944.31","12,340,277,400.59","11,904,460,313.27","11,493,851,525.30","13,646,452,560.29","13,301,609,063.51","14,110,971,929.05","14,165,179,495.78","15,368,823,852.87","16,164,924,492.35","15,903,748,618.47","15,633,824,705.11","17,277,485,923.95","17,698,370,772.73","18,414,047,395.80","20,465,569,134.59","21,632,624,520.41","23,012,378,938.78","21,993,864,636.64","20,947,809,877.91","22,168,461,138.92","23,012,760,569.55","22,787,748,679.07","20,987,874,455.52","21,043,145,048.05","21,787,060,353.86","22,472,561,826.55","22,134,004,766.08","22,310,429,688.02","21,624,223,420.94","22,050,335,432.57","23,243,816,265.90","24,114,499,500.33","23,561,036,333.20","22,797,155,839.62"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,002,000.00","100,002,000.00","100,002,000.00","100,002,000.00","100,002,000.00","100,002,000.00","100,002,000.00","100,002,000.00","100,002,000.00","100,002,000.00","100,002,000.00","100,002,000.00","100,002,000.00"
长期借款,"2,730,000,000.00","4,020,000,000.00","3,920,000,000.00","3,650,000,000.00","3,710,000,000.00","3,450,000,000.00","3,650,000,000.00","3,720,000,000.00","4,320,000,000.00","3,830,000,000.00","4,060,000,000.00","3,970,000,000.00","4,800,000,000.00","5,580,000,000.00","5,830,000,000.00","5,676,000,000.00","5,246,000,000.00","4,796,000,000.00","4,719,000,000.00","4,428,000,000.00","3,525,500,000.00","2,161,000,000.00","2,195,000,000.00","1,206,000,000.00","1,037,000,000.00","792,000,000.00","586,000,000.00","434,000,000.00","284,000,000.00","182,000,000.00","182,000,000.00","180,000,000.00","180,000,000.00","90,000,000.00",,,,,,"1,110,000,000.00","1,260,000,000.00","1,760,000,000.00","2,159,800,000.00"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
