科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"258,163,173.18","487,648,106.97","773,298,176.08","174,133,619.08","398,448,781.48","667,802,207.22","1,008,567,876.80","276,255,986.31","524,713,293.59","901,790,161.92","1,258,690,374.02","384,061,444.15","833,411,395.85","1,299,521,540.52","1,942,911,851.22","764,810,247.09","1,669,582,831.26","2,620,473,031.21","3,422,710,628.62","696,992,905.01","1,655,863,572.43","2,930,467,432.92","4,143,733,212.77","1,032,987,953.42","1,760,421,364.05","2,588,571,257.76","3,537,545,149.95","1,160,998,998.96","2,320,773,229.06","3,563,268,003.78","4,950,241,419.25","1,334,096,374.93","2,820,272,241.37","4,569,866,387.85","5,901,484,221.45","1,608,112,235.25","3,003,785,098.44"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,"-296,661,698.02","395,489,000.00","500,000,000.00","500,000,000.00","500,000,000.00",,,,,,
收到的税费返还,,,"219,553.06","75,455.61","75,455.61","75,455.61","75,455.61",,"328,298.48","328,298.48","328,298.48",,,,"328,798.47",,"4,756,323.79","7,998,538.26","12,677,387.87","983,444.27","1,082,353.70","1,082,353.70","1,082,353.70",,"9,434,886.23","30,655,167.58","70,062,940.02","29,786,929.38","51,939,028.74","91,599,413.19","140,407,165.13","43,262,765.79","90,549,394.60","163,835,573.90","219,550,072.12","54,859,750.49","89,957,336.49"
支付其他与投资活动有关的现金,,,,,,"450,900.00","465,900.00","89,133.00","89,133.00","89,133.00","89,133.00",,,,,,,,"1,500,000.00",,,,,,,,,,"294,500,000.00","294,500,000.00","331,500,000.00",,,"39,000,000.00","93,000,000.00","60,000,000.00","254,500,000.00"
收到其他与经营活动有关的现金,"2,573,720.35","5,845,509.30","7,053,152.09","1,213,665.11","6,025,183.94","8,434,186.61","13,152,453.58","1,892,840.34","11,283,851.05","25,324,048.19","17,239,663.86","3,943,528.92","6,105,016.31","11,618,838.56","18,897,376.57","6,194,003.23","8,292,833.00","13,674,645.55","18,148,747.39","4,999,889.76","6,987,647.29","10,035,367.84","30,260,952.61","5,649,237.18","12,337,341.06","26,569,931.52","47,188,742.60","40,700,690.56","27,570,749.00","48,661,874.02","64,533,345.21","24,133,234.28","40,929,067.60","58,598,504.37","77,423,088.81","7,661,207.01","18,901,744.63"
投资活动现金流出小计,"20,273,245.77","45,660,743.31","72,586,288.68","21,101,052.78","85,059,548.25","139,293,916.32","217,565,852.29","109,283,543.10","229,371,936.20","304,110,169.06","348,582,544.42","72,027,601.53","103,060,650.32","125,761,708.64","151,639,496.31","104,203,590.43","211,627,211.09","298,349,015.65","452,131,593.37","178,928,165.76","322,960,083.98","535,330,516.02","688,180,707.41","67,114,395.92","355,724,219.78","501,086,676.78","266,930,354.77","454,376,398.40","896,868,671.36","949,968,426.50","1,060,729,496.69","63,235,244.02","147,854,613.02","246,648,035.40","369,649,559.61","125,000,867.44","359,597,284.29"
经营活动现金流入小计,"260,736,893.53","493,493,616.27","780,570,881.23","175,422,739.80","404,549,421.03","676,311,849.44","1,021,795,785.99","278,148,826.65","536,325,443.12","927,442,508.59","1,276,258,336.36","388,004,973.07","839,516,412.16","1,311,140,379.08","1,962,138,026.26","771,004,250.32","1,682,631,988.05","2,642,146,215.02","3,453,536,763.88","702,976,239.04","1,663,933,573.42","2,941,585,154.46","4,175,076,519.08","1,038,637,190.60","1,782,193,591.34","2,645,796,356.86","3,654,796,832.57","1,231,486,618.90","2,400,283,006.80","3,703,529,290.99","5,155,181,929.59","1,401,492,375.00","2,951,750,703.57","4,792,300,466.12","6,198,457,382.38","1,670,633,192.75","3,112,644,179.56"
投资活动产生的现金流量净额,"-19,662,571.52","-45,660,743.31","-72,586,288.68","-21,101,052.78","-85,059,548.25","-139,178,916.32","-217,421,852.29","-109,268,543.10","-229,236,936.20","-303,975,169.06","-348,355,544.42","-71,999,601.53","-102,982,550.32","-125,629,608.64","-151,493,396.31","-104,098,590.43","-211,448,211.09","-297,519,775.66","-451,254,203.38","-177,488,665.76","-321,512,763.98","-533,454,976.02","-686,262,132.41","-67,049,435.92","-355,181,094.78","-500,161,219.08","-249,068,360.88","-448,720,972.97","-590,379,614.26","-608,731,986.92","-749,155,017.03","-25,972,793.18","-110,363,118.89","-97,107,165.27","-199,680,410.43","-98,112,905.08","-76,698,939.85"
购买商品、接受劳务支付的现金,"142,474,296.00","288,058,039.81","414,717,641.29","117,566,152.91","227,784,641.24","385,557,673.75","574,869,323.00","162,944,784.96","300,076,884.47","489,885,280.14","761,057,275.50","216,627,416.07","427,772,141.83","667,273,639.25","982,973,025.18","382,359,566.26","813,891,850.67","1,432,398,541.17","1,937,628,986.21","553,864,210.32","1,267,778,234.32","2,144,511,325.33","2,890,892,723.28","667,648,041.04","1,257,967,789.72","1,811,538,591.67","2,585,925,809.87","726,386,081.11","1,532,732,366.84","2,364,217,328.74","3,449,817,135.06","1,057,932,368.30","2,023,954,183.74","3,154,264,047.16","4,225,595,400.55","1,239,018,780.99","2,254,887,368.33"
吸收投资收到的现金,"367,497.76",,,,"858,525,000.00","858,525,000.00","858,525,000.00",,,,,,,,,,,,"2,500,000.00","18,004,860.00","18,004,860.00","18,004,860.00","36,588,789.28","594,999,979.54","594,999,979.54","594,999,979.54","2,064,999,955.40",,,,"34,525,010.00",,,"2,450,000.00","6,760,000.00",,
