科目,2011年度,2012年度,2013年度,2014年1-6月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"3,208,344,124.04","3,401,335,404.05","3,321,127,805.94","2,027,409,224.13","4,379,716,358.21","848,852,287.64","1,907,470,514.93","2,864,102,416.94","3,860,810,090.89","794,614,748.02","1,984,396,311.89","3,317,064,021.82","4,972,898,220.90","1,305,400,393.15","3,112,141,744.65","4,909,548,652.47","8,524,316,574.29","2,240,502,298.44","6,227,379,039.13"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,"101,754,500.71",,"118,167,058.14",,
收到的税费返还,"6,418,990.15","81,561,277.54","94,678,180.80","70,570,774.54","110,049,563.96","9,843,876.05","87,984,655.41","163,345,123.60","165,125,146.91","9,647,401.57","13,988,215.96","25,499,487.56","37,495,304.42","15,042,472.92","28,444,473.14","56,375,064.16","92,103,882.77","33,163,633.53","56,980,728.45"
支付其他与投资活动有关的现金,,"22,298,378.74","7,981,266.93","15,704,600.42","104,732,534.01",,"11,533,135.25","20,882,650.38","18,038,083.65","35,902,715.36","39,177,059.66","58,177,059.66","20,685,393.66","23,132,436.71","23,347,657.95","37,164,301.99","149,413,495.86","25,764,644.08","65,176,092.79"
收到其他与经营活动有关的现金,"53,017,971.29","51,081,161.71","24,903,218.26","64,966,517.38","128,631,004.10","236,807,136.70","277,982,732.65","445,862,004.30","171,958,218.83","142,328,028.89","139,115,694.24","207,291,893.44","113,670,012.84","191,065,968.37","465,684,832.22","829,346,235.40","146,505,784.88","903,805,975.57","1,072,610,278.27"
投资活动现金流出小计,"436,690,299.00","702,846,394.31","884,168,440.82","612,437,921.58","1,053,048,402.44","125,268,756.31","250,791,175.09","464,718,618.45","898,412,807.86","102,710,683.98","154,461,103.62","226,061,728.26","522,466,568.91","689,606,222.63","1,383,534,061.38","1,649,783,079.79","1,283,981,270.28","381,591,439.70","689,434,181.77"
经营活动现金流入小计,"3,267,781,085.48","3,533,977,843.30","3,440,709,205.00","2,162,946,516.05","4,618,396,926.27","1,095,503,300.39","2,273,437,902.99","3,473,309,544.84","4,197,893,456.63","946,590,178.48","2,137,500,222.09","3,549,855,402.82","5,124,063,538.16","1,511,508,834.44","3,606,271,050.01","5,795,269,952.03","8,762,926,241.94","3,177,471,907.54","7,356,970,045.85"
投资活动产生的现金流量净额,"-330,464,487.58","-688,077,653.81","-881,852,802.80","-609,916,762.43","-451,852,089.10","-123,342,139.13","-247,122,976.71","-458,323,437.80","-863,575,667.81","-73,334,227.96","-105,685,149.61","2,755,239.78","-257,396,735.15","-539,983,777.79","-656,895,162.95","-707,557,960.33","-1,189,525,267.83","-325,995,281.04","-597,993,324.67"
购买商品、接受劳务支付的现金,"2,697,468,722.86","2,687,432,538.84","3,549,032,563.00","2,138,535,262.07","4,537,679,079.51","826,845,627.07","1,989,667,736.83","2,998,802,369.21","3,955,770,054.90","776,799,336.85","1,593,990,149.29","2,597,408,492.95","3,518,536,111.20","1,330,585,777.62","3,376,414,871.17","5,520,968,843.74","9,288,191,292.21","2,224,238,355.39","5,368,036,592.28"
吸收投资收到的现金,"185,292,000.00",,,,,"389,070,000.00","389,070,000.00","389,070,000.00","389,070,000.00",,,,"1,799,588,185.90",,,,,,
支付给职工以及为职工支付的现金,"121,908,181.13","146,307,436.28","181,358,593.32","112,904,984.18","217,727,402.51","72,788,361.62","128,971,293.62","185,180,742.42","262,483,345.29","86,557,316.17","141,310,140.73","198,694,436.78","247,390,807.05","88,812,932.88","154,352,414.73","235,905,033.80","315,724,382.24","168,685,428.44","272,984,048.15"
取得借款收到的现金,"2,527,052,324.78","1,950,100,298.41","4,060,639,615.80","2,819,208,947.19","5,665,887,581.51","1,741,387,688.96","3,798,783,432.59","5,267,416,784.69","7,298,294,736.81","2,025,454,496.44","3,646,055,089.34","5,743,996,527.17","7,325,894,212.51","1,651,710,634.36","3,809,823,778.17","5,408,137,373.77","8,945,027,452.81","2,604,979,104.65","5,461,493,830.24"
支付的各项税费,"124,872,628.63","106,350,431.55","125,758,866.49","61,183,748.44","176,095,428.63","64,571,331.89","106,265,448.08","149,820,377.05","177,953,391.12","21,212,214.84","39,281,451.36","65,471,734.91","81,940,088.54","62,585,990.34","152,223,920.53","294,824,202.62","336,180,707.11","154,795,322.87","341,118,158.39"
收到其他与筹资活动有关的现金,"42,485,700.00","162,302,733.55","112,800,282.00","204,287,944.91","1,236,283,920.87","450,653,110.19","882,454,813.29","1,432,301,179.79","1,568,904,228.36","321,629,876.75","1,182,387,301.02","1,942,279,760.00","1,959,442,055.90","369,606,406.13","664,384,059.27","1,623,916,354.39","2,731,813,873.87","590,250,667.33","1,035,505,241.12"
支付其他与经营活动有关的现金,"170,164,695.77","187,532,596.97","177,904,755.60","124,574,516.05","406,527,151.77","446,116,532.29","456,304,416.35","793,276,300.80","253,350,284.19","161,075,201.93","246,494,812.28","509,957,547.12","303,675,945.29","193,291,738.26","544,025,504.42","962,984,020.79","617,362,442.91","790,789,139.77","1,260,259,126.82"
