科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"109,578,272.64","125,388,874.87","149,540,287.51","15,176,308.59","48,214,939.94","80,423,779.60","149,421,693.27","32,059,823.58","83,168,882.75","111,650,837.17","207,390,968.20","27,726,526.03","66,341,286.29","101,017,340.79","181,953,570.74","46,830,015.37","95,716,682.77","143,297,676.93","294,631,083.09","44,076,044.62","97,118,361.50","171,848,065.67","364,427,306.90","75,176,966.18","210,876,793.70","364,155,916.38","695,732,609.84","99,749,986.27","258,543,934.37","494,466,639.79","839,169,305.60"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,"11,800,000.00","16,000,000.00","16,000,000.00","16,000,000.00","4,850,000.00","4,850,000.00",,"91,954,562.97",,"20,400.00",,,,"107,823,441.71","140,823,441.71","140,823,441.71",,,,
收到的税费返还,"11,409,706.14","10,954,917.11","12,176,013.75","2,431,669.32","2,431,669.32","2,431,669.32","11,410,626.86","3,442,808.26","6,106,862.24","9,326,209.50","10,140,000.82","2,217,450.44","10,178,207.72","18,209,977.19","21,018,629.17","5,364,844.40","5,665,409.98","8,565,469.57","15,343,144.25","10,027,216.01","13,219,268.00","14,634,388.63","24,997,906.86","6,373,506.42","9,345,879.00","12,247,364.25","28,146,879.31","9,732,019.60","14,047,573.95","25,837,234.91","36,221,518.31"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,"1,275,391.02","11,495,958.91",,,,,,,,,,,,
收到其他与经营活动有关的现金,"4,993,727.98","5,139,680.70","7,252,566.78","1,774,671.38","3,324,252.91","5,667,919.08","13,881,269.50","2,955,170.64","14,504,322.66","15,817,586.25","27,267,374.02","2,932,332.26","7,983,268.27","10,036,105.83","35,016,240.90","13,318,830.15","28,336,554.01","34,081,368.47","44,174,947.82","3,910,878.28","12,805,982.33","21,500,718.91","37,450,250.31","8,190,443.53","26,805,081.66","27,042,492.17","39,240,961.09","11,231,916.91","33,529,316.35","51,820,052.80","72,280,520.95"
投资活动现金流出小计,"29,891,608.28","3,781,468.72","7,722,467.64","949,023.43","3,466,389.09","11,838,263.98","23,811,843.23","9,268,692.90","33,179,585.95","68,079,638.66","83,092,415.46","56,663,236.53","79,868,535.35","83,629,910.61","140,901,568.31","11,118,596.22","17,268,965.81","32,624,174.80","145,425,159.92","15,845,616.95","62,903,480.31","92,270,807.56","744,682,687.79","370,919,077.33","619,793,421.33","752,496,388.04","838,072,838.17","114,165,048.08","164,921,687.61","229,704,548.25","372,560,314.07"
经营活动现金流入小计,"125,981,706.76","141,483,472.68","168,968,868.04","19,382,649.29","53,970,862.17","88,523,368.00","174,713,589.63","38,457,802.48","103,780,067.65","136,794,632.92","244,798,343.04","32,876,308.73","84,502,762.28","129,263,423.81","237,988,440.81","65,513,689.92","129,718,646.76","185,944,514.97","354,149,175.16","58,014,138.91","123,143,611.83","207,983,173.21","426,875,464.07","89,740,916.13","247,027,754.36","403,445,772.80","763,120,450.24","120,713,922.78","306,120,824.67","572,123,927.50","947,671,344.86"
投资活动产生的现金流量净额,"-29,891,608.28","-3,781,468.72","-7,722,467.64","-949,023.43","-3,466,389.09","-11,838,263.98","-23,811,843.23","-9,268,692.90","-33,179,585.95","-68,079,638.66","-83,092,415.46","-56,663,236.53","-79,868,535.35","-83,629,910.61","-140,901,568.31","-11,118,596.22","-17,268,965.81","-1,578,688.58","-145,425,159.92","-15,845,616.95","-62,900,670.31","-92,267,997.56","-79,501,174.69","-148,380,549.26","-252,032,566.64","-272,434,040.16","-312,230,832.39","-6,675,376.85","18,381,682.25","-27,228,546.14","-151,753,549.10"
购买商品、接受劳务支付的现金,"19,638,446.18","21,786,705.21","23,665,093.20","9,369,139.60","17,803,543.61","24,147,601.61","29,784,229.61","4,507,665.00","13,228,742.00","21,032,735.00","25,771,459.81","9,548,554.74","14,799,648.00","20,930,966.90","29,093,887.06","12,278,235.02","20,028,145.28","35,769,601.12","54,328,215.29","16,931,101.24","44,434,027.03","61,763,518.29","80,269,826.27","35,765,659.16","127,493,372.27","216,468,789.95","275,491,019.08","65,845,316.10","129,078,645.12","222,228,431.10","305,106,025.55"
吸收投资收到的现金,,,,,"430,250,000.00","430,250,000.00","430,250,000.00",,,,,,,"9,280,719.00","10,126,221.00","1,026,599.00","1,026,599.00","4,026,599.00","4,026,599.00",,,,"200,000.00",,"25,611,425.00","62,392,925.00","62,392,925.00",,,,
支付给职工以及为职工支付的现金,"26,650,879.21","29,283,694.28","35,813,915.75","12,181,963.31","23,933,321.90","34,402,497.90","49,953,632.53","14,137,611.74","30,460,780.56","48,473,288.83","61,568,032.95","16,948,859.96","35,917,640.36","52,093,336.32","67,381,151.40","19,661,067.53","36,369,269.38","56,086,012.10","78,704,759.16","29,421,178.63","57,228,391.37","84,827,072.62","113,826,446.70","47,126,042.77","93,952,110.45","143,709,872.38","183,085,019.50","56,334,980.16","119,340,493.22","187,023,729.08","230,302,786.43"
取得借款收到的现金,"21,000,000.00",,,,,,,,,,,,,,,,,,,,,"21,882,135.33","120,425,335.33",,"29,000,000.00","30,250,000.00","29,000,000.00",,,,
支付的各项税费,"25,825,479.66","28,166,245.85","29,241,900.66","6,172,512.36","10,203,510.92","19,176,689.19","26,847,534.73","12,076,085.33","18,986,733.43","26,261,694.26","36,349,572.95","15,147,902.91","20,634,748.11","29,572,914.32","33,441,363.43","14,776,965.29","19,352,766.71","26,963,718.09","38,635,065.27","17,898,918.92","28,738,298.27","43,086,195.67","65,737,615.94","24,706,219.08","46,545,332.50","57,703,580.33","77,829,433.98","28,784,173.40","43,593,325.12","61,055,790.47","90,082,441.88"
收到其他与筹资活动有关的现金,"445,000.00","2,445,540.00","14,530,784.86",,,,"230,475.50",,,,,,,,,,,,,,,,,,,,,,"50,000,000.00","50,000,000.00","50,000,000.00"
支付其他与经营活动有关的现金,"21,818,844.36","17,959,026.70","25,499,695.94","6,566,750.70","11,175,661.43","19,291,640.63","29,306,968.95","9,351,060.71","16,675,136.57","24,851,540.24","33,543,166.67","8,367,282.87","18,400,315.79","27,907,757.64","40,641,348.64","13,613,670.25","25,687,816.14","39,547,311.47","62,111,449.80","24,673,229.39","29,819,323.05","48,835,255.90","72,435,338.94","33,869,470.99","77,346,672.12","98,469,053.38","137,154,521.85","30,674,827.50","67,512,664.43","114,527,964.12","161,416,656.21"
筹资活动现金流入小计,"21,445,000.00","2,445,540.00","14,530,784.86",,"430,250,000.00","430,250,000.00","430,480,475.50",,,,,,,"9,280,719.00","10,126,221.00","1,026,599.00","1,026,599.00","4,026,599.00","4,026,599.00",,,"21,882,135.33","120,625,335.33",,"54,611,425.00","92,642,925.00","91,392,925.00",,"50,000,000.00","50,000,000.00","50,000,000.00"
经营活动现金流出小计,"93,933,649.41","97,195,672.04","114,220,605.55","34,290,365.97","63,116,037.86","97,018,429.33","135,892,365.82","40,072,422.78","79,351,392.56","120,619,258.33","157,232,232.38","50,012,600.48","89,752,352.26","130,504,975.18","170,557,750.53","60,329,938.09","101,437,997.51","158,366,642.78","233,779,489.52","88,924,428.18","160,220,039.72","238,512,042.48","332,269,227.85","141,467,392.00","345,337,487.34","516,351,296.04","673,559,994.41","181,639,297.16","359,525,127.89","584,835,914.77","786,907,910.07"
偿还债务支付的现金,"21,000,000.00","10,000,000.00",,,,,,,,,,,,,,,,,,,,,"21,882,135.33",,,"28,500,000.00","29,000,000.00",,"34,312,500.00","34,312,500.00","108,415,350.00"
经营活动产生的现金流量净额,"32,048,057.35","44,287,800.64","54,748,262.49","-14,907,716.68","-9,145,175.69","-8,495,061.33","38,821,223.81","-1,614,620.30","24,428,675.09","16,175,374.59","87,566,110.66","-17,136,291.75","-5,249,589.98","-1,241,551.37","67,430,690.28","5,183,751.83","28,280,649.25","27,577,872.19","120,369,685.64","-30,910,289.27","-37,076,427.89","-30,528,869.27","94,606,236.22","-51,726,475.87","-98,309,732.98","-112,905,523.24","89,560,455.83","-60,925,374.38","-53,404,303.22","-12,711,987.27","160,763,434.79"
分配股利、利润或偿还利息支付的现金,"4,988,948.15","15,452,592.00","18,000,000.00",,,,,,"34,745,790.03","35,614,170.00","35,614,170.00",,"10,585,830.00","10,585,830.00","10,585,830.00",,"10,090,824.38","10,248,575.00","10,248,575.00",,"23,294,352.30","23,386,616.47","23,646,603.14","344,632.92","24,104,950.66","24,568,903.77","24,929,631.21","356,108.50","24,019,726.41","24,253,354.72","24,450,468.30"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,"645,500,000.00","222,000,000.00","366,650,000.00","478,323,233.33","523,512,533.33","106,650,000.00","181,650,000.00","198,650,000.00","217,720,748.95"
支付其他与筹资活动有关的现金,"2,595,000.00","410,000.00","150,000.00",,"4,817,463.80","7,446,649.21","7,446,649.21",,,,,,,,,,,,,,,,,,,,,,,"4,785,201.28","4,822,332.18"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,,"2,169,916.70","538,528.07","1,110,854.69","1,739,114.55","2,159,472.45","839,671.23","1,653,369.86","3,826,002.11","3,079,016.02"
筹资活动现金流出小计,"28,583,948.15","25,862,592.00","18,150,000.00",,"4,817,463.80","7,446,649.21","7,446,649.21",,"34,745,790.03","35,614,170.00","35,614,170.00",,"10,585,830.00","10,585,830.00","10,585,830.00",,"10,090,824.38","10,248,575.00","10,248,575.00",,"23,294,352.30","23,386,616.47","45,528,738.47","344,632.92","24,104,950.66","53,068,903.77","53,929,631.21","356,108.50","58,332,226.41","63,351,056.00","137,688,150.48"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,,,,,,,,,,,,,,,,,"2,810.00","2,810.00","2,845.00",,,,"170,000.00",,,,"7,000.00"
