科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"34,007,099.69","63,955,938.45","96,659,679.19","96,998,063.45","124,594,298.69","250,712,596.29","194,495,086.06","193,465,053.03","203,246,231.54","181,603,644.79","118,718,301.40","169,538,163.05","684,473,745.20","378,922,388.87","273,288,445.24","264,025,177.51","401,389,824.14","382,242,620.75","286,317,883.04","211,938,394.33","349,782,899.03","181,176,576.24","227,464,067.43","209,276,770.76","405,799,140.30","312,341,678.16"
短期借款,,,,,,,,,,,,"2,000,000.00",,,,"75,000,000.00","105,000,000.00","188,900,000.00","220,000,000.00","207,000,000.00","170,000,000.00","120,000,000.00","216,840,000.00","190,000,000.00","220,000,000.00","199,302,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,"27,108,082.50","27,108,082.50","27,108,082.50","21,002,137.00",,,,,,"155,280.00"
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"17,849,810.24","23,358,753.85","36,685,982.14","47,107,110.21","43,444,391.75","41,847,800.73","52,607,512.00","43,340,174.83","61,053,174.48","59,412,385.77","88,440,203.67","95,513,690.84","146,898,481.15","256,913,283.66","353,039,189.50","456,290,674.57","363,034,022.15","424,846,402.63","474,754,167.81","532,400,961.33","521,370,768.62","433,635,345.12","442,790,213.73","485,231,897.38","463,912,343.01","453,466,021.49"
应付账款,"2,787,444.81","6,074,918.10","3,042,764.81","3,497,245.88","5,327,309.47","4,170,556.87","4,140,005.10","3,609,997.43","5,152,402.57","2,790,931.49","6,120,304.40","8,101,949.35","15,781,062.15","25,627,250.09","62,728,920.56","53,662,212.17","65,829,602.95","103,440,972.82","121,210,900.86","74,005,944.53","92,773,780.17","66,738,476.93","64,383,501.13",,"88,171,467.94",
预付款项,"7,376,400.41","2,860,198.78","2,053,609.30","1,818,205.19","2,171,989.53","1,027,243.28","1,313,119.36","695,342.26","2,159,442.13","7,288,746.75","8,126,684.71","17,738,100.19","19,410,016.43","14,256,917.03","34,173,338.95","40,643,360.92","37,228,012.33","60,797,750.43","68,065,239.90","45,436,166.01","17,421,843.49","36,037,913.75","30,705,616.36","51,974,551.09","11,537,052.41","10,227,816.63"
预收款项,"390,000.00","169,960.27","787,235.93","996,458.72","3,213,550.42","3,254,970.29","2,665,846.16","1,400,840.43","2,039,923.49","1,926,540.40","1,083,519.27","994,978.14","51,799,492.34","24,345,368.41","23,748,578.56","45,382,199.06","47,645,949.40","28,927,727.81","26,392,284.33","29,194,576.79","59,685,801.11","23,872,312.55","41,912,463.50","99,158,459.05","73,622,459.45","78,116,693.03"
其他应收款,"3,117,715.15","2,862,116.30","957,738.26","1,968,754.55","1,599,214.40","1,634,475.45","1,841,203.01","5,149,781.57","2,629,066.11","6,717,530.67","13,228,790.23","19,759,825.71","14,649,686.19","25,761,945.52","36,283,505.24","41,616,901.99","35,716,313.46","48,912,657.91","59,812,831.99","62,568,275.14","32,858,188.71","73,808,553.31","35,824,487.27","51,022,094.82","35,427,892.21","62,650,932.29"
应付职工薪酬,"2,611,038.64","4,270,473.99","5,209,476.33","3,688,910.15","6,587,739.86","5,493,709.04","4,574,466.45","4,659,045.74","7,780,793.42","6,011,344.37","6,704,316.37","7,958,158.95","17,925,693.95","18,783,007.48","12,435,511.05","12,961,112.35","21,724,608.62","14,828,977.46","14,490,161.83","13,183,827.65","26,974,299.48","12,423,690.15","13,502,871.11","14,728,058.19","28,418,270.70","16,675,071.32"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"3,254,237.12","6,094,295.62","7,128,111.83","6,951,881.61","6,487,611.87","4,123,053.18","6,766,785.19","1,870,730.51","6,600,351.33","5,029,424.52","12,507,248.98","6,069,080.09","31,250,846.37","29,915,914.44","24,467,901.19","27,183,101.38","44,214,881.89","33,390,094.70","20,791,793.61","21,760,812.08","51,024,055.50","31,963,659.54","14,197,657.96","12,975,945.67","40,085,532.78","22,598,917.01"
应收利息,,,,,,,,,,,,,,,,,"164,326.83","164,326.83","164,326.83","164,326.83","433,608.33","433,608.33",,,"591,139.72",
应付利息,,,,,,,,,,,,,,,,,"162,902.78",,,,"231,938.20",,,,"573,946.11","31,416.67"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,"3,476,700.00","1,090,100.00","1,090,100.00","1,090,100.00","5,409,585.85","5,409,585.85","5,409,585.85","1,090,100.00","9,098,200.30","500,000.00",,,,
存货,"2,206,854.94","2,452,526.62","735,871.60","1,602,723.09","1,898,198.53","2,023,237.07","2,126,047.23","2,557,892.72","2,116,112.00","2,638,988.17","3,057,567.19","4,138,418.11","21,914,287.48","6,512,321.81","7,891,173.16","7,464,562.24","17,417,501.03","15,547,060.70","21,942,681.53","32,841,188.49","31,263,618.69","14,975,502.67","28,280,336.22","47,725,134.18","21,848,382.97","18,559,147.54"
其他应付款,"916,137.21","387,537.39","158,101.23","231,567.83","667,400.21","964,025.60","583,137.88","950,678.17","1,302,651.25","1,553,214.67","4,123,602.16","226,909,127.62","224,715,336.49","42,909,933.22","18,018,669.11","65,684,760.97","128,637,979.10","124,019,661.82","115,822,712.01","89,863,667.95","63,251,308.45","8,478,056.85","27,774,791.62","15,204,072.54","68,771,570.28","40,765,477.42"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,"4,400,000.00","4,400,000.00","24,800,000.00","25,160,000.00","35,880,000.00","35,880,000.00","35,880,000.00","35,880,000.00","35,880,000.00","35,880,000.00"
其他流动资产,,,"10,722.73","3,899.39","5,260.14",,"60,000,000.00","60,022,826.34","22,357.14","242,069.34","524,945.01","20,222,934.91","50,317,402.36","35,572,978.29","11,667,877.54","4,249,803.43","18,703,961.25","21,718,849.86","69,971,952.79","40,620,382.10","59,395,701.41","30,931,517.84","76,276,531.37","10,241,265.24","37,266,084.17","24,485,730.91"
其他流动负债,,"1,220,000.00","940,000.00","840,000.00",,,,,,,,,,,,,"3,529,234.04","3,899,845.90","3,063,248.09","3,063,248.09","4,380,415.86","3,853,298.03","3,490,980.12","3,691,216.26","4,943,494.32","3,407,741.69"
流动资产合计,"64,557,880.43","95,489,534.00","137,103,603.22","149,498,755.88","173,713,353.04","297,245,352.82","312,382,967.66","305,231,070.75","271,226,383.40","257,903,365.49","232,096,492.21","326,911,132.81","937,663,618.81","717,939,835.18","716,343,529.63","814,290,480.66","900,762,043.69","981,337,751.61","1,008,137,166.39","946,971,831.23","1,012,526,628.28","770,999,017.26","841,341,252.38","855,471,713.47","980,737,777.55","886,833,489.50"
流动负债合计,"9,958,857.78","18,217,185.37","17,265,690.13","16,206,064.19","22,283,611.83","18,006,314.98","18,730,240.78","12,491,292.28","22,876,122.06","17,311,455.45","30,538,991.18","252,033,294.15","344,949,131.30","142,671,573.64","142,489,680.47","280,963,485.93","426,554,744.63","507,216,866.36","551,980,686.58","464,322,177.09","513,299,799.07","303,709,494.05","417,982,265.44","446,372,620.63","564,494,870.03","471,255,020.76"
可供出售金融资产,,,,,,,,,,,,"1,900,000.00","4,524,974.12","20,094,974.12","19,370,000.00","19,370,000.00","23,775,962.18","23,775,962.18","38,775,962.18","38,775,962.18","39,175,962.18","39,175,962.18","42,775,962.18","39,175,962.18","43,525,962.18","33,525,962.18"
长期借款,,,,,,,,,,,,,,,,,"17,600,000.00","85,600,000.00","93,600,000.00","86,850,000.00","111,160,000.00","102,190,000.00","93,220,000.00","84,250,000.00","75,280,000.00","66,310,000.00"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,"1,807,205.32","47,368,000.00","57,072,863.62","59,602,616.42","88,353,433.48","119,245,087.92","200,539,721.58","187,279,280.97","227,545,479.67","227,639,762.51","195,768,331.58","194,669,424.76","193,371,226.48","194,556,799.81","188,657,625.68","187,682,993.12"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,"476,597.81",,"764,417.87","476,597.81","726,585.30","726,585.30","1,500,557.53","1,500,557.53","91,424.34",
固定资产,"2,170,799.25","5,792,855.43","5,162,483.22","6,013,307.33","5,409,659.42","5,036,093.46","5,494,468.67","5,812,613.88","7,150,660.27","9,473,736.10","14,622,607.73","17,936,491.68","34,592,175.37","33,733,678.88","34,048,477.20","33,608,901.29","32,951,270.94","38,094,898.34","37,750,184.20","30,143,486.52","46,894,083.55","41,224,569.49","44,530,125.67","43,005,926.11","43,088,383.95","39,379,701.31"
递延所得税负债,,,,,,,,,,,,,"650,033.77","650,033.77","650,033.77","650,033.77","500,003.55","465,032.96","1,577,632.68","1,509,925.90","1,635,854.25","1,690,892.10","1,523,543.03","1,467,387.42","1,245,105.79","1,175,139.11"
在建工程,"2,656,844.74","895,359.83","659,893.03","677,613.80","927,629.54","976,651.98","377,539.60","1,438,071.90","2,742,112.31","3,480,047.79","3,740,076.34","4,651,872.58","1,683,958.56","2,186,689.10","3,337,586.66","4,411,429.56","4,625,559.75","4,817,308.85","2,801,529.27","2,704,510.57","872,810.12","1,179,538.44","953,366.50","1,970,798.70","2,976,982.19","3,348,355.92"
其他非流动负债,,,,,"1,600,000.00","1,600,000.00","1,600,000.00","1,600,000.00",,,,,,,,,,,,,,,,,,
工程物资,"41,812.60",,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,,,,,"1,600,000.00","1,600,000.00","1,600,000.00","1,600,000.00","1,600,000.00","1,600,000.00","1,600,000.00","1,600,000.00","4,046,809.38","4,146,809.38","6,426,809.38","6,426,809.38","26,832,166.64","94,320,598.24","104,406,839.13","97,601,312.29","124,172,439.55","115,257,477.40","106,644,100.56","117,617,944.95","108,796,530.13","99,540,139.11"
固定资产清理,,,,,,,,,,,,,,,,,,"21,252.36",,,,,,,,
负债合计,"9,958,857.78","18,217,185.37","17,265,690.13","16,206,064.19","23,883,611.83","19,606,314.98","20,330,240.78","14,091,292.28","24,476,122.06","18,911,455.45","32,138,991.18","253,633,294.15","348,995,940.68","146,818,383.02","148,916,489.85","287,390,295.31","453,386,911.27","601,537,464.60","656,387,525.71","561,923,489.38","637,472,238.62","418,966,971.45","524,626,366.00","563,990,565.58","673,291,400.16","570,795,159.87"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"50,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","64,800,000.00","97,200,000.00","97,200,000.00","97,200,000.00","97,200,000.00","213,840,000.00","213,840,000.00","253,680,593.00","253,680,593.00","634,201,482.00","633,772,477.00","633,772,477.00","633,772,477.00","633,772,477.00","633,772,477.00","633,772,477.00","633,772,477.00","633,772,477.00","633,003,422.00","633,003,422.00","633,003,422.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"673,863.98","42,609,347.98","42,609,347.98","42,609,347.98","42,609,347.98","157,453,985.78","125,051,902.78","125,051,902.78","125,051,902.78","125,051,902.78","8,411,902.78","8,411,902.78","1,435,550,440.53","1,435,550,440.53","1,055,029,551.53","1,055,458,555.53","1,057,416,542.75","1,057,416,542.75","1,057,416,542.75","1,060,817,803.01","1,060,952,125.58","1,060,952,125.58","1,060,317,346.43","1,049,472,221.18","1,012,184,699.51","1,011,100,722.27"
无形资产,,"58,283,191.47","57,828,771.10","57,435,347.56","57,311,763.83","57,052,370.56","56,882,648.27","57,444,005.13","57,251,400.34","57,018,885.90","56,890,155.53","56,545,953.44","92,569,437.04","96,504,714.00","95,898,408.34","99,486,254.62","102,396,223.31","98,577,533.20","104,374,702.41","100,538,000.87","104,573,491.54","101,741,498.76","96,494,170.09","91,924,793.61","109,821,080.13","106,427,009.89"
盈余公积,"2,748,225.97","6,466,589.53","10,837,105.99","10,837,105.99","15,042,820.06","15,042,820.06","15,042,820.06","15,042,820.06","19,804,176.25","19,804,176.25","19,804,176.25","19,804,176.25","23,312,817.20","23,312,817.20","23,312,817.20","23,312,817.20","23,961,433.20","23,961,433.20","23,961,433.20","23,961,433.20","23,961,433.20","23,961,433.20","23,961,433.20","23,961,433.20","23,961,433.20","23,961,433.20"
开发支出,,,,,,,,,,,,,"13,024,621.17","7,433,640.56","7,207,032.12","6,253,051.87","7,488,291.09","8,893,691.81","8,180,644.68","10,178,992.80","27,713,860.43","30,400,361.79","40,713,988.37","46,469,908.24","43,401,546.25","49,478,724.69"
减:库存股,,,,,,,,,,,,,,,,,,,,,,,,,,
商誉,,,,,,,,,,,"39,973,910.59","153,427,340.94","1,179,078,272.42","1,186,866,200.90","1,186,587,873.02","1,186,436,200.90","1,186,133,130.52","1,311,413,394.75","1,295,924,019.75","1,295,924,019.75","1,390,373,512.30","1,390,373,512.30","1,393,377,415.34","1,393,377,415.34","705,376,549.80","705,376,549.80"
未分配利润,"8,346,450.76","37,635,181.17","71,324,552.12","84,951,504.16","97,110,944.31","104,481,540.29","119,336,711.10","120,253,971.22","129,126,963.93","134,823,710.44","156,258,967.57","155,604,771.12","212,701,563.63","225,785,098.16","234,354,830.66","240,603,772.21","300,731,166.73","294,324,457.97","282,873,155.00","281,182,954.83","350,546,455.79","356,428,838.36","315,847,836.27","308,888,061.63","-319,226,319.82","-315,952,345.56"
