科目,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"231,860,206.44","256,748,694.58","209,843,694.77","304,745,721.14","183,407,824.62","198,047,584.78","227,606,920.36","175,809,050.01","237,439,916.69","800,865,874.72","681,958,261.98","685,771,530.35","552,374,957.00","637,995,629.10","607,629,302.47","344,488,703.63","217,362,508.12","148,665,264.43","185,884,538.62","601,315,071.93"
短期借款,"605,517,000.00","708,190,000.00","947,000,000.00","982,803,331.65","894,800,000.00","868,840,953.25","1,001,432,242.00","1,003,486,513.00","982,698,660.00","999,000,000.00","964,500,000.00","1,073,000,000.00","877,000,000.00","823,000,000.00","873,000,000.00","781,500,000.00","619,500,000.00","556,000,000.00","446,000,000.00","786,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,
应收票据,"150,742,751.07","130,820,334.15","112,237,850.61","125,039,690.16","23,509,420.66","148,881,985.85","87,139,952.15","72,474,004.27","46,291,295.63","107,365,615.14","74,394,653.93","98,528,265.68","100,543,478.50","158,002,038.40","278,103,133.65","402,280,931.19","309,151,458.05","251,106,538.78","192,157,630.63","172,207,819.36"
应付票据,"360,815,294.51","417,147,327.02","302,337,803.71","444,683,851.86","402,507,430.87","406,837,353.99","329,575,853.80","274,041,063.53","372,010,008.41","161,149,074.57","139,997,523.56","167,077,631.20","211,307,400.00","210,365,924.00","158,962,824.00","140,600,588.23","117,377,034.15","62,493,370.92","56,023,758.02","123,441,719.66"
应收账款,"271,955,203.11","330,398,295.51","329,142,301.85","326,803,012.95","329,079,924.62","355,634,601.21","396,953,881.75","366,855,031.69","354,852,045.60","327,606,506.70","379,968,239.75","380,432,413.57","327,921,996.87","372,341,937.61","376,322,381.17","379,316,262.09","329,140,414.80","375,883,038.80","384,551,841.34","383,125,581.98"
应付账款,"181,179,390.21","146,871,402.30","147,703,011.77","157,555,908.07","111,715,166.97","105,644,325.91","100,861,276.20","99,213,875.11","86,566,454.41","95,946,081.42","101,504,573.35","140,733,584.49","106,068,206.18","138,980,329.12","162,624,248.87","125,463,448.06","154,788,720.01","189,407,788.00","215,806,319.04","203,664,496.70"
预付款项,"111,060,473.82","35,359,843.86","89,931,132.40","137,151,822.23","121,195,712.46","54,083,868.53","77,464,985.87","60,325,219.30","80,709,342.86","75,037,770.71","113,217,791.39","137,726,491.04","51,839,184.33","22,459,020.49","22,209,069.72","25,620,409.68","41,627,019.23","37,499,049.67","43,672,258.23","30,303,673.99"
预收款项,"3,753,982.78","3,289,542.89","2,470,572.91","1,255,213.20","1,994,169.79","1,070,663.70","954,504.52","1,343,804.12","1,705,987.59","678,970.93","1,958,761.76","1,142,002.04","2,777,531.57","1,788,550.76","2,951,988.93","3,196,138.41","2,463,863.98","2,735,308.43","3,228,356.58","2,900,834.50"
其他应收款,"6,714,788.40","8,664,624.81","10,450,531.09","10,485,048.95","19,156,968.42","6,947,533.53","10,534,735.22","11,951,397.94","12,404,675.24","5,361,771.57","7,591,615.44","9,031,377.38","9,217,254.07","6,744,846.67","7,879,248.24","6,649,990.77","7,354,564.21","5,235,116.24","5,283,121.44","5,277,427.86"
应付职工薪酬,"14,191,428.48","17,700,213.61","13,048,594.68","18,100,264.96","15,998,124.25","18,694,708.83","12,094,287.59","16,901,462.97","17,349,610.20","20,994,684.83","13,301,977.50","12,568,690.65","12,489,579.07","15,573,171.38","11,150,246.68","10,083,863.15","6,842,516.07","12,642,293.21","14,337,831.22","11,344,494.42"
应收关联公司款,,,,,,,,,,,,,,,,,,,,
应交税费,"9,480,757.37","8,758,323.74","11,906,744.85","13,891,441.23","12,941,832.70","5,674,370.90","4,030,988.23","9,574,671.18","5,946,019.17","3,616,592.96","9,371,260.12","11,082,596.94","10,255,970.68","14,567,234.51","19,109,251.98","15,942,924.23","14,990,135.08","17,028,754.13","13,144,027.87","11,074,735.08"
应收利息,,,,,,,,,,,"2,793,515.83","7,161,275.72","2,324,525.62","1,116,171.38","838,114.29","137,589.04","622,013.66","56,021.33",,
应付利息,"901,430.61","2,040,252.71","2,154,966.24","2,351,631.93","2,006,765.41","2,077,884.32","1,852,465.02","1,737,397.77","1,842,393.18","1,394,921.38","818,704.70","1,158,498.88","922,679.87","1,085,561.71","1,187,836.79","969,881.24","782,378.15","725,622.23","617,307.31","985,516.72"
应收股利,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,
存货,"269,095,252.50","299,877,992.39","257,141,437.55","274,399,595.50","301,102,533.34","293,935,928.20","297,110,559.85","270,081,976.81","271,119,234.71","244,211,093.11","231,286,324.77","250,693,535.55","276,758,346.89","278,161,173.09","306,175,389.73","304,100,165.10","348,328,065.08","366,595,818.67","401,126,515.31","398,639,882.13"
其他应付款,"15,484,128.98","10,720,798.07","11,720,499.42","13,810,427.68","13,974,353.46","12,657,643.87","10,368,802.67","7,948,701.58","7,367,676.82","9,274,911.56","7,382,239.07","6,105,839.79","5,027,930.80","6,940,932.65","7,480,690.89","7,923,249.34","10,520,102.22","1,058,368.71","27,964,955.67","28,694,453.18"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"41,000,000.00","140,000,000.00","60,000,000.00","42,500,000.00","42,500,000.00","43,000,000.00","43,000,000.00","43,000,000.00","110,500,000.00",,,,,,,,,,,
其他流动资产,"76,003,777.69","83,301,041.71","78,921,941.44","69,843,115.90","68,414,814.54","65,068,090.43","57,477,738.68","51,932,182.97","44,857,638.13","205,573,240.48","258,494,789.33","348,531,318.19","427,184,610.78","241,948,981.89","166,073,298.37","71,451,946.02","123,894,052.37","82,775,239.69","20,693,247.82","13,527,230.34"
其他流动负债,"181,272.57",,,,,,,,,,,,,,,,,,,
流动资产合计,"1,117,432,453.03","1,145,170,827.01","1,087,668,889.71","1,248,468,006.83","1,045,867,198.66","1,122,599,592.53","1,154,288,773.88","1,009,428,862.99","1,047,674,148.86","1,766,021,872.43","1,749,705,192.42","1,917,876,207.48","1,748,164,354.06","1,718,769,798.63","1,765,229,937.64","1,534,045,997.52","1,377,480,095.52","1,267,816,087.61","1,233,369,153.39","1,604,396,687.59"
流动负债合计,"1,232,504,685.51","1,454,717,860.34","1,498,342,193.58","1,676,952,070.58","1,498,437,843.45","1,464,497,904.77","1,504,170,420.03","1,457,247,489.26","1,585,986,809.78","1,292,055,237.65","1,238,835,040.06","1,412,868,843.99","1,225,849,298.17","1,212,301,704.13","1,236,467,088.14","1,085,680,092.66","927,264,749.66","842,091,505.63","777,122,555.71","1,168,106,250.26"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,
长期借款,"448,500,000.00","321,500,000.00","201,500,000.00","201,500,000.00","201,500,000.00","133,000,000.00","133,000,000.00","97,500,000.00",,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,
长期应付款,,,"40,000,000.00","30,487,222.54","25,633,212.05","20,686,433.51","15,647,153.88","10,524,026.43","5,307,516.59",,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,,,,,,,
