科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"353,357,152.13","272,513,140.13","457,977,267.38","144,525,033.28","223,185,936.53","338,872,465.17","76,275,408.81","128,950,075.98","201,407,963.71","303,797,204.85","42,261,331.74","98,208,409.38","163,368,505.09","241,391,201.60","26,545,420.84","66,422,840.83","156,093,574.48","191,519,589.15","17,572,469.42","60,464,653.74","93,471,113.05","138,772,573.16","14,237,857.09","28,921,976.49","62,011,873.82","99,525,746.46","31,283,584.15","65,593,136.32","118,548,371.52"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,"5,000,000.00",,,"268,665,497.91"
收到的税费返还,"6,064,101.11","4,070,765.24","6,142,592.10","2,383,754.61","3,584,738.68","4,822,158.69","646,092.03","2,088,567.98","3,091,902.46","4,089,171.34","965,417.77","1,770,418.69","2,552,086.25","3,325,003.80","787,500.90","1,701,510.33","2,515,261.26","3,520,003.68","323,949.88","1,694,585.27","2,540,419.57","3,179,404.46","627,630.90","1,254,788.52","2,599,068.47","4,420,711.55","2,063,641.84","2,930,152.99","6,473,114.19"
支付其他与投资活动有关的现金,,,,,,"655,000,000.00",,"136,000,000.00","186,793,771.96","1,104,320,000.00",,"63,000,000.00","172,930,000.00","1,148,490,000.00","104,750,000.00","168,450,000.00","227,770,000.00","774,789,138.61","25,000,000.00","314,240,000.00","331,390,000.00","550,250,617.03","38,077,479.17","22,455,880.28","28,077,479.17","171,472,634.57",,"6,000,000.00","8,000,000.00"
收到其他与经营活动有关的现金,"8,694,170.42","9,487,601.17","17,056,099.58","3,741,645.07","3,099,519.59","19,181,504.74","7,831,979.66","23,744,329.84","65,021,287.98","9,707,379.26","5,609,329.99","9,391,208.19","44,317,397.18","14,799,575.23","8,039,328.17","21,648,323.07","58,775,434.12","29,849,505.32","91,436,652.67","86,702,895.74","92,516,875.60","21,890,112.89","84,742,181.46","75,616,914.97","89,545,763.84","30,411,725.40","76,590,424.15","5,894,231.54","23,934,415.87"
投资活动现金流出小计,"14,371,123.12","28,891,221.44","14,080,663.57","2,021,278.59","7,460,700.90","669,313,283.04","155,093.00","188,716,574.00","242,823,297.44","1,151,088,780.93","506,900.14","70,020,481.64","209,097,233.64","1,182,961,622.16","104,819,850.00","234,424,954.00","324,914,370.25","1,241,416,044.04","46,817,863.38","331,485,306.18","361,255,538.51","581,379,911.89","38,145,088.17","23,360,257.16","29,042,427.05","183,840,684.21","33,531,831.37","63,302,985.77","287,879,803.25"
经营活动现金流入小计,"368,115,423.66","286,071,506.54","481,175,959.06","150,650,432.96","229,870,194.80","362,876,128.60","84,753,480.50","154,782,973.80","269,521,154.15","317,593,755.45","48,836,079.50","109,370,036.26","210,237,988.52","259,515,780.63","35,372,249.91","89,772,674.23","217,384,269.86","224,889,098.15","109,333,071.97","148,862,134.75","188,528,408.22","163,842,090.51","99,607,669.45","105,793,679.98","154,156,706.13","134,358,183.41","109,937,650.14","74,417,520.85","148,955,901.58"
投资活动产生的现金流量净额,"-14,322,123.12","-28,276,221.44","-13,748,563.57","-1,831,278.59","-7,460,700.90","-669,123,283.04","-155,093.00","-52,716,574.00","-97,026,111.78","-92,337,871.53","-506,900.14","154,416,885.02","29,461,633.02","106,112,729.45","60,881,708.71","20,230,368.14","-25,324,540.33","-322,695,270.77","-8,131,184.21","8,976,326.49","12,645,811.66","228,807,444.55","-4,701,796.50","-5,228,632.16","17,152,175.68","93,934,626.61","-15,531,831.37","100,018,915.98","-107,409,403.84"
购买商品、接受劳务支付的现金,"195,157,184.77","121,045,688.27","244,510,231.53","69,690,097.94","92,257,608.01","140,367,812.61","30,777,213.60","51,636,379.65","79,746,413.77","121,744,374.25","6,729,603.42","23,279,201.00","41,005,895.60","74,608,683.24","14,877,970.59","30,019,212.14","68,645,701.78","75,059,592.60","4,641,744.80","40,878,649.93","59,693,518.73","56,890,557.16","9,575,222.10","17,951,068.40","32,042,550.07","32,814,252.50","7,465,169.80","16,469,870.32","37,653,498.77"
吸收投资收到的现金,"5,000,000.00",,,,,"734,705,000.00",,,,,,,,,,,,,,,,,,,,,,,"490,000.00"
支付给职工以及为职工支付的现金,"25,272,917.89","36,593,439.21","42,079,944.75","30,149,716.41","36,025,007.69","46,959,590.33","16,152,400.69","27,274,506.48","36,237,927.56","47,193,984.04","8,812,484.72","20,259,156.34","29,238,734.08","39,178,372.64","8,093,683.67","16,435,471.62","23,945,228.07","33,512,758.32","9,692,221.87","17,625,552.62","26,210,090.76","36,053,733.17","10,565,942.78","18,369,359.89","26,579,812.53","38,611,791.16","10,015,982.94","17,725,403.29","27,383,170.96"
取得借款收到的现金,"87,500,000.00","87,200,000.00","105,000,000.00","20,200,000.00","20,200,000.00","20,200,000.00",,,,,,,,,,,,"119,000,000.00","84,600,000.00","144,600,000.00","144,600,000.00","244,210,000.00",,,,,,"130,000,000.00","330,000,000.00"
支付的各项税费,"26,083,989.17","34,524,002.87","45,646,170.46","21,450,159.24","27,375,894.65","47,500,304.95","11,124,539.39","23,055,581.07","40,451,055.11","41,318,922.49","7,516,071.74","13,577,981.48","24,090,782.05","30,588,381.85","6,183,640.16","11,582,326.22","19,170,287.47","25,451,812.46","6,091,172.97","10,319,962.08","18,857,154.71","27,831,937.44","4,139,227.73","6,353,549.88","9,590,289.70","14,827,028.81","12,140,141.77","14,949,178.98","20,757,634.29"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"60,032,487.72","43,577,807.65","53,828,124.95","23,682,586.80","34,394,305.29","54,028,059.44","14,475,855.40","17,641,665.54","17,594,564.24","66,938,489.74","17,551,641.16","37,358,136.91","54,636,247.28","45,816,766.84","14,357,270.86","14,810,288.08","37,400,145.38","31,140,695.58","76,992,862.82","74,072,090.91","81,330,990.37","26,690,456.75","73,949,063.91","74,064,713.32","84,961,697.80","31,322,132.86","94,327,658.94","22,188,962.59","41,828,799.67"
筹资活动现金流入小计,"92,500,000.00","87,200,000.00","105,000,000.00","20,200,000.00","20,200,000.00","754,905,000.00",,,,,,,,,,,,"119,000,000.00","84,600,000.00","144,600,000.00","144,600,000.00","244,210,000.00",,,,,,"130,000,000.00","330,490,000.00"
经营活动现金流出小计,"306,546,579.55","235,740,938.00","386,064,471.69","144,972,560.39","190,052,815.64","288,855,767.33","72,530,009.08","119,608,132.74","174,029,960.68","277,195,770.52","40,609,801.04","94,474,475.73","148,971,659.01","190,192,204.57","43,512,565.28","72,847,298.06","149,161,362.70","165,164,858.96","97,418,002.46","142,896,255.54","186,091,754.57","147,466,684.52","98,229,456.52","116,738,691.49","153,174,350.10","167,575,205.33","123,948,953.45","121,333,415.18","307,623,103.69"
偿还债务支付的现金,"107,500,000.00","106,500,000.00","120,390,000.00","62,200,000.00","72,200,000.00","92,790,000.00",,,,"390,000.00",,,,"390,000.00",,,,"390,000.00",,,,"219,000,000.00","84,600,000.00","84,600,000.00","114,600,000.00","144,990,000.00",,,
经营活动产生的现金流量净额,"61,568,844.11","50,330,568.54","95,111,487.37","5,677,872.57","39,817,379.16","74,020,361.27","12,223,471.42","35,174,841.06","95,491,193.47","40,397,984.93","8,226,278.46","14,895,560.53","61,266,329.51","69,323,576.06","-8,140,315.37","16,925,376.17","68,222,907.16","59,724,239.19","11,915,069.51","5,965,879.21","2,436,653.65","16,375,405.99","1,378,212.93","-10,945,011.51","982,356.03","-33,217,021.92","-14,011,303.31","-46,915,894.33","-158,667,202.11"
分配股利、利润或偿还利息支付的现金,"9,926,844.28","6,796,370.76","22,733,641.05","5,057,920.66","5,496,404.63","1,811,273.33",,"40,672,877.52","40,672,877.52","45,126,400.00",,,,"104,600.00",,"3,900,000.00","3,900,000.00","5,225,340.00","53,118,237.48","155,919,077.77","160,074,212.89","163,650,168.93","1,984,466.68","2,713,466.68","3,438,416.68","3,616,516.68",,,"6,312,500.00"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
