科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"55,187,434.89","57,552,202.51","61,217,815.48",,"290,575,663.25","99,273,468.33","180,488,176.59","90,113,027.46","74,737,731.34","67,092,103.20","60,683,881.79","60,630,144.58","62,142,782.69","47,826,382.41"
短期借款,"44,250,000.00","44,250,000.00","73,250,000.00",,"43,250,000.00",,,,,,,,,"20,000,000.00"
交易性金融资产,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,
应收票据,"202,940.00","300,000.00","1,207,200.00",,"1,110,000.00","30,000.00","264,515.00","323,302.95","303,402.40","2,030,000.00","3,059,020.76","4,795,431.57","12,419,684.46","33,905,633.36"
应付票据,,,,,,,,,,"30,000.00",,,,
应收账款,"81,513,772.39","97,811,703.69","115,372,558.98",,"100,014,155.23","97,469,383.06","102,460,977.89","81,697,614.51","102,078,847.40","115,696,956.44","110,928,755.46","126,994,927.92","164,492,245.73","132,189,864.34"
应付账款,"55,666,064.80","77,909,545.97","109,494,425.26",,"93,177,559.21","69,099,893.46","84,192,102.65","66,669,004.28","96,828,686.71","95,451,882.05","105,376,368.89","148,957,536.81","84,789,169.12","80,246,591.73"
预付款项,"38,030,150.21","9,440,447.38","12,108,330.03",,"8,887,123.77","7,631,132.01","8,804,995.56","21,486,191.53","21,679,498.36","30,912,409.05","18,416,650.28","21,849,741.75","29,865,773.94","31,201,413.40"
预收款项,"66,652.36","140,462.86","600,320.95",,"521,960.17","954,864.17","234,547.27","2,376,679.31","1,749,242.01","2,158,436.98","2,250,139.84","1,404,813.35","9,924,631.14","8,667,703.54"
其他应收款,"3,454,636.26","5,390,558.63","5,467,280.64",,"5,814,833.60","9,213,420.53","2,874,862.90","13,264,638.83","8,217,259.33","14,344,491.92","3,956,940.32","5,955,254.18","8,245,687.86","8,045,735.67"
应付职工薪酬,"2,067,495.99","3,059,739.67","2,365,000.03",,"32,822.46","153,668.57","3,430,860.39","187,134.04","210,506.76","250,389.01","3,766,702.07","201,297.66","605,227.57","3,199,610.63"
应收关联公司款,,,,,,,,,,,,,,
应交税费,"7,250,507.89","4,497,195.46","3,228,632.87",,"8,857,111.95","5,446,608.95","5,216,305.40","1,288,373.23","3,461,386.19","1,379,125.18","5,061,070.18","-1,450,356.72","2,612,212.49","1,671,081.37"
应收利息,,,,,,,"269,680.55",,,,"1,132,856.55","1,132,856.55","210,821.92","210,821.92"
应付利息,"85,316.45","83,923.12","146,070.83",,,,,,,,,,,
应收股利,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,"8,800,000.00",
存货,"27,839,430.27","62,094,806.86","78,487,207.96",,"90,181,545.31","80,851,684.12","72,287,703.06","75,586,072.41","82,086,109.17","92,860,435.97","106,344,663.50","158,106,081.69","101,752,366.60","104,716,578.57"
其他应付款,"365,353.57","1,220,112.59","608,090.32",,"2,056,546.15","1,514,354.81","2,088,708.44","1,968,602.18","3,932,185.52","10,763,009.04","6,234,060.63","3,735,239.25","4,406,704.99","3,075,273.72"
其中:消耗性生物资产,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,"471,613.85",,,"1,180,478.94","678,679.81","174,834.46",
其他流动资产,,"1,682,376.20","1,080,134.24",,"967,379.91","130,788,194.89","83,480,460.41","156,913,419.67","156,405,457.74","140,950,116.20","136,548,506.70","80,911,236.21","51,488,476.21","71,441,189.24"
其他流动负债,,,,,"508,934.17","1,145,487.74",,"1,318,435.91",,"1,792,099.00",,,"2,949,007.09","2,532,764.70"
流动资产合计,"206,228,364.02","234,272,095.27","274,940,527.33","253,636,410.97","497,550,701.07","425,257,282.94","450,931,371.96","439,384,267.36","445,508,305.74","463,886,512.78","441,071,275.36","460,375,674.45","430,617,839.41","429,537,618.91"
流动负债合计,"109,751,391.06","131,160,979.67","189,692,540.26","158,200,725.95","148,404,934.11","78,314,877.70","95,162,524.15","74,279,842.80","106,182,007.19","111,824,941.26","123,868,820.55","153,527,210.16","114,261,786.86","119,393,025.69"
可供出售金融资产,,,,,,,,,,,,,,
长期借款,"8,242,401.10","6,648,354.43","4,946,705.49",,"4,053,279.14","3,592,206.92","3,123,002.36","2,647,434.99","2,165,418.54","1,676,180.89",,,,
持有至到期投资,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,
固定资产,"48,378,637.65","49,444,358.51","48,066,758.12",,"46,311,264.30","44,928,226.47","44,564,380.44","43,393,795.24","42,472,871.79","42,460,084.71","182,251,526.74","187,997,925.45","186,510,377.10","188,192,938.76"
递延所得税负债,,,,,,,,,,,,,,
在建工程,"803,859.04","13,522,756.47","73,107,161.27",,"88,400,975.02","94,263,790.50","98,052,853.17","98,377,603.14","126,145,999.36","128,072,671.89","14,789,542.70","27,460,649.68","26,308,742.69","35,778,350.17"
其他非流动负债,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,
非流动负债合计,"8,242,401.10","6,648,354.43","4,946,705.49",,"4,053,279.14","3,592,206.92","7,503,002.36","7,027,434.99","6,545,418.54","9,676,180.89","8,000,000.00","8,000,000.00","4,000,000.00","4,000,000.00"
固定资产清理,,,,,,,,,,,,,"103,554.87","102,804.87"
负债合计,"117,993,792.16","137,809,334.10","194,639,245.75","162,704,365.70","152,458,213.25","81,907,084.62","102,665,526.51","81,307,277.79","112,727,425.73","121,501,122.15","131,868,820.55","161,527,210.16","118,261,786.86","123,393,025.69"
生产性生物资产,,,,,,,,,,,,,,
实收资本(或股本),"60,000,000.00","60,000,000.00","60,000,000.00",,"80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00"
油气资产,,,,,,,,,,,,,,
资本公积,"21,215,083.88","21,215,083.88","21,215,083.88",,"254,748,383.88","254,748,383.88","254,748,383.88","254,748,383.88","134,748,383.88","134,634,289.96","134,748,383.88","134,748,383.88","134,748,383.88","134,748,383.88"
无形资产,"35,526,294.29","66,426,278.46","64,849,622.05",,"64,337,004.29","64,006,505.15","63,604,784.46","63,317,459.48","62,912,472.59","62,560,046.36","66,176,759.54","65,778,864.26","65,513,044.45","65,115,149.17"
盈余公积,"5,764,091.57","10,020,221.35","13,491,464.17",,"13,491,464.17","13,491,464.17","16,130,951.66","16,130,951.66","16,130,951.66","16,130,951.66","18,431,530.09","18,431,530.09","18,431,530.09","18,431,530.09"
开发支出,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,,
未分配利润,"88,482,695.83","136,014,498.11","177,851,850.85",,"197,559,671.14","199,860,151.09","207,480,719.59","214,646,213.58","215,721,318.99","226,927,969.23","224,649,355.51","230,015,763.20","240,453,924.91","245,478,173.64"
长期待摊费用,"2,102,668.83","837,805.70","1,188,165.77",,"1,069,547.65","963,038.59","840,796.21","751,056.29","679,785.38","609,863.18","539,940.98","470,018.78","225,411.21","707,595.41"
少数股东权益,,,,,,,,,,,,,,
递延所得税资产,"415,839.61","555,843.03","588,240.11",,"588,240.11","588,240.11","1,608,645.40","1,608,645.40","1,608,645.40","1,605,154.08","2,580,908.25","2,580,908.25","2,557,809.55","2,557,809.55"
外币报表折算价差,,,,,,,,,,,,,,
其他非流动资产,,,"4,457,170.00",,,,"1,422,750.00",,,,"2,229,290.00",,,
非正常经营项目收益调整,,,,,,,,,,,,,,
非流动资产合计,"87,227,299.42","130,787,042.17","192,257,117.32",,"200,707,031.37","204,749,800.82","210,094,209.68","207,448,559.55","233,819,774.52","235,307,820.22","268,567,968.21","284,288,366.42","281,218,939.87","292,454,647.93"
所有者权益(或股东权益)合计,"175,461,871.28","227,249,803.34","272,558,398.90","281,480,394.87","545,799,519.19","548,099,999.14","558,360,055.13","565,525,549.12","566,600,654.53","577,693,210.85","577,770,423.02","583,136,830.71","593,574,992.42","598,599,241.15"
资产总计,"293,455,663.44","365,059,137.44","467,197,644.65","444,184,760.57","698,257,732.44","630,007,083.76","661,025,581.64","646,832,826.91","679,328,080.26","699,194,333.00","709,639,243.57","744,664,040.87","711,836,779.28","721,992,266.84"
负债和所有者(或股东权益)合计,"293,455,663.44","365,059,137.44","467,197,644.65","444,184,760.57","698,257,732.44","630,007,083.76","661,025,581.64","646,832,826.91","679,328,080.26","699,194,333.00","709,639,243.57","744,664,040.87","711,836,779.28","721,992,266.84"
