科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"84,416,799.46","147,727,351.83","218,637,842.96","44,463,283.61","84,758,940.68","136,517,662.36","290,778,006.33","56,793,090.78","128,566,270.07","206,130,457.06","381,923,412.88","63,097,545.12","151,580,155.09","285,435,212.68","524,495,475.66","115,581,909.84","213,733,454.22","352,130,956.18","604,620,370.14","79,519,956.93","243,727,832.65","396,153,115.75","749,192,435.48","139,065,589.14","360,687,965.33","535,318,775.14","633,117,254.42","152,011,809.46"
二、营业利润,"12,812,456.55","38,283,548.82","47,686,254.59","8,116,406.18","13,386,955.29","22,335,688.32","58,667,930.93","9,916,765.65","22,789,754.15","36,600,071.98","87,688,593.71","12,166,771.60","28,067,532.71","47,523,467.93","90,846,770.38","5,749,664.31","16,921,307.01","13,021,571.19","31,758,908.99","145,819.22","3,189,911.28","18,557,880.94","47,395,980.41","229,373.26","-19,333,713.77","377,906.06","-75,999,673.66","-1,721,332.66"
减:营业成本,"50,769,510.99","78,572,113.71","128,975,144.35","23,770,227.43","46,406,135.20","73,650,036.39","177,634,448.60","38,002,061.64","77,145,365.55","114,808,807.91","214,182,480.73","33,496,984.64","84,030,517.35","169,927,198.04","326,065,750.00","85,465,373.54","151,591,667.91","242,065,716.42","412,666,758.91","45,333,493.42","145,518,781.08","256,023,713.83","518,096,765.55","95,141,659.50","280,885,876.38","397,101,983.65","515,489,551.42","95,707,857.82"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"90,879.35","1,196,277.94","2,609,144.57","480,333.67","854,988.60","2,112,583.29","4,370,186.43","797,780.92","1,642,848.81","2,495,885.47","4,712,020.22","321,877.67","1,764,322.67","2,457,932.52","5,616,222.87","1,114,775.59","1,487,943.40","1,873,532.81","4,292,400.77","419,655.03","1,464,143.16","1,473,253.28","6,186,010.94","1,390,508.65","3,627,173.23","4,987,286.50","6,324,120.19","1,929,593.21"
营业外收入,"5,461,867.88","3,251,023.36","1,570,533.38","878,149.24","5,196,209.24","8,596,066.61","10,765,833.17","978,793.00","3,553,689.75","6,963,505.75","8,877,278.40","135,445.55","2,146,804.76","3,527,480.06","8,986,758.95","734,707.19","2,333,808.56","7,621,830.80","25,477,087.65","901,086.27","1,150,471.51","1,194,677.60","9,170,919.54","1,644,068.79","445,065.97","3,146,318.00","42,036.95","843,630.00"
销售费用,"3,223,211.43","5,257,661.75","8,237,088.17","2,555,062.37","5,284,648.89","9,552,794.90","11,786,746.62","2,948,138.71","6,557,688.48","13,298,444.21","15,935,561.69","4,561,641.73","9,339,798.95","15,337,773.12","18,417,190.50","6,140,763.87","10,666,225.41","17,846,112.32","24,136,417.67","4,795,949.93","11,109,906.90","13,044,693.75","26,492,552.10","8,788,869.03","13,751,791.68","23,796,100.85","38,432,686.02","9,497,995.64"
减:营业外支出,,"2,728.99",,,,,,"2,882.39","3,521.30","5,628.44","2,882.39",,,"49,151.84","77,651.84",,"50,000.00","50,000.00","50,000.00",,,"60,000.00","1,631,527.79",,,"191,346.12","210,000.00",
管理费用,"16,406,291.03","23,250,832.97","27,452,368.03","9,407,664.16","17,051,211.74","27,125,738.32","30,820,854.09","4,985,406.87","22,392,415.66","40,086,571.01","53,366,573.17","13,233,130.48","27,407,608.90","48,545,203.36","70,674,527.34","16,463,793.17","31,988,711.33","72,840,553.25","107,819,552.72","27,898,655.90","65,713,008.67","95,227,940.58","121,687,055.58","31,914,749.29","57,932,614.13","86,169,674.35","124,471,195.82","41,883,232.15"
其中:非流动资产处置净损失,,"2,528.99",,,,,,,,,"1,882.39",,,"49,151.84","49,151.84",,,,,,,,"3,908.61",,,,,
